Rank,Club,Country,Level,Elo,From,To
None,Aberdeen,SCO,1,1593.43664551,1946-07-07,1946-08-10
None,Aberdeen,SCO,1,1611.21960449,1946-08-11,1946-08-14
None,Aberdeen,SCO,1,1616.04272461,1946-08-15,1946-08-17
None,Aberdeen,SCO,1,1625.4329834,1946-08-18,1946-08-21
None,Aberdeen,SCO,1,1627.20092773,1946-08-22,1946-08-24
None,Aberdeen,SCO,1,1617.6328125,1946-08-25,1946-08-28
None,Aberdeen,SCO,1,1623.6114502,1946-08-29,1946-08-31
None,Aberdeen,SCO,1,1637.19519043,1946-09-01,1946-09-04
None,Aberdeen,SCO,1,1642.68676758,1946-09-05,1946-09-07
None,Aberdeen,SCO,1,1632.4329834,1946-09-08,1946-09-14
None,Aberdeen,SCO,1,1629.61633301,1946-09-15,1946-10-20
None,Aberdeen,SCO,1,1597.61633301,1946-10-21,1946-11-02
None,Aberdeen,SCO,1,1594.52783203,1946-11-03,1946-11-09
None,Aberdeen,SCO,1,1596.60717773,1946-11-10,1946-11-16
None,Aberdeen,SCO,1,1603.07727051,1946-11-17,1946-11-23
None,Aberdeen,SCO,1,1608.39440918,1946-11-24,1946-11-30
None,Aberdeen,SCO,1,1603.22363281,1946-12-01,1946-12-07
None,Aberdeen,SCO,1,1607.26428223,1946-12-08,1946-12-14
None,Aberdeen,SCO,1,1598.36730957,1946-12-15,1946-12-21
None,Aberdeen,SCO,1,1604.11328125,1946-12-22,1946-12-28
None,Aberdeen,SCO,1,1606.58312988,1946-12-29,1947-01-01
None,Aberdeen,SCO,1,1582.05224609,1947-01-02,1947-01-02
None,Aberdeen,SCO,1,1599.5670166,1947-01-03,1947-01-04
None,Aberdeen,SCO,1,1587.84924316,1947-01-05,1947-01-18
None,Aberdeen,SCO,1,1583.81066895,1947-01-19,1947-02-01
None,Aberdeen,SCO,1,1587.7677002,1947-02-02,1947-04-13
None,Aberdeen,SCO,1,1597.7677002,1947-04-14,1947-04-26
None,Aberdeen,SCO,1,1597.74389648,1947-04-27,1947-04-28
None,Aberdeen,SCO,1,1612.39746094,1947-04-29,1947-05-03
None,Aberdeen,SCO,1,1617.42480469,1947-05-04,1947-05-05
None,Aberdeen,SCO,1,1614.26000977,1947-05-06,1947-05-14
None,Aberdeen,SCO,1,1618.14355469,1947-05-15,1947-05-17
None,Aberdeen,SCO,1,1604.61486816,1947-05-18,1947-05-20
None,Aberdeen,SCO,1,1587.61486816,1947-05-21,1947-05-25
None,Aberdeen,SCO,1,1589.61486816,1947-05-26,1947-08-13
