Rank,Club,Country,Level,Elo,From,To
None,Academica,POR,1,1424.7598877,1939-01-08,1939-01-08
None,Academica,POR,1,1413.93493652,1939-01-09,1939-01-22
None,Academica,POR,1,1406.08044434,1939-01-23,1939-01-29
None,Academica,POR,1,1412.13659668,1939-01-30,1939-02-05
None,Academica,POR,1,1400.0291748,1939-02-06,1939-02-19
None,Academica,POR,1,1373.37670898,1939-02-20,1939-02-26
None,Academica,POR,1,1381.23303223,1939-02-27,1939-03-05
None,Academica,POR,1,1394.41687012,1939-03-06,1939-03-12
None,Academica,POR,1,1393.1126709,1939-03-13,1939-03-19
None,Academica,POR,1,1387.66491699,1939-03-20,1939-03-26
None,Academica,POR,1,1387.30529785,1939-03-27,1939-04-02
None,Academica,POR,1,1376.42736816,1939-04-03,1939-04-09
None,Academica,POR,1,1374.17529297,1939-04-10,1939-04-16
None,Academica,POR,1,1368.86804199,1939-04-17,1939-04-23
None,Academica,POR,1,1376.45739746,1939-04-24,1940-01-14
None,Academica,POR,1,1364.06433105,1940-01-15,1940-02-04
None,Academica,POR,1,1358.06433105,1940-02-05,1940-02-06
None,Academica,POR,1,1352.44946289,1940-02-07,1940-02-11
None,Academica,POR,1,1343.85668945,1940-02-12,1940-02-18
None,Academica,POR,1,1337.4876709,1940-02-19,1940-02-25
None,Academica,POR,1,1337.92102051,1940-02-26,1940-03-03
None,Academica,POR,1,1337.5135498,1940-03-04,1940-03-10
None,Academica,POR,1,1344.74853516,1940-03-11,1940-03-17
None,Academica,POR,1,1351.94006348,1940-03-18,1940-03-24
None,Academica,POR,1,1347.57568359,1940-03-25,1940-03-31
None,Academica,POR,1,1356.40686035,1940-04-01,1940-04-03
None,Academica,POR,1,1372.35681152,1940-04-04,1940-04-07
None,Academica,POR,1,1366.84777832,1940-04-08,1940-04-14
None,Academica,POR,1,1362.29785156,1940-04-15,1940-04-21
None,Academica,POR,1,1374.00549316,1940-04-22,1940-04-28
None,Academica,POR,1,1377.45678711,1940-04-29,1940-05-05
None,Academica,POR,1,1369.45776367,1940-05-06,1940-05-12
None,Academica,POR,1,1375.82226562,1940-05-13,1940-05-19
None,Academica,POR,1,1355.99963379,1940-05-20,1940-12-29
None,Academica,POR,1,1351.01403809,1940-12-30,1941-01-01
None,Academica,POR,1,1347.90368652,1941-01-02,1941-01-05
None,Academica,POR,1,1342.14257812,1941-01-06,1941-01-19
None,Academica,POR,1,1339.54711914,1941-01-20,1941-01-26
None,Academica,POR,1,1348.21740723,1941-01-27,1941-02-02
None,Academica,POR,1,1343.48571777,1941-02-03,1941-02-09
None,Academica,POR,1,1345.4473877,1941-02-10,1941-02-23
None,Academica,POR,1,1353.24572754,1941-02-24,1941-03-02
None,Academica,POR,1,1356.66711426,1941-03-03,1941-03-09
None,Academica,POR,1,1353.44335938,1941-03-10,1941-03-23
None,Academica,POR,1,1356.56237793,1941-03-24,1941-03-30
None,Academica,POR,1,1353.05297852,1941-03-31,1941-04-02
None,Academica,POR,1,1359.80871582,1941-04-03,1941-04-06
None,Academica,POR,1,1355.20581055,1941-04-07,1942-01-04
None,Academica,POR,1,1372.20581055,1942-01-05,1942-01-18
None,Academica,POR,1,1360.9263916,1942-01-19,1942-01-25
None,Academica,POR,1,1367.32421875,1942-01-26,1942-02-01
None,Academica,POR,1,1377.90930176,1942-02-02,1942-02-08
None,Academica,POR,1,1389.51257324,1942-02-09,1942-02-15
None,Academica,POR,1,1396.5032959,1942-02-16,1942-02-22
None,Academica,POR,1,1400.36755371,1942-02-23,1942-03-01
None,Academica,POR,1,1405.28881836,1942-03-02,1942-03-08
None,Academica,POR,1,1403.27526855,1942-03-09,1942-03-15
None,Academica,POR,1,1416.35876465,1942-03-16,1942-03-22
None,Academica,POR,1,1414.25549316,1942-03-23,1942-03-29
None,Academica,POR,1,1416.17724609,1942-03-30,1942-04-05
None,Academica,POR,1,1427.68225098,1942-04-06,1942-04-12
None,Academica,POR,1,1433.15185547,1942-04-13,1942-04-19
None,Academica,POR,1,1438.2220459,1942-04-20,1942-04-26
None,Academica,POR,1,1433.80834961,1942-04-27,1942-05-03
None,Academica,POR,1,1438.05236816,1942-05-04,1942-05-10
None,Academica,POR,1,1427.90393066,1942-05-11,1942-05-17
None,Academica,POR,1,1418.52380371,1942-05-18,1942-05-24
None,Academica,POR,1,1426.73486328,1942-05-25,1942-05-31
None,Academica,POR,1,1421.58349609,1942-06-01,1942-06-07
None,Academica,POR,1,1415.93835449,1942-06-08,1942-06-14
None,Academica,POR,1,1406.33642578,1942-06-15,1943-01-10
None,Academica,POR,1,1410.68261719,1943-01-11,1943-01-17
None,Academica,POR,1,1415.24438477,1943-01-18,1943-01-24
None,Academica,POR,1,1405.72607422,1943-01-25,1943-01-31
None,Academica,POR,1,1426.73352051,1943-02-01,1943-02-07
None,Academica,POR,1,1414.06921387,1943-02-08,1943-02-14
None,Academica,POR,1,1417.69165039,1943-02-15,1943-02-21
None,Academica,POR,1,1402.23059082,1943-02-22,1943-02-28
None,Academica,POR,1,1407.52746582,1943-03-01,1943-03-07
None,Academica,POR,1,1404.48730469,1943-03-08,1943-03-14
None,Academica,POR,1,1391.78015137,1943-03-15,1943-03-21
None,Academica,POR,1,1389.34509277,1943-03-22,1943-03-28
None,Academica,POR,1,1386.90686035,1943-03-29,1943-04-04
None,Academica,POR,1,1375.95324707,1943-04-05,1943-04-11
None,Academica,POR,1,1364.68005371,1943-04-12,1943-04-25
None,Academica,POR,1,1373.47070312,1943-04-26,1943-05-02
None,Academica,POR,1,1348.97436523,1943-05-03,1943-05-09
None,Academica,POR,1,1360.78405762,1943-05-10,1943-05-16
None,Academica,POR,1,1356.2244873,1943-05-17,1943-11-28
None,Academica,POR,1,1353.61328125,1943-11-29,1943-12-05
None,Academica,POR,1,1349.90100098,1943-12-06,1943-12-12
None,Academica,POR,1,1327.2869873,1943-12-13,1943-12-19
None,Academica,POR,1,1318.2244873,1943-12-20,1943-12-26
None,Academica,POR,1,1304.64160156,1943-12-27,1944-01-02
None,Academica,POR,1,1303.7923584,1944-01-03,1944-01-09
None,Academica,POR,1,1306.90063477,1944-01-10,1944-01-16
None,Academica,POR,1,1299.30993652,1944-01-17,1944-01-23
None,Academica,POR,1,1294.55334473,1944-01-24,1944-01-30
None,Academica,POR,1,1285.27624512,1944-01-31,1944-02-06
None,Academica,POR,1,1284.45507812,1944-02-07,1944-02-13
None,Academica,POR,1,1278.81555176,1944-02-14,1944-02-20
None,Academica,POR,1,1285.53503418,1944-02-21,1944-02-27
None,Academica,POR,1,1277.63146973,1944-02-28,1944-03-05
None,Academica,POR,1,1272.56005859,1944-03-06,1944-03-12
None,Academica,POR,1,1290.72570801,1944-03-13,1944-03-19
None,Academica,POR,1,1265.81994629,1944-03-20,1944-03-26
None,Academica,POR,1,1264.32067871,1944-03-27,1944-11-26
None,Academica,POR,1,1260.38562012,1944-11-27,1944-12-03
None,Academica,POR,1,1258.88586426,1944-12-04,1944-12-10
None,Academica,POR,1,1249.95251465,1944-12-11,1944-12-17
None,Academica,POR,1,1247.18347168,1944-12-18,1944-12-24
None,Academica,POR,1,1239.31494141,1944-12-25,1944-12-31
None,Academica,POR,1,1244.95678711,1945-01-01,1945-01-07
None,Academica,POR,1,1264.80664062,1945-01-08,1945-01-14
None,Academica,POR,1,1257.12866211,1945-01-15,1945-01-21
None,Academica,POR,1,1256.35949707,1945-01-22,1945-01-28
None,Academica,POR,1,1264.7734375,1945-01-29,1945-02-04
None,Academica,POR,1,1259.80383301,1945-02-05,1945-02-11
None,Academica,POR,1,1265.28381348,1945-02-12,1945-02-18
None,Academica,POR,1,1261.49499512,1945-02-19,1945-02-25
None,Academica,POR,1,1257.62219238,1945-02-26,1945-03-18
None,Academica,POR,1,1254.15075684,1945-03-19,1945-03-25
None,Academica,POR,1,1245.76928711,1945-03-26,1945-04-01
None,Academica,POR,1,1242.93078613,1945-04-02,1945-04-08
None,Academica,POR,1,1240.91723633,1945-04-09,1945-05-10
None,Academica,POR,1,1237.91723633,1945-05-11,1945-05-27
None,Academica,POR,1,1232.91723633,1945-05-28,1945-12-09
None,Academica,POR,1,1224.04968262,1945-12-10,1945-12-16
None,Academica,POR,1,1222.26257324,1945-12-17,1945-12-23
None,Academica,POR,1,1228.80725098,1945-12-24,1945-12-30
None,Academica,POR,1,1221.97302246,1945-12-31,1946-01-06
