Rank,Club,Country,Level,Elo,From,To
None,Ahlen,GER,2,1428.1114502,2000-07-02,2000-08-08
None,Ahlen,GER,2,1429.60510254,2000-08-09,2000-08-09
None,Ahlen,GER,2,1429.53881836,2000-08-10,2000-08-12
None,Ahlen,GER,2,1414.58886719,2000-08-13,2000-08-20
None,Ahlen,GER,2,1410.97473145,2000-08-21,2000-08-22
None,Ahlen,GER,2,1411.00146484,2000-08-23,2000-08-23
None,Ahlen,GER,2,1407.81115723,2000-08-24,2000-09-05
None,Ahlen,GER,2,1413.0435791,2000-09-06,2000-09-09
None,Ahlen,GER,2,1403.24584961,2000-09-10,2000-09-11
None,Ahlen,GER,2,1403.3651123,2000-09-12,2000-09-12
None,Ahlen,GER,2,1398.81018066,2000-09-13,2000-09-13
None,Ahlen,GER,2,1400.98376465,2000-09-14,2000-09-14
None,Ahlen,GER,2,1397.52197266,2000-09-15,2000-09-16
None,Ahlen,GER,2,1387.6237793,2000-09-17,2000-09-19
None,Ahlen,GER,2,1387.88232422,2000-09-20,2000-09-20
None,Ahlen,GER,2,1388.90063477,2000-09-21,2000-09-21
None,Ahlen,GER,2,1389.0559082,2000-09-22,2000-09-24
None,Ahlen,GER,2,1387.390625,2000-09-25,2000-09-26
None,Ahlen,GER,2,1381.48852539,2000-09-27,2000-09-27
None,Ahlen,GER,2,1378.49755859,2000-09-28,2000-09-28
None,Ahlen,GER,2,1384.95922852,2000-09-29,2000-09-29
None,Ahlen,GER,2,1390.81799316,2000-09-30,2000-10-14
None,Ahlen,GER,2,1393.74353027,2000-10-15,2000-10-17
None,Ahlen,GER,2,1392.52038574,2000-10-18,2000-10-18
None,Ahlen,GER,2,1395.72912598,2000-10-19,2000-10-23
None,Ahlen,GER,2,1411.54956055,2000-10-24,2000-10-24
None,Ahlen,GER,2,1418.0793457,2000-10-25,2000-10-25
None,Ahlen,GER,2,1419.24206543,2000-10-26,2000-10-26
None,Ahlen,GER,2,1418.71130371,2000-10-27,2000-10-29
None,Ahlen,GER,2,1430.04821777,2000-10-30,2000-11-03
