Rank,Club,Country,Level,Elo,From,To
None,Akhisar,TUR,1,1354.76477051,2012-07-01,2012-07-19
None,Akhisar,TUR,1,1356.50500488,2012-07-20,2012-07-26
None,Akhisar,TUR,1,1356.78295898,2012-07-27,2012-08-01
None,Akhisar,TUR,1,1354.17504883,2012-08-02,2012-08-02
None,Akhisar,TUR,1,1350.52539062,2012-08-03,2012-08-08
None,Akhisar,TUR,1,1357.73925781,2012-08-09,2012-08-09
None,Akhisar,TUR,1,1359.22644043,2012-08-10,2012-08-17
None,Akhisar,TUR,1,1372.59338379,2012-08-18,2012-08-21
None,Akhisar,TUR,1,1371.26599121,2012-08-22,2012-08-23
None,Akhisar,TUR,1,1375.17480469,2012-08-24,2012-08-25
None,Akhisar,TUR,1,1377.02685547,2012-08-26,2012-08-29
None,Akhisar,TUR,1,1373.48876953,2012-08-30,2012-08-30
None,Akhisar,TUR,1,1363.79248047,2012-08-31,2012-09-01
None,Akhisar,TUR,1,1367.31445312,2012-09-02,2012-09-16
None,Akhisar,TUR,1,1352.93505859,2012-09-17,2012-09-19
None,Akhisar,TUR,1,1352.17797852,2012-09-20,2012-09-20
None,Akhisar,TUR,1,1351.51940918,2012-09-21,2012-09-23
None,Akhisar,TUR,1,1349.10253906,2012-09-24,2012-09-29
None,Akhisar,TUR,1,1338.19775391,2012-09-30,2012-10-02
None,Akhisar,TUR,1,1332.19934082,2012-10-03,2012-10-04
None,Akhisar,TUR,1,1340.33679199,2012-10-05,2012-10-06
None,Akhisar,TUR,1,1341.91223145,2012-10-07,2012-10-21
None,Akhisar,TUR,1,1344.98144531,2012-10-22,2012-10-23
None,Akhisar,TUR,1,1342.90100098,2012-10-24,2012-10-25
None,Akhisar,TUR,1,1345.21508789,2012-10-26,2012-10-27
None,Akhisar,TUR,1,1357.95837402,2012-10-28,2012-11-03
None,Akhisar,TUR,1,1355.04943848,2012-11-04,2012-11-07
None,Akhisar,TUR,1,1361.03137207,2012-11-08,2012-11-08
None,Akhisar,TUR,1,1362.25756836,2012-11-09,2012-11-10
None,Akhisar,TUR,1,1358.67480469,2012-11-11,2012-11-18
None,Akhisar,TUR,1,1346.99438477,2012-11-19,2012-11-20
None,Akhisar,TUR,1,1352.93676758,2012-11-21,2012-11-22
None,Akhisar,TUR,1,1358.13037109,2012-11-23,2012-11-23
None,Akhisar,TUR,1,1355.13085938,2012-11-24,2012-12-01
None,Akhisar,TUR,1,1358.99597168,2012-12-02,2012-12-05
None,Akhisar,TUR,1,1364.12255859,2012-12-06,2012-12-06
None,Akhisar,TUR,1,1356.76525879,2012-12-07,2012-12-15
None,Akhisar,TUR,1,1351.07080078,2012-12-16,2012-12-21
None,Akhisar,TUR,1,1353.15380859,2012-12-22,2013-01-09
None,Akhisar,TUR,1,1363.76293945,2013-01-10,2013-01-21
None,Akhisar,TUR,1,1367.04553223,2013-01-22,2013-01-26
None,Akhisar,TUR,1,1363.56188965,2013-01-27,2013-02-01
None,Akhisar,TUR,1,1356.53552246,2013-02-02,2013-02-09
None,Akhisar,TUR,1,1374.57250977,2013-02-10,2013-02-14
None,Akhisar,TUR,1,1374.97705078,2013-02-15,2013-02-15
None,Akhisar,TUR,1,1372.04663086,2013-02-16,2013-02-20
None,Akhisar,TUR,1,1371.18457031,2013-02-21,2013-02-21
None,Akhisar,TUR,1,1374.40197754,2013-02-22,2013-02-24
None,Akhisar,TUR,1,1391.16479492,2013-02-25,2013-03-02
None,Akhisar,TUR,1,1381.72741699,2013-03-03,2013-03-07
None,Akhisar,TUR,1,1386.43041992,2013-03-08,2013-03-09
None,Akhisar,TUR,1,1391.26843262,2013-03-10,2013-03-12
None,Akhisar,TUR,1,1399.59204102,2013-03-13,2013-03-14
None,Akhisar,TUR,1,1400.38500977,2013-03-15,2013-03-17
None,Akhisar,TUR,1,1409.10913086,2013-03-18,2013-03-31
None,Akhisar,TUR,1,1406.78112793,2013-04-01,2013-04-03
None,Akhisar,TUR,1,1406.02307129,2013-04-04,2013-04-04
None,Akhisar,TUR,1,1410.83581543,2013-04-05,2013-04-07
None,Akhisar,TUR,1,1420.81787109,2013-04-08,2013-04-09
