Rank,Club,Country,Level,Elo,From,To
None,Alanyaspor,TUR,1,1366.68774414,2016-07-01,2016-07-14
None,Alanyaspor,TUR,1,1366.90649414,2016-07-15,2016-07-21
None,Alanyaspor,TUR,1,1369.01208496,2016-07-22,2016-07-27
None,Alanyaspor,TUR,1,1370.80627441,2016-07-28,2016-07-28
None,Alanyaspor,TUR,1,1370.18127441,2016-07-29,2016-08-03
None,Alanyaspor,TUR,1,1363.71875,2016-08-04,2016-08-04
None,Alanyaspor,TUR,1,1368.83679199,2016-08-05,2016-08-18
None,Alanyaspor,TUR,1,1375.02746582,2016-08-19,2016-08-20
None,Alanyaspor,TUR,1,1372.27233887,2016-08-21,2016-08-25
None,Alanyaspor,TUR,1,1377.84667969,2016-08-26,2016-08-26
None,Alanyaspor,TUR,1,1385.8762207,2016-08-27,2016-09-10
None,Alanyaspor,TUR,1,1390.48120117,2016-09-11,2016-09-13
None,Alanyaspor,TUR,1,1393.4251709,2016-09-14,2016-09-15
None,Alanyaspor,TUR,1,1395.38793945,2016-09-16,2016-09-17
None,Alanyaspor,TUR,1,1407.19274902,2016-09-18,2016-09-26
None,Alanyaspor,TUR,1,1400.25305176,2016-09-27,2016-09-28
None,Alanyaspor,TUR,1,1399.94238281,2016-09-29,2016-09-29
None,Alanyaspor,TUR,1,1394.69543457,2016-09-30,2016-10-02
None,Alanyaspor,TUR,1,1382.88598633,2016-10-03,2016-10-16
None,Alanyaspor,TUR,1,1390.36425781,2016-10-17,2016-10-19
None,Alanyaspor,TUR,1,1396.2322998,2016-10-20,2016-10-20
None,Alanyaspor,TUR,1,1395.50842285,2016-10-21,2016-10-22
None,Alanyaspor,TUR,1,1385.21008301,2016-10-23,2016-10-31
None,Alanyaspor,TUR,1,1380.79943848,2016-11-01,2016-11-01
None,Alanyaspor,TUR,1,1380.92785645,2016-11-02,2016-11-03
None,Alanyaspor,TUR,1,1389.13659668,2016-11-04,2016-11-05
None,Alanyaspor,TUR,1,1396.13964844,2016-11-06,2016-11-19
None,Alanyaspor,TUR,1,1391.59008789,2016-11-20,2016-11-23
None,Alanyaspor,TUR,1,1392.25476074,2016-11-24,2016-11-24
None,Alanyaspor,TUR,1,1390.03369141,2016-11-25,2016-11-25
None,Alanyaspor,TUR,1,1401.1105957,2016-11-26,2016-12-04
None,Alanyaspor,TUR,1,1394.86645508,2016-12-05,2016-12-06
None,Alanyaspor,TUR,1,1389.03601074,2016-12-07,2016-12-08
None,Alanyaspor,TUR,1,1390.88000488,2016-12-09,2016-12-11
None,Alanyaspor,TUR,1,1405.703125,2016-12-12,2016-12-18
None,Alanyaspor,TUR,1,1405.14306641,2016-12-19,2016-12-25
None,Alanyaspor,TUR,1,1399.97595215,2016-12-26,2017-01-14
None,Alanyaspor,TUR,1,1389.91149902,2017-01-15,2017-01-23
None,Alanyaspor,TUR,1,1384.88879395,2017-01-24,2017-01-28
None,Alanyaspor,TUR,1,1380.98620605,2017-01-29,2017-02-11
None,Alanyaspor,TUR,1,1396.69970703,2017-02-12,2017-02-16
None,Alanyaspor,TUR,1,1399.84692383,2017-02-17,2017-02-20
None,Alanyaspor,TUR,1,1403.7467041,2017-02-21,2017-02-22
None,Alanyaspor,TUR,1,1401.34899902,2017-02-23,2017-02-23
