Rank,Club,Country,Level,Elo,From,To
None,Albinoleffe,ITA,2,1456.48425293,2003-07-01,2003-08-13
None,Albinoleffe,ITA,2,1458.17272949,2003-08-14,2003-08-27
None,Albinoleffe,ITA,2,1459.93200684,2003-08-28,2003-09-11
None,Albinoleffe,ITA,2,1451.62927246,2003-09-12,2003-09-14
None,Albinoleffe,ITA,2,1449.50805664,2003-09-15,2003-09-16
None,Albinoleffe,ITA,2,1454.85949707,2003-09-17,2003-09-17
None,Albinoleffe,ITA,2,1462.1027832,2003-09-18,2003-09-20
None,Albinoleffe,ITA,2,1468.12854004,2003-09-21,2003-09-23
None,Albinoleffe,ITA,2,1466.22399902,2003-09-24,2003-09-24
None,Albinoleffe,ITA,2,1467.71838379,2003-09-25,2003-09-27
None,Albinoleffe,ITA,2,1479.8939209,2003-09-28,2003-09-30
None,Albinoleffe,ITA,2,1482.73974609,2003-10-01,2003-10-01
None,Albinoleffe,ITA,2,1481.19921875,2003-10-02,2003-10-04
None,Albinoleffe,ITA,2,1478.42687988,2003-10-05,2003-10-08
None,Albinoleffe,ITA,2,1473.08422852,2003-10-09,2003-10-12
None,Albinoleffe,ITA,2,1485.37097168,2003-10-13,2003-10-15
None,Albinoleffe,ITA,2,1471.89099121,2003-10-16,2003-10-18
None,Albinoleffe,ITA,2,1469.84655762,2003-10-19,2003-10-21
None,Albinoleffe,ITA,2,1464.76879883,2003-10-22,2003-10-22
None,Albinoleffe,ITA,2,1457.88269043,2003-10-23,2003-10-25
None,Albinoleffe,ITA,2,1449.42736816,2003-10-26,2003-11-02
None,Albinoleffe,ITA,2,1457.11291504,2003-11-03,2003-11-04
None,Albinoleffe,ITA,2,1451.50024414,2003-11-05,2003-11-05
None,Albinoleffe,ITA,2,1449.35876465,2003-11-06,2003-11-06
None,Albinoleffe,ITA,2,1451.65820312,2003-11-07,2003-11-09
None,Albinoleffe,ITA,2,1453.18127441,2003-11-10,2003-11-16
None,Albinoleffe,ITA,2,1469.53369141,2003-11-17,2003-11-20
None,Albinoleffe,ITA,2,1469.20349121,2003-11-21,2003-11-23
None,Albinoleffe,ITA,2,1462.02050781,2003-11-24,2003-11-25
None,Albinoleffe,ITA,2,1455.9855957,2003-11-26,2003-11-26
None,Albinoleffe,ITA,2,1457.7253418,2003-11-27,2003-11-27
None,Albinoleffe,ITA,2,1458.95166016,2003-11-28,2003-11-30
None,Albinoleffe,ITA,2,1447.07006836,2003-12-01,2003-12-02
None,Albinoleffe,ITA,2,1442.40673828,2003-12-03,2003-12-07
None,Albinoleffe,ITA,2,1439.31140137,2003-12-08,2003-12-09
None,Albinoleffe,ITA,2,1432.71618652,2003-12-10,2003-12-10
None,Albinoleffe,ITA,2,1435.20935059,2003-12-11,2003-12-14
None,Albinoleffe,ITA,2,1434.88818359,2003-12-15,2003-12-21
None,Albinoleffe,ITA,2,1438.0723877,2003-12-22,2004-01-06
None,Albinoleffe,ITA,2,1444.33251953,2004-01-07,2004-01-11
None,Albinoleffe,ITA,2,1439.10400391,2004-01-12,2004-01-18
None,Albinoleffe,ITA,2,1446.3572998,2004-01-19,2004-01-25
None,Albinoleffe,ITA,2,1438.21533203,2004-01-26,2004-02-01
None,Albinoleffe,ITA,2,1445.01989746,2004-02-02,2004-02-08
None,Albinoleffe,ITA,2,1450.27270508,2004-02-09,2004-02-13
