Rank,Club,Country,Level,Elo,From,To
None,Antalyaspor,TUR,1,1155.6986084,1982-07-04,1982-08-29
None,Antalyaspor,TUR,1,1162.48937988,1982-08-30,1982-09-11
None,Antalyaspor,TUR,1,1156.90466309,1982-09-12,1982-09-15
None,Antalyaspor,TUR,1,1154.74206543,1982-09-16,1982-09-19
None,Antalyaspor,TUR,1,1150.72192383,1982-09-20,1982-09-26
None,Antalyaspor,TUR,1,1145.99890137,1982-09-27,1982-09-29
None,Antalyaspor,TUR,1,1150.83239746,1982-09-30,1982-10-03
None,Antalyaspor,TUR,1,1156.40356445,1982-10-04,1982-10-10
None,Antalyaspor,TUR,1,1152.59240723,1982-10-11,1982-10-17
None,Antalyaspor,TUR,1,1150.90893555,1982-10-18,1982-10-20
None,Antalyaspor,TUR,1,1145.77539062,1982-10-21,1982-10-23
None,Antalyaspor,TUR,1,1139.94458008,1982-10-24,1982-10-31
None,Antalyaspor,TUR,1,1136.47619629,1982-11-01,1982-11-03
None,Antalyaspor,TUR,1,1138.78564453,1982-11-04,1982-11-21
None,Antalyaspor,TUR,1,1145.35632324,1982-11-22,1982-11-28
None,Antalyaspor,TUR,1,1137.62634277,1982-11-29,1982-12-05
None,Antalyaspor,TUR,1,1144.35498047,1982-12-06,1982-12-12
None,Antalyaspor,TUR,1,1140.05358887,1982-12-13,1982-12-19
None,Antalyaspor,TUR,1,1150.87768555,1982-12-20,1982-12-26
None,Antalyaspor,TUR,1,1146.99511719,1982-12-27,1983-01-02
None,Antalyaspor,TUR,1,1152.82116699,1983-01-03,1983-01-09
None,Antalyaspor,TUR,1,1164.97338867,1983-01-10,1983-02-20
None,Antalyaspor,TUR,1,1165.79675293,1983-02-21,1983-03-06
None,Antalyaspor,TUR,1,1161.48364258,1983-03-07,1983-03-13
None,Antalyaspor,TUR,1,1151.91589355,1983-03-14,1983-03-20
None,Antalyaspor,TUR,1,1156.48913574,1983-03-21,1983-03-26
None,Antalyaspor,TUR,1,1153.87573242,1983-03-27,1983-04-03
None,Antalyaspor,TUR,1,1150.24438477,1983-04-04,1983-04-10
None,Antalyaspor,TUR,1,1147.66662598,1983-04-11,1983-04-17
None,Antalyaspor,TUR,1,1136.97387695,1983-04-18,1983-04-27
None,Antalyaspor,TUR,1,1150.30358887,1983-04-28,1983-05-01
None,Antalyaspor,TUR,1,1161.6496582,1983-05-02,1983-05-07
None,Antalyaspor,TUR,1,1159.96691895,1983-05-08,1983-05-15
None,Antalyaspor,TUR,1,1153.05432129,1983-05-16,1983-05-22
None,Antalyaspor,TUR,1,1149.30480957,1983-05-23,1983-05-29
None,Antalyaspor,TUR,1,1157.01574707,1983-05-30,1983-06-05
None,Antalyaspor,TUR,1,1155.22668457,1983-06-06,1983-06-12
None,Antalyaspor,TUR,1,1150.75366211,1983-06-13,1983-06-19
None,Antalyaspor,TUR,1,1158.13464355,1983-06-20,1983-08-21
None,Antalyaspor,TUR,1,1157.72827148,1983-08-22,1983-08-28
None,Antalyaspor,TUR,1,1160.49780273,1983-08-29,1983-09-04
None,Antalyaspor,TUR,1,1149.40893555,1983-09-05,1983-09-11
None,Antalyaspor,TUR,1,1161.01782227,1983-09-12,1983-09-14
