Rank,Club,Country,Level,Elo,From,To
None,Aue,GDR,1,1336.40539551,1954-07-01,1954-09-05
None,Aue,GDR,1,1345.3515625,1954-09-06,1954-09-12
None,Aue,GDR,1,1337.66625977,1954-09-13,1954-09-19
None,Aue,GDR,1,1349.02966309,1954-09-20,1954-09-26
None,Aue,GDR,1,1351.56848145,1954-09-27,1954-09-27
None,Aue,GDR,1,1337.56848145,1954-09-28,1954-10-03
None,Aue,GDR,1,1334.27319336,1954-10-04,1954-10-16
None,Aue,GDR,1,1340.17456055,1954-10-17,1954-10-24
None,Aue,GDR,1,1334.05419922,1954-10-25,1954-10-27
None,Aue,GDR,1,1320.05419922,1954-10-28,1954-10-31
None,Aue,GDR,1,1327.10351562,1954-11-01,1954-11-07
None,Aue,GDR,1,1330.93103027,1954-11-08,1954-11-14
None,Aue,GDR,1,1325.29675293,1954-11-15,1954-11-21
None,Aue,GDR,1,1329.95654297,1954-11-22,1954-11-28
None,Aue,GDR,1,1321.76452637,1954-11-29,1954-12-12
None,Aue,GDR,1,1324.84716797,1954-12-13,1955-01-09
None,Aue,GDR,1,1328.39855957,1955-01-10,1955-01-16
None,Aue,GDR,1,1336.20568848,1955-01-17,1955-01-30
None,Aue,GDR,1,1338.2434082,1955-01-31,1955-02-06
None,Aue,GDR,1,1332.12365723,1955-02-07,1955-02-13
None,Aue,GDR,1,1340.48596191,1955-02-14,1955-02-20
None,Aue,GDR,1,1347.9888916,1955-02-21,1955-02-27
None,Aue,GDR,1,1350.37268066,1955-02-28,1955-03-13
None,Aue,GDR,1,1356.6361084,1955-03-14,1955-03-20
None,Aue,GDR,1,1347.3503418,1955-03-21,1955-03-27
None,Aue,GDR,1,1353.1348877,1955-03-28,1955-04-03
None,Aue,GDR,1,1360.29833984,1955-04-04,1955-04-17
None,Aue,GDR,1,1368.56262207,1955-04-18,1955-04-24
None,Aue,GDR,1,1369.38830566,1955-04-25,1955-08-28
None,Aue,GDR,1,1362.78161621,1955-08-29,1955-09-04
None,Aue,GDR,1,1376.58374023,1955-09-05,1955-09-11
None,Aue,GDR,1,1371.6472168,1955-09-12,1955-09-19
None,Aue,GDR,1,1385.6472168,1955-09-20,1955-09-25
None,Aue,GDR,1,1393.14367676,1955-09-26,1955-10-02
None,Aue,GDR,1,1401.72424316,1955-10-03,1955-10-09
None,Aue,GDR,1,1394.05822754,1955-10-10,1955-10-16
None,Aue,GDR,1,1390.08093262,1955-10-17,1955-10-23
None,Aue,GDR,1,1402.75866699,1955-10-24,1955-10-30
None,Aue,GDR,1,1411.03845215,1955-10-31,1955-11-06
None,Aue,GDR,1,1418.6385498,1955-11-07,1955-11-13
None,Aue,GDR,1,1413.97387695,1955-11-14,1955-11-23
None,Aue,GDR,1,1419.97387695,1955-11-24,1955-11-27
None,Aue,GDR,1,1423.30761719,1955-11-28,1955-12-04
None,Aue,GDR,1,1430.91845703,1955-12-05,1956-03-11
None,Aue,GDR,1,1428.93444824,1956-03-12,1956-03-18
None,Aue,GDR,1,1436.18994141,1956-03-19,1956-03-25
None,Aue,GDR,1,1436.57080078,1956-03-26,1956-04-08
None,Aue,GDR,1,1439.00842285,1956-04-09,1956-04-11
None,Aue,GDR,1,1446.23034668,1956-04-12,1956-04-15
None,Aue,GDR,1,1449.5045166,1956-04-16,1956-04-22
None,Aue,GDR,1,1448.86987305,1956-04-23,1956-04-29
None,Aue,GDR,1,1454.9354248,1956-04-30,1956-05-13
None,Aue,GDR,1,1462.04943848,1956-05-14,1956-05-16
None,Aue,GDR,1,1465.11865234,1956-05-17,1956-05-27
None,Aue,GDR,1,1451.38720703,1956-05-28,1956-05-30
None,Aue,GDR,1,1444.12841797,1956-05-31,1956-06-03
None,Aue,GDR,1,1444.98486328,1956-06-04,1956-07-23
None,Aue,GDR,1,1462.98486328,1956-07-24,1956-08-12
None,Aue,GDR,1,1465.95617676,1956-08-13,1956-08-19
None,Aue,GDR,1,1481.57873535,1956-08-20,1956-08-26
None,Aue,GDR,1,1485.99841309,1956-08-27,1956-09-02
None,Aue,GDR,1,1484.61791992,1956-09-03,1956-09-09
None,Aue,GDR,1,1486.87902832,1956-09-10,1956-09-16
None,Aue,GDR,1,1478.12805176,1956-09-17,1956-09-22
None,Aue,GDR,1,1483.12805176,1956-09-23,1956-09-23
None,Aue,GDR,1,1488.04931641,1956-09-24,1956-09-26
None,Aue,GDR,1,1487.24768066,1956-09-27,1956-09-30
None,Aue,GDR,1,1489.83728027,1956-10-01,1956-10-07
None,Aue,GDR,1,1487.55053711,1956-10-08,1956-10-17
None,Aue,GDR,1,1475.93457031,1956-10-18,1956-10-21
None,Aue,GDR,1,1479.3494873,1956-10-22,1956-10-28
None,Aue,GDR,1,1482.88916016,1956-10-29,1957-03-11
None,Aue,GDR,1,1485.88916016,1957-03-12,1957-03-17
None,Aue,GDR,1,1488.46337891,1957-03-18,1957-03-24
None,Aue,GDR,1,1486.68908691,1957-03-25,1957-03-31
None,Aue,GDR,1,1489.96264648,1957-04-01,1957-04-14
None,Aue,GDR,1,1480.10656738,1957-04-15,1957-04-28
None,Aue,GDR,1,1460.92797852,1957-04-29,1957-05-05
None,Aue,GDR,1,1463.92919922,1957-05-06,1957-05-12
None,Aue,GDR,1,1470.26452637,1957-05-13,1957-05-20
None,Aue,GDR,1,1489.26452637,1957-05-21,1957-05-26
None,Aue,GDR,1,1491.77392578,1957-05-27,1957-06-02
None,Aue,GDR,1,1476.02685547,1957-06-03,1957-06-17
None,Aue,GDR,1,1468.02685547,1957-06-18,1957-06-23
None,Aue,GDR,1,1473.42932129,1957-06-24,1957-06-30
None,Aue,GDR,1,1479.50952148,1957-07-01,1957-07-07
None,Aue,GDR,1,1479.1472168,1957-07-08,1957-07-14
None,Aue,GDR,1,1484.4095459,1957-07-15,1957-08-25
None,Aue,GDR,1,1490.94494629,1957-08-26,1957-09-01
None,Aue,GDR,1,1495.57861328,1957-09-02,1957-09-08
None,Aue,GDR,1,1493.23364258,1957-09-09,1957-09-11
None,Aue,GDR,1,1463.08422852,1957-09-12,1957-09-15
None,Aue,GDR,1,1465.68212891,1957-09-16,1957-09-22
None,Aue,GDR,1,1475.75146484,1957-09-23,1957-09-29
None,Aue,GDR,1,1482.30151367,1957-09-30,1957-10-13
None,Aue,GDR,1,1505.37304688,1957-10-14,1957-10-15
None,Aue,GDR,1,1486.15429688,1957-10-16,1957-10-20
None,Aue,GDR,1,1491.94396973,1957-10-21,1957-11-03
None,Aue,GDR,1,1485.80102539,1957-11-04,1957-11-10
None,Aue,GDR,1,1470.83093262,1957-11-11,1957-11-17
None,Aue,GDR,1,1473.99121094,1957-11-18,1957-11-20
None,Aue,GDR,1,1405.13635254,1957-11-21,1957-11-24
None,Aue,GDR,1,1386.29516602,1957-11-25,1957-11-27
None,Aue,GDR,1,1358.05725098,1957-11-28,1957-12-01
None,Aue,GDR,1,1351.2890625,1957-12-02,1957-12-07
None,Aue,GDR,1,1360.76037598,1957-12-08,1958-03-02
None,Aue,GDR,1,1359.59667969,1958-03-03,1958-03-09
None,Aue,GDR,1,1366.76135254,1958-03-10,1958-03-16
None,Aue,GDR,1,1377.32995605,1958-03-17,1958-03-23
None,Aue,GDR,1,1382.70080566,1958-03-24,1958-03-30
None,Aue,GDR,1,1369.82800293,1958-03-31,1958-04-13
None,Aue,GDR,1,1373.27905273,1958-04-14,1958-04-20
None,Aue,GDR,1,1355.78125,1958-04-21,1958-04-27
None,Aue,GDR,1,1343.26879883,1958-04-28,1958-05-18
None,Aue,GDR,1,1337.50317383,1958-05-19,1958-06-01
None,Aue,GDR,1,1340.01477051,1958-06-02,1958-06-15
None,Aue,GDR,1,1343.02111816,1958-06-16,1958-06-22
None,Aue,GDR,1,1332.57580566,1958-06-23,1958-07-06
None,Aue,GDR,1,1316.68371582,1958-07-07,1958-08-10
None,Aue,GDR,1,1321.21923828,1958-08-11,1958-08-17
None,Aue,GDR,1,1322.99890137,1958-08-18,1958-08-24
None,Aue,GDR,1,1317.00512695,1958-08-25,1958-08-31
None,Aue,GDR,1,1311.27563477,1958-09-01,1958-09-14
None,Aue,GDR,1,1316.27636719,1958-09-15,1958-09-17
None,Aue,GDR,1,1357.71789551,1958-09-18,1958-09-21
None,Aue,GDR,1,1359.96508789,1958-09-22,1958-09-28
None,Aue,GDR,1,1350.92016602,1958-09-29,1958-10-05
None,Aue,GDR,1,1355.10900879,1958-10-06,1958-10-12
None,Aue,GDR,1,1416.12792969,1958-10-13,1958-10-15
None,Aue,GDR,1,1420.51293945,1958-10-16,1958-10-19
None,Aue,GDR,1,1420.67028809,1958-10-20,1958-10-26
None,Aue,GDR,1,1427.66650391,1958-10-27,1958-11-02
None,Aue,GDR,1,1413.70141602,1958-11-03,1958-11-09
None,Aue,GDR,1,1433.52758789,1958-11-10,1958-11-15
None,Aue,GDR,1,1483.45080566,1958-11-16,1958-11-16
None,Aue,GDR,1,1477.15820312,1958-11-17,1958-11-23
None,Aue,GDR,1,1470.42150879,1958-11-24,1959-03-08
None,Aue,GDR,1,1479.47290039,1959-03-09,1959-03-11
None,Aue,GDR,1,1482.80432129,1959-03-12,1959-03-18
None,Aue,GDR,1,1476.68188477,1959-03-19,1959-03-22
None,Aue,GDR,1,1471.18127441,1959-03-23,1959-03-25
None,Aue,GDR,1,1473.76171875,1959-03-26,1959-04-01
None,Aue,GDR,1,1465.64294434,1959-04-02,1959-04-05
None,Aue,GDR,1,1452.30090332,1959-04-06,1959-04-08
None,Aue,GDR,1,1460.4050293,1959-04-09,1959-04-12
None,Aue,GDR,1,1471.32958984,1959-04-13,1959-04-19
None,Aue,GDR,1,1476.06811523,1959-04-20,1959-04-25
None,Aue,GDR,1,1486.17224121,1959-04-26,1959-05-10
None,Aue,GDR,1,1488.76831055,1959-05-11,1959-05-31
None,Aue,GDR,1,1488.3482666,1959-06-01,1959-06-07
None,Aue,GDR,1,1490.50158691,1959-06-08,1959-06-14
None,Aue,GDR,1,1489.86669922,1959-06-15,1959-07-04
None,Aue,GDR,1,1494.81567383,1959-07-05,1959-08-02
None,Aue,GDR,1,1487.09216309,1959-08-03,1959-08-09
None,Aue,GDR,1,1493.50549316,1959-08-10,1959-08-23
None,Aue,GDR,1,1496.91674805,1959-08-24,1959-08-30
None,Aue,GDR,1,1485.63183594,1959-08-31,1959-09-27
None,Aue,GDR,1,1487.54516602,1959-09-28,1959-09-30
None,Aue,GDR,1,1489.05737305,1959-10-01,1959-10-07
None,Aue,GDR,1,1486.29748535,1959-10-08,1959-10-11
None,Aue,GDR,1,1481.90917969,1959-10-12,1959-10-18
None,Aue,GDR,1,1485.33862305,1959-10-19,1959-10-25
None,Aue,GDR,1,1488.38391113,1959-10-26,1959-11-01
None,Aue,GDR,1,1479.39355469,1959-11-02,1959-11-08
None,Aue,GDR,1,1483.4987793,1959-11-09,1959-11-15
None,Aue,GDR,1,1480.80004883,1959-11-16,1959-11-22
None,Aue,GDR,1,1484.20556641,1959-11-23,1959-11-28
None,Aue,GDR,1,1495.42541504,1959-11-29,1960-03-20
None,Aue,GDR,1,1485.19482422,1960-03-21,1960-03-27
None,Aue,GDR,1,1490.62268066,1960-03-28,1960-04-03
None,Aue,GDR,1,1482.95166016,1960-04-04,1960-04-10
None,Aue,GDR,1,1477.04907227,1960-04-11,1960-04-30
None,Aue,GDR,1,1483.64660645,1960-05-01,1960-05-08
None,Aue,GDR,1,1486.15002441,1960-05-09,1960-05-22
None,Aue,GDR,1,1478.54711914,1960-05-23,1960-05-26
None,Aue,GDR,1,1485.06225586,1960-05-27,1960-05-29
None,Aue,GDR,1,1489.64111328,1960-05-30,1960-06-11
None,Aue,GDR,1,1482.67590332,1960-06-12,1960-06-18
None,Aue,GDR,1,1475.41186523,1960-06-19,1960-06-26
None,Aue,GDR,1,1486.15563965,1960-06-27,1960-07-03
None,Aue,GDR,1,1488.76904297,1960-07-04,1960-08-07
None,Aue,GDR,1,1467.80822754,1960-08-08,1960-08-28
None,Aue,GDR,1,1476.3963623,1960-08-29,1960-09-25
None,Aue,GDR,1,1462.85900879,1960-09-26,1960-10-02
None,Aue,GDR,1,1465.1060791,1960-10-03,1960-10-05
None,Aue,GDR,1,1472.00769043,1960-10-06,1960-10-09
None,Aue,GDR,1,1479.07971191,1960-10-10,1960-10-16
None,Aue,GDR,1,1482.36767578,1960-10-17,1960-10-23
None,Aue,GDR,1,1475.21923828,1960-10-24,1960-11-05
None,Aue,GDR,1,1479.94116211,1960-11-06,1960-11-09
None,Aue,GDR,1,1479.48254395,1960-11-10,1960-11-13
None,Aue,GDR,1,1481.77514648,1960-11-14,1960-11-16
None,Aue,GDR,1,1475.85107422,1960-11-17,1960-11-20
None,Aue,GDR,1,1462.52270508,1960-11-21,1960-11-23
None,Aue,GDR,1,1462.96691895,1960-11-24,1960-11-27
None,Aue,GDR,1,1442.66723633,1960-11-28,1960-12-21
None,Aue,GDR,1,1434.84802246,1960-12-22,1961-03-05
None,Aue,GDR,1,1441.39575195,1961-03-06,1961-03-12
None,Aue,GDR,1,1431.40698242,1961-03-13,1961-03-19
None,Aue,GDR,1,1435.48242188,1961-03-20,1961-03-26
None,Aue,GDR,1,1439.36279297,1961-03-27,1961-04-08
None,Aue,GDR,1,1429.44848633,1961-04-09,1961-04-15
None,Aue,GDR,1,1426.70080566,1961-04-16,1961-04-22
None,Aue,GDR,1,1428.68969727,1961-04-23,1961-04-30
None,Aue,GDR,1,1428.11901855,1961-05-01,1961-05-07
None,Aue,GDR,1,1434.02807617,1961-05-08,1961-05-13
None,Aue,GDR,1,1424.71813965,1961-05-14,1961-05-27
None,Aue,GDR,1,1414.99365234,1961-05-28,1961-06-03
None,Aue,GDR,1,1419.78820801,1961-06-04,1961-06-11
