Rank,Club,Country,Level,Elo,From,To
None,Avellino,ITA,2,1397.74902344,1973-07-01,1973-09-19
None,Avellino,ITA,2,1379.97729492,1973-09-20,1973-09-30
None,Avellino,ITA,2,1371.05737305,1973-10-01,1973-10-03
None,Avellino,ITA,2,1351.14099121,1973-10-04,1973-10-07
None,Avellino,ITA,2,1365.00366211,1973-10-08,1973-10-14
None,Avellino,ITA,2,1365.7286377,1973-10-15,1973-10-21
None,Avellino,ITA,2,1360.78588867,1973-10-22,1973-10-24
None,Avellino,ITA,2,1352.03271484,1973-10-25,1973-10-28
None,Avellino,ITA,2,1358.35168457,1973-10-29,1973-11-04
None,Avellino,ITA,2,1363.21887207,1973-11-05,1973-11-07
None,Avellino,ITA,2,1367.54882812,1973-11-08,1973-11-11
None,Avellino,ITA,2,1373.44287109,1973-11-12,1973-11-18
None,Avellino,ITA,2,1377.24536133,1973-11-19,1973-11-25
None,Avellino,ITA,2,1377.14453125,1973-11-26,1973-12-02
None,Avellino,ITA,2,1379.89904785,1973-12-03,1973-12-09
None,Avellino,ITA,2,1387.48181152,1973-12-10,1973-12-16
None,Avellino,ITA,2,1385.80725098,1973-12-17,1973-12-23
None,Avellino,ITA,2,1390.04052734,1973-12-24,1973-12-30
None,Avellino,ITA,2,1385.23461914,1973-12-31,1974-01-06
None,Avellino,ITA,2,1392.41027832,1974-01-07,1974-01-13
None,Avellino,ITA,2,1397.33837891,1974-01-14,1974-01-20
None,Avellino,ITA,2,1405.37585449,1974-01-21,1974-01-27
None,Avellino,ITA,2,1401.62390137,1974-01-28,1974-02-03
None,Avellino,ITA,2,1399.42651367,1974-02-04,1974-02-10
None,Avellino,ITA,2,1403.89819336,1974-02-11,1974-02-17
None,Avellino,ITA,2,1400.66186523,1974-02-18,1974-02-24
None,Avellino,ITA,2,1397.02026367,1974-02-25,1974-03-03
None,Avellino,ITA,2,1404.71362305,1974-03-04,1974-03-10
None,Avellino,ITA,2,1398.10168457,1974-03-11,1974-03-13
None,Avellino,ITA,2,1399.62744141,1974-03-14,1974-03-17
None,Avellino,ITA,2,1405.03405762,1974-03-18,1974-03-20
None,Avellino,ITA,2,1405.32397461,1974-03-21,1974-03-24
None,Avellino,ITA,2,1396.66442871,1974-03-25,1974-03-31
None,Avellino,ITA,2,1393.77539062,1974-04-01,1974-04-07
None,Avellino,ITA,2,1390.8984375,1974-04-08,1974-04-10
None,Avellino,ITA,2,1394.83068848,1974-04-11,1974-04-14
None,Avellino,ITA,2,1379.58483887,1974-04-15,1974-04-21
None,Avellino,ITA,2,1374.72973633,1974-04-22,1974-04-24
None,Avellino,ITA,2,1379.13586426,1974-04-25,1974-04-28
None,Avellino,ITA,2,1376.29321289,1974-04-29,1974-05-05
