Rank,Club,Country,Level,Elo,From,To
None,Bastia,FRA,1,1451.60900879,1968-09-01,1968-09-01
None,Bastia,FRA,1,1457.55627441,1968-09-02,1968-09-06
None,Bastia,FRA,1,1463.45385742,1968-09-07,1968-09-13
None,Bastia,FRA,1,1458.36132812,1968-09-14,1968-09-18
None,Bastia,FRA,1,1467.46411133,1968-09-19,1968-09-20
None,Bastia,FRA,1,1458.46118164,1968-09-21,1968-09-27
None,Bastia,FRA,1,1450.40026855,1968-09-28,1968-10-02
None,Bastia,FRA,1,1431.55078125,1968-10-03,1968-10-05
None,Bastia,FRA,1,1435.05578613,1968-10-06,1968-10-11
None,Bastia,FRA,1,1433.79406738,1968-10-12,1968-10-19
None,Bastia,FRA,1,1427.19494629,1968-10-20,1968-10-25
None,Bastia,FRA,1,1439.22937012,1968-10-26,1968-10-31
None,Bastia,FRA,1,1444.94897461,1968-11-01,1968-11-10
None,Bastia,FRA,1,1443.59851074,1968-11-11,1968-11-16
None,Bastia,FRA,1,1438.41687012,1968-11-17,1968-11-24
None,Bastia,FRA,1,1442.2121582,1968-11-25,1968-11-30
None,Bastia,FRA,1,1434.80725098,1968-12-01,1968-12-07
None,Bastia,FRA,1,1449.28674316,1968-12-08,1968-12-15
None,Bastia,FRA,1,1445.83544922,1968-12-16,1969-01-05
None,Bastia,FRA,1,1445.3560791,1969-01-06,1969-01-18
None,Bastia,FRA,1,1436.70874023,1969-01-19,1969-01-26
None,Bastia,FRA,1,1432.92773438,1969-01-27,1969-02-01
None,Bastia,FRA,1,1428.35131836,1969-02-02,1969-02-16
None,Bastia,FRA,1,1442.13916016,1969-02-17,1969-02-23
None,Bastia,FRA,1,1447.4387207,1969-02-24,1969-03-15
None,Bastia,FRA,1,1443.05566406,1969-03-16,1969-03-21
None,Bastia,FRA,1,1452.38989258,1969-03-22,1969-04-04
None,Bastia,FRA,1,1445.5032959,1969-04-05,1969-04-11
None,Bastia,FRA,1,1451.93066406,1969-04-12,1969-04-18
None,Bastia,FRA,1,1446.45922852,1969-04-19,1969-05-02
None,Bastia,FRA,1,1456.79467773,1969-05-03,1969-05-09
