Rank,Club,Country,Level,Elo,From,To
None,Besiktas,TUR,0,1517.06518555,1958-07-01,1958-11-13
None,Besiktas,TUR,0,1517.00195312,1958-11-14,1958-11-27
None,Besiktas,TUR,0,1516.09985352,1958-11-28,1959-07-04
None,Besiktas,TUR,1,1516.09985352,1959-07-05,1959-08-30
None,Besiktas,TUR,1,1521.29455566,1959-08-31,1959-09-12
None,Besiktas,TUR,1,1515.41577148,1959-09-13,1959-09-13
None,Besiktas,TUR,1,1515.54760742,1959-09-14,1959-09-23
None,Besiktas,TUR,1,1572.2298584,1959-09-24,1959-10-07
None,Besiktas,TUR,1,1573.34814453,1959-10-08,1959-10-17
None,Besiktas,TUR,1,1578.91418457,1959-10-18,1959-10-18
None,Besiktas,TUR,1,1581.82519531,1959-10-19,1959-10-21
None,Besiktas,TUR,1,1573.55895996,1959-10-22,1959-11-04
None,Besiktas,TUR,1,1575.03271484,1959-11-05,1959-11-11
None,Besiktas,TUR,1,1569.5994873,1959-11-12,1959-11-19
None,Besiktas,TUR,1,1571.58398438,1959-11-20,1959-11-21
None,Besiktas,TUR,1,1575.34033203,1959-11-22,1959-11-22
None,Besiktas,TUR,1,1580.54101562,1959-11-23,1959-11-28
None,Besiktas,TUR,1,1581.50341797,1959-11-29,1959-11-29
None,Besiktas,TUR,1,1583.40014648,1959-11-30,1959-12-02
None,Besiktas,TUR,1,1584.66821289,1959-12-03,1959-12-03
None,Besiktas,TUR,1,1582.84912109,1959-12-04,1959-12-12
None,Besiktas,TUR,1,1583.71813965,1959-12-13,1959-12-13
None,Besiktas,TUR,1,1584.70031738,1959-12-14,1959-12-23
None,Besiktas,TUR,1,1578.51391602,1959-12-24,1959-12-26
None,Besiktas,TUR,1,1581.76782227,1959-12-27,1959-12-27
None,Besiktas,TUR,1,1584.33532715,1959-12-28,1960-01-03
None,Besiktas,TUR,1,1585.67138672,1960-01-04,1960-01-30
None,Besiktas,TUR,1,1586.40368652,1960-01-31,1960-02-10
None,Besiktas,TUR,1,1587.88012695,1960-02-11,1960-02-13
None,Besiktas,TUR,1,1588.5982666,1960-02-14,1960-02-14
None,Besiktas,TUR,1,1580.69775391,1960-02-15,1960-02-20
None,Besiktas,TUR,1,1581.9708252,1960-02-21,1960-02-21
None,Besiktas,TUR,1,1582.91833496,1960-02-22,1960-02-28
None,Besiktas,TUR,1,1577.1081543,1960-02-29,1960-03-02
None,Besiktas,TUR,1,1577.78259277,1960-03-03,1960-03-09
None,Besiktas,TUR,1,1583.36547852,1960-03-10,1960-03-12
None,Besiktas,TUR,1,1576.48742676,1960-03-13,1960-03-13
None,Besiktas,TUR,1,1570.44250488,1960-03-14,1960-03-26
None,Besiktas,TUR,1,1574.34521484,1960-03-27,1960-03-27
None,Besiktas,TUR,1,1555.76367188,1960-03-28,1960-03-30
None,Besiktas,TUR,1,1559.16564941,1960-03-31,1960-04-06
None,Besiktas,TUR,1,1565.01989746,1960-04-07,1960-04-09
None,Besiktas,TUR,1,1566.10351562,1960-04-10,1960-04-10
None,Besiktas,TUR,1,1567.23803711,1960-04-11,1960-04-27
None,Besiktas,TUR,1,1570.78442383,1960-04-28,1960-06-12
None,Besiktas,TUR,1,1560.36218262,1960-06-13,1960-08-28
None,Besiktas,TUR,1,1561.86010742,1960-08-29,1960-08-30
None,Besiktas,TUR,1,1564.26086426,1960-08-31,1960-09-14
None,Besiktas,TUR,1,1554.7911377,1960-09-15,1960-09-18
None,Besiktas,TUR,1,1556.51928711,1960-09-19,1960-09-19
None,Besiktas,TUR,1,1530.71118164,1960-09-20,1960-09-21
None,Besiktas,TUR,1,1507.83178711,1960-09-22,1960-09-28
None,Besiktas,TUR,1,1507.45251465,1960-09-29,1960-10-01
None,Besiktas,TUR,1,1488.94482422,1960-10-02,1960-10-02
None,Besiktas,TUR,1,1483.08740234,1960-10-03,1960-10-08
None,Besiktas,TUR,1,1485.10412598,1960-10-09,1960-10-09
None,Besiktas,TUR,1,1486.43701172,1960-10-10,1960-10-15
None,Besiktas,TUR,1,1487.89672852,1960-10-16,1960-10-16
None,Besiktas,TUR,1,1480.77783203,1960-10-17,1960-10-22
None,Besiktas,TUR,1,1474.05615234,1960-10-23,1960-10-28
None,Besiktas,TUR,1,1466.45251465,1960-10-29,1960-10-30
None,Besiktas,TUR,1,1458.95361328,1960-10-31,1960-12-03
None,Besiktas,TUR,1,1460.72424316,1960-12-04,1960-12-04
None,Besiktas,TUR,1,1464.53857422,1960-12-05,1960-12-24
None,Besiktas,TUR,1,1467.31311035,1960-12-25,1960-12-25
None,Besiktas,TUR,1,1479.30053711,1960-12-26,1961-01-01
None,Besiktas,TUR,1,1472.32971191,1961-01-02,1961-01-14
None,Besiktas,TUR,1,1475.53503418,1961-01-15,1961-01-15
None,Besiktas,TUR,1,1472.32800293,1961-01-16,1961-02-04
None,Besiktas,TUR,1,1477.32617188,1961-02-05,1961-02-05
None,Besiktas,TUR,1,1484.11621094,1961-02-06,1961-02-19
