Rank,Club,Country,Level,Elo,From,To
None,Bielefeld,FRG,2,1324.70935059,1963-07-03,1963-08-04
None,Bielefeld,FRG,2,1340.38208008,1963-08-05,1963-08-11
None,Bielefeld,FRG,2,1354.13635254,1963-08-12,1963-08-18
None,Bielefeld,FRG,2,1351.11987305,1963-08-19,1963-08-25
None,Bielefeld,FRG,2,1364.38476562,1963-08-26,1963-09-01
None,Bielefeld,FRG,2,1373.72888184,1963-09-02,1963-09-08
None,Bielefeld,FRG,2,1360.90161133,1963-09-09,1963-09-11
None,Bielefeld,FRG,2,1361.15148926,1963-09-12,1963-09-15
None,Bielefeld,FRG,2,1370.08825684,1963-09-16,1963-09-22
None,Bielefeld,FRG,2,1370.95227051,1963-09-23,1963-09-25
None,Bielefeld,FRG,2,1370.98425293,1963-09-26,1963-09-29
None,Bielefeld,FRG,2,1369.19897461,1963-09-30,1963-10-02
None,Bielefeld,FRG,2,1369.2331543,1963-10-03,1963-10-06
None,Bielefeld,FRG,2,1385.09924316,1963-10-07,1963-10-13
None,Bielefeld,FRG,2,1389.3515625,1963-10-14,1963-10-27
None,Bielefeld,FRG,2,1386.11706543,1963-10-28,1963-11-03
None,Bielefeld,FRG,2,1374.81567383,1963-11-04,1963-11-06
None,Bielefeld,FRG,2,1377.80200195,1963-11-07,1963-11-10
None,Bielefeld,FRG,2,1390.1619873,1963-11-11,1963-11-17
None,Bielefeld,FRG,2,1392.14074707,1963-11-18,1963-11-20
None,Bielefeld,FRG,2,1399.42199707,1963-11-21,1963-11-24
None,Bielefeld,FRG,2,1389.65002441,1963-11-25,1963-12-01
None,Bielefeld,FRG,2,1396.39611816,1963-12-02,1963-12-04
None,Bielefeld,FRG,2,1422.59326172,1963-12-05,1963-12-08
None,Bielefeld,FRG,2,1417.78344727,1963-12-09,1963-12-11
None,Bielefeld,FRG,2,1410.72814941,1963-12-12,1963-12-15
None,Bielefeld,FRG,2,1401.16027832,1963-12-16,1963-12-18
None,Bielefeld,FRG,2,1414.96508789,1963-12-19,1963-12-29
None,Bielefeld,FRG,2,1419.25231934,1963-12-30,1964-01-05
None,Bielefeld,FRG,2,1411.4161377,1964-01-06,1964-01-12
None,Bielefeld,FRG,2,1398.92626953,1964-01-13,1964-01-19
None,Bielefeld,FRG,2,1401.65380859,1964-01-20,1964-01-26
None,Bielefeld,FRG,2,1398.75244141,1964-01-27,1964-02-02
None,Bielefeld,FRG,2,1393.88903809,1964-02-03,1964-02-16
None,Bielefeld,FRG,2,1400.03771973,1964-02-17,1964-02-23
None,Bielefeld,FRG,2,1391.34130859,1964-02-24,1964-03-01
None,Bielefeld,FRG,2,1382.07702637,1964-03-02,1964-03-04
