Rank,Club,Country,Level,Elo,From,To
None,Boulogne,FRA,2,1387.08361816,2007-07-01,2007-07-27
None,Boulogne,FRA,2,1382.86987305,2007-07-28,2007-08-03
None,Boulogne,FRA,2,1388.42114258,2007-08-04,2007-08-10
None,Boulogne,FRA,2,1399.75817871,2007-08-11,2007-08-15
None,Boulogne,FRA,2,1398.71313477,2007-08-16,2007-08-16
None,Boulogne,FRA,2,1399.41906738,2007-08-17,2007-08-17
None,Boulogne,FRA,2,1394.30065918,2007-08-18,2007-08-24
None,Boulogne,FRA,2,1399.84570312,2007-08-25,2007-08-28
None,Boulogne,FRA,2,1398.65014648,2007-08-29,2007-08-30
None,Boulogne,FRA,2,1401.63171387,2007-08-31,2007-08-31
None,Boulogne,FRA,2,1408.19128418,2007-09-01,2007-09-14
None,Boulogne,FRA,2,1395.59851074,2007-09-15,2007-09-18
None,Boulogne,FRA,2,1397.62219238,2007-09-19,2007-09-19
None,Boulogne,FRA,2,1393.96826172,2007-09-20,2007-09-20
None,Boulogne,FRA,2,1386.81762695,2007-09-21,2007-09-21
None,Boulogne,FRA,2,1383.31652832,2007-09-22,2007-09-28
None,Boulogne,FRA,2,1390.44702148,2007-09-29,2007-10-02
None,Boulogne,FRA,2,1384.46850586,2007-10-03,2007-10-03
None,Boulogne,FRA,2,1389.78991699,2007-10-04,2007-10-04
None,Boulogne,FRA,2,1391.0177002,2007-10-05,2007-10-05
None,Boulogne,FRA,2,1380.31958008,2007-10-06,2007-10-19
None,Boulogne,FRA,2,1373.3581543,2007-10-20,2007-10-23
None,Boulogne,FRA,2,1376.75012207,2007-10-24,2007-10-24
None,Boulogne,FRA,2,1376.97680664,2007-10-25,2007-10-25
None,Boulogne,FRA,2,1374.70288086,2007-10-26,2007-10-26
None,Boulogne,FRA,2,1374.02770996,2007-10-27,2007-11-02
None,Boulogne,FRA,2,1375.8137207,2007-11-03,2007-11-05
None,Boulogne,FRA,2,1400.59924316,2007-11-06,2007-11-06
None,Boulogne,FRA,2,1399.51293945,2007-11-07,2007-11-07
None,Boulogne,FRA,2,1400.83190918,2007-11-08,2007-11-08
None,Boulogne,FRA,2,1395.9041748,2007-11-09,2007-11-09
None,Boulogne,FRA,2,1412.98156738,2007-11-10,2007-11-27
None,Boulogne,FRA,2,1413.18029785,2007-11-28,2007-11-28
None,Boulogne,FRA,2,1410.50170898,2007-11-29,2007-11-29
None,Boulogne,FRA,2,1405.69177246,2007-11-30,2007-11-30
None,Boulogne,FRA,2,1399.33764648,2007-12-01,2007-12-06
None,Boulogne,FRA,2,1399.91662598,2007-12-07,2007-12-07
None,Boulogne,FRA,2,1412.94750977,2007-12-08,2007-12-11
None,Boulogne,FRA,2,1409.14685059,2007-12-12,2007-12-12
None,Boulogne,FRA,2,1412.96936035,2007-12-13,2007-12-19
None,Boulogne,FRA,2,1417.39807129,2007-12-20,2007-12-20
None,Boulogne,FRA,2,1415.95739746,2007-12-21,2007-12-21
None,Boulogne,FRA,2,1426.27392578,2007-12-22,2008-01-11
None,Boulogne,FRA,2,1425.64257812,2008-01-12,2008-01-18
None,Boulogne,FRA,2,1417.36682129,2008-01-19,2008-01-25
None,Boulogne,FRA,2,1404.4005127,2008-01-26,2008-02-08
None,Boulogne,FRA,2,1399.03466797,2008-02-09,2008-02-13
None,Boulogne,FRA,2,1401.60058594,2008-02-14,2008-02-15
None,Boulogne,FRA,2,1394.96691895,2008-02-16,2008-02-20
None,Boulogne,FRA,2,1394.57519531,2008-02-21,2008-02-21
None,Boulogne,FRA,2,1388.43041992,2008-02-22,2008-02-22
None,Boulogne,FRA,2,1383.60791016,2008-02-23,2008-02-29
None,Boulogne,FRA,2,1392.18652344,2008-03-01,2008-03-04
None,Boulogne,FRA,2,1391.08337402,2008-03-05,2008-03-06
None,Boulogne,FRA,2,1394.03234863,2008-03-07,2008-03-07
None,Boulogne,FRA,2,1385.01586914,2008-03-08,2008-03-12
None,Boulogne,FRA,2,1378.93615723,2008-03-13,2008-03-14
None,Boulogne,FRA,2,1369.9777832,2008-03-15,2008-03-24
None,Boulogne,FRA,2,1366.88903809,2008-03-25,2008-03-28
None,Boulogne,FRA,2,1379.37573242,2008-03-29,2008-04-04
None,Boulogne,FRA,2,1389.00634766,2008-04-05,2008-04-11
