Rank,Club,Country,Level,Elo,From,To
None,Braga,POR,1,1264.5748291,1947-11-16,1947-11-16
None,Braga,POR,1,1263.69458008,1947-11-17,1947-11-29
None,Braga,POR,1,1245.69458008,1947-11-30,1947-11-30
None,Braga,POR,1,1249.95043945,1947-12-01,1947-12-07
None,Braga,POR,1,1254.93286133,1947-12-08,1947-12-14
None,Braga,POR,1,1245.45300293,1947-12-15,1947-12-21
None,Braga,POR,1,1241.22937012,1947-12-22,1947-12-28
None,Braga,POR,1,1229.125,1947-12-29,1948-01-01
None,Braga,POR,1,1228.84484863,1948-01-02,1948-01-04
None,Braga,POR,1,1244.91137695,1948-01-05,1948-01-11
None,Braga,POR,1,1239.64978027,1948-01-12,1948-01-18
None,Braga,POR,1,1236.43139648,1948-01-19,1948-02-01
None,Braga,POR,1,1232.89086914,1948-02-02,1948-02-08
None,Braga,POR,1,1228.49633789,1948-02-09,1948-02-15
None,Braga,POR,1,1225.49304199,1948-02-16,1948-02-22
None,Braga,POR,1,1232.3260498,1948-02-23,1948-02-29
None,Braga,POR,1,1228.2265625,1948-03-01,1948-03-07
None,Braga,POR,1,1236.17163086,1948-03-08,1948-03-14
None,Braga,POR,1,1235.37207031,1948-03-15,1948-03-22
None,Braga,POR,1,1230.37207031,1948-03-23,1948-03-28
None,Braga,POR,1,1240.95141602,1948-03-29,1948-04-04
None,Braga,POR,1,1238.66149902,1948-04-05,1948-04-11
None,Braga,POR,1,1235.59912109,1948-04-12,1948-04-18
None,Braga,POR,1,1232.81188965,1948-04-19,1948-04-25
None,Braga,POR,1,1241.08972168,1948-04-26,1948-05-02
None,Braga,POR,1,1234.45898438,1948-05-03,1948-05-09
None,Braga,POR,1,1232.57824707,1948-05-10,1948-05-16
None,Braga,POR,1,1238.62744141,1948-05-17,1948-05-26
None,Braga,POR,1,1249.62744141,1948-05-27,1948-05-30
None,Braga,POR,1,1248.24267578,1948-05-31,1948-09-19
None,Braga,POR,1,1261.18847656,1948-09-20,1948-09-26
None,Braga,POR,1,1265.04724121,1948-09-27,1948-10-03
None,Braga,POR,1,1281.52075195,1948-10-04,1948-10-10
None,Braga,POR,1,1279.06335449,1948-10-11,1948-10-17
None,Braga,POR,1,1276.56311035,1948-10-18,1948-10-24
None,Braga,POR,1,1290.81103516,1948-10-25,1948-10-31
None,Braga,POR,1,1287.25366211,1948-11-01,1948-11-07
None,Braga,POR,1,1283.75500488,1948-11-08,1948-11-14
None,Braga,POR,1,1279.19995117,1948-11-15,1948-11-21
None,Braga,POR,1,1284.15393066,1948-11-22,1948-11-28
None,Braga,POR,1,1274.15197754,1948-11-29,1948-12-05
None,Braga,POR,1,1272.13330078,1948-12-06,1948-12-12
None,Braga,POR,1,1269.02197266,1948-12-13,1948-12-25
None,Braga,POR,1,1275.39001465,1948-12-26,1949-01-02
None,Braga,POR,1,1268.65759277,1949-01-03,1949-01-09
None,Braga,POR,1,1282.83862305,1949-01-10,1949-01-16
None,Braga,POR,1,1279.84777832,1949-01-17,1949-01-23
None,Braga,POR,1,1285.28955078,1949-01-24,1949-01-30
None,Braga,POR,1,1284.6036377,1949-01-31,1949-02-06
None,Braga,POR,1,1293.57055664,1949-02-07,1949-02-13
None,Braga,POR,1,1288.07067871,1949-02-14,1949-02-21
None,Braga,POR,1,1292.45410156,1949-02-22,1949-03-05
None,Braga,POR,1,1290.45410156,1949-03-06,1949-03-06
None,Braga,POR,1,1283.71655273,1949-03-07,1949-03-26
None,Braga,POR,1,1286.71655273,1949-03-27,1949-03-27
None,Braga,POR,1,1283.93261719,1949-03-28,1949-04-03
None,Braga,POR,1,1299.76135254,1949-04-04,1949-04-10
None,Braga,POR,1,1298.64489746,1949-04-11,1949-05-20
None,Braga,POR,1,1308.64489746,1949-05-21,1949-05-25
None,Braga,POR,1,1299.64489746,1949-05-26,1949-06-29
None,Braga,POR,1,1387.83740234,1949-06-30,1949-07-03
None,Braga,POR,1,1361.94482422,1949-07-04,1949-10-09
None,Braga,POR,1,1358.07189941,1949-10-10,1949-10-16
None,Braga,POR,1,1350.58911133,1949-10-17,1949-10-23
None,Braga,POR,1,1358.85070801,1949-10-24,1949-10-30
None,Braga,POR,1,1354.79089355,1949-10-31,1949-11-06
None,Braga,POR,1,1358.93566895,1949-11-07,1949-11-13
None,Braga,POR,1,1373.44018555,1949-11-14,1949-11-20
None,Braga,POR,1,1379.07592773,1949-11-21,1949-11-27
None,Braga,POR,1,1375.63085938,1949-11-28,1949-12-04
None,Braga,POR,1,1393.97583008,1949-12-05,1949-12-11
None,Braga,POR,1,1389.86010742,1949-12-12,1949-12-18
None,Braga,POR,1,1385.49353027,1949-12-19,1949-12-25
None,Braga,POR,1,1392.05737305,1949-12-26,1950-01-08
None,Braga,POR,1,1390.62341309,1950-01-09,1950-01-15
None,Braga,POR,1,1389.92089844,1950-01-16,1950-01-29
None,Braga,POR,1,1393.69897461,1950-01-30,1950-02-05
None,Braga,POR,1,1386.47302246,1950-02-06,1950-02-12
None,Braga,POR,1,1382.3026123,1950-02-13,1950-02-19
None,Braga,POR,1,1393.09912109,1950-02-20,1950-02-26
None,Braga,POR,1,1382.35644531,1950-02-27,1950-03-05
None,Braga,POR,1,1381.60351562,1950-03-06,1950-03-12
None,Braga,POR,1,1385.71081543,1950-03-13,1950-03-19
None,Braga,POR,1,1382.18310547,1950-03-20,1950-04-16
None,Braga,POR,1,1387.52758789,1950-04-17,1950-04-23
None,Braga,POR,1,1391.62011719,1950-04-24,1950-04-30
None,Braga,POR,1,1388.09606934,1950-05-01,1950-05-07
None,Braga,POR,1,1395.48327637,1950-05-08,1950-06-14
None,Braga,POR,1,1422.41772461,1950-06-15,1950-06-17
None,Braga,POR,1,1407.39257812,1950-06-18,1950-06-18
None,Braga,POR,1,1413.75695801,1950-06-19,1950-09-17
None,Braga,POR,1,1423.23266602,1950-09-18,1950-09-24
None,Braga,POR,1,1428.50024414,1950-09-25,1950-10-01
None,Braga,POR,1,1427.13684082,1950-10-02,1950-10-08
None,Braga,POR,1,1423.28259277,1950-10-09,1950-10-15
None,Braga,POR,1,1418.94812012,1950-10-16,1950-10-22
None,Braga,POR,1,1423.02099609,1950-10-23,1950-10-29
None,Braga,POR,1,1421.93249512,1950-10-30,1950-11-05
None,Braga,POR,1,1415.07556152,1950-11-06,1950-11-12
None,Braga,POR,1,1419.79956055,1950-11-13,1950-11-19
None,Braga,POR,1,1412.19519043,1950-11-20,1950-11-26
None,Braga,POR,1,1398.57421875,1950-11-27,1950-12-03
None,Braga,POR,1,1395.50866699,1950-12-04,1950-12-10
None,Braga,POR,1,1401.47924805,1950-12-11,1950-12-17
None,Braga,POR,1,1387.36682129,1950-12-18,1950-12-31
None,Braga,POR,1,1392.38635254,1951-01-01,1951-01-07
None,Braga,POR,1,1407.78320312,1951-01-08,1951-01-14
None,Braga,POR,1,1406.54394531,1951-01-15,1951-01-21
None,Braga,POR,1,1404.60327148,1951-01-22,1951-01-28
None,Braga,POR,1,1409.03381348,1951-01-29,1951-02-04
None,Braga,POR,1,1407.26855469,1951-02-05,1951-02-11
None,Braga,POR,1,1414.14892578,1951-02-12,1951-02-18
None,Braga,POR,1,1434.67346191,1951-02-19,1951-02-25
None,Braga,POR,1,1439.39477539,1951-02-26,1951-03-04
None,Braga,POR,1,1434.41601562,1951-03-05,1951-03-11
None,Braga,POR,1,1437.47705078,1951-03-12,1951-03-18
None,Braga,POR,1,1440.9284668,1951-03-19,1951-06-21
None,Braga,POR,1,1426.57824707,1951-06-22,1951-06-22
None,Braga,POR,1,1388.76647949,1951-06-23,1951-06-24
None,Braga,POR,1,1368.40258789,1951-06-25,1951-09-23
None,Braga,POR,1,1348.99731445,1951-09-24,1951-09-30
None,Braga,POR,1,1345.88757324,1951-10-01,1951-10-07
