Rank,Club,Country,Level,Elo,From,To
None,Bucaspor,TUR,1,1401.59411621,2010-07-01,2010-07-15
None,Bucaspor,TUR,1,1401.60424805,2010-07-16,2010-07-22
None,Bucaspor,TUR,1,1401.60888672,2010-07-23,2010-07-28
None,Bucaspor,TUR,1,1402.66564941,2010-07-29,2010-07-29
None,Bucaspor,TUR,1,1400.65063477,2010-07-30,2010-08-04
None,Bucaspor,TUR,1,1391.92626953,2010-08-05,2010-08-05
None,Bucaspor,TUR,1,1399.6105957,2010-08-06,2010-08-14
None,Bucaspor,TUR,1,1395.44311523,2010-08-15,2010-08-17
None,Bucaspor,TUR,1,1395.78088379,2010-08-18,2010-08-19
None,Bucaspor,TUR,1,1389.2479248,2010-08-20,2010-08-23
None,Bucaspor,TUR,1,1392.47998047,2010-08-24,2010-08-26
None,Bucaspor,TUR,1,1385.75744629,2010-08-27,2010-08-28
None,Bucaspor,TUR,1,1397.20336914,2010-08-29,2010-09-11
None,Bucaspor,TUR,1,1399.20288086,2010-09-12,2010-09-14
None,Bucaspor,TUR,1,1393.64916992,2010-09-15,2010-09-16
None,Bucaspor,TUR,1,1394.69824219,2010-09-17,2010-09-18
None,Bucaspor,TUR,1,1389.61853027,2010-09-19,2010-09-24
None,Bucaspor,TUR,1,1387.69726562,2010-09-25,2010-09-29
None,Bucaspor,TUR,1,1384.56359863,2010-09-30,2010-09-30
None,Bucaspor,TUR,1,1388.53283691,2010-10-01,2010-10-01
None,Bucaspor,TUR,1,1387.90112305,2010-10-02,2010-10-16
None,Bucaspor,TUR,1,1380.55383301,2010-10-17,2010-10-20
None,Bucaspor,TUR,1,1380.015625,2010-10-21,2010-10-21
None,Bucaspor,TUR,1,1377.02233887,2010-10-22,2010-10-22
None,Bucaspor,TUR,1,1380.18359375,2010-10-23,2010-10-31
None,Bucaspor,TUR,1,1369.77770996,2010-11-01,2010-11-02
None,Bucaspor,TUR,1,1367.47302246,2010-11-03,2010-11-04
None,Bucaspor,TUR,1,1371.02734375,2010-11-05,2010-11-06
None,Bucaspor,TUR,1,1361.67980957,2010-11-07,2010-11-13
None,Bucaspor,TUR,1,1362.1619873,2010-11-14,2010-11-22
None,Bucaspor,TUR,1,1358.91589355,2010-11-23,2010-11-24
None,Bucaspor,TUR,1,1356.25109863,2010-11-25,2010-11-28
None,Bucaspor,TUR,1,1365.83935547,2010-11-29,2010-12-02
None,Bucaspor,TUR,1,1368.38842773,2010-12-03,2010-12-03
None,Bucaspor,TUR,1,1365.57946777,2010-12-04,2010-12-07
None,Bucaspor,TUR,1,1364.32507324,2010-12-08,2010-12-11
None,Bucaspor,TUR,1,1363.49487305,2010-12-12,2010-12-15
None,Bucaspor,TUR,1,1366.40698242,2010-12-16,2010-12-18
None,Bucaspor,TUR,1,1361.74658203,2010-12-19,2011-01-21
None,Bucaspor,TUR,1,1357.7833252,2011-01-22,2011-01-29
None,Bucaspor,TUR,1,1369.90869141,2011-01-30,2011-02-06
None,Bucaspor,TUR,1,1364.6217041,2011-02-07,2011-02-12
None,Bucaspor,TUR,1,1370.9107666,2011-02-13,2011-02-17
None,Bucaspor,TUR,1,1366.14685059,2011-02-18,2011-02-19
None,Bucaspor,TUR,1,1363.02685547,2011-02-20,2011-02-24
None,Bucaspor,TUR,1,1361.4432373,2011-02-25,2011-02-25
None,Bucaspor,TUR,1,1355.6652832,2011-02-26,2011-03-06
None,Bucaspor,TUR,1,1351.97558594,2011-03-07,2011-03-13
None,Bucaspor,TUR,1,1362.86865234,2011-03-14,2011-03-20
None,Bucaspor,TUR,1,1345.51098633,2011-03-21,2011-04-03
None,Bucaspor,TUR,1,1341.6986084,2011-04-04,2011-04-09
None,Bucaspor,TUR,1,1350.31628418,2011-04-10,2011-04-16
None,Bucaspor,TUR,1,1343.74047852,2011-04-17,2011-04-24
None,Bucaspor,TUR,1,1340.41931152,2011-04-25,2011-04-30
None,Bucaspor,TUR,1,1344.95581055,2011-05-01,2011-05-08
None,Bucaspor,TUR,1,1342.14257812,2011-05-09,2011-05-14
None,Bucaspor,TUR,1,1335.1998291,2011-05-15,2011-05-21
None,Bucaspor,TUR,1,1337.15344238,2011-05-22,2011-07-02


