Rank,Club,Country,Level,Elo,From,To
None,Bueyueksehir,TUR,1,1382.17663574,2007-07-01,2007-08-01
None,Bueyueksehir,TUR,1,1382.43054199,2007-08-02,2007-08-08
None,Bueyueksehir,TUR,1,1383.9675293,2007-08-09,2007-08-10
None,Bueyueksehir,TUR,1,1402.2121582,2007-08-11,2007-08-15
None,Bueyueksehir,TUR,1,1406.95019531,2007-08-16,2007-08-16
None,Bueyueksehir,TUR,1,1410.33203125,2007-08-17,2007-08-19
None,Bueyueksehir,TUR,1,1405.42358398,2007-08-20,2007-08-26
None,Bueyueksehir,TUR,1,1411.46826172,2007-08-27,2007-08-29
None,Bueyueksehir,TUR,1,1425.35400391,2007-08-30,2007-08-30
None,Bueyueksehir,TUR,1,1431.91247559,2007-08-31,2007-09-01
None,Bueyueksehir,TUR,1,1423.02770996,2007-09-02,2007-09-16
None,Bueyueksehir,TUR,1,1430.27648926,2007-09-17,2007-09-18
None,Bueyueksehir,TUR,1,1427.40808105,2007-09-19,2007-09-19
None,Bueyueksehir,TUR,1,1432.82397461,2007-09-20,2007-09-20
None,Bueyueksehir,TUR,1,1430.16064453,2007-09-21,2007-09-21
None,Bueyueksehir,TUR,1,1424.66772461,2007-09-22,2007-09-30
None,Bueyueksehir,TUR,1,1436.52087402,2007-10-01,2007-10-02
None,Bueyueksehir,TUR,1,1437.25720215,2007-10-03,2007-10-03
None,Bueyueksehir,TUR,1,1434.29199219,2007-10-04,2007-10-04
None,Bueyueksehir,TUR,1,1439.37402344,2007-10-05,2007-10-07
None,Bueyueksehir,TUR,1,1433.77368164,2007-10-08,2007-10-20
None,Bueyueksehir,TUR,1,1441.71520996,2007-10-21,2007-10-23
None,Bueyueksehir,TUR,1,1443.63342285,2007-10-24,2007-10-24
None,Bueyueksehir,TUR,1,1449.68591309,2007-10-25,2007-10-25
None,Bueyueksehir,TUR,1,1447.45605469,2007-10-26,2007-10-28
None,Bueyueksehir,TUR,1,1454.06311035,2007-10-29,2007-11-04
None,Bueyueksehir,TUR,1,1454.54174805,2007-11-05,2007-11-06
None,Bueyueksehir,TUR,1,1451.99523926,2007-11-07,2007-11-07
None,Bueyueksehir,TUR,1,1456.20568848,2007-11-08,2007-11-08
None,Bueyueksehir,TUR,1,1449.13269043,2007-11-09,2007-11-10
None,Bueyueksehir,TUR,1,1452.18676758,2007-11-11,2007-11-24
None,Bueyueksehir,TUR,1,1439.72265625,2007-11-25,2007-11-27
None,Bueyueksehir,TUR,1,1437.90612793,2007-11-28,2007-11-28
None,Bueyueksehir,TUR,1,1441.64733887,2007-11-29,2007-11-29
None,Bueyueksehir,TUR,1,1447.1661377,2007-11-30,2007-12-02
None,Bueyueksehir,TUR,1,1454.24316406,2007-12-03,2007-12-09
None,Bueyueksehir,TUR,1,1452.74938965,2007-12-10,2007-12-11
None,Bueyueksehir,TUR,1,1451.09741211,2007-12-12,2007-12-12
None,Bueyueksehir,TUR,1,1453.75598145,2007-12-13,2007-12-15
None,Bueyueksehir,TUR,1,1449.59484863,2007-12-16,2007-12-19
None,Bueyueksehir,TUR,1,1446.09020996,2007-12-20,2007-12-23
None,Bueyueksehir,TUR,1,1436.24536133,2007-12-24,2008-01-13
None,Bueyueksehir,TUR,1,1444.22265625,2008-01-14,2008-01-19
