Rank,Club,Country,Level,Elo,From,To
None,Bursaspor,TUR,1,1174.38183594,1967-07-02,1967-09-10
None,Bursaspor,TUR,1,1170.69445801,1967-09-11,1967-09-13
None,Bursaspor,TUR,1,1164.26269531,1967-09-14,1967-09-19
None,Bursaspor,TUR,1,1159.96069336,1967-09-20,1967-09-20
None,Bursaspor,TUR,1,1158.40087891,1967-09-21,1967-10-01
None,Bursaspor,TUR,1,1150.84912109,1967-10-02,1967-10-08
None,Bursaspor,TUR,1,1154.04370117,1967-10-09,1967-10-11
None,Bursaspor,TUR,1,1154.55371094,1967-10-12,1967-10-15
None,Bursaspor,TUR,1,1158.85437012,1967-10-16,1967-10-21
None,Bursaspor,TUR,1,1161.5513916,1967-10-22,1967-10-29
None,Bursaspor,TUR,1,1167.10412598,1967-10-30,1967-11-05
None,Bursaspor,TUR,1,1164.37182617,1967-11-06,1967-11-12
None,Bursaspor,TUR,1,1172.57849121,1967-11-13,1967-11-19
None,Bursaspor,TUR,1,1177.88183594,1967-11-20,1967-12-03
None,Bursaspor,TUR,1,1175.18457031,1967-12-04,1967-12-10
None,Bursaspor,TUR,1,1181.33508301,1967-12-11,1967-12-16
None,Bursaspor,TUR,1,1184.21264648,1967-12-17,1967-12-23
None,Bursaspor,TUR,1,1187.50256348,1967-12-24,1967-12-31
None,Bursaspor,TUR,1,1195.84594727,1968-01-01,1968-01-06
None,Bursaspor,TUR,1,1199.04406738,1968-01-07,1968-01-14
None,Bursaspor,TUR,1,1209.17126465,1968-01-15,1968-02-04
None,Bursaspor,TUR,1,1216.39831543,1968-02-05,1968-02-11
None,Bursaspor,TUR,1,1207.61462402,1968-02-12,1968-02-24
None,Bursaspor,TUR,1,1210.85058594,1968-02-25,1968-03-03
None,Bursaspor,TUR,1,1220.11047363,1968-03-04,1968-03-10
None,Bursaspor,TUR,1,1226.2512207,1968-03-11,1968-03-17
None,Bursaspor,TUR,1,1230.71191406,1968-03-18,1968-03-24
None,Bursaspor,TUR,1,1231.10949707,1968-03-25,1968-03-31
None,Bursaspor,TUR,1,1224.14172363,1968-04-01,1968-04-07
None,Bursaspor,TUR,1,1209.68322754,1968-04-08,1968-04-14
None,Bursaspor,TUR,1,1209.65625,1968-04-15,1968-04-20
None,Bursaspor,TUR,1,1199.83056641,1968-04-21,1968-04-28
None,Bursaspor,TUR,1,1194.16894531,1968-04-29,1968-05-05
None,Bursaspor,TUR,1,1192.28186035,1968-05-06,1968-05-12
None,Bursaspor,TUR,1,1197.6348877,1968-05-13,1968-05-18
None,Bursaspor,TUR,1,1185.47253418,1968-05-19,1968-05-26
None,Bursaspor,TUR,1,1197.87817383,1968-05-27,1968-09-15
None,Bursaspor,TUR,1,1192.12756348,1968-09-16,1968-09-18
None,Bursaspor,TUR,1,1204.15087891,1968-09-19,1968-09-22
None,Bursaspor,TUR,1,1208.75036621,1968-09-23,1968-09-29
None,Bursaspor,TUR,1,1210.73937988,1968-09-30,1968-10-02
None,Bursaspor,TUR,1,1218.67871094,1968-10-03,1968-10-06
None,Bursaspor,TUR,1,1227.33178711,1968-10-07,1968-10-13
None,Bursaspor,TUR,1,1233.40124512,1968-10-14,1968-10-27
None,Bursaspor,TUR,1,1238.42871094,1968-10-28,1968-11-03
None,Bursaspor,TUR,1,1233.47436523,1968-11-04,1968-11-13
None,Bursaspor,TUR,1,1232.25024414,1968-11-14,1968-11-17
None,Bursaspor,TUR,1,1229.39697266,1968-11-18,1968-11-24
None,Bursaspor,TUR,1,1223.55078125,1968-11-25,1968-11-28
None,Bursaspor,TUR,1,1221.81054688,1968-11-29,1968-12-01
None,Bursaspor,TUR,1,1219.71459961,1968-12-02,1968-12-15
None,Bursaspor,TUR,1,1213.08288574,1968-12-16,1968-12-22
None,Bursaspor,TUR,1,1218.3494873,1968-12-23,1968-12-28
None,Bursaspor,TUR,1,1219.59362793,1968-12-29,1969-01-05
None,Bursaspor,TUR,1,1228.31262207,1969-01-06,1969-01-12
None,Bursaspor,TUR,1,1221.27648926,1969-01-13,1969-02-16
None,Bursaspor,TUR,1,1226.78771973,1969-02-17,1969-02-22
None,Bursaspor,TUR,1,1219.07116699,1969-02-23,1969-03-03
None,Bursaspor,TUR,1,1226.74121094,1969-03-04,1969-03-09
None,Bursaspor,TUR,1,1219.7869873,1969-03-10,1969-03-16
None,Bursaspor,TUR,1,1220.73400879,1969-03-17,1969-03-23
None,Bursaspor,TUR,1,1214.13330078,1969-03-24,1969-03-30
None,Bursaspor,TUR,1,1215.67651367,1969-03-31,1969-04-06
None,Bursaspor,TUR,1,1220.50878906,1969-04-07,1969-04-13
None,Bursaspor,TUR,1,1225.78027344,1969-04-14,1969-04-19
None,Bursaspor,TUR,1,1219.97644043,1969-04-20,1969-04-27
None,Bursaspor,TUR,1,1225.84753418,1969-04-28,1969-05-03
None,Bursaspor,TUR,1,1216.01635742,1969-05-04,1969-05-11
None,Bursaspor,TUR,1,1221.51379395,1969-05-12,1969-05-17
None,Bursaspor,TUR,1,1236.79272461,1969-05-18,1969-05-25
None,Bursaspor,TUR,1,1250.65600586,1969-05-26,1969-09-17
None,Bursaspor,TUR,1,1262.79418945,1969-09-18,1969-09-21
None,Bursaspor,TUR,1,1247.02050781,1969-09-22,1969-09-28
None,Bursaspor,TUR,1,1239.72741699,1969-09-29,1969-10-01
None,Bursaspor,TUR,1,1248.69885254,1969-10-02,1969-10-05
None,Bursaspor,TUR,1,1250.54284668,1969-10-06,1969-10-19
None,Bursaspor,TUR,1,1250.85119629,1969-10-20,1969-10-26
None,Bursaspor,TUR,1,1242.13684082,1969-10-27,1969-11-02
None,Bursaspor,TUR,1,1248.5357666,1969-11-03,1969-11-08
None,Bursaspor,TUR,1,1242.31054688,1969-11-09,1969-11-12
None,Bursaspor,TUR,1,1260.96264648,1969-11-13,1969-11-26
None,Bursaspor,TUR,1,1284.10058594,1969-11-27,1969-11-30
None,Bursaspor,TUR,1,1290.6036377,1969-12-01,1969-12-06
None,Bursaspor,TUR,1,1285.67785645,1969-12-07,1969-12-14
None,Bursaspor,TUR,1,1299.92590332,1969-12-15,1969-12-20
None,Bursaspor,TUR,1,1295.64807129,1969-12-21,1969-12-28
None,Bursaspor,TUR,1,1288.52990723,1969-12-29,1970-01-04
None,Bursaspor,TUR,1,1296.46118164,1970-01-05,1970-01-11
None,Bursaspor,TUR,1,1290.1192627,1970-01-12,1970-01-18
None,Bursaspor,TUR,1,1288.80529785,1970-01-19,1970-02-22
None,Bursaspor,TUR,1,1284.63134766,1970-02-23,1970-03-01
None,Bursaspor,TUR,1,1298.43017578,1970-03-02,1970-03-04
None,Bursaspor,TUR,1,1296.04296875,1970-03-05,1970-03-08
None,Bursaspor,TUR,1,1300.72143555,1970-03-09,1970-03-14
None,Bursaspor,TUR,1,1305.35546875,1970-03-15,1970-03-18
None,Bursaspor,TUR,1,1302.73510742,1970-03-19,1970-03-22
None,Bursaspor,TUR,1,1298.12670898,1970-03-23,1970-03-28
None,Bursaspor,TUR,1,1299.64855957,1970-03-29,1970-04-05
None,Bursaspor,TUR,1,1304.20373535,1970-04-06,1970-04-12
None,Bursaspor,TUR,1,1299.98632812,1970-04-13,1970-04-18
None,Bursaspor,TUR,1,1302.20788574,1970-04-19,1970-04-26
None,Bursaspor,TUR,1,1308.37854004,1970-04-27,1970-05-03
None,Bursaspor,TUR,1,1314.06945801,1970-05-04,1970-05-10
None,Bursaspor,TUR,1,1315.04248047,1970-05-11,1970-05-17
None,Bursaspor,TUR,1,1319.15368652,1970-05-18,1970-05-23
None,Bursaspor,TUR,1,1320.20568848,1970-05-24,1970-05-31
None,Bursaspor,TUR,1,1328.21691895,1970-06-01,1970-09-16
None,Bursaspor,TUR,1,1319.90930176,1970-09-17,1970-09-20
None,Bursaspor,TUR,1,1326.71484375,1970-09-21,1970-09-23
None,Bursaspor,TUR,1,1326.70581055,1970-09-24,1970-09-27
None,Bursaspor,TUR,1,1330.9017334,1970-09-28,1970-09-30
None,Bursaspor,TUR,1,1331.171875,1970-10-01,1970-10-04
None,Bursaspor,TUR,1,1335.20385742,1970-10-05,1970-10-11
None,Bursaspor,TUR,1,1338.05126953,1970-10-12,1970-10-21
None,Bursaspor,TUR,1,1335.36584473,1970-10-22,1970-10-24
None,Bursaspor,TUR,1,1324.57739258,1970-10-25,1970-11-01
None,Bursaspor,TUR,1,1335.92553711,1970-11-02,1970-11-04
None,Bursaspor,TUR,1,1334.49328613,1970-11-05,1970-11-08
None,Bursaspor,TUR,1,1343.07202148,1970-11-09,1970-11-14
None,Bursaspor,TUR,1,1343.04907227,1970-11-15,1970-11-22
None,Bursaspor,TUR,1,1351.19592285,1970-11-23,1970-11-28
None,Bursaspor,TUR,1,1352.41491699,1970-11-29,1970-12-06
None,Bursaspor,TUR,1,1346.90002441,1970-12-07,1970-12-20
None,Bursaspor,TUR,1,1357.74511719,1970-12-21,1970-12-27
None,Bursaspor,TUR,1,1352.07763672,1970-12-28,1971-01-02
None,Bursaspor,TUR,1,1343.01733398,1971-01-03,1971-01-10
None,Bursaspor,TUR,1,1335.38513184,1971-01-11,1971-02-14
None,Bursaspor,TUR,1,1329.46887207,1971-02-15,1971-02-21
None,Bursaspor,TUR,1,1327.63220215,1971-02-22,1971-02-28
None,Bursaspor,TUR,1,1313.94104004,1971-03-01,1971-03-07
None,Bursaspor,TUR,1,1314.43896484,1971-03-08,1971-03-14
None,Bursaspor,TUR,1,1319.61755371,1971-03-15,1971-03-21
None,Bursaspor,TUR,1,1325.28308105,1971-03-22,1971-03-28
None,Bursaspor,TUR,1,1318.78344727,1971-03-29,1971-04-04
None,Bursaspor,TUR,1,1321.953125,1971-04-05,1971-04-11
None,Bursaspor,TUR,1,1309.86999512,1971-04-12,1971-05-02
None,Bursaspor,TUR,1,1293.765625,1971-05-03,1971-05-08
None,Bursaspor,TUR,1,1296.6315918,1971-05-09,1971-05-16
None,Bursaspor,TUR,1,1294.60571289,1971-05-17,1971-05-22
