Rank,Club,Country,Level,Elo,From,To
None,Cambuur,NED,1,1421.31201172,1992-07-01,1992-08-15
None,Cambuur,NED,1,1423.98681641,1992-08-16,1992-08-22
None,Cambuur,NED,1,1423.99902344,1992-08-23,1992-09-02
None,Cambuur,NED,1,1422.57189941,1992-09-03,1992-09-05
None,Cambuur,NED,1,1420.91711426,1992-09-06,1992-09-16
None,Cambuur,NED,1,1426.6373291,1992-09-17,1992-09-26
None,Cambuur,NED,1,1416.35241699,1992-09-27,1992-09-30
None,Cambuur,NED,1,1411.1751709,1992-10-01,1992-10-03
None,Cambuur,NED,1,1403.15795898,1992-10-04,1992-10-11
None,Cambuur,NED,1,1399.6887207,1992-10-12,1992-10-17
None,Cambuur,NED,1,1398.84899902,1992-10-18,1992-10-21
None,Cambuur,NED,1,1397.86242676,1992-10-22,1992-10-24
None,Cambuur,NED,1,1403.55212402,1992-10-25,1992-10-31
None,Cambuur,NED,1,1422.48388672,1992-11-01,1992-11-04
None,Cambuur,NED,1,1441.64489746,1992-11-05,1992-11-07
None,Cambuur,NED,1,1437.73864746,1992-11-08,1992-11-14
None,Cambuur,NED,1,1430.20898438,1992-11-15,1992-11-21
None,Cambuur,NED,1,1431.1697998,1992-11-22,1992-11-24
None,Cambuur,NED,1,1434.13574219,1992-11-25,1992-11-25
None,Cambuur,NED,1,1435.84851074,1992-11-26,1992-11-26
None,Cambuur,NED,1,1433.14831543,1992-11-27,1992-11-28
None,Cambuur,NED,1,1439.53100586,1992-11-29,1992-12-08
None,Cambuur,NED,1,1442.04968262,1992-12-09,1992-12-09
None,Cambuur,NED,1,1438.01782227,1992-12-10,1992-12-10
None,Cambuur,NED,1,1437.33056641,1992-12-11,1992-12-12
None,Cambuur,NED,1,1423.16760254,1992-12-13,1992-12-19
None,Cambuur,NED,1,1429.58129883,1992-12-20,1993-01-16
None,Cambuur,NED,1,1442.06848145,1993-01-17,1993-01-23
None,Cambuur,NED,1,1440.38000488,1993-01-24,1993-01-31
None,Cambuur,NED,1,1444.70019531,1993-02-01,1993-02-06
None,Cambuur,NED,1,1442.31665039,1993-02-07,1993-02-14
None,Cambuur,NED,1,1447.49890137,1993-02-15,1993-02-27
None,Cambuur,NED,1,1446.45983887,1993-02-28,1993-03-02
None,Cambuur,NED,1,1441.82995605,1993-03-03,1993-03-03
None,Cambuur,NED,1,1424.7175293,1993-03-04,1993-03-07
None,Cambuur,NED,1,1429.6932373,1993-03-08,1993-03-14
