Rank,Club,Country,Level,Elo,From,To
None,Carpi,ITA,2,1354.18786621,2013-07-01,2013-08-01
None,Carpi,ITA,2,1354.46728516,2013-08-02,2013-08-08
None,Carpi,ITA,2,1354.61413574,2013-08-09,2013-08-20
None,Carpi,ITA,2,1355.11462402,2013-08-21,2013-08-22
None,Carpi,ITA,2,1349.92724609,2013-08-23,2013-08-24
None,Carpi,ITA,2,1343.91381836,2013-08-25,2013-08-28
None,Carpi,ITA,2,1347.3795166,2013-08-29,2013-08-29
None,Carpi,ITA,2,1346.11486816,2013-08-30,2013-09-07
None,Carpi,ITA,2,1360.58569336,2013-09-08,2013-09-14
None,Carpi,ITA,2,1352.31433105,2013-09-15,2013-09-17
None,Carpi,ITA,2,1350.04528809,2013-09-18,2013-09-18
None,Carpi,ITA,2,1355.47424316,2013-09-19,2013-09-19
None,Carpi,ITA,2,1358.36901855,2013-09-20,2013-09-21
None,Carpi,ITA,2,1348.69555664,2013-09-22,2013-09-24
None,Carpi,ITA,2,1349.82019043,2013-09-25,2013-09-28
None,Carpi,ITA,2,1360.22546387,2013-09-29,2013-10-01
None,Carpi,ITA,2,1358.1673584,2013-10-02,2013-10-02
None,Carpi,ITA,2,1356.30249023,2013-10-03,2013-10-03
None,Carpi,ITA,2,1358.58508301,2013-10-04,2013-10-05
None,Carpi,ITA,2,1348.73632812,2013-10-06,2013-10-14
None,Carpi,ITA,2,1358.3059082,2013-10-15,2013-10-19
None,Carpi,ITA,2,1347.94177246,2013-10-20,2013-10-22
None,Carpi,ITA,2,1352.44543457,2013-10-23,2013-10-23
None,Carpi,ITA,2,1351.56103516,2013-10-24,2013-10-24
None,Carpi,ITA,2,1351.44128418,2013-10-25,2013-10-26
None,Carpi,ITA,2,1350.07568359,2013-10-27,2013-11-01
None,Carpi,ITA,2,1360.59289551,2013-11-02,2013-11-05
None,Carpi,ITA,2,1361.84436035,2013-11-06,2013-11-06
None,Carpi,ITA,2,1362.36657715,2013-11-07,2013-11-07
None,Carpi,ITA,2,1364.50476074,2013-11-08,2013-11-09
None,Carpi,ITA,2,1356.68225098,2013-11-10,2013-11-17
None,Carpi,ITA,2,1368.09606934,2013-11-18,2013-11-24
None,Carpi,ITA,2,1362.4354248,2013-11-25,2013-11-26
None,Carpi,ITA,2,1364.55651855,2013-11-27,2013-11-27
None,Carpi,ITA,2,1365.22314453,2013-11-28,2013-11-28
None,Carpi,ITA,2,1365.77966309,2013-11-29,2013-11-30
None,Carpi,ITA,2,1358.72131348,2013-12-01,2013-12-07
None,Carpi,ITA,2,1367.24890137,2013-12-08,2013-12-11
None,Carpi,ITA,2,1367.2388916,2013-12-12,2013-12-12
None,Carpi,ITA,2,1367.26318359,2013-12-13,2013-12-14
None,Carpi,ITA,2,1370.85864258,2013-12-15,2013-12-21
None,Carpi,ITA,2,1382.01831055,2013-12-22,2013-12-26
None,Carpi,ITA,2,1397.26403809,2013-12-27,2013-12-29
None,Carpi,ITA,2,1401.85986328,2013-12-30,2014-01-25
None,Carpi,ITA,2,1391.72460938,2014-01-26,2014-02-01
None,Carpi,ITA,2,1407.17126465,2014-02-02,2014-02-08
None,Carpi,ITA,2,1405.04870605,2014-02-09,2014-02-15
None,Carpi,ITA,2,1409.55419922,2014-02-16,2014-02-19
None,Carpi,ITA,2,1408.45446777,2014-02-20,2014-02-20
None,Carpi,ITA,2,1406.19714355,2014-02-21,2014-02-22
None,Carpi,ITA,2,1397.64355469,2014-02-23,2014-02-27
None,Carpi,ITA,2,1399.44519043,2014-02-28,2014-03-01
None,Carpi,ITA,2,1415.10571289,2014-03-02,2014-03-08
None,Carpi,ITA,2,1395.30725098,2014-03-09,2014-03-11
None,Carpi,ITA,2,1390.62268066,2014-03-12,2014-03-13
None,Carpi,ITA,2,1388.69567871,2014-03-14,2014-03-15
None,Carpi,ITA,2,1380.40563965,2014-03-16,2014-03-20
None,Carpi,ITA,2,1378.71411133,2014-03-21,2014-03-22
None,Carpi,ITA,2,1372.8170166,2014-03-23,2014-03-25
None,Carpi,ITA,2,1372.07116699,2014-03-26,2014-03-29
None,Carpi,ITA,2,1366.11462402,2014-03-30,2014-04-03
None,Carpi,ITA,2,1367.26904297,2014-04-04,2014-04-05
None,Carpi,ITA,2,1375.47729492,2014-04-06,2014-04-10
None,Carpi,ITA,2,1376.23193359,2014-04-11,2014-04-12
