Rank,Club,Country,Level,Elo,From,To
None,Catania,ITA,2,1415.63562012,1949-09-11,1949-09-11
None,Catania,ITA,2,1412.27294922,1949-09-12,1949-09-18
None,Catania,ITA,2,1409.64782715,1949-09-19,1949-09-25
None,Catania,ITA,2,1413.75439453,1949-09-26,1949-10-02
None,Catania,ITA,2,1410.9979248,1949-10-03,1949-10-09
None,Catania,ITA,2,1406.36450195,1949-10-10,1949-10-16
None,Catania,ITA,2,1418.99951172,1949-10-17,1949-10-23
None,Catania,ITA,2,1423.1151123,1949-10-24,1949-10-30
None,Catania,ITA,2,1421.0045166,1949-10-31,1949-11-06
None,Catania,ITA,2,1424.87854004,1949-11-07,1949-11-13
None,Catania,ITA,2,1419.3182373,1949-11-14,1949-11-20
None,Catania,ITA,2,1401.81066895,1949-11-21,1949-11-27
None,Catania,ITA,2,1398.63696289,1949-11-28,1949-12-04
None,Catania,ITA,2,1393.77453613,1949-12-05,1949-12-08
None,Catania,ITA,2,1383.70397949,1949-12-09,1949-12-11
None,Catania,ITA,2,1382.03515625,1949-12-12,1949-12-18
None,Catania,ITA,2,1388.14941406,1949-12-19,1949-12-26
None,Catania,ITA,2,1386.55126953,1949-12-27,1950-01-01
None,Catania,ITA,2,1398.45605469,1950-01-02,1950-01-08
None,Catania,ITA,2,1395.90258789,1950-01-09,1950-01-15
None,Catania,ITA,2,1390.88806152,1950-01-16,1950-01-22
None,Catania,ITA,2,1382.21154785,1950-01-23,1950-01-29
None,Catania,ITA,2,1390.63220215,1950-01-30,1950-02-05
None,Catania,ITA,2,1388.8885498,1950-02-06,1950-02-12
None,Catania,ITA,2,1384.49804688,1950-02-13,1950-02-19
None,Catania,ITA,2,1382.28918457,1950-02-20,1950-02-26
None,Catania,ITA,2,1392.63293457,1950-02-27,1950-03-12
None,Catania,ITA,2,1396.47314453,1950-03-13,1950-03-19
None,Catania,ITA,2,1393.70019531,1950-03-20,1950-03-26
None,Catania,ITA,2,1390.56213379,1950-03-27,1950-04-02
None,Catania,ITA,2,1395.46716309,1950-04-03,1950-04-09
None,Catania,ITA,2,1391.30395508,1950-04-10,1950-04-16
None,Catania,ITA,2,1403.71948242,1950-04-17,1950-04-23
None,Catania,ITA,2,1417.07958984,1950-04-24,1950-04-30
None,Catania,ITA,2,1413.87060547,1950-05-01,1950-05-07
None,Catania,ITA,2,1400.85986328,1950-05-08,1950-05-14
None,Catania,ITA,2,1415.70715332,1950-05-15,1950-05-21
None,Catania,ITA,2,1420.67370605,1950-05-22,1950-05-28
None,Catania,ITA,2,1417.9987793,1950-05-29,1950-06-04
None,Catania,ITA,2,1419.76831055,1950-06-05,1950-06-11
None,Catania,ITA,2,1424.25842285,1950-06-12,1950-06-14
None,Catania,ITA,2,1397.32006836,1950-06-15,1950-06-16
None,Catania,ITA,2,1381.93676758,1950-06-17,1950-06-18
None,Catania,ITA,2,1391.77233887,1950-06-19,1950-06-25
None,Catania,ITA,2,1390.30187988,1950-06-26,1950-09-10
None,Catania,ITA,2,1384.10388184,1950-09-11,1950-09-17
None,Catania,ITA,2,1389.68823242,1950-09-18,1950-09-24
None,Catania,ITA,2,1392.72692871,1950-09-25,1950-10-01
None,Catania,ITA,2,1388.14941406,1950-10-02,1950-10-08
None,Catania,ITA,2,1383.2598877,1950-10-09,1950-10-15
None,Catania,ITA,2,1380.57495117,1950-10-16,1950-10-22
None,Catania,ITA,2,1383.9005127,1950-10-23,1950-10-29
None,Catania,ITA,2,1390.03405762,1950-10-30,1950-11-12
None,Catania,ITA,2,1397.72009277,1950-11-13,1950-11-19
None,Catania,ITA,2,1393.57641602,1950-11-20,1950-11-26
None,Catania,ITA,2,1389.53308105,1950-11-27,1950-12-03
None,Catania,ITA,2,1394.18017578,1950-12-04,1950-12-10
None,Catania,ITA,2,1377.95166016,1950-12-11,1950-12-17
None,Catania,ITA,2,1381.62243652,1950-12-18,1950-12-24
None,Catania,ITA,2,1386.75,1950-12-25,1950-12-31
None,Catania,ITA,2,1392.74829102,1951-01-01,1951-01-07
None,Catania,ITA,2,1376.99304199,1951-01-08,1951-01-14
None,Catania,ITA,2,1373.16040039,1951-01-15,1951-01-21
None,Catania,ITA,2,1377.21496582,1951-01-22,1951-01-28
None,Catania,ITA,2,1374.02502441,1951-01-29,1951-02-04
None,Catania,ITA,2,1378.14855957,1951-02-05,1951-02-11
None,Catania,ITA,2,1382.5657959,1951-02-12,1951-02-18
None,Catania,ITA,2,1376.73144531,1951-02-19,1951-02-25
None,Catania,ITA,2,1382.00695801,1951-02-26,1951-03-04
None,Catania,ITA,2,1376.24328613,1951-03-05,1951-03-11
None,Catania,ITA,2,1381.14282227,1951-03-12,1951-03-18
None,Catania,ITA,2,1378.02380371,1951-03-19,1951-03-25
None,Catania,ITA,2,1373.82543945,1951-03-26,1951-04-08
None,Catania,ITA,2,1369.24816895,1951-04-09,1951-04-15
None,Catania,ITA,2,1374.71240234,1951-04-16,1951-04-22
None,Catania,ITA,2,1378.32592773,1951-04-23,1951-04-29
None,Catania,ITA,2,1391.00671387,1951-04-30,1951-05-06
None,Catania,ITA,2,1389.44152832,1951-05-07,1951-05-13
None,Catania,ITA,2,1377.56225586,1951-05-14,1951-05-20
None,Catania,ITA,2,1383.18859863,1951-05-21,1951-05-27
None,Catania,ITA,2,1389.97241211,1951-05-28,1951-06-03
None,Catania,ITA,2,1412.95507812,1951-06-04,1951-06-10
None,Catania,ITA,2,1424.85656738,1951-06-11,1951-06-17
None,Catania,ITA,2,1429.32141113,1951-06-18,1951-06-20
None,Catania,ITA,2,1452.67419434,1951-06-21,1951-06-24
None,Catania,ITA,2,1470.00170898,1951-06-25,1951-09-09
None,Catania,ITA,2,1481.77587891,1951-09-10,1951-09-16
None,Catania,ITA,2,1487.4888916,1951-09-17,1951-09-23
None,Catania,ITA,2,1482.14050293,1951-09-24,1951-09-30
None,Catania,ITA,2,1477.82336426,1951-10-01,1951-10-07
None,Catania,ITA,2,1471.86193848,1951-10-08,1951-10-14
None,Catania,ITA,2,1474.27636719,1951-10-15,1951-10-21
None,Catania,ITA,2,1478.92089844,1951-10-22,1951-10-28
None,Catania,ITA,2,1472.67712402,1951-10-29,1951-11-04
None,Catania,ITA,2,1476.38354492,1951-11-05,1951-11-18
None,Catania,ITA,2,1480.41748047,1951-11-19,1951-12-02
None,Catania,ITA,2,1483.63085938,1951-12-03,1951-12-09
None,Catania,ITA,2,1488.9251709,1951-12-10,1951-12-16
None,Catania,ITA,2,1482.95935059,1951-12-17,1951-12-23
None,Catania,ITA,2,1474.83691406,1951-12-24,1951-12-30
None,Catania,ITA,2,1480.3626709,1951-12-31,1952-01-06
None,Catania,ITA,2,1480.98803711,1952-01-07,1952-01-13
None,Catania,ITA,2,1471.53405762,1952-01-14,1952-01-20
None,Catania,ITA,2,1462.10205078,1952-01-21,1952-01-27
None,Catania,ITA,2,1467.72631836,1952-01-28,1952-02-03
None,Catania,ITA,2,1470.94787598,1952-02-04,1952-02-10
None,Catania,ITA,2,1480.88293457,1952-02-11,1952-02-17
None,Catania,ITA,2,1491.18408203,1952-02-18,1952-03-02
None,Catania,ITA,2,1486.30493164,1952-03-03,1952-03-09
None,Catania,ITA,2,1481.34753418,1952-03-10,1952-03-16
None,Catania,ITA,2,1472.36523438,1952-03-17,1952-03-23
None,Catania,ITA,2,1469.49719238,1952-03-24,1952-03-30
None,Catania,ITA,2,1474.03881836,1952-03-31,1952-04-06
None,Catania,ITA,2,1466.10205078,1952-04-07,1952-04-13
None,Catania,ITA,2,1454.77636719,1952-04-14,1952-04-20
None,Catania,ITA,2,1459.16088867,1952-04-21,1952-04-27
None,Catania,ITA,2,1474.96203613,1952-04-28,1952-05-04
None,Catania,ITA,2,1470.29650879,1952-05-05,1952-05-11
None,Catania,ITA,2,1473.9083252,1952-05-12,1952-05-25
None,Catania,ITA,2,1485.38574219,1952-05-26,1952-06-01
None,Catania,ITA,2,1487.70324707,1952-06-02,1952-06-08
None,Catania,ITA,2,1482.56506348,1952-06-09,1952-06-15
None,Catania,ITA,2,1487.13378906,1952-06-16,1952-06-22
None,Catania,ITA,2,1494.64379883,1952-06-23,1952-06-26
None,Catania,ITA,2,1463.85351562,1952-06-27,1952-06-28
None,Catania,ITA,2,1471.79174805,1952-06-29,1952-09-14
None,Catania,ITA,2,1466.5255127,1952-09-15,1952-09-21
None,Catania,ITA,2,1468.95751953,1952-09-22,1952-09-28
None,Catania,ITA,2,1473.19921875,1952-09-29,1952-10-05
None,Catania,ITA,2,1478.54638672,1952-10-06,1952-10-12
None,Catania,ITA,2,1481.35510254,1952-10-13,1952-10-19
None,Catania,ITA,2,1477.40270996,1952-10-20,1952-11-02
None,Catania,ITA,2,1471.83093262,1952-11-03,1952-11-09
None,Catania,ITA,2,1469.00280762,1952-11-10,1952-11-16
