Rank,Club,Country,Level,Elo,From,To
None,Chateauroux,FRA,2,1522.83508301,1994-07-13,1994-07-29
None,Chateauroux,FRA,2,1525.95617676,1994-07-30,1994-08-03
None,Chateauroux,FRA,2,1520.86779785,1994-08-04,1994-08-06
None,Chateauroux,FRA,2,1511.25964355,1994-08-07,1994-08-10
None,Chateauroux,FRA,2,1512.32055664,1994-08-11,1994-08-13
None,Chateauroux,FRA,2,1509.73730469,1994-08-14,1994-08-20
None,Chateauroux,FRA,2,1519.50622559,1994-08-21,1994-08-24
None,Chateauroux,FRA,2,1519.88024902,1994-08-25,1994-08-27
None,Chateauroux,FRA,2,1514.10766602,1994-08-28,1994-08-31
None,Chateauroux,FRA,2,1524.84240723,1994-09-01,1994-09-03
None,Chateauroux,FRA,2,1534.64758301,1994-09-04,1994-09-09
None,Chateauroux,FRA,2,1521.53503418,1994-09-10,1994-09-13
None,Chateauroux,FRA,2,1529.23376465,1994-09-14,1994-09-14
None,Chateauroux,FRA,2,1532.04345703,1994-09-15,1994-09-15
None,Chateauroux,FRA,2,1527.83337402,1994-09-16,1994-09-17
None,Chateauroux,FRA,2,1529.21875,1994-09-18,1994-09-20
None,Chateauroux,FRA,2,1533.47961426,1994-09-21,1994-09-24
None,Chateauroux,FRA,2,1518.25476074,1994-09-25,1994-09-27
None,Chateauroux,FRA,2,1526.74145508,1994-09-28,1994-09-28
None,Chateauroux,FRA,2,1531.41772461,1994-09-29,1994-09-29
None,Chateauroux,FRA,2,1538.71411133,1994-09-30,1994-10-01
None,Chateauroux,FRA,2,1543.46264648,1994-10-02,1994-10-11
None,Chateauroux,FRA,2,1534.99682617,1994-10-12,1994-10-15
None,Chateauroux,FRA,2,1538.70874023,1994-10-16,1994-10-18
None,Chateauroux,FRA,2,1533.67602539,1994-10-19,1994-10-19
None,Chateauroux,FRA,2,1536.79125977,1994-10-20,1994-10-20
None,Chateauroux,FRA,2,1537.93530273,1994-10-21,1994-10-22
None,Chateauroux,FRA,2,1569.33886719,1994-10-23,1994-10-29
None,Chateauroux,FRA,2,1572.64599609,1994-10-30,1994-11-01
None,Chateauroux,FRA,2,1549.43933105,1994-11-02,1994-11-02
None,Chateauroux,FRA,2,1550.02697754,1994-11-03,1994-11-03
None,Chateauroux,FRA,2,1551.21191406,1994-11-04,1994-11-04
None,Chateauroux,FRA,2,1544.86608887,1994-11-05,1994-11-10
None,Chateauroux,FRA,2,1550.64868164,1994-11-11,1994-11-12
None,Chateauroux,FRA,2,1554.77490234,1994-11-13,1994-11-19
None,Chateauroux,FRA,2,1546.0949707,1994-11-20,1994-11-23
None,Chateauroux,FRA,2,1551.00390625,1994-11-24,1994-11-24
None,Chateauroux,FRA,2,1553.45666504,1994-11-25,1994-11-26
None,Chateauroux,FRA,2,1538.6776123,1994-11-27,1994-12-03
None,Chateauroux,FRA,2,1550.02307129,1994-12-04,1994-12-07
None,Chateauroux,FRA,2,1551.73901367,1994-12-08,1994-12-08
None,Chateauroux,FRA,2,1551.48291016,1994-12-09,1995-01-07
None,Chateauroux,FRA,2,1561.67529297,1995-01-08,1995-01-21
None,Chateauroux,FRA,2,1555.2557373,1995-01-22,1995-01-28
None,Chateauroux,FRA,2,1565.4921875,1995-01-29,1995-02-08
None,Chateauroux,FRA,2,1570.46582031,1995-02-09,1995-02-11
