Rank,Club,Country,Level,Elo,From,To
None,Cittadella,ITA,2,1465.5333252,2000-07-02,2000-08-09
None,Cittadella,ITA,2,1464.97216797,2000-08-10,2000-08-22
None,Cittadella,ITA,2,1466.8572998,2000-08-23,2000-08-23
None,Cittadella,ITA,2,1460.40551758,2000-08-24,2000-09-03
None,Cittadella,ITA,2,1449.65527344,2000-09-04,2000-09-10
None,Cittadella,ITA,2,1456.27124023,2000-09-11,2000-09-12
None,Cittadella,ITA,2,1458.95043945,2000-09-13,2000-09-13
None,Cittadella,ITA,2,1460.14868164,2000-09-14,2000-09-14
None,Cittadella,ITA,2,1459.29760742,2000-09-15,2000-09-17
None,Cittadella,ITA,2,1469.27709961,2000-09-18,2000-09-19
None,Cittadella,ITA,2,1467.7767334,2000-09-20,2000-09-20
None,Cittadella,ITA,2,1469.33776855,2000-09-21,2000-09-24
None,Cittadella,ITA,2,1482.07971191,2000-09-25,2000-09-26
None,Cittadella,ITA,2,1487.46838379,2000-09-27,2000-09-27
None,Cittadella,ITA,2,1484.69921875,2000-09-28,2000-09-28
None,Cittadella,ITA,2,1478.98352051,2000-09-29,2000-10-01
None,Cittadella,ITA,2,1477.015625,2000-10-02,2000-10-08
None,Cittadella,ITA,2,1481.90490723,2000-10-09,2000-10-17
None,Cittadella,ITA,2,1480.56713867,2000-10-18,2000-10-18
None,Cittadella,ITA,2,1480.83312988,2000-10-19,2000-10-22
None,Cittadella,ITA,2,1481.47827148,2000-10-23,2000-10-24
None,Cittadella,ITA,2,1477.64660645,2000-10-25,2000-10-25
None,Cittadella,ITA,2,1478.41894531,2000-10-26,2000-10-26
None,Cittadella,ITA,2,1479.37768555,2000-10-27,2000-10-29
None,Cittadella,ITA,2,1474.76184082,2000-10-30,2000-11-01
None,Cittadella,ITA,2,1483.22717285,2000-11-02,2000-11-05
None,Cittadella,ITA,2,1479.16491699,2000-11-06,2000-11-07
None,Cittadella,ITA,2,1481.74255371,2000-11-08,2000-11-08
None,Cittadella,ITA,2,1476.49511719,2000-11-09,2000-11-09
None,Cittadella,ITA,2,1469.20776367,2000-11-10,2000-11-12
None,Cittadella,ITA,2,1468.15893555,2000-11-13,2000-11-19
None,Cittadella,ITA,2,1466.10144043,2000-11-20,2000-11-21
None,Cittadella,ITA,2,1465.03710938,2000-11-22,2000-11-22
None,Cittadella,ITA,2,1462.35986328,2000-11-23,2000-11-23
None,Cittadella,ITA,2,1460.11279297,2000-11-24,2000-11-26
None,Cittadella,ITA,2,1455.28234863,2000-11-27,2000-12-03
None,Cittadella,ITA,2,1463.73620605,2000-12-04,2000-12-05
None,Cittadella,ITA,2,1464.5456543,2000-12-06,2000-12-06
None,Cittadella,ITA,2,1468.7689209,2000-12-07,2000-12-07
None,Cittadella,ITA,2,1474.27502441,2000-12-08,2000-12-10
None,Cittadella,ITA,2,1476.91064453,2000-12-11,2000-12-17
None,Cittadella,ITA,2,1471.63708496,2000-12-18,2000-12-23
None,Cittadella,ITA,2,1470.54199219,2000-12-24,2001-01-14
None,Cittadella,ITA,2,1474.27233887,2001-01-15,2001-01-21
None,Cittadella,ITA,2,1483.44702148,2001-01-22,2001-01-28
None,Cittadella,ITA,2,1478.01635742,2001-01-29,2001-02-04
None,Cittadella,ITA,2,1486.90454102,2001-02-05,2001-02-11
None,Cittadella,ITA,2,1480.11132812,2001-02-12,2001-02-13
None,Cittadella,ITA,2,1479.06225586,2001-02-14,2001-02-14
None,Cittadella,ITA,2,1476.78479004,2001-02-15,2001-02-15
None,Cittadella,ITA,2,1472.69140625,2001-02-16,2001-02-18
None,Cittadella,ITA,2,1478.47912598,2001-02-19,2001-02-20
None,Cittadella,ITA,2,1478.46020508,2001-02-21,2001-02-21
None,Cittadella,ITA,2,1478.1361084,2001-02-22,2001-02-22
None,Cittadella,ITA,2,1470.97717285,2001-02-23,2001-02-25
None,Cittadella,ITA,2,1462.56848145,2001-02-26,2001-03-05
None,Cittadella,ITA,2,1463.26855469,2001-03-06,2001-03-06
None,Cittadella,ITA,2,1464.10119629,2001-03-07,2001-03-07
None,Cittadella,ITA,2,1461.26611328,2001-03-08,2001-03-11
None,Cittadella,ITA,2,1457.35595703,2001-03-12,2001-03-13
None,Cittadella,ITA,2,1457.5222168,2001-03-14,2001-03-14
None,Cittadella,ITA,2,1458.37487793,2001-03-15,2001-03-18
None,Cittadella,ITA,2,1447.00964355,2001-03-19,2001-03-25
None,Cittadella,ITA,2,1453.5213623,2001-03-26,2001-03-30
None,Cittadella,ITA,2,1444.39318848,2001-03-31,2001-04-08
None,Cittadella,ITA,2,1439.1262207,2001-04-09,2001-04-14
None,Cittadella,ITA,2,1450.57287598,2001-04-15,2001-04-22
None,Cittadella,ITA,2,1462.75,2001-04-23,2001-04-29
None,Cittadella,ITA,2,1466.06921387,2001-04-30,2001-05-12
None,Cittadella,ITA,2,1470.52111816,2001-05-13,2001-05-20
None,Cittadella,ITA,2,1469.81494141,2001-05-21,2001-05-27
None,Cittadella,ITA,2,1461.20703125,2001-05-28,2001-06-06
None,Cittadella,ITA,2,1458.87597656,2001-06-07,2001-06-10
None,Cittadella,ITA,2,1461.80041504,2001-06-11,2001-08-08
None,Cittadella,ITA,2,1454.92358398,2001-08-09,2001-08-21
None,Cittadella,ITA,2,1456.62780762,2001-08-22,2001-08-22
None,Cittadella,ITA,2,1458.39123535,2001-08-23,2001-08-26
None,Cittadella,ITA,2,1453.71838379,2001-08-27,2001-09-02
None,Cittadella,ITA,2,1452.47460938,2001-09-03,2001-09-09
None,Cittadella,ITA,2,1449.84973145,2001-09-10,2001-09-11
None,Cittadella,ITA,2,1443.96704102,2001-09-12,2001-09-17
None,Cittadella,ITA,2,1435.67578125,2001-09-18,2001-09-18
None,Cittadella,ITA,2,1436.34375,2001-09-19,2001-09-19
None,Cittadella,ITA,2,1430.17028809,2001-09-20,2001-09-20
None,Cittadella,ITA,2,1430.44042969,2001-09-21,2001-09-23
