Rank,Club,Country,Level,Elo,From,To
None,Denizlispor,TUR,1,1114.1060791,1983-07-01,1983-08-21
None,Denizlispor,TUR,1,1112.18725586,1983-08-22,1983-08-28
None,Denizlispor,TUR,1,1109.5859375,1983-08-29,1983-09-04
None,Denizlispor,TUR,1,1116.04602051,1983-09-05,1983-09-11
None,Denizlispor,TUR,1,1112.78088379,1983-09-12,1983-09-14
None,Denizlispor,TUR,1,1114.11352539,1983-09-15,1983-09-18
None,Denizlispor,TUR,1,1116.68579102,1983-09-19,1983-09-25
None,Denizlispor,TUR,1,1123.50402832,1983-09-26,1983-09-28
None,Denizlispor,TUR,1,1114.47473145,1983-09-29,1983-10-02
None,Denizlispor,TUR,1,1111.59118652,1983-10-03,1983-10-09
None,Denizlispor,TUR,1,1108.66333008,1983-10-10,1983-10-16
None,Denizlispor,TUR,1,1114.58874512,1983-10-17,1983-10-30
None,Denizlispor,TUR,1,1122.31237793,1983-10-31,1983-11-12
None,Denizlispor,TUR,1,1127.73925781,1983-11-13,1983-11-20
None,Denizlispor,TUR,1,1131.90246582,1983-11-21,1983-11-27
None,Denizlispor,TUR,1,1144.01599121,1983-11-28,1983-12-03
None,Denizlispor,TUR,1,1141.76757812,1983-12-04,1983-12-11
None,Denizlispor,TUR,1,1139.12915039,1983-12-12,1983-12-18
None,Denizlispor,TUR,1,1143.28662109,1983-12-19,1983-12-25
None,Denizlispor,TUR,1,1148.69470215,1983-12-26,1984-01-29
None,Denizlispor,TUR,1,1142.76696777,1984-01-30,1984-02-05
None,Denizlispor,TUR,1,1151.07055664,1984-02-06,1984-02-12
None,Denizlispor,TUR,1,1145.58837891,1984-02-13,1984-02-19
None,Denizlispor,TUR,1,1154.76025391,1984-02-20,1984-02-26
None,Denizlispor,TUR,1,1152.95544434,1984-02-27,1984-03-04
None,Denizlispor,TUR,1,1146.07421875,1984-03-05,1984-03-18
None,Denizlispor,TUR,1,1154.83654785,1984-03-19,1984-03-24
None,Denizlispor,TUR,1,1149.3416748,1984-03-25,1984-03-31
None,Denizlispor,TUR,1,1154.95263672,1984-04-01,1984-04-08
None,Denizlispor,TUR,1,1151.50402832,1984-04-09,1984-04-15
None,Denizlispor,TUR,1,1156.18530273,1984-04-16,1984-04-22
None,Denizlispor,TUR,1,1145.49804688,1984-04-23,1984-04-29
None,Denizlispor,TUR,1,1133.97070312,1984-04-30,1984-05-06
None,Denizlispor,TUR,1,1136.03918457,1984-05-07,1984-05-13
None,Denizlispor,TUR,1,1141.04724121,1984-05-14,1984-05-20
None,Denizlispor,TUR,1,1145.75549316,1984-05-21,1984-05-27
None,Denizlispor,TUR,1,1151.9654541,1984-05-28,1984-08-26
None,Denizlispor,TUR,1,1166.05102539,1984-08-27,1984-09-02
None,Denizlispor,TUR,1,1170.35266113,1984-09-03,1984-09-09
None,Denizlispor,TUR,1,1164.53759766,1984-09-10,1984-09-16
None,Denizlispor,TUR,1,1159.29296875,1984-09-17,1984-09-18
None,Denizlispor,TUR,1,1157.21508789,1984-09-19,1984-09-19
None,Denizlispor,TUR,1,1159.70251465,1984-09-20,1984-09-23
None,Denizlispor,TUR,1,1154.57287598,1984-09-24,1984-09-30
None,Denizlispor,TUR,1,1151.15368652,1984-10-01,1984-10-03
None,Denizlispor,TUR,1,1142.7800293,1984-10-04,1984-10-07
None,Denizlispor,TUR,1,1138.03259277,1984-10-08,1984-10-14
None,Denizlispor,TUR,1,1150.55187988,1984-10-15,1984-10-21
None,Denizlispor,TUR,1,1144.98864746,1984-10-22,1984-11-04
None,Denizlispor,TUR,1,1141.10217285,1984-11-05,1984-11-18
None,Denizlispor,TUR,1,1133.50158691,1984-11-19,1984-11-25
None,Denizlispor,TUR,1,1131.95385742,1984-11-26,1984-12-02
None,Denizlispor,TUR,1,1136.78149414,1984-12-03,1984-12-09
None,Denizlispor,TUR,1,1120.84301758,1984-12-10,1984-12-16
None,Denizlispor,TUR,1,1114.38171387,1984-12-17,1984-12-23
None,Denizlispor,TUR,1,1125.56835938,1984-12-24,1984-12-30
None,Denizlispor,TUR,1,1120.7677002,1984-12-31,1985-01-20
None,Denizlispor,TUR,1,1121.34643555,1985-01-21,1985-01-27
None,Denizlispor,TUR,1,1129.43737793,1985-01-28,1985-02-03
None,Denizlispor,TUR,1,1129.0357666,1985-02-04,1985-02-10
None,Denizlispor,TUR,1,1136.89428711,1985-02-11,1985-02-17
None,Denizlispor,TUR,1,1132.5402832,1985-02-18,1985-03-03
None,Denizlispor,TUR,1,1131.34216309,1985-03-04,1985-03-10
None,Denizlispor,TUR,1,1132.97668457,1985-03-11,1985-03-17
None,Denizlispor,TUR,1,1139.86755371,1985-03-18,1985-03-24
None,Denizlispor,TUR,1,1144.37561035,1985-03-25,1985-04-07
None,Denizlispor,TUR,1,1148.30175781,1985-04-08,1985-04-13
None,Denizlispor,TUR,1,1146.39099121,1985-04-14,1985-04-21
None,Denizlispor,TUR,1,1159.95935059,1985-04-22,1985-05-05
None,Denizlispor,TUR,1,1166.9987793,1985-05-06,1985-05-11
None,Denizlispor,TUR,1,1162.1315918,1985-05-12,1985-05-19
None,Denizlispor,TUR,1,1157.46826172,1985-05-20,1985-05-26
None,Denizlispor,TUR,1,1161.80041504,1985-05-27,1985-06-02
None,Denizlispor,TUR,1,1168.19799805,1985-06-03,1985-09-01
None,Denizlispor,TUR,1,1162.99365234,1985-09-02,1985-09-08
None,Denizlispor,TUR,1,1172.30151367,1985-09-09,1985-09-15
None,Denizlispor,TUR,1,1169.17810059,1985-09-16,1985-09-18
None,Denizlispor,TUR,1,1190.24536133,1985-09-19,1985-09-22
None,Denizlispor,TUR,1,1194.13439941,1985-09-23,1985-09-29
None,Denizlispor,TUR,1,1185.34814453,1985-09-30,1985-10-02
None,Denizlispor,TUR,1,1202.93212891,1985-10-03,1985-10-06
None,Denizlispor,TUR,1,1199.27331543,1985-10-07,1985-10-12
None,Denizlispor,TUR,1,1195.73510742,1985-10-13,1985-10-19
None,Denizlispor,TUR,1,1191.45922852,1985-10-20,1985-10-23
None,Denizlispor,TUR,1,1183.5032959,1985-10-24,1985-10-27
None,Denizlispor,TUR,1,1181.6875,1985-10-28,1985-11-03
None,Denizlispor,TUR,1,1186.2598877,1985-11-04,1985-11-05
None,Denizlispor,TUR,1,1185.57287598,1985-11-06,1985-11-07
None,Denizlispor,TUR,1,1185.79577637,1985-11-08,1985-11-09
None,Denizlispor,TUR,1,1180.78393555,1985-11-10,1985-11-17
None,Denizlispor,TUR,1,1176.43286133,1985-11-18,1985-11-24
None,Denizlispor,TUR,1,1172.90991211,1985-11-25,1985-12-01
None,Denizlispor,TUR,1,1181.49047852,1985-12-02,1985-12-08
None,Denizlispor,TUR,1,1176.04675293,1985-12-09,1985-12-22
None,Denizlispor,TUR,1,1171.43164062,1985-12-23,1985-12-29
None,Denizlispor,TUR,1,1175.90161133,1985-12-30,1986-01-05
None,Denizlispor,TUR,1,1185.65136719,1986-01-06,1986-01-26
None,Denizlispor,TUR,1,1193.06225586,1986-01-27,1986-02-02
None,Denizlispor,TUR,1,1187.1607666,1986-02-03,1986-02-09
None,Denizlispor,TUR,1,1179.35229492,1986-02-10,1986-02-16
None,Denizlispor,TUR,1,1174.04516602,1986-02-17,1986-02-23
None,Denizlispor,TUR,1,1181.48046875,1986-02-24,1986-03-02
None,Denizlispor,TUR,1,1173.28161621,1986-03-03,1986-03-09
None,Denizlispor,TUR,1,1184.84521484,1986-03-10,1986-03-16
None,Denizlispor,TUR,1,1188.68615723,1986-03-17,1986-03-23
None,Denizlispor,TUR,1,1198.39855957,1986-03-24,1986-03-30
None,Denizlispor,TUR,1,1201.94311523,1986-03-31,1986-04-06
None,Denizlispor,TUR,1,1198.78308105,1986-04-07,1986-04-13
None,Denizlispor,TUR,1,1193.51245117,1986-04-14,1986-04-20
None,Denizlispor,TUR,1,1183.16552734,1986-04-21,1986-04-27
None,Denizlispor,TUR,1,1179.94091797,1986-04-28,1986-05-04
None,Denizlispor,TUR,1,1190.28833008,1986-05-05,1986-05-18
None,Denizlispor,TUR,1,1202.46008301,1986-05-19,1986-05-25
None,Denizlispor,TUR,1,1208.42858887,1986-05-26,1986-05-31
None,Denizlispor,TUR,1,1203.7454834,1986-06-01,1986-08-31
None,Denizlispor,TUR,1,1198.65454102,1986-09-01,1986-09-07
None,Denizlispor,TUR,1,1202.51525879,1986-09-08,1986-09-14
None,Denizlispor,TUR,1,1205.48583984,1986-09-15,1986-09-17
None,Denizlispor,TUR,1,1205.28088379,1986-09-18,1986-09-21
None,Denizlispor,TUR,1,1203.84436035,1986-09-22,1986-09-28
None,Denizlispor,TUR,1,1205.98620605,1986-09-29,1986-10-01
None,Denizlispor,TUR,1,1207.84509277,1986-10-02,1986-10-05
None,Denizlispor,TUR,1,1208.94445801,1986-10-06,1986-10-12
None,Denizlispor,TUR,1,1212.01879883,1986-10-13,1986-10-19
None,Denizlispor,TUR,1,1211.21044922,1986-10-20,1986-10-25
None,Denizlispor,TUR,1,1205.08520508,1986-10-26,1986-10-29
None,Denizlispor,TUR,1,1212.9708252,1986-10-30,1986-11-08
None,Denizlispor,TUR,1,1207.88244629,1986-11-09,1986-11-16
None,Denizlispor,TUR,1,1205.12121582,1986-11-17,1986-11-23
None,Denizlispor,TUR,1,1210.80566406,1986-11-24,1986-11-30
None,Denizlispor,TUR,1,1205.31396484,1986-12-01,1986-12-07
None,Denizlispor,TUR,1,1213.85253906,1986-12-08,1986-12-14
None,Denizlispor,TUR,1,1231.56164551,1986-12-15,1986-12-21
None,Denizlispor,TUR,1,1222.64086914,1986-12-22,1986-12-28
None,Denizlispor,TUR,1,1217.63720703,1986-12-29,1987-01-25
None,Denizlispor,TUR,1,1219.85180664,1987-01-26,1987-02-01
None,Denizlispor,TUR,1,1223.78442383,1987-02-02,1987-02-08
None,Denizlispor,TUR,1,1224.95898438,1987-02-09,1987-02-15
None,Denizlispor,TUR,1,1220.58081055,1987-02-16,1987-02-22
None,Denizlispor,TUR,1,1214.87475586,1987-02-23,1987-03-01
None,Denizlispor,TUR,1,1217.66760254,1987-03-02,1987-03-04
None,Denizlispor,TUR,1,1215.27319336,1987-03-05,1987-03-15
None,Denizlispor,TUR,1,1213.16882324,1987-03-16,1987-03-18
None,Denizlispor,TUR,1,1213.03747559,1987-03-19,1987-03-22
None,Denizlispor,TUR,1,1220.10888672,1987-03-23,1987-03-29
None,Denizlispor,TUR,1,1215.8770752,1987-03-30,1987-04-05
None,Denizlispor,TUR,1,1220.34753418,1987-04-06,1987-04-19
None,Denizlispor,TUR,1,1211.11462402,1987-04-20,1987-04-25
None,Denizlispor,TUR,1,1211.11572266,1987-04-26,1987-05-03
None,Denizlispor,TUR,1,1228.53881836,1987-05-04,1987-05-10
None,Denizlispor,TUR,1,1216.29016113,1987-05-11,1987-05-16
None,Denizlispor,TUR,1,1220.5201416,1987-05-17,1987-05-24
None,Denizlispor,TUR,1,1216.72607422,1987-05-25,1987-05-31
None,Denizlispor,TUR,1,1224.37939453,1987-06-01,1987-06-07
None,Denizlispor,TUR,1,1233.96411133,1987-06-08,1987-08-16
None,Denizlispor,TUR,1,1230.88549805,1987-08-17,1987-08-30
None,Denizlispor,TUR,1,1235.97741699,1987-08-31,1987-09-13
None,Denizlispor,TUR,1,1239.07458496,1987-09-14,1987-09-16
None,Denizlispor,TUR,1,1237.52429199,1987-09-17,1987-09-20
None,Denizlispor,TUR,1,1240.93359375,1987-09-21,1987-09-27
