Rank,Club,Country,Level,Elo,From,To
None,Dijon,FRA,2,1438.07397461,2004-07-03,2004-08-06
None,Dijon,FRA,2,1433.52856445,2004-08-07,2004-08-11
None,Dijon,FRA,2,1434.0144043,2004-08-12,2004-08-13
None,Dijon,FRA,2,1439.10107422,2004-08-14,2004-08-17
None,Dijon,FRA,2,1445.75415039,2004-08-18,2004-08-20
None,Dijon,FRA,2,1464.02148438,2004-08-21,2004-08-24
None,Dijon,FRA,2,1464.32055664,2004-08-25,2004-08-27
None,Dijon,FRA,2,1455.03076172,2004-08-28,2004-09-03
None,Dijon,FRA,2,1468.61853027,2004-09-04,2004-09-11
None,Dijon,FRA,2,1475.08166504,2004-09-12,2004-09-14
None,Dijon,FRA,2,1469.6505127,2004-09-15,2004-09-15
None,Dijon,FRA,2,1465.10766602,2004-09-16,2004-09-16
None,Dijon,FRA,2,1463.50231934,2004-09-17,2004-09-17
None,Dijon,FRA,2,1458.11938477,2004-09-18,2004-09-21
None,Dijon,FRA,2,1455.78564453,2004-09-22,2004-09-26
None,Dijon,FRA,2,1457.60827637,2004-09-27,2004-09-28
None,Dijon,FRA,2,1463.55395508,2004-09-29,2004-09-29
None,Dijon,FRA,2,1459.20800781,2004-09-30,2004-09-30
None,Dijon,FRA,2,1460.48083496,2004-10-01,2004-10-04
None,Dijon,FRA,2,1457.59179688,2004-10-05,2004-10-15
None,Dijon,FRA,2,1453.75256348,2004-10-16,2004-10-19
None,Dijon,FRA,2,1458.84143066,2004-10-20,2004-10-20
None,Dijon,FRA,2,1462.99023438,2004-10-21,2004-10-21
None,Dijon,FRA,2,1457.57067871,2004-10-22,2004-10-22
None,Dijon,FRA,2,1457.37207031,2004-10-23,2004-10-29
None,Dijon,FRA,2,1451.88256836,2004-10-30,2004-11-02
None,Dijon,FRA,2,1453.64978027,2004-11-03,2004-11-03
None,Dijon,FRA,2,1452.13354492,2004-11-04,2004-11-04
None,Dijon,FRA,2,1448.98120117,2004-11-05,2004-11-05
None,Dijon,FRA,2,1456.16540527,2004-11-06,2004-11-15
None,Dijon,FRA,2,1459.05554199,2004-11-16,2004-11-23
None,Dijon,FRA,2,1459.14367676,2004-11-24,2004-11-24
None,Dijon,FRA,2,1461.57641602,2004-11-25,2004-11-25
