Rank,Club,Country,Level,Elo,From,To
None,Diyarbakirspor,TUR,1,1204.99841309,1977-07-01,1977-08-28
None,Diyarbakirspor,TUR,1,1214.80456543,1977-08-29,1977-09-04
None,Diyarbakirspor,TUR,1,1210.19885254,1977-09-05,1977-09-11
None,Diyarbakirspor,TUR,1,1205.44836426,1977-09-12,1977-09-13
None,Diyarbakirspor,TUR,1,1213.93725586,1977-09-14,1977-09-14
None,Diyarbakirspor,TUR,1,1211.9564209,1977-09-15,1977-09-25
None,Diyarbakirspor,TUR,1,1209.15893555,1977-09-26,1977-09-28
None,Diyarbakirspor,TUR,1,1182.69165039,1977-09-29,1977-10-02
None,Diyarbakirspor,TUR,1,1178.32385254,1977-10-03,1977-10-09
None,Diyarbakirspor,TUR,1,1184.91210938,1977-10-10,1977-10-16
None,Diyarbakirspor,TUR,1,1181.37316895,1977-10-17,1977-11-06
None,Diyarbakirspor,TUR,1,1190.2277832,1977-11-07,1977-11-20
None,Diyarbakirspor,TUR,1,1192.03405762,1977-11-21,1977-12-04
None,Diyarbakirspor,TUR,1,1204.31945801,1977-12-05,1977-12-10
None,Diyarbakirspor,TUR,1,1208.52307129,1977-12-11,1977-12-18
None,Diyarbakirspor,TUR,1,1202.29797363,1977-12-19,1977-12-25
None,Diyarbakirspor,TUR,1,1201.67675781,1977-12-26,1978-01-01
None,Diyarbakirspor,TUR,1,1207.39489746,1978-01-02,1978-01-08
None,Diyarbakirspor,TUR,1,1203.68066406,1978-01-09,1978-02-19
None,Diyarbakirspor,TUR,1,1200.30859375,1978-02-20,1978-02-26
None,Diyarbakirspor,TUR,1,1195.73181152,1978-02-27,1978-03-05
None,Diyarbakirspor,TUR,1,1201.5690918,1978-03-06,1978-03-12
None,Diyarbakirspor,TUR,1,1205.5958252,1978-03-13,1978-03-19
None,Diyarbakirspor,TUR,1,1210.07678223,1978-03-20,1978-03-26
None,Diyarbakirspor,TUR,1,1214.85400391,1978-03-27,1978-04-02
None,Diyarbakirspor,TUR,1,1220.25085449,1978-04-03,1978-04-09
None,Diyarbakirspor,TUR,1,1218.2902832,1978-04-10,1978-04-16
None,Diyarbakirspor,TUR,1,1216.52124023,1978-04-17,1978-04-23
None,Diyarbakirspor,TUR,1,1211.51074219,1978-04-24,1978-04-30
None,Diyarbakirspor,TUR,1,1205.73168945,1978-05-01,1978-05-07
None,Diyarbakirspor,TUR,1,1212.10656738,1978-05-08,1978-05-14
None,Diyarbakirspor,TUR,1,1207.75048828,1978-05-15,1978-05-21
None,Diyarbakirspor,TUR,1,1213.88024902,1978-05-22,1978-05-28
None,Diyarbakirspor,TUR,1,1219.59155273,1978-05-29,1978-08-27
None,Diyarbakirspor,TUR,1,1215.22509766,1978-08-28,1978-09-03
None,Diyarbakirspor,TUR,1,1218.84606934,1978-09-04,1978-09-10
None,Diyarbakirspor,TUR,1,1224.40161133,1978-09-11,1978-09-13
None,Diyarbakirspor,TUR,1,1223.7130127,1978-09-14,1978-09-17
None,Diyarbakirspor,TUR,1,1230.42932129,1978-09-18,1978-09-27
None,Diyarbakirspor,TUR,1,1228.54199219,1978-09-28,1978-10-01
None,Diyarbakirspor,TUR,1,1232.42700195,1978-10-02,1978-10-08
None,Diyarbakirspor,TUR,1,1236.70910645,1978-10-09,1978-10-15
None,Diyarbakirspor,TUR,1,1244.81335449,1978-10-16,1978-10-22
None,Diyarbakirspor,TUR,1,1240.06408691,1978-10-23,1978-10-30
None,Diyarbakirspor,TUR,1,1235.25024414,1978-10-31,1978-11-05
None,Diyarbakirspor,TUR,1,1241.37695312,1978-11-06,1978-11-12
None,Diyarbakirspor,TUR,1,1235.87573242,1978-11-13,1978-11-18
None,Diyarbakirspor,TUR,1,1236.13024902,1978-11-19,1978-12-03
None,Diyarbakirspor,TUR,1,1230.93591309,1978-12-04,1978-12-10
None,Diyarbakirspor,TUR,1,1235.8046875,1978-12-11,1978-12-17
None,Diyarbakirspor,TUR,1,1239.00476074,1978-12-18,1979-02-11
None,Diyarbakirspor,TUR,1,1246.0300293,1979-02-12,1979-02-18
None,Diyarbakirspor,TUR,1,1239.22790527,1979-02-19,1979-02-25
None,Diyarbakirspor,TUR,1,1231.49267578,1979-02-26,1979-03-04
None,Diyarbakirspor,TUR,1,1236.26208496,1979-03-05,1979-03-11
None,Diyarbakirspor,TUR,1,1227.50634766,1979-03-12,1979-03-25
None,Diyarbakirspor,TUR,1,1215.18688965,1979-03-26,1979-04-08
None,Diyarbakirspor,TUR,1,1227.68029785,1979-04-09,1979-04-15
None,Diyarbakirspor,TUR,1,1223.2479248,1979-04-16,1979-04-22
None,Diyarbakirspor,TUR,1,1231.76757812,1979-04-23,1979-04-29
None,Diyarbakirspor,TUR,1,1226.74060059,1979-04-30,1979-05-06
None,Diyarbakirspor,TUR,1,1231.45605469,1979-05-07,1979-05-13
None,Diyarbakirspor,TUR,1,1228.12561035,1979-05-14,1979-05-20
None,Diyarbakirspor,TUR,1,1235.68200684,1979-05-21,1979-05-27
None,Diyarbakirspor,TUR,1,1238.01538086,1979-05-28,1979-06-03
None,Diyarbakirspor,TUR,1,1242.97717285,1979-06-04,1979-08-26
None,Diyarbakirspor,TUR,1,1245.56848145,1979-08-27,1979-09-02
None,Diyarbakirspor,TUR,1,1252.87207031,1979-09-03,1979-09-09
None,Diyarbakirspor,TUR,1,1248.33129883,1979-09-10,1979-09-16
None,Diyarbakirspor,TUR,1,1236.06506348,1979-09-17,1979-09-19
None,Diyarbakirspor,TUR,1,1242.50231934,1979-09-20,1979-09-23
None,Diyarbakirspor,TUR,1,1236.45703125,1979-09-24,1979-09-30
None,Diyarbakirspor,TUR,1,1234.85791016,1979-10-01,1979-10-03
None,Diyarbakirspor,TUR,1,1222.02929688,1979-10-04,1979-10-07
None,Diyarbakirspor,TUR,1,1226.96899414,1979-10-08,1979-10-21
None,Diyarbakirspor,TUR,1,1219.80822754,1979-10-22,1979-11-04
None,Diyarbakirspor,TUR,1,1232.7409668,1979-11-05,1979-11-11
None,Diyarbakirspor,TUR,1,1228.0625,1979-11-12,1979-11-25
None,Diyarbakirspor,TUR,1,1222.60913086,1979-11-26,1979-12-02
None,Diyarbakirspor,TUR,1,1223.03601074,1979-12-03,1979-12-09
None,Diyarbakirspor,TUR,1,1227.03405762,1979-12-10,1979-12-30
None,Diyarbakirspor,TUR,1,1221.28674316,1979-12-31,1980-01-06
None,Diyarbakirspor,TUR,1,1215.2779541,1980-01-07,1980-02-10
None,Diyarbakirspor,TUR,1,1201.73168945,1980-02-11,1980-02-17
None,Diyarbakirspor,TUR,1,1199.33422852,1980-02-18,1980-02-24
None,Diyarbakirspor,TUR,1,1196.26525879,1980-02-25,1980-03-02
None,Diyarbakirspor,TUR,1,1192.84521484,1980-03-03,1980-03-09
None,Diyarbakirspor,TUR,1,1198.16894531,1980-03-10,1980-03-15
None,Diyarbakirspor,TUR,1,1195.4609375,1980-03-16,1980-03-23
None,Diyarbakirspor,TUR,1,1187.71447754,1980-03-24,1980-03-30
None,Diyarbakirspor,TUR,1,1192.50537109,1980-03-31,1980-04-06
None,Diyarbakirspor,TUR,1,1201.45581055,1980-04-07,1980-04-13
None,Diyarbakirspor,TUR,1,1195.11816406,1980-04-14,1980-04-27
None,Diyarbakirspor,TUR,1,1192.31665039,1980-04-28,1980-05-04
None,Diyarbakirspor,TUR,1,1196.72521973,1980-05-05,1980-05-11
None,Diyarbakirspor,TUR,1,1194.9152832,1980-05-12,1980-05-19
None,Diyarbakirspor,TUR,1,1190.95349121,1980-05-20,1980-05-25
None,Diyarbakirspor,TUR,1,1187.79589844,1980-05-26,1980-07-01
None,Diyarbakirspor,TUR,1,1157.3927002,1981-07-01,1981-09-05
None,Diyarbakirspor,TUR,1,1151.64807129,1981-09-06,1981-09-13
None,Diyarbakirspor,TUR,1,1150.22131348,1981-09-14,1981-09-16
None,Diyarbakirspor,TUR,1,1147.78649902,1981-09-17,1981-09-27
None,Diyarbakirspor,TUR,1,1145.16564941,1981-09-28,1981-09-30
None,Diyarbakirspor,TUR,1,1142.90270996,1981-10-01,1981-10-11
None,Diyarbakirspor,TUR,1,1137.09204102,1981-10-12,1981-10-18
None,Diyarbakirspor,TUR,1,1121.26855469,1981-10-19,1981-10-25
None,Diyarbakirspor,TUR,1,1120.07836914,1981-10-26,1981-10-28
None,Diyarbakirspor,TUR,1,1117.25695801,1981-10-29,1981-11-01
None,Diyarbakirspor,TUR,1,1113.9317627,1981-11-02,1981-11-08
None,Diyarbakirspor,TUR,1,1121.05200195,1981-11-09,1981-11-15
None,Diyarbakirspor,TUR,1,1130.0065918,1981-11-16,1981-11-22
None,Diyarbakirspor,TUR,1,1125.73327637,1981-11-23,1981-11-29
None,Diyarbakirspor,TUR,1,1123.1628418,1981-11-30,1981-12-13
None,Diyarbakirspor,TUR,1,1120.48071289,1981-12-14,1981-12-20
None,Diyarbakirspor,TUR,1,1118.59118652,1981-12-21,1981-12-27
None,Diyarbakirspor,TUR,1,1110.23327637,1981-12-28,1982-01-03
None,Diyarbakirspor,TUR,1,1096.25415039,1982-01-04,1982-02-21
None,Diyarbakirspor,TUR,1,1084.61450195,1982-02-22,1982-02-28
None,Diyarbakirspor,TUR,1,1086.65075684,1982-03-01,1982-03-07
None,Diyarbakirspor,TUR,1,1082.7565918,1982-03-08,1982-03-14
None,Diyarbakirspor,TUR,1,1074.22741699,1982-03-15,1982-03-21
None,Diyarbakirspor,TUR,1,1071.96679688,1982-03-22,1982-03-28
None,Diyarbakirspor,TUR,1,1071.95837402,1982-03-29,1982-04-04
None,Diyarbakirspor,TUR,1,1069.44580078,1982-04-05,1982-04-11
None,Diyarbakirspor,TUR,1,1077.25891113,1982-04-12,1982-04-19
None,Diyarbakirspor,TUR,1,1067.90429688,1982-04-20,1982-04-25
None,Diyarbakirspor,TUR,1,1062.68811035,1982-04-26,1982-05-02
None,Diyarbakirspor,TUR,1,1056.42797852,1982-05-03,1982-05-09
None,Diyarbakirspor,TUR,1,1056.03723145,1982-05-10,1982-05-16
None,Diyarbakirspor,TUR,1,1049.43884277,1982-05-17,1982-05-30
None,Diyarbakirspor,TUR,1,1045.89135742,1982-05-31,1982-06-06
None,Diyarbakirspor,TUR,1,1040.40625,1982-06-07,1982-06-13
None,Diyarbakirspor,TUR,1,1038.50109863,1982-06-14,1982-07-06
None,Diyarbakirspor,TUR,1,1147.89013672,1986-07-01,1986-08-31
None,Diyarbakirspor,TUR,1,1142.0802002,1986-09-01,1986-09-07
None,Diyarbakirspor,TUR,1,1146.60327148,1986-09-08,1986-09-14
None,Diyarbakirspor,TUR,1,1147.98376465,1986-09-15,1986-09-17
None,Diyarbakirspor,TUR,1,1147.77880859,1986-09-18,1986-09-21
None,Diyarbakirspor,TUR,1,1143.06188965,1986-09-22,1986-09-28
None,Diyarbakirspor,TUR,1,1140.92016602,1986-09-29,1986-10-01
None,Diyarbakirspor,TUR,1,1142.77905273,1986-10-02,1986-10-05
None,Diyarbakirspor,TUR,1,1136.38037109,1986-10-06,1986-10-12
None,Diyarbakirspor,TUR,1,1145.93054199,1986-10-13,1986-10-19
None,Diyarbakirspor,TUR,1,1150.50244141,1986-10-20,1986-10-25
None,Diyarbakirspor,TUR,1,1147.75939941,1986-10-26,1986-11-02
None,Diyarbakirspor,TUR,1,1140.74291992,1986-11-03,1986-11-08
None,Diyarbakirspor,TUR,1,1148.85095215,1986-11-09,1986-11-16
None,Diyarbakirspor,TUR,1,1146.73120117,1986-11-17,1986-11-23
None,Diyarbakirspor,TUR,1,1137.56347656,1986-11-24,1986-11-30
None,Diyarbakirspor,TUR,1,1131.82910156,1986-12-01,1986-12-07
