Rank,Club,Country,Level,Elo,From,To
None,Dordrecht,NED,1,1378.73913574,1969-07-01,1969-08-10
None,Dordrecht,NED,1,1384.35424805,1969-08-11,1969-08-17
None,Dordrecht,NED,1,1379.80126953,1969-08-18,1969-08-23
None,Dordrecht,NED,1,1388.19213867,1969-08-24,1969-08-31
None,Dordrecht,NED,1,1385.28759766,1969-09-01,1969-09-14
None,Dordrecht,NED,1,1383.1998291,1969-09-15,1969-09-17
None,Dordrecht,NED,1,1394.16601562,1969-09-18,1969-09-21
None,Dordrecht,NED,1,1392.61865234,1969-09-22,1969-09-28
None,Dordrecht,NED,1,1388.4354248,1969-09-29,1969-09-30
None,Dordrecht,NED,1,1388.43762207,1969-10-01,1969-10-01
None,Dordrecht,NED,1,1390.76196289,1969-10-02,1969-10-05
None,Dordrecht,NED,1,1374.20922852,1969-10-06,1969-10-11
None,Dordrecht,NED,1,1371.63769531,1969-10-12,1969-10-26
None,Dordrecht,NED,1,1365.37597656,1969-10-27,1969-11-02
None,Dordrecht,NED,1,1345.7668457,1969-11-03,1969-11-09
None,Dordrecht,NED,1,1343.5579834,1969-11-10,1969-11-12
None,Dordrecht,NED,1,1343.6229248,1969-11-13,1969-11-16
None,Dordrecht,NED,1,1345.00744629,1969-11-17,1969-11-23
None,Dordrecht,NED,1,1337.02478027,1969-11-24,1969-11-26
None,Dordrecht,NED,1,1356.24462891,1969-11-27,1969-11-30
None,Dordrecht,NED,1,1352.8215332,1969-12-01,1969-12-07
None,Dordrecht,NED,1,1348.00732422,1969-12-08,1969-12-28
None,Dordrecht,NED,1,1340.73461914,1969-12-29,1970-01-18
None,Dordrecht,NED,1,1350.6685791,1970-01-19,1970-01-25
None,Dordrecht,NED,1,1345.35864258,1970-01-26,1970-02-01
None,Dordrecht,NED,1,1344.73950195,1970-02-02,1970-02-07
None,Dordrecht,NED,1,1342.9753418,1970-02-08,1970-02-22
None,Dordrecht,NED,1,1339.47094727,1970-02-23,1970-03-04
None,Dordrecht,NED,1,1336.78674316,1970-03-05,1970-03-08
None,Dordrecht,NED,1,1331.30444336,1970-03-09,1970-03-15
None,Dordrecht,NED,1,1318.71948242,1970-03-16,1970-03-18
None,Dordrecht,NED,1,1323.80871582,1970-03-19,1970-03-30
None,Dordrecht,NED,1,1317.71447754,1970-03-31,1970-04-01
None,Dordrecht,NED,1,1320.76342773,1970-04-02,1970-04-05
None,Dordrecht,NED,1,1316.68041992,1970-04-06,1970-04-15
None,Dordrecht,NED,1,1323.07641602,1970-04-16,1970-04-19
None,Dordrecht,NED,1,1316.01489258,1970-04-20,1970-04-26
None,Dordrecht,NED,1,1313.88037109,1970-04-27,1970-04-30
None,Dordrecht,NED,1,1319.23852539,1970-05-01,1970-05-03
None,Dordrecht,NED,1,1310.49902344,1970-05-04,1970-05-06
None,Dordrecht,NED,1,1319.58007812,1970-05-07,1970-05-07
None,Dordrecht,NED,1,1317.51904297,1970-05-08,1970-05-10
None,Dordrecht,NED,1,1329.87109375,1970-05-11,1970-05-18
None,Dordrecht,NED,1,1329.08813477,1970-05-19,1970-05-24
None,Dordrecht,NED,1,1336.3503418,1970-05-25,1970-07-01
None,Dordrecht,NED,1,1346.39428711,1983-07-01,1983-08-21
None,Dordrecht,NED,1,1347.52905273,1983-08-22,1983-08-24
None,Dordrecht,NED,1,1344.90783691,1983-08-25,1983-08-27
None,Dordrecht,NED,1,1342.91821289,1983-08-28,1983-08-31
None,Dordrecht,NED,1,1337.03283691,1983-09-01,1983-09-04
None,Dordrecht,NED,1,1349.97180176,1983-09-05,1983-09-11
None,Dordrecht,NED,1,1340.50915527,1983-09-12,1983-09-14
None,Dordrecht,NED,1,1341.67492676,1983-09-15,1983-09-18
None,Dordrecht,NED,1,1326.31335449,1983-09-19,1983-09-25
