Rank,Club,Country,Level,Elo,From,To
None,Dresden,GDR,1,1290.77832031,1962-07-01,1962-08-19
None,Dresden,GDR,1,1302.50842285,1962-08-20,1962-08-26
None,Dresden,GDR,1,1298.68200684,1962-08-27,1962-08-29
None,Dresden,GDR,1,1291.94274902,1962-08-30,1962-09-02
None,Dresden,GDR,1,1287.05456543,1962-09-03,1962-09-05
None,Dresden,GDR,1,1284.52453613,1962-09-06,1962-09-09
None,Dresden,GDR,1,1273.96704102,1962-09-10,1962-09-19
None,Dresden,GDR,1,1270.34313965,1962-09-20,1962-09-23
None,Dresden,GDR,1,1267.55114746,1962-09-24,1962-09-26
None,Dresden,GDR,1,1260.34118652,1962-09-27,1962-09-30
None,Dresden,GDR,1,1267.56616211,1962-10-01,1962-10-03
None,Dresden,GDR,1,1267.06726074,1962-10-04,1962-10-07
None,Dresden,GDR,1,1262.88244629,1962-10-08,1962-10-21
None,Dresden,GDR,1,1273.2154541,1962-10-22,1962-10-28
None,Dresden,GDR,1,1276.77185059,1962-10-29,1962-11-04
None,Dresden,GDR,1,1271.29931641,1962-11-05,1962-11-11
None,Dresden,GDR,1,1277.92285156,1962-11-12,1962-11-25
None,Dresden,GDR,1,1270.24951172,1962-11-26,1963-01-13
None,Dresden,GDR,1,1275.41906738,1963-01-14,1963-01-20
None,Dresden,GDR,1,1285.03820801,1963-01-21,1963-01-27
None,Dresden,GDR,1,1280.37670898,1963-01-28,1963-02-03
None,Dresden,GDR,1,1288.49951172,1963-02-04,1963-02-10
None,Dresden,GDR,1,1284.88476562,1963-02-11,1963-02-17
None,Dresden,GDR,1,1286.51196289,1963-02-18,1963-03-03
None,Dresden,GDR,1,1291.72900391,1963-03-04,1963-03-10
None,Dresden,GDR,1,1305.61010742,1963-03-11,1963-03-17
None,Dresden,GDR,1,1297.81958008,1963-03-18,1963-03-31
None,Dresden,GDR,1,1294.14538574,1963-04-01,1963-04-07
None,Dresden,GDR,1,1300.38830566,1963-04-08,1963-04-28
None,Dresden,GDR,1,1307.20056152,1963-04-29,1963-05-12
None,Dresden,GDR,1,1304.43518066,1963-05-13,1963-07-03
None,Dresden,GDR,1,1283.08105469,1964-07-01,1964-08-09
None,Dresden,GDR,1,1269.43115234,1964-08-10,1964-08-16
None,Dresden,GDR,1,1274.47644043,1964-08-17,1964-08-23
None,Dresden,GDR,1,1279.92236328,1964-08-24,1964-08-30
None,Dresden,GDR,1,1279.80090332,1964-08-31,1964-09-02
None,Dresden,GDR,1,1276.25427246,1964-09-03,1964-09-06
None,Dresden,GDR,1,1281.359375,1964-09-07,1964-09-09
None,Dresden,GDR,1,1277.07092285,1964-09-10,1964-09-12
None,Dresden,GDR,1,1282.70300293,1964-09-13,1964-09-17
None,Dresden,GDR,1,1285.57141113,1964-09-18,1964-10-07
None,Dresden,GDR,1,1292.38745117,1964-10-08,1964-11-15
None,Dresden,GDR,1,1282.62548828,1964-11-16,1964-11-18
None,Dresden,GDR,1,1288.64135742,1964-11-19,1964-11-22
None,Dresden,GDR,1,1281.83105469,1964-11-23,1964-11-25
None,Dresden,GDR,1,1277.88757324,1964-11-26,1964-11-29
None,Dresden,GDR,1,1275.14257812,1964-11-30,1964-12-06
None,Dresden,GDR,1,1284.75415039,1964-12-07,1964-12-13
None,Dresden,GDR,1,1276.27832031,1964-12-14,1965-02-14
None,Dresden,GDR,1,1287.29675293,1965-02-15,1965-02-27
None,Dresden,GDR,1,1279.83605957,1965-02-28,1965-03-06
