Rank,Club,Country,Level,Elo,From,To
None,Dundee,SCO,1,1457.13061523,1947-07-02,1947-08-13
None,Dundee,SCO,1,1451.01452637,1947-08-14,1947-08-27
None,Dundee,SCO,1,1457.24926758,1947-08-28,1947-09-20
None,Dundee,SCO,1,1453.74072266,1947-09-21,1947-09-27
None,Dundee,SCO,1,1467.2043457,1947-09-28,1947-10-04
None,Dundee,SCO,1,1484.00939941,1947-10-05,1947-10-05
None,Dundee,SCO,1,1441.00939941,1947-10-06,1947-10-06
None,Dundee,SCO,1,1449.29345703,1947-10-07,1947-10-18
None,Dundee,SCO,1,1438.22900391,1947-10-19,1947-10-25
None,Dundee,SCO,1,1443.53613281,1947-10-26,1947-11-08
None,Dundee,SCO,1,1457.92382812,1947-11-09,1947-11-15
None,Dundee,SCO,1,1426.5345459,1947-11-16,1947-11-22
None,Dundee,SCO,1,1443.51257324,1947-11-23,1947-11-29
None,Dundee,SCO,1,1453.17358398,1947-11-30,1947-12-06
None,Dundee,SCO,1,1455.91955566,1947-12-07,1947-12-13
None,Dundee,SCO,1,1455.46582031,1947-12-14,1947-12-20
None,Dundee,SCO,1,1435.91320801,1947-12-21,1947-12-25
None,Dundee,SCO,1,1429.25561523,1947-12-26,1947-12-27
None,Dundee,SCO,1,1417.59802246,1947-12-28,1948-01-01
None,Dundee,SCO,1,1417.41088867,1948-01-02,1948-01-03
None,Dundee,SCO,1,1415.64416504,1948-01-04,1948-01-10
None,Dundee,SCO,1,1431.83190918,1948-01-11,1948-01-17
None,Dundee,SCO,1,1441.6270752,1948-01-18,1948-02-14
None,Dundee,SCO,1,1449.6270752,1948-02-15,1948-02-21
None,Dundee,SCO,1,1463.49707031,1948-02-22,1948-02-28
None,Dundee,SCO,1,1452.36071777,1948-02-29,1948-03-06
None,Dundee,SCO,1,1447.37744141,1948-03-07,1948-03-13
None,Dundee,SCO,1,1456.91516113,1948-03-14,1948-03-20
None,Dundee,SCO,1,1472.0847168,1948-03-21,1948-04-03
None,Dundee,SCO,1,1462.39306641,1948-04-04,1948-04-11
None,Dundee,SCO,1,1439.39306641,1948-04-12,1948-04-17
None,Dundee,SCO,1,1429.05847168,1948-04-18,1948-05-01
None,Dundee,SCO,1,1448.48681641,1948-05-02,1948-05-22
None,Dundee,SCO,1,1439.48681641,1948-05-23,1948-05-26
None,Dundee,SCO,1,1424.48681641,1948-05-27,1948-08-14
None,Dundee,SCO,1,1430.84851074,1948-08-15,1948-08-18
None,Dundee,SCO,1,1432.15002441,1948-08-19,1948-08-21
None,Dundee,SCO,1,1441.9597168,1948-08-22,1948-08-28
None,Dundee,SCO,1,1447.53552246,1948-08-29,1948-09-01
None,Dundee,SCO,1,1426.25646973,1948-09-02,1948-10-23
None,Dundee,SCO,1,1434.96252441,1948-10-24,1948-10-24
None,Dundee,SCO,1,1477.96252441,1948-10-25,1948-11-06
None,Dundee,SCO,1,1494.65478516,1948-11-07,1948-11-13
None,Dundee,SCO,1,1498.24682617,1948-11-14,1948-11-20
None,Dundee,SCO,1,1506.24682617,1948-11-21,1948-11-27
None,Dundee,SCO,1,1511.18457031,1948-11-28,1948-12-04
None,Dundee,SCO,1,1508.06872559,1948-12-05,1948-12-11
None,Dundee,SCO,1,1520.5378418,1948-12-12,1948-12-18
None,Dundee,SCO,1,1516.36828613,1948-12-19,1948-12-25
None,Dundee,SCO,1,1521.57397461,1948-12-26,1949-01-01
None,Dundee,SCO,1,1531.8807373,1949-01-02,1949-01-03
None,Dundee,SCO,1,1544.62939453,1949-01-04,1949-01-08
None,Dundee,SCO,1,1552.47265625,1949-01-09,1949-01-15
None,Dundee,SCO,1,1557.16662598,1949-01-16,1949-01-29
None,Dundee,SCO,1,1541.08239746,1949-01-30,1949-02-12
None,Dundee,SCO,1,1541.41540527,1949-02-13,1949-02-19
None,Dundee,SCO,1,1545.06066895,1949-02-20,1949-02-26
None,Dundee,SCO,1,1552.32421875,1949-02-27,1949-03-12
None,Dundee,SCO,1,1534.84533691,1949-03-13,1949-03-19
None,Dundee,SCO,1,1543.12133789,1949-03-20,1949-04-02
None,Dundee,SCO,1,1550.09545898,1949-04-03,1949-04-10
None,Dundee,SCO,1,1603.09545898,1949-04-11,1949-04-11
None,Dundee,SCO,1,1607.52368164,1949-04-12,1949-04-16
None,Dundee,SCO,1,1606.27416992,1949-04-17,1949-04-20
None,Dundee,SCO,1,1611.78027344,1949-04-21,1949-04-23
None,Dundee,SCO,1,1616.95385742,1949-04-24,1949-04-27
None,Dundee,SCO,1,1620.23132324,1949-04-28,1949-04-28
None,Dundee,SCO,1,1626.23132324,1949-04-29,1949-04-30
None,Dundee,SCO,1,1612.51953125,1949-05-01,1949-09-10
None,Dundee,SCO,1,1609.76220703,1949-09-11,1949-09-17
None,Dundee,SCO,1,1614.78796387,1949-09-18,1949-09-24
None,Dundee,SCO,1,1613.7635498,1949-09-25,1949-10-01
None,Dundee,SCO,1,1618.42675781,1949-10-02,1949-10-02
None,Dundee,SCO,1,1643.42675781,1949-10-03,1949-10-15
None,Dundee,SCO,1,1631.19519043,1949-10-16,1949-10-22
None,Dundee,SCO,1,1639.10961914,1949-10-23,1949-10-29
None,Dundee,SCO,1,1645.86279297,1949-10-30,1949-11-05
None,Dundee,SCO,1,1648.1003418,1949-11-06,1949-11-12
None,Dundee,SCO,1,1656.93762207,1949-11-13,1949-11-19
None,Dundee,SCO,1,1661.88269043,1949-11-20,1949-11-26
None,Dundee,SCO,1,1661.70471191,1949-11-27,1949-12-03
None,Dundee,SCO,1,1654.21105957,1949-12-04,1949-12-10
None,Dundee,SCO,1,1657.95300293,1949-12-11,1949-12-17
None,Dundee,SCO,1,1648.90612793,1949-12-18,1949-12-24
None,Dundee,SCO,1,1652.80505371,1949-12-25,1949-12-31
None,Dundee,SCO,1,1657.82678223,1950-01-01,1950-01-02
None,Dundee,SCO,1,1652.50170898,1950-01-03,1950-01-03
None,Dundee,SCO,1,1662.99145508,1950-01-04,1950-01-07
None,Dundee,SCO,1,1671.29150391,1950-01-08,1950-01-14
None,Dundee,SCO,1,1661.32873535,1950-01-15,1950-01-21
None,Dundee,SCO,1,1650.84191895,1950-01-22,1950-02-04
None,Dundee,SCO,1,1654.46411133,1950-02-05,1950-02-25
None,Dundee,SCO,1,1653.38977051,1950-02-26,1950-03-04
None,Dundee,SCO,1,1658.04663086,1950-03-05,1950-03-11
None,Dundee,SCO,1,1652.95910645,1950-03-12,1950-03-18
None,Dundee,SCO,1,1646.2590332,1950-03-19,1950-03-25
None,Dundee,SCO,1,1623.36083984,1950-03-26,1950-04-08
None,Dundee,SCO,1,1607.92199707,1950-04-09,1950-04-16
None,Dundee,SCO,1,1588.92199707,1950-04-17,1950-04-17
None,Dundee,SCO,1,1583.28381348,1950-04-18,1950-04-22
None,Dundee,SCO,1,1575.78149414,1950-04-23,1950-04-27
None,Dundee,SCO,1,1580.78149414,1950-04-28,1950-05-22
None,Dundee,SCO,1,1577.78149414,1950-05-23,1950-05-28
None,Dundee,SCO,1,1585.78149414,1950-05-29,1950-09-09
None,Dundee,SCO,1,1593.52905273,1950-09-10,1950-09-16
None,Dundee,SCO,1,1599.99890137,1950-09-17,1950-09-23
None,Dundee,SCO,1,1605.92431641,1950-09-24,1950-09-30
None,Dundee,SCO,1,1612.30517578,1950-10-01,1950-10-07
None,Dundee,SCO,1,1616.84863281,1950-10-08,1950-10-14
None,Dundee,SCO,1,1607.85546875,1950-10-15,1950-10-21
None,Dundee,SCO,1,1609.61352539,1950-10-22,1950-10-22
None,Dundee,SCO,1,1632.61352539,1950-10-23,1950-10-28
None,Dundee,SCO,1,1637.70080566,1950-10-29,1950-11-04
None,Dundee,SCO,1,1651.24536133,1950-11-05,1950-11-11
None,Dundee,SCO,1,1647.13562012,1950-11-12,1950-11-18
None,Dundee,SCO,1,1636.26721191,1950-11-19,1950-11-25
None,Dundee,SCO,1,1643.56640625,1950-11-26,1950-12-02
None,Dundee,SCO,1,1639.70678711,1950-12-03,1950-12-09
None,Dundee,SCO,1,1652.01477051,1950-12-10,1950-12-16
None,Dundee,SCO,1,1640.94018555,1950-12-17,1950-12-23
None,Dundee,SCO,1,1644.25415039,1950-12-24,1950-12-30
None,Dundee,SCO,1,1656.21777344,1950-12-31,1951-01-01
None,Dundee,SCO,1,1649.45776367,1951-01-02,1951-01-02
None,Dundee,SCO,1,1652.24499512,1951-01-03,1951-01-06
None,Dundee,SCO,1,1642.71130371,1951-01-07,1951-01-20
None,Dundee,SCO,1,1649.51477051,1951-01-21,1951-02-17
None,Dundee,SCO,1,1661.03735352,1951-02-18,1951-02-24
None,Dundee,SCO,1,1664.03540039,1951-02-25,1951-03-03
None,Dundee,SCO,1,1661.76757812,1951-03-04,1951-03-17
None,Dundee,SCO,1,1643.82141113,1951-03-18,1951-03-24
None,Dundee,SCO,1,1629.13757324,1951-03-25,1951-03-31
None,Dundee,SCO,1,1623.44372559,1951-04-01,1951-04-02
None,Dundee,SCO,1,1629.5793457,1951-04-03,1951-04-07
None,Dundee,SCO,1,1631.64208984,1951-04-08,1951-04-15
None,Dundee,SCO,1,1660.64208984,1951-04-16,1951-04-28
None,Dundee,SCO,1,1662.65356445,1951-04-29,1951-05-13
None,Dundee,SCO,1,1666.65356445,1951-05-14,1951-05-17
None,Dundee,SCO,1,1669.65356445,1951-05-18,1951-05-21
None,Dundee,SCO,1,1679.65356445,1951-05-22,1951-05-28
None,Dundee,SCO,1,1661.65356445,1951-05-29,1951-09-08
None,Dundee,SCO,1,1658.84960938,1951-09-09,1951-09-22
None,Dundee,SCO,1,1650.61816406,1951-09-23,1951-09-29
None,Dundee,SCO,1,1658.90429688,1951-09-30,1951-10-06
None,Dundee,SCO,1,1653.28991699,1951-10-07,1951-10-07
None,Dundee,SCO,1,1665.28991699,1951-10-08,1951-10-20
None,Dundee,SCO,1,1669.69287109,1951-10-21,1951-11-03
None,Dundee,SCO,1,1674.59313965,1951-11-04,1951-11-10
None,Dundee,SCO,1,1666.39758301,1951-11-11,1951-11-17
None,Dundee,SCO,1,1624.55725098,1951-11-18,1951-11-24
