Rank,Club,Country,Level,Elo,From,To
None,Dunfermline,SCO,1,1330.51000977,1955-07-01,1955-09-10
None,Dunfermline,SCO,1,1331.98193359,1955-09-11,1955-09-14
None,Dunfermline,SCO,1,1440.96057129,1955-09-15,1955-09-17
None,Dunfermline,SCO,1,1436.42163086,1955-09-18,1955-09-24
None,Dunfermline,SCO,1,1429.30419922,1955-09-25,1955-10-01
None,Dunfermline,SCO,1,1437.49255371,1955-10-02,1955-10-08
None,Dunfermline,SCO,1,1447.15942383,1955-10-09,1955-10-12
None,Dunfermline,SCO,1,1412.34875488,1955-10-13,1955-10-15
None,Dunfermline,SCO,1,1422.60998535,1955-10-16,1955-10-22
None,Dunfermline,SCO,1,1434.15673828,1955-10-23,1955-10-29
None,Dunfermline,SCO,1,1432.35266113,1955-10-30,1955-11-05
None,Dunfermline,SCO,1,1438.37683105,1955-11-06,1955-11-12
None,Dunfermline,SCO,1,1442.91625977,1955-11-13,1955-11-19
None,Dunfermline,SCO,1,1437.67163086,1955-11-20,1955-11-23
None,Dunfermline,SCO,1,1439.23095703,1955-11-24,1955-11-26
None,Dunfermline,SCO,1,1429.64135742,1955-11-27,1955-11-28
None,Dunfermline,SCO,1,1443.25866699,1955-11-29,1955-12-03
None,Dunfermline,SCO,1,1455.39050293,1955-12-04,1955-12-10
None,Dunfermline,SCO,1,1459.82373047,1955-12-11,1955-12-17
None,Dunfermline,SCO,1,1444.1184082,1955-12-18,1955-12-24
None,Dunfermline,SCO,1,1440.60107422,1955-12-25,1955-12-31
None,Dunfermline,SCO,1,1427.7890625,1956-01-01,1956-01-02
None,Dunfermline,SCO,1,1422.55541992,1956-01-03,1956-01-07
None,Dunfermline,SCO,1,1415.54626465,1956-01-08,1956-01-21
None,Dunfermline,SCO,1,1410.86279297,1956-01-22,1956-02-11
None,Dunfermline,SCO,1,1395.07800293,1956-02-12,1956-02-25
None,Dunfermline,SCO,1,1392.10119629,1956-02-26,1956-03-03
None,Dunfermline,SCO,1,1388.40454102,1956-03-04,1956-03-07
None,Dunfermline,SCO,1,1394.3371582,1956-03-08,1956-03-10
None,Dunfermline,SCO,1,1391.05786133,1956-03-11,1956-03-17
None,Dunfermline,SCO,1,1390.24987793,1956-03-18,1956-03-24
None,Dunfermline,SCO,1,1384.05151367,1956-03-25,1956-03-31
None,Dunfermline,SCO,1,1382.13598633,1956-04-01,1956-04-04
None,Dunfermline,SCO,1,1376.05493164,1956-04-05,1956-04-07
None,Dunfermline,SCO,1,1390.5411377,1956-04-08,1956-04-11
None,Dunfermline,SCO,1,1396.60827637,1956-04-12,1956-04-18
None,Dunfermline,SCO,1,1382.3170166,1956-04-19,1956-04-21
None,Dunfermline,SCO,1,1394.34460449,1956-04-22,1956-04-25
None,Dunfermline,SCO,1,1408.75231934,1956-04-26,1956-04-28
None,Dunfermline,SCO,1,1403.69274902,1956-04-29,1956-09-08
None,Dunfermline,SCO,1,1399.64208984,1956-09-09,1956-09-22
None,Dunfermline,SCO,1,1405.73828125,1956-09-23,1956-09-29
None,Dunfermline,SCO,1,1410.90991211,1956-09-30,1956-10-06
None,Dunfermline,SCO,1,1419.7746582,1956-10-07,1956-10-13
None,Dunfermline,SCO,1,1416.4197998,1956-10-14,1956-10-24
None,Dunfermline,SCO,1,1412.66479492,1956-10-25,1956-10-27
None,Dunfermline,SCO,1,1425.24768066,1956-10-28,1956-11-03
None,Dunfermline,SCO,1,1414.1237793,1956-11-04,1956-11-10
None,Dunfermline,SCO,1,1421.37438965,1956-11-11,1956-11-14
None,Dunfermline,SCO,1,1424.85571289,1956-11-15,1956-11-17
None,Dunfermline,SCO,1,1422.96313477,1956-11-18,1956-11-24
None,Dunfermline,SCO,1,1408.83032227,1956-11-25,1956-11-28
None,Dunfermline,SCO,1,1373.16015625,1956-11-29,1956-12-01
None,Dunfermline,SCO,1,1382.3425293,1956-12-02,1956-12-08
None,Dunfermline,SCO,1,1377.9083252,1956-12-09,1956-12-15
None,Dunfermline,SCO,1,1375.04602051,1956-12-16,1956-12-22
None,Dunfermline,SCO,1,1367.5949707,1956-12-23,1956-12-29
None,Dunfermline,SCO,1,1367.4597168,1956-12-30,1957-01-01
None,Dunfermline,SCO,1,1377.46740723,1957-01-02,1957-01-02
None,Dunfermline,SCO,1,1388.65942383,1957-01-03,1957-01-05
None,Dunfermline,SCO,1,1385.61462402,1957-01-06,1957-01-12
None,Dunfermline,SCO,1,1387.81274414,1957-01-13,1957-01-19
None,Dunfermline,SCO,1,1394.0255127,1957-01-20,1957-01-26
None,Dunfermline,SCO,1,1406.41809082,1957-01-27,1957-02-09
None,Dunfermline,SCO,1,1404.9888916,1957-02-10,1957-02-23
None,Dunfermline,SCO,1,1389.32434082,1957-02-24,1957-03-02
None,Dunfermline,SCO,1,1389.80310059,1957-03-03,1957-03-06
None,Dunfermline,SCO,1,1385.06945801,1957-03-07,1957-03-09
