Rank,Club,Country,Level,Elo,From,To
None,Eskisehirspor,TUR,1,1173.50268555,1966-07-02,1966-08-24
None,Eskisehirspor,TUR,1,1163.84277344,1966-08-25,1966-09-07
None,Eskisehirspor,TUR,1,1160.89355469,1966-09-08,1966-09-10
None,Eskisehirspor,TUR,1,1163.26977539,1966-09-11,1966-09-18
None,Eskisehirspor,TUR,1,1172.9453125,1966-09-19,1966-09-25
None,Eskisehirspor,TUR,1,1176.4362793,1966-09-26,1966-09-28
None,Eskisehirspor,TUR,1,1173.56982422,1966-09-29,1966-10-05
None,Eskisehirspor,TUR,1,1166.45166016,1966-10-06,1966-10-09
None,Eskisehirspor,TUR,1,1172.44799805,1966-10-10,1966-10-23
None,Eskisehirspor,TUR,1,1173.38659668,1966-10-24,1966-10-30
None,Eskisehirspor,TUR,1,1164.20568848,1966-10-31,1966-11-06
None,Eskisehirspor,TUR,1,1160.93237305,1966-11-07,1966-11-13
None,Eskisehirspor,TUR,1,1169.35339355,1966-11-14,1966-11-19
None,Eskisehirspor,TUR,1,1175.12670898,1966-11-20,1966-11-27
None,Eskisehirspor,TUR,1,1180.97119141,1966-11-28,1966-12-03
None,Eskisehirspor,TUR,1,1182.23120117,1966-12-04,1966-12-11
None,Eskisehirspor,TUR,1,1179.78161621,1966-12-12,1966-12-17
None,Eskisehirspor,TUR,1,1170.79919434,1966-12-18,1966-12-25
None,Eskisehirspor,TUR,1,1174.37890625,1966-12-26,1966-12-31
None,Eskisehirspor,TUR,1,1169.22375488,1967-01-01,1967-01-08
None,Eskisehirspor,TUR,1,1179.17907715,1967-01-09,1967-02-12
None,Eskisehirspor,TUR,1,1184.12841797,1967-02-13,1967-02-19
None,Eskisehirspor,TUR,1,1178.69360352,1967-02-20,1967-02-26
None,Eskisehirspor,TUR,1,1185.32958984,1967-02-27,1967-03-04
None,Eskisehirspor,TUR,1,1178.64086914,1967-03-05,1967-03-12
None,Eskisehirspor,TUR,1,1186.73498535,1967-03-13,1967-03-18
None,Eskisehirspor,TUR,1,1184.96789551,1967-03-19,1967-03-26
None,Eskisehirspor,TUR,1,1187.41674805,1967-03-27,1967-04-01
None,Eskisehirspor,TUR,1,1178.25268555,1967-04-02,1967-04-09
None,Eskisehirspor,TUR,1,1186.6685791,1967-04-10,1967-04-15
None,Eskisehirspor,TUR,1,1172.99267578,1967-04-16,1967-04-23
None,Eskisehirspor,TUR,1,1169.9675293,1967-04-24,1967-04-29
None,Eskisehirspor,TUR,1,1165.20849609,1967-04-30,1967-05-06
None,Eskisehirspor,TUR,1,1163.60168457,1967-05-07,1967-05-21
None,Eskisehirspor,TUR,1,1170.31408691,1967-05-22,1967-05-28
None,Eskisehirspor,TUR,1,1176.77807617,1967-05-29,1967-06-04
None,Eskisehirspor,TUR,1,1166.73791504,1967-06-05,1967-09-13
None,Eskisehirspor,TUR,1,1160.30627441,1967-09-14,1967-09-19
None,Eskisehirspor,TUR,1,1156.00415039,1967-09-20,1967-09-20
None,Eskisehirspor,TUR,1,1154.44433594,1967-09-21,1967-09-24
None,Eskisehirspor,TUR,1,1172.3927002,1967-09-25,1967-09-30
None,Eskisehirspor,TUR,1,1162.92382812,1967-10-01,1967-10-08
None,Eskisehirspor,TUR,1,1160.32092285,1967-10-09,1967-10-11
