Rank,Club,Country,Level,Elo,From,To
None,Estoril,POR,1,1268.02490234,1944-09-03,1944-11-26
None,Estoril,POR,1,1266.85339355,1944-11-27,1944-12-03
None,Estoril,POR,1,1260.50512695,1944-12-04,1944-12-10
None,Estoril,POR,1,1270.55554199,1944-12-11,1944-12-17
None,Estoril,POR,1,1273.32458496,1944-12-18,1944-12-24
None,Estoril,POR,1,1300.7532959,1944-12-25,1944-12-31
None,Estoril,POR,1,1295.15966797,1945-01-01,1945-01-07
None,Estoril,POR,1,1299.85986328,1945-01-08,1945-01-14
None,Estoril,POR,1,1299.05505371,1945-01-15,1945-01-21
None,Estoril,POR,1,1291.16101074,1945-01-22,1945-01-28
None,Estoril,POR,1,1296.50158691,1945-01-29,1945-02-04
None,Estoril,POR,1,1301.92297363,1945-02-05,1945-02-11
None,Estoril,POR,1,1296.18322754,1945-02-12,1945-02-18
None,Estoril,POR,1,1299.9720459,1945-02-19,1945-02-25
None,Estoril,POR,1,1306.06066895,1945-02-26,1945-03-18
None,Estoril,POR,1,1308.78894043,1945-03-19,1945-03-25
None,Estoril,POR,1,1320.05505371,1945-03-26,1945-04-01
None,Estoril,POR,1,1316.68383789,1945-04-02,1945-04-08
None,Estoril,POR,1,1321.79504395,1945-04-09,1945-05-10
None,Estoril,POR,1,1318.79504395,1945-05-11,1945-05-27
None,Estoril,POR,1,1313.79504395,1945-05-28,1945-07-07
None,Estoril,POR,1,1263.1036377,1946-07-07,1946-11-24
None,Estoril,POR,1,1252.13183594,1946-11-25,1946-12-01
None,Estoril,POR,1,1277.69091797,1946-12-02,1946-12-08
None,Estoril,POR,1,1275.97680664,1946-12-09,1946-12-22
None,Estoril,POR,1,1286.12976074,1946-12-23,1946-12-29
None,Estoril,POR,1,1283.25366211,1946-12-30,1947-01-07
None,Estoril,POR,1,1282.25366211,1947-01-08,1947-01-12
None,Estoril,POR,1,1292.40014648,1947-01-13,1947-01-19
None,Estoril,POR,1,1312.93383789,1947-01-20,1947-01-27
None,Estoril,POR,1,1336.93383789,1947-01-28,1947-02-09
None,Estoril,POR,1,1346.953125,1947-02-10,1947-02-16
None,Estoril,POR,1,1344.75280762,1947-02-17,1947-02-23
None,Estoril,POR,1,1340.2869873,1947-02-24,1947-03-02
None,Estoril,POR,1,1354.93334961,1947-03-03,1947-03-09
None,Estoril,POR,1,1364.73278809,1947-03-10,1947-03-16
None,Estoril,POR,1,1361.01013184,1947-03-17,1947-03-26
None,Estoril,POR,1,1353.01013184,1947-03-27,1947-03-30
None,Estoril,POR,1,1355.01806641,1947-03-31,1947-04-06
None,Estoril,POR,1,1353.93395996,1947-04-07,1947-04-13
None,Estoril,POR,1,1363.4798584,1947-04-14,1947-04-20
None,Estoril,POR,1,1373.06506348,1947-04-21,1947-04-27
None,Estoril,POR,1,1383.92114258,1947-04-28,1947-05-05
None,Estoril,POR,1,1402.92114258,1947-05-06,1947-05-11
None,Estoril,POR,1,1412.26416016,1947-05-12,1947-05-18
None,Estoril,POR,1,1414.36279297,1947-05-19,1947-05-26
None,Estoril,POR,1,1397.36279297,1947-05-27,1947-06-01
None,Estoril,POR,1,1407.50805664,1947-06-02,1947-06-08
None,Estoril,POR,1,1396.38232422,1947-06-09,1947-06-11
None,Estoril,POR,1,1394.67663574,1947-06-12,1947-06-21
