Rank,Club,Country,Level,Elo,From,To
None,Eupen,BEL,1,1360.67932129,2010-07-01,2010-07-15
None,Eupen,BEL,1,1355.72058105,2010-07-16,2010-07-22
None,Eupen,BEL,1,1361.46679688,2010-07-23,2010-07-27
None,Eupen,BEL,1,1358.54016113,2010-07-28,2010-07-29
None,Eupen,BEL,1,1362.74316406,2010-07-30,2010-07-31
None,Eupen,BEL,1,1361.48937988,2010-08-01,2010-08-03
None,Eupen,BEL,1,1361.49157715,2010-08-04,2010-08-04
None,Eupen,BEL,1,1360.3873291,2010-08-05,2010-08-05
None,Eupen,BEL,1,1353.19946289,2010-08-06,2010-08-07
None,Eupen,BEL,1,1345.37158203,2010-08-08,2010-08-14
None,Eupen,BEL,1,1343.19921875,2010-08-15,2010-08-18
None,Eupen,BEL,1,1343.24133301,2010-08-19,2010-08-19
None,Eupen,BEL,1,1339.59753418,2010-08-20,2010-08-22
None,Eupen,BEL,1,1331.86791992,2010-08-23,2010-08-24
None,Eupen,BEL,1,1326.71350098,2010-08-25,2010-08-26
None,Eupen,BEL,1,1336.57373047,2010-08-27,2010-08-28
None,Eupen,BEL,1,1329.26306152,2010-08-29,2010-09-11
None,Eupen,BEL,1,1335.28723145,2010-09-12,2010-09-16
None,Eupen,BEL,1,1323.73522949,2010-09-17,2010-09-18
None,Eupen,BEL,1,1315.44006348,2010-09-19,2010-09-22
None,Eupen,BEL,1,1311.82739258,2010-09-23,2010-09-25
None,Eupen,BEL,1,1303.22570801,2010-09-26,2010-09-30
None,Eupen,BEL,1,1298.35058594,2010-10-01,2010-10-02
None,Eupen,BEL,1,1294.26171875,2010-10-03,2010-10-16
None,Eupen,BEL,1,1315.24914551,2010-10-17,2010-10-21
None,Eupen,BEL,1,1315.89257812,2010-10-22,2010-10-23
None,Eupen,BEL,1,1312.96948242,2010-10-24,2010-10-30
None,Eupen,BEL,1,1310.94714355,2010-10-31,2010-11-04
None,Eupen,BEL,1,1309.98376465,2010-11-05,2010-11-06
None,Eupen,BEL,1,1331.82507324,2010-11-07,2010-11-20
None,Eupen,BEL,1,1345.46838379,2010-11-21,2010-11-27
None,Eupen,BEL,1,1350.4473877,2010-11-28,2010-12-01
None,Eupen,BEL,1,1349.4777832,2010-12-02,2010-12-02
None,Eupen,BEL,1,1351.31774902,2010-12-03,2010-12-04
None,Eupen,BEL,1,1343.46862793,2010-12-05,2010-12-11
None,Eupen,BEL,1,1339.79443359,2010-12-12,2010-12-15
None,Eupen,BEL,1,1337.61657715,2010-12-16,2010-12-16
None,Eupen,BEL,1,1337.11694336,2010-12-17,2010-12-18
None,Eupen,BEL,1,1342.42602539,2010-12-19,2010-12-29
None,Eupen,BEL,1,1345.52636719,2010-12-30,2011-01-18
None,Eupen,BEL,1,1337.93798828,2011-01-19,2011-01-21
None,Eupen,BEL,1,1329.39904785,2011-01-22,2011-01-29
None,Eupen,BEL,1,1347.5715332,2011-01-30,2011-02-02
None,Eupen,BEL,1,1337.38183594,2011-02-03,2011-02-06
None,Eupen,BEL,1,1331.97351074,2011-02-07,2011-02-12
None,Eupen,BEL,1,1335.64172363,2011-02-13,2011-02-17
None,Eupen,BEL,1,1328.02966309,2011-02-18,2011-02-19
None,Eupen,BEL,1,1328.28967285,2011-02-20,2011-02-24
None,Eupen,BEL,1,1327.45739746,2011-02-25,2011-03-06
None,Eupen,BEL,1,1329.82067871,2011-03-07,2011-03-12
None,Eupen,BEL,1,1335.6973877,2011-03-13,2011-03-20
None,Eupen,BEL,1,1330.76550293,2011-03-21,2011-04-02
None,Eupen,BEL,1,1336.13671875,2011-04-03,2011-04-09
None,Eupen,BEL,1,1326.26501465,2011-04-10,2011-04-16
None,Eupen,BEL,1,1334.11730957,2011-04-17,2011-04-23
None,Eupen,BEL,1,1335.56030273,2011-04-24,2011-07-02
None,Eupen,BEL,1,1320.52575684,2016-07-01,2016-07-14
None,Eupen,BEL,1,1320.89282227,2016-07-15,2016-07-21
None,Eupen,BEL,1,1314.7479248,2016-07-22,2016-07-26
None,Eupen,BEL,1,1317.15698242,2016-07-27,2016-07-28
None,Eupen,BEL,1,1320.8215332,2016-07-29,2016-07-30
None,Eupen,BEL,1,1314.21472168,2016-07-31,2016-08-03
None,Eupen,BEL,1,1306.01281738,2016-08-04,2016-08-04
