Rank,Club,Country,Level,Elo,From,To
None,Excelsior,NED,1,1394.90856934,1970-07-01,1970-08-23
None,Excelsior,NED,1,1392.16943359,1970-08-24,1970-08-30
None,Excelsior,NED,1,1388.18347168,1970-08-31,1970-09-06
None,Excelsior,NED,1,1382.96191406,1970-09-07,1970-09-11
None,Excelsior,NED,1,1380.69165039,1970-09-12,1970-09-16
None,Excelsior,NED,1,1373.88928223,1970-09-17,1970-09-20
None,Excelsior,NED,1,1372.67492676,1970-09-21,1970-09-27
None,Excelsior,NED,1,1385.37963867,1970-09-28,1970-09-30
None,Excelsior,NED,1,1380.19458008,1970-10-01,1970-10-04
None,Excelsior,NED,1,1387.48620605,1970-10-05,1970-10-18
None,Excelsior,NED,1,1379.62719727,1970-10-19,1970-10-21
None,Excelsior,NED,1,1386.36560059,1970-10-22,1970-10-25
None,Excelsior,NED,1,1376.85375977,1970-10-26,1970-11-01
None,Excelsior,NED,1,1375.87353516,1970-11-02,1970-11-04
None,Excelsior,NED,1,1378.96582031,1970-11-05,1970-11-15
None,Excelsior,NED,1,1369.39282227,1970-11-16,1970-11-22
None,Excelsior,NED,1,1361.40551758,1970-11-23,1970-11-29
None,Excelsior,NED,1,1375.14916992,1970-11-30,1970-12-06
None,Excelsior,NED,1,1383.07312012,1970-12-07,1970-12-13
None,Excelsior,NED,1,1381.45715332,1970-12-14,1970-12-20
None,Excelsior,NED,1,1372.59069824,1970-12-21,1971-01-10
None,Excelsior,NED,1,1375.30834961,1971-01-11,1971-01-16
None,Excelsior,NED,1,1368.96350098,1971-01-17,1971-01-23
None,Excelsior,NED,1,1365.93310547,1971-01-24,1971-01-30
None,Excelsior,NED,1,1360.54858398,1971-01-31,1971-02-07
None,Excelsior,NED,1,1351.02246094,1971-02-08,1971-02-21
None,Excelsior,NED,1,1347.65332031,1971-02-22,1971-02-28
None,Excelsior,NED,1,1354.73266602,1971-03-01,1971-03-10
None,Excelsior,NED,1,1368.04858398,1971-03-11,1971-03-21
None,Excelsior,NED,1,1373.43847656,1971-03-22,1971-03-24
None,Excelsior,NED,1,1376.7722168,1971-03-25,1971-03-28
None,Excelsior,NED,1,1373.41662598,1971-03-29,1971-04-10
None,Excelsior,NED,1,1372.49499512,1971-04-11,1971-04-14
None,Excelsior,NED,1,1368.40979004,1971-04-15,1971-04-17
None,Excelsior,NED,1,1363.81872559,1971-04-18,1971-04-25
None,Excelsior,NED,1,1360.35083008,1971-04-26,1971-04-28
None,Excelsior,NED,1,1369.93103027,1971-04-29,1971-05-02
None,Excelsior,NED,1,1378.4309082,1971-05-03,1971-05-09
None,Excelsior,NED,1,1383.61547852,1971-05-10,1971-05-16
None,Excelsior,NED,1,1387.85827637,1971-05-17,1971-05-23
None,Excelsior,NED,1,1392.73815918,1971-05-24,1971-05-31
None,Excelsior,NED,1,1391.07043457,1971-06-01,1971-06-02
None,Excelsior,NED,1,1392.50756836,1971-06-03,1971-06-06
None,Excelsior,NED,1,1388.01306152,1971-06-07,1971-08-15
None,Excelsior,NED,1,1378.29711914,1971-08-16,1971-08-22
None,Excelsior,NED,1,1374.39331055,1971-08-23,1971-08-29
None,Excelsior,NED,1,1371.62402344,1971-08-30,1971-09-05
None,Excelsior,NED,1,1371.27856445,1971-09-06,1971-09-12
None,Excelsior,NED,1,1376.07434082,1971-09-13,1971-09-14
None,Excelsior,NED,1,1376.14147949,1971-09-15,1971-09-15
None,Excelsior,NED,1,1377.90698242,1971-09-16,1971-09-16
None,Excelsior,NED,1,1383.25036621,1971-09-17,1971-09-19
None,Excelsior,NED,1,1381.04370117,1971-09-20,1971-09-22
None,Excelsior,NED,1,1381.05395508,1971-09-23,1971-09-26
None,Excelsior,NED,1,1385.60217285,1971-09-27,1971-09-28
None,Excelsior,NED,1,1385.59790039,1971-09-29,1971-09-29
None,Excelsior,NED,1,1392.3581543,1971-09-30,1971-10-03
None,Excelsior,NED,1,1386.83239746,1971-10-04,1971-10-17
None,Excelsior,NED,1,1398.56994629,1971-10-18,1971-10-20
None,Excelsior,NED,1,1387.34997559,1971-10-21,1971-10-24
None,Excelsior,NED,1,1386.35620117,1971-10-25,1971-10-30
None,Excelsior,NED,1,1402.22766113,1971-10-31,1971-11-03
None,Excelsior,NED,1,1408.11047363,1971-11-04,1971-11-07
None,Excelsior,NED,1,1416.33996582,1971-11-08,1971-11-14
None,Excelsior,NED,1,1412.00524902,1971-11-15,1971-11-21
None,Excelsior,NED,1,1402.46984863,1971-11-22,1971-11-24
None,Excelsior,NED,1,1402.27111816,1971-11-25,1971-11-28
None,Excelsior,NED,1,1395.77270508,1971-11-29,1971-12-04
None,Excelsior,NED,1,1394.13391113,1971-12-05,1971-12-08
None,Excelsior,NED,1,1376.06188965,1971-12-09,1971-12-12
None,Excelsior,NED,1,1369.67578125,1971-12-13,1971-12-19
None,Excelsior,NED,1,1374.52514648,1971-12-20,1972-01-02
None,Excelsior,NED,1,1380.54211426,1972-01-03,1972-01-16
None,Excelsior,NED,1,1382.31799316,1972-01-17,1972-02-06
None,Excelsior,NED,1,1386.23608398,1972-02-07,1972-02-26
None,Excelsior,NED,1,1383.84777832,1972-02-27,1972-03-05
None,Excelsior,NED,1,1381.61865234,1972-03-06,1972-03-08
None,Excelsior,NED,1,1381.90759277,1972-03-09,1972-03-12
None,Excelsior,NED,1,1379.10632324,1972-03-13,1972-03-19
None,Excelsior,NED,1,1375.18725586,1972-03-20,1972-03-22
None,Excelsior,NED,1,1368.11254883,1972-03-23,1972-03-26
None,Excelsior,NED,1,1366.875,1972-03-27,1972-04-03
None,Excelsior,NED,1,1371.4473877,1972-04-04,1972-04-05
None,Excelsior,NED,1,1371.74816895,1972-04-06,1972-04-09
None,Excelsior,NED,1,1362.95166016,1972-04-10,1972-04-16
None,Excelsior,NED,1,1360.26940918,1972-04-17,1972-04-19
None,Excelsior,NED,1,1364.35742188,1972-04-20,1972-04-23
None,Excelsior,NED,1,1348.9420166,1972-04-24,1972-04-30
None,Excelsior,NED,1,1346.88977051,1972-05-01,1972-05-07
None,Excelsior,NED,1,1347.68212891,1972-05-08,1972-05-14
None,Excelsior,NED,1,1356.85107422,1972-05-15,1972-05-20
None,Excelsior,NED,1,1347.85668945,1972-05-21,1972-05-31
None,Excelsior,NED,1,1352.76269531,1972-06-01,1972-08-13
None,Excelsior,NED,1,1342.6361084,1972-08-14,1972-08-20
None,Excelsior,NED,1,1358.7298584,1972-08-21,1972-08-27
None,Excelsior,NED,1,1359.17529297,1972-08-28,1972-09-03
None,Excelsior,NED,1,1351.92004395,1972-09-04,1972-09-10
None,Excelsior,NED,1,1342.42932129,1972-09-11,1972-09-13
None,Excelsior,NED,1,1341.79284668,1972-09-14,1972-09-14
None,Excelsior,NED,1,1340.3371582,1972-09-15,1972-09-17
None,Excelsior,NED,1,1331.99560547,1972-09-18,1972-09-24
None,Excelsior,NED,1,1323.88793945,1972-09-25,1972-09-26
None,Excelsior,NED,1,1316.62194824,1972-09-27,1972-09-27
None,Excelsior,NED,1,1322.7388916,1972-09-28,1972-10-01
None,Excelsior,NED,1,1321.12609863,1972-10-02,1972-10-08
None,Excelsior,NED,1,1323.8338623,1972-10-09,1972-10-15
None,Excelsior,NED,1,1322.9005127,1972-10-16,1972-10-22
None,Excelsior,NED,1,1322.13708496,1972-10-23,1972-10-25
None,Excelsior,NED,1,1321.79968262,1972-10-26,1972-11-05
None,Excelsior,NED,1,1318.94812012,1972-11-06,1972-11-08
None,Excelsior,NED,1,1316.93762207,1972-11-09,1972-11-12
None,Excelsior,NED,1,1318.16235352,1972-11-13,1972-11-25
None,Excelsior,NED,1,1317.69372559,1972-11-26,1972-11-29
