Rank,Club,Country,Level,Elo,From,To
None,Falkirk,SCO,1,1593.43664551,1946-07-07,1946-08-10
None,Falkirk,SCO,1,1590.63537598,1946-08-11,1946-08-14
None,Falkirk,SCO,1,1607.95898438,1946-08-15,1946-08-17
None,Falkirk,SCO,1,1597.29125977,1946-08-18,1946-08-21
None,Falkirk,SCO,1,1575.17712402,1946-08-22,1946-08-24
None,Falkirk,SCO,1,1565.37304688,1946-08-25,1946-08-28
None,Falkirk,SCO,1,1569.38183594,1946-08-29,1946-08-31
None,Falkirk,SCO,1,1564.04382324,1946-09-01,1946-09-04
None,Falkirk,SCO,1,1574.6138916,1946-09-05,1946-09-07
None,Falkirk,SCO,1,1584.86779785,1946-09-08,1946-09-14
None,Falkirk,SCO,1,1594.6348877,1946-09-15,1946-10-20
None,Falkirk,SCO,1,1562.6348877,1946-10-21,1946-11-02
None,Falkirk,SCO,1,1543.01611328,1946-11-03,1946-11-09
None,Falkirk,SCO,1,1534.6048584,1946-11-10,1946-11-16
None,Falkirk,SCO,1,1538.67871094,1946-11-17,1946-11-23
None,Falkirk,SCO,1,1528.73913574,1946-11-24,1946-11-30
None,Falkirk,SCO,1,1503.92919922,1946-12-01,1946-12-07
None,Falkirk,SCO,1,1507.77648926,1946-12-08,1946-12-14
None,Falkirk,SCO,1,1517.75219727,1946-12-15,1946-12-21
None,Falkirk,SCO,1,1514.89892578,1946-12-22,1946-12-28
None,Falkirk,SCO,1,1514.13867188,1946-12-29,1947-01-01
None,Falkirk,SCO,1,1538.66955566,1947-01-02,1947-01-02
None,Falkirk,SCO,1,1529.13232422,1947-01-03,1947-01-04
None,Falkirk,SCO,1,1535.39453125,1947-01-05,1947-01-11
None,Falkirk,SCO,1,1537.28137207,1947-01-12,1947-01-18
None,Falkirk,SCO,1,1529.39562988,1947-01-19,1947-02-01
None,Falkirk,SCO,1,1525.87658691,1947-02-02,1947-03-29
None,Falkirk,SCO,1,1524.37011719,1947-03-30,1947-04-12
None,Falkirk,SCO,1,1526.08325195,1947-04-13,1947-04-13
None,Falkirk,SCO,1,1536.08325195,1947-04-14,1947-04-19
None,Falkirk,SCO,1,1553.58825684,1947-04-20,1947-04-26
None,Falkirk,SCO,1,1556.21850586,1947-04-27,1947-05-17
None,Falkirk,SCO,1,1549.11682129,1947-05-18,1947-05-20
None,Falkirk,SCO,1,1532.11682129,1947-05-21,1947-05-25
None,Falkirk,SCO,1,1534.11682129,1947-05-26,1947-08-13
None,Falkirk,SCO,1,1535.06091309,1947-08-14,1947-08-27
None,Falkirk,SCO,1,1546.81726074,1947-08-28,1947-09-20
None,Falkirk,SCO,1,1546.50073242,1947-09-21,1947-10-05
None,Falkirk,SCO,1,1503.50073242,1947-10-06,1947-10-18
None,Falkirk,SCO,1,1513.48181152,1947-10-19,1947-11-08
None,Falkirk,SCO,1,1529.2088623,1947-11-09,1947-11-15
None,Falkirk,SCO,1,1500.4230957,1947-11-16,1947-11-22
None,Falkirk,SCO,1,1512.51086426,1947-11-23,1947-11-29
None,Falkirk,SCO,1,1525.72167969,1947-11-30,1947-12-06
