Rank,Club,Country,Level,Elo,From,To
None,Feirense,POR,1,1318.34423828,1962-07-01,1962-09-19
None,Feirense,POR,1,1319.54052734,1962-09-20,1962-09-20
None,Feirense,POR,1,1326.28283691,1962-09-21,1962-09-23
None,Feirense,POR,1,1314.9041748,1962-09-24,1962-09-26
None,Feirense,POR,1,1315.86669922,1962-09-27,1962-10-21
None,Feirense,POR,1,1315.06176758,1962-10-22,1962-10-24
None,Feirense,POR,1,1314.54211426,1962-10-25,1962-10-28
None,Feirense,POR,1,1302.30078125,1962-10-29,1962-10-31
None,Feirense,POR,1,1288.3260498,1962-11-01,1962-11-11
None,Feirense,POR,1,1287.25805664,1962-11-12,1962-11-18
None,Feirense,POR,1,1275.76623535,1962-11-19,1962-11-22
None,Feirense,POR,1,1277.08947754,1962-11-23,1962-11-25
None,Feirense,POR,1,1274.64990234,1962-11-26,1962-12-02
None,Feirense,POR,1,1267.78186035,1962-12-03,1962-12-09
None,Feirense,POR,1,1262.86035156,1962-12-10,1962-12-23
None,Feirense,POR,1,1268.74462891,1962-12-24,1962-12-27
None,Feirense,POR,1,1268.29394531,1962-12-28,1963-01-06
None,Feirense,POR,1,1258.11730957,1963-01-07,1963-01-13
None,Feirense,POR,1,1251.98547363,1963-01-14,1963-01-20
None,Feirense,POR,1,1261.36804199,1963-01-21,1963-01-27
None,Feirense,POR,1,1259.72558594,1963-01-28,1963-02-03
None,Feirense,POR,1,1257.28271484,1963-02-04,1963-02-10
None,Feirense,POR,1,1255.86242676,1963-02-11,1963-02-17
None,Feirense,POR,1,1252.48071289,1963-02-18,1963-02-24
None,Feirense,POR,1,1257.77526855,1963-02-25,1963-03-03
None,Feirense,POR,1,1250.00708008,1963-03-04,1963-03-06
None,Feirense,POR,1,1248.60620117,1963-03-07,1963-03-10
None,Feirense,POR,1,1247.2701416,1963-03-11,1963-03-13
None,Feirense,POR,1,1254.42053223,1963-03-14,1963-03-17
None,Feirense,POR,1,1261.72888184,1963-03-18,1963-03-24
None,Feirense,POR,1,1259.28234863,1963-03-25,1963-03-31
None,Feirense,POR,1,1257.11853027,1963-04-01,1963-04-07
None,Feirense,POR,1,1254.03894043,1963-04-08,1963-04-10
None,Feirense,POR,1,1254.43762207,1963-04-11,1963-04-28
None,Feirense,POR,1,1240.7611084,1963-04-29,1963-05-05
None,Feirense,POR,1,1235.90441895,1963-05-06,1963-05-08
None,Feirense,POR,1,1236.63061523,1963-05-09,1963-05-12
None,Feirense,POR,1,1224.68188477,1963-05-13,1963-05-22
None,Feirense,POR,1,1217.56921387,1963-05-23,1963-07-03
None,Feirense,POR,1,1288.64343262,1977-07-01,1977-09-04
None,Feirense,POR,1,1279.63964844,1977-09-05,1977-09-11
None,Feirense,POR,1,1276.6776123,1977-09-12,1977-09-14
None,Feirense,POR,1,1283.09020996,1977-09-15,1977-09-18
None,Feirense,POR,1,1281.4864502,1977-09-19,1977-09-25
None,Feirense,POR,1,1279.92785645,1977-09-26,1977-09-28
None,Feirense,POR,1,1262.33337402,1977-09-29,1977-10-16
None,Feirense,POR,1,1254.45178223,1977-10-17,1977-10-19
None,Feirense,POR,1,1267.07739258,1977-10-20,1977-10-23
None,Feirense,POR,1,1278.26550293,1977-10-24,1977-11-02
None,Feirense,POR,1,1278.25939941,1977-11-03,1977-11-06
None,Feirense,POR,1,1276.17785645,1977-11-07,1977-11-20
None,Feirense,POR,1,1277.20092773,1977-11-21,1977-11-27
None,Feirense,POR,1,1275.41442871,1977-11-28,1977-12-04
None,Feirense,POR,1,1284.73669434,1977-12-05,1977-12-11
None,Feirense,POR,1,1283.0793457,1977-12-12,1977-12-18
None,Feirense,POR,1,1292.13171387,1977-12-19,1978-01-15
None,Feirense,POR,1,1282.62792969,1978-01-16,1978-01-22
None,Feirense,POR,1,1280.73754883,1978-01-23,1978-01-29
None,Feirense,POR,1,1276.76818848,1978-01-30,1978-02-12
None,Feirense,POR,1,1274.75854492,1978-02-13,1978-02-19
None,Feirense,POR,1,1285.99523926,1978-02-20,1978-02-26
None,Feirense,POR,1,1282.20275879,1978-02-27,1978-03-01
None,Feirense,POR,1,1276.11181641,1978-03-02,1978-03-02
None,Feirense,POR,1,1276.57946777,1978-03-03,1978-03-12
None,Feirense,POR,1,1272.72119141,1978-03-13,1978-03-15
None,Feirense,POR,1,1261.84741211,1978-03-16,1978-03-19
None,Feirense,POR,1,1266.50048828,1978-03-20,1978-04-02
None,Feirense,POR,1,1262.02709961,1978-04-03,1978-04-09
None,Feirense,POR,1,1255.21411133,1978-04-10,1978-04-16
None,Feirense,POR,1,1252.94470215,1978-04-17,1978-04-30
None,Feirense,POR,1,1245.68847656,1978-05-01,1978-05-07
None,Feirense,POR,1,1242.8894043,1978-05-08,1978-05-14
None,Feirense,POR,1,1230.71594238,1978-05-15,1978-05-21
None,Feirense,POR,1,1226.73461914,1978-05-22,1978-05-28
