Rank,Club,Country,Level,Elo,From,To
None,Frosinone,ITA,2,1491.56396484,2006-07-02,2006-08-09
None,Frosinone,ITA,2,1488.12487793,2006-08-10,2006-08-22
None,Frosinone,ITA,2,1488.56616211,2006-08-23,2006-08-23
None,Frosinone,ITA,2,1487.07421875,2006-08-24,2006-09-09
None,Frosinone,ITA,2,1480.07043457,2006-09-10,2006-09-12
None,Frosinone,ITA,2,1480.51013184,2006-09-13,2006-09-13
None,Frosinone,ITA,2,1480.98950195,2006-09-14,2006-09-14
None,Frosinone,ITA,2,1484.98461914,2006-09-15,2006-09-16
None,Frosinone,ITA,2,1483.45471191,2006-09-17,2006-09-19
None,Frosinone,ITA,2,1476.30822754,2006-09-20,2006-09-23
None,Frosinone,ITA,2,1474.31494141,2006-09-24,2006-09-26
None,Frosinone,ITA,2,1473.65576172,2006-09-27,2006-09-27
None,Frosinone,ITA,2,1467.3416748,2006-09-28,2006-09-28
None,Frosinone,ITA,2,1472.70666504,2006-09-29,2006-09-30
None,Frosinone,ITA,2,1481.99719238,2006-10-01,2006-10-14
None,Frosinone,ITA,2,1494.35119629,2006-10-15,2006-10-17
None,Frosinone,ITA,2,1495.64453125,2006-10-18,2006-10-18
None,Frosinone,ITA,2,1499.09375,2006-10-19,2006-10-19
None,Frosinone,ITA,2,1500.36401367,2006-10-20,2006-10-21
None,Frosinone,ITA,2,1490.01342773,2006-10-22,2006-10-28
None,Frosinone,ITA,2,1489.35058594,2006-10-29,2006-10-31
None,Frosinone,ITA,2,1489.19165039,2006-11-01,2006-11-01
None,Frosinone,ITA,2,1497.83618164,2006-11-02,2006-11-02
None,Frosinone,ITA,2,1494.02209473,2006-11-03,2006-11-04
None,Frosinone,ITA,2,1502.39831543,2006-11-05,2006-11-11
None,Frosinone,ITA,2,1496.39709473,2006-11-12,2006-11-18
None,Frosinone,ITA,2,1502.7364502,2006-11-19,2006-11-21
None,Frosinone,ITA,2,1498.89990234,2006-11-22,2006-11-22
None,Frosinone,ITA,2,1497.32714844,2006-11-23,2006-11-23
None,Frosinone,ITA,2,1494.86108398,2006-11-24,2006-11-27
None,Frosinone,ITA,2,1492.84960938,2006-11-28,2006-11-29
None,Frosinone,ITA,2,1495.47119141,2006-11-30,2006-12-02
None,Frosinone,ITA,2,1498.82177734,2006-12-03,2006-12-05
None,Frosinone,ITA,2,1501.53918457,2006-12-06,2006-12-06
None,Frosinone,ITA,2,1495.70861816,2006-12-07,2006-12-09
None,Frosinone,ITA,2,1502.46777344,2006-12-10,2006-12-13
None,Frosinone,ITA,2,1502.19958496,2006-12-14,2006-12-14
None,Frosinone,ITA,2,1502.11633301,2006-12-15,2006-12-16
None,Frosinone,ITA,2,1496.54663086,2006-12-17,2006-12-19
None,Frosinone,ITA,2,1501.11779785,2006-12-20,2006-12-22
None,Frosinone,ITA,2,1488.4453125,2006-12-23,2007-01-13
None,Frosinone,ITA,2,1485.80664062,2007-01-14,2007-01-20
None,Frosinone,ITA,2,1488.78393555,2007-01-21,2007-01-27
None,Frosinone,ITA,2,1486.85046387,2007-01-28,2007-02-10
None,Frosinone,ITA,2,1488.40576172,2007-02-11,2007-02-14
None,Frosinone,ITA,2,1486.65026855,2007-02-15,2007-02-15
None,Frosinone,ITA,2,1485.20324707,2007-02-16,2007-02-17
None,Frosinone,ITA,2,1491.7989502,2007-02-18,2007-02-20
None,Frosinone,ITA,2,1491.80651855,2007-02-21,2007-02-21
None,Frosinone,ITA,2,1489.79089355,2007-02-22,2007-02-22
None,Frosinone,ITA,2,1485.79785156,2007-02-23,2007-02-24
None,Frosinone,ITA,2,1487.20715332,2007-02-25,2007-03-03
None,Frosinone,ITA,2,1472.10778809,2007-03-04,2007-03-06
None,Frosinone,ITA,2,1478.92431641,2007-03-07,2007-03-07
None,Frosinone,ITA,2,1480.4630127,2007-03-08,2007-03-10
None,Frosinone,ITA,2,1467.25842285,2007-03-11,2007-03-13
None,Frosinone,ITA,2,1462.78149414,2007-03-14,2007-03-17
None,Frosinone,ITA,2,1454.35192871,2007-03-18,2007-03-25
None,Frosinone,ITA,2,1450.71691895,2007-03-26,2007-03-31
None,Frosinone,ITA,2,1462.36791992,2007-04-01,2007-04-03
None,Frosinone,ITA,2,1460.47302246,2007-04-04,2007-04-04
None,Frosinone,ITA,2,1461.796875,2007-04-05,2007-04-06
None,Frosinone,ITA,2,1464.38110352,2007-04-07,2007-04-10
None,Frosinone,ITA,2,1459.19067383,2007-04-11,2007-04-11
None,Frosinone,ITA,2,1465.67407227,2007-04-12,2007-04-14
None,Frosinone,ITA,2,1470.2857666,2007-04-15,2007-04-17
None,Frosinone,ITA,2,1478.20446777,2007-04-18,2007-04-21
None,Frosinone,ITA,2,1470.12207031,2007-04-22,2007-04-24
None,Frosinone,ITA,2,1469.96142578,2007-04-25,2007-04-28
