Rank,Club,Country,Level,Elo,From,To
None,Fuerth,FRG,0,1555.7598877,1950-06-04,1950-06-04
None,Fuerth,FRG,0,1565.14013672,1950-06-05,1950-06-16
None,Fuerth,FRG,0,1551.93933105,1950-06-17,1950-11-25
None,Fuerth,FRG,0,1555.93933105,1950-11-26,1951-04-16
None,Fuerth,FRG,0,1563.93933105,1951-04-17,1951-05-06
None,Fuerth,FRG,0,1568.3927002,1951-05-07,1951-05-13
None,Fuerth,FRG,0,1565.37512207,1951-05-14,1951-05-20
None,Fuerth,FRG,0,1576.44580078,1951-05-21,1951-05-27
None,Fuerth,FRG,0,1570.77038574,1951-05-28,1951-06-03
None,Fuerth,FRG,0,1559.33605957,1951-06-04,1951-06-10
None,Fuerth,FRG,0,1554.59008789,1951-06-11,1951-06-18
None,Fuerth,FRG,0,1536.59008789,1951-06-19,1951-07-01
None,Fuerth,FRG,1,1536.59008789,1951-07-02,1951-08-19
None,Fuerth,FRG,1,1529.97253418,1951-08-20,1951-08-26
None,Fuerth,FRG,1,1528.28283691,1951-08-27,1951-09-02
None,Fuerth,FRG,1,1530.42919922,1951-09-03,1951-09-09
None,Fuerth,FRG,1,1521.17370605,1951-09-10,1951-09-16
None,Fuerth,FRG,1,1515.23840332,1951-09-17,1951-09-24
None,Fuerth,FRG,1,1534.23840332,1951-09-25,1951-09-30
None,Fuerth,FRG,1,1528.40039062,1951-10-01,1951-10-07
None,Fuerth,FRG,1,1531.37414551,1951-10-08,1951-10-18
None,Fuerth,FRG,1,1516.37414551,1951-10-19,1951-10-21
None,Fuerth,FRG,1,1514.38720703,1951-10-22,1951-10-28
None,Fuerth,FRG,1,1518.15039062,1951-10-29,1951-11-04
None,Fuerth,FRG,1,1503.2713623,1951-11-05,1951-11-11
None,Fuerth,FRG,1,1506.44042969,1951-11-12,1951-11-18
None,Fuerth,FRG,1,1498.26171875,1951-11-19,1951-11-23
None,Fuerth,FRG,1,1507.26171875,1951-11-24,1951-11-25
None,Fuerth,FRG,1,1511.984375,1951-11-26,1951-12-02
None,Fuerth,FRG,1,1494.63781738,1951-12-03,1951-12-09
None,Fuerth,FRG,1,1486.94421387,1951-12-10,1951-12-25
None,Fuerth,FRG,1,1487.94421387,1951-12-26,1951-12-30
None,Fuerth,FRG,1,1476.40258789,1951-12-31,1952-01-06
None,Fuerth,FRG,1,1465.50744629,1952-01-07,1952-01-13
None,Fuerth,FRG,1,1466.03979492,1952-01-14,1952-01-20
None,Fuerth,FRG,1,1471.91760254,1952-01-21,1952-01-27
None,Fuerth,FRG,1,1480.14904785,1952-01-28,1952-02-03
None,Fuerth,FRG,1,1480.08178711,1952-02-04,1952-02-10
None,Fuerth,FRG,1,1470.03027344,1952-02-11,1952-02-17
None,Fuerth,FRG,1,1474.56689453,1952-02-18,1952-02-24
None,Fuerth,FRG,1,1475.35058594,1952-02-25,1952-03-02
None,Fuerth,FRG,1,1477.64501953,1952-03-03,1952-03-09
None,Fuerth,FRG,1,1465.64916992,1952-03-10,1952-03-16
None,Fuerth,FRG,1,1462.1348877,1952-03-17,1952-03-23
None,Fuerth,FRG,1,1463.82263184,1952-03-24,1952-03-30
None,Fuerth,FRG,1,1458.95593262,1952-03-31,1952-04-06
None,Fuerth,FRG,1,1463.06494141,1952-04-07,1952-04-21
None,Fuerth,FRG,1,1465.06494141,1952-04-22,1952-05-07
None,Fuerth,FRG,1,1469.06494141,1952-05-08,1952-08-24
None,Fuerth,FRG,1,1459.66992188,1952-08-25,1952-08-31
None,Fuerth,FRG,1,1468.00256348,1952-09-01,1952-09-07
None,Fuerth,FRG,1,1473.45166016,1952-09-08,1952-09-14
None,Fuerth,FRG,1,1459.01586914,1952-09-15,1952-09-21
None,Fuerth,FRG,1,1463.41149902,1952-09-22,1952-09-28
