Rank,Club,Country,Level,Elo,From,To
None,Gallipoli,ITA,2,1388.07727051,2009-07-01,2009-07-30
None,Gallipoli,ITA,2,1388.67248535,2009-07-31,2009-08-06
None,Gallipoli,ITA,2,1389.90734863,2009-08-07,2009-08-18
None,Gallipoli,ITA,2,1391.37768555,2009-08-19,2009-08-20
None,Gallipoli,ITA,2,1396.5489502,2009-08-21,2009-08-21
None,Gallipoli,ITA,2,1400.66955566,2009-08-22,2009-08-26
None,Gallipoli,ITA,2,1401.56542969,2009-08-27,2009-08-27
None,Gallipoli,ITA,2,1402.68688965,2009-08-28,2009-08-29
None,Gallipoli,ITA,2,1387.94763184,2009-08-30,2009-09-06
None,Gallipoli,ITA,2,1391.9375,2009-09-07,2009-09-12
None,Gallipoli,ITA,2,1391.9420166,2009-09-13,2009-09-15
None,Gallipoli,ITA,2,1394.15490723,2009-09-16,2009-09-16
None,Gallipoli,ITA,2,1392.65087891,2009-09-17,2009-09-17
None,Gallipoli,ITA,2,1383.65783691,2009-09-18,2009-09-19
None,Gallipoli,ITA,2,1387.82055664,2009-09-20,2009-09-22
None,Gallipoli,ITA,2,1394.84765625,2009-09-23,2009-09-26
None,Gallipoli,ITA,2,1398.08288574,2009-09-27,2009-09-29
None,Gallipoli,ITA,2,1402.09594727,2009-09-30,2009-09-30
None,Gallipoli,ITA,2,1397.81787109,2009-10-01,2009-10-01
None,Gallipoli,ITA,2,1401.36767578,2009-10-02,2009-10-03
None,Gallipoli,ITA,2,1402.34814453,2009-10-04,2009-10-17
None,Gallipoli,ITA,2,1397.01196289,2009-10-18,2009-10-20
None,Gallipoli,ITA,2,1396.87573242,2009-10-21,2009-10-21
None,Gallipoli,ITA,2,1401.58996582,2009-10-22,2009-10-22
None,Gallipoli,ITA,2,1401.20617676,2009-10-23,2009-10-24
None,Gallipoli,ITA,2,1390.48669434,2009-10-25,2009-10-27
None,Gallipoli,ITA,2,1404.00939941,2009-10-28,2009-10-31
None,Gallipoli,ITA,2,1396.73205566,2009-11-01,2009-11-03
None,Gallipoli,ITA,2,1397.90344238,2009-11-04,2009-11-04
None,Gallipoli,ITA,2,1401.44543457,2009-11-05,2009-11-05
None,Gallipoli,ITA,2,1403.22839355,2009-11-06,2009-11-07
None,Gallipoli,ITA,2,1411.82800293,2009-11-08,2009-11-15
None,Gallipoli,ITA,2,1423.53918457,2009-11-16,2009-11-21
None,Gallipoli,ITA,2,1422.33068848,2009-11-22,2009-11-24
None,Gallipoli,ITA,2,1422.47363281,2009-11-25,2009-11-25
None,Gallipoli,ITA,2,1418.21203613,2009-11-26,2009-11-27
