Rank,Club,Country,Level,Elo,From,To
None,Gaziantepspor,TUR,1,1170.1784668,1979-07-01,1979-08-26
None,Gaziantepspor,TUR,1,1175.99536133,1979-08-27,1979-09-02
None,Gaziantepspor,TUR,1,1181.6953125,1979-09-03,1979-09-09
None,Gaziantepspor,TUR,1,1178.41748047,1979-09-10,1979-09-16
None,Gaziantepspor,TUR,1,1182.82006836,1979-09-17,1979-09-19
None,Gaziantepspor,TUR,1,1189.25720215,1979-09-20,1979-09-22
None,Gaziantepspor,TUR,1,1196.60839844,1979-09-23,1979-09-30
None,Gaziantepspor,TUR,1,1204.99487305,1979-10-01,1979-10-03
None,Gaziantepspor,TUR,1,1192.16625977,1979-10-04,1979-10-07
None,Gaziantepspor,TUR,1,1188.96240234,1979-10-08,1979-10-21
None,Gaziantepspor,TUR,1,1177.85974121,1979-10-22,1979-11-04
None,Gaziantepspor,TUR,1,1182.81311035,1979-11-05,1979-11-11
None,Gaziantepspor,TUR,1,1179.47363281,1979-11-12,1979-11-25
None,Gaziantepspor,TUR,1,1184.92700195,1979-11-26,1979-12-02
None,Gaziantepspor,TUR,1,1182.21435547,1979-12-03,1979-12-09
None,Gaziantepspor,TUR,1,1188.12060547,1979-12-10,1979-12-30
None,Gaziantepspor,TUR,1,1180.86608887,1979-12-31,1980-01-06
None,Gaziantepspor,TUR,1,1199.19287109,1980-01-07,1980-02-10
None,Gaziantepspor,TUR,1,1195.84155273,1980-02-11,1980-02-17
None,Gaziantepspor,TUR,1,1190.8848877,1980-02-18,1980-02-24
None,Gaziantepspor,TUR,1,1187.95947266,1980-02-25,1980-03-02
None,Gaziantepspor,TUR,1,1181.2935791,1980-03-03,1980-03-09
None,Gaziantepspor,TUR,1,1180.44677734,1980-03-10,1980-03-16
None,Gaziantepspor,TUR,1,1178.24328613,1980-03-17,1980-03-23
None,Gaziantepspor,TUR,1,1188.98266602,1980-03-24,1980-03-30
None,Gaziantepspor,TUR,1,1185.94616699,1980-03-31,1980-04-13
None,Gaziantepspor,TUR,1,1182.36230469,1980-04-14,1980-04-20
