Rank,Club,Country,Level,Elo,From,To
None,Genclerbirligi,TUR,1,1194.63989258,1959-07-04,1959-09-12
None,Genclerbirligi,TUR,1,1180.4440918,1959-09-13,1959-09-13
None,Genclerbirligi,TUR,1,1175.51843262,1959-09-14,1959-09-23
None,Genclerbirligi,TUR,1,1230.69152832,1959-09-24,1959-09-26
None,Genclerbirligi,TUR,1,1222.78503418,1959-09-27,1959-09-27
None,Genclerbirligi,TUR,1,1225.73681641,1959-09-28,1959-10-03
None,Genclerbirligi,TUR,1,1235.28649902,1959-10-04,1959-10-04
None,Genclerbirligi,TUR,1,1233.81848145,1959-10-05,1959-10-17
None,Genclerbirligi,TUR,1,1243.33056641,1959-10-18,1959-10-18
None,Genclerbirligi,TUR,1,1250.24377441,1959-10-19,1959-11-01
None,Genclerbirligi,TUR,1,1254.89575195,1959-11-02,1959-11-07
None,Genclerbirligi,TUR,1,1251.68835449,1959-11-08,1959-11-08
None,Genclerbirligi,TUR,1,1258.43640137,1959-11-09,1959-11-19
None,Genclerbirligi,TUR,1,1260.42089844,1959-11-20,1959-11-21
None,Genclerbirligi,TUR,1,1269.7635498,1959-11-22,1959-11-22
None,Genclerbirligi,TUR,1,1263.12646484,1959-11-23,1959-12-03
None,Genclerbirligi,TUR,1,1261.30737305,1959-12-04,1959-12-05
None,Genclerbirligi,TUR,1,1270.54211426,1959-12-06,1959-12-06
None,Genclerbirligi,TUR,1,1261.60620117,1959-12-07,1959-12-12
None,Genclerbirligi,TUR,1,1271.32287598,1959-12-13,1959-12-13
None,Genclerbirligi,TUR,1,1275.05224609,1959-12-14,1959-12-23
None,Genclerbirligi,TUR,1,1268.86584473,1959-12-24,1959-12-26
None,Genclerbirligi,TUR,1,1265.61206055,1959-12-27,1959-12-27
None,Genclerbirligi,TUR,1,1270.4543457,1959-12-28,1960-01-30
None,Genclerbirligi,TUR,1,1280.54467773,1960-01-31,1960-02-06
None,Genclerbirligi,TUR,1,1270.00146484,1960-02-07,1960-02-07
None,Genclerbirligi,TUR,1,1270.61157227,1960-02-08,1960-02-13
None,Genclerbirligi,TUR,1,1279.48669434,1960-02-14,1960-02-14
None,Genclerbirligi,TUR,1,1278.609375,1960-02-15,1960-02-24
None,Genclerbirligi,TUR,1,1268.10925293,1960-02-25,1960-02-27
None,Genclerbirligi,TUR,1,1268.58361816,1960-02-28,1960-02-28
None,Genclerbirligi,TUR,1,1281.39746094,1960-02-29,1960-03-05
None,Genclerbirligi,TUR,1,1277.73852539,1960-03-06,1960-03-06
None,Genclerbirligi,TUR,1,1270.51074219,1960-03-07,1960-03-19
None,Genclerbirligi,TUR,1,1264.87585449,1960-03-20,1960-03-20
None,Genclerbirligi,TUR,1,1258.45898438,1960-03-21,1960-04-02
None,Genclerbirligi,TUR,1,1255.54199219,1960-04-03,1960-04-09
None,Genclerbirligi,TUR,1,1256.79431152,1960-04-10,1960-04-10
None,Genclerbirligi,TUR,1,1255.65979004,1960-04-11,1960-05-14
None,Genclerbirligi,TUR,1,1252.2824707,1960-05-15,1960-05-15
None,Genclerbirligi,TUR,1,1240.40539551,1960-05-16,1960-05-21
None,Genclerbirligi,TUR,1,1232.75463867,1960-05-22,1960-05-22
None,Genclerbirligi,TUR,1,1231.12414551,1960-05-23,1960-08-27
None,Genclerbirligi,TUR,1,1243.54003906,1960-08-28,1960-08-30
None,Genclerbirligi,TUR,1,1235.29333496,1960-08-31,1960-09-03
None,Genclerbirligi,TUR,1,1244.80688477,1960-09-04,1960-09-04
None,Genclerbirligi,TUR,1,1247.17468262,1960-09-05,1960-09-13
None,Genclerbirligi,TUR,1,1250.45141602,1960-09-14,1960-09-14
None,Genclerbirligi,TUR,1,1244.3614502,1960-09-15,1960-09-24
None,Genclerbirligi,TUR,1,1249.45092773,1960-09-25,1960-09-28
None,Genclerbirligi,TUR,1,1249.21313477,1960-09-29,1960-10-01
None,Genclerbirligi,TUR,1,1265.56384277,1960-10-02,1960-10-02
None,Genclerbirligi,TUR,1,1273.35510254,1960-10-03,1960-10-08
None,Genclerbirligi,TUR,1,1277.55895996,1960-10-09,1960-10-09
None,Genclerbirligi,TUR,1,1273.50500488,1960-10-10,1960-10-15
None,Genclerbirligi,TUR,1,1263.73352051,1960-10-16,1960-10-16
None,Genclerbirligi,TUR,1,1270.85241699,1960-10-17,1960-11-05
None,Genclerbirligi,TUR,1,1259.90869141,1960-11-06,1960-11-06
None,Genclerbirligi,TUR,1,1268.16357422,1960-11-07,1960-11-12
None,Genclerbirligi,TUR,1,1271.41369629,1960-11-13,1960-11-13
None,Genclerbirligi,TUR,1,1269.95373535,1960-11-14,1960-11-20
None,Genclerbirligi,TUR,1,1263.3170166,1960-11-21,1960-12-10
None,Genclerbirligi,TUR,1,1274.31750488,1960-12-11,1960-12-11
None,Genclerbirligi,TUR,1,1278.28125,1960-12-12,1961-01-14
None,Genclerbirligi,TUR,1,1275.65063477,1961-01-15,1961-01-15
None,Genclerbirligi,TUR,1,1278.85766602,1961-01-16,1961-01-22
None,Genclerbirligi,TUR,1,1280.6550293,1961-01-23,1961-01-28
None,Genclerbirligi,TUR,1,1282.81164551,1961-01-29,1961-01-29
None,Genclerbirligi,TUR,1,1289.37841797,1961-01-30,1961-03-04
None,Genclerbirligi,TUR,1,1289.76123047,1961-03-05,1961-03-05
None,Genclerbirligi,TUR,1,1295.3170166,1961-03-06,1961-03-12
None,Genclerbirligi,TUR,1,1299.19140625,1961-03-13,1961-03-19
None,Genclerbirligi,TUR,1,1309.01757812,1961-03-20,1961-03-25
None,Genclerbirligi,TUR,1,1315.87683105,1961-03-26,1961-03-26
None,Genclerbirligi,TUR,1,1307.95556641,1961-03-27,1961-04-01
None,Genclerbirligi,TUR,1,1311.57397461,1961-04-02,1961-04-02
None,Genclerbirligi,TUR,1,1299.3684082,1961-04-03,1961-04-09
None,Genclerbirligi,TUR,1,1299.27319336,1961-04-10,1961-04-29
None,Genclerbirligi,TUR,1,1300.20178223,1961-04-30,1961-04-30
None,Genclerbirligi,TUR,1,1297.28234863,1961-05-01,1961-05-13
None,Genclerbirligi,TUR,1,1291.68237305,1961-05-14,1961-06-03
None,Genclerbirligi,TUR,1,1283.39416504,1961-06-04,1961-06-04
None,Genclerbirligi,TUR,1,1276.12536621,1961-06-05,1961-09-02
None,Genclerbirligi,TUR,1,1286.24963379,1961-09-03,1961-09-09
None,Genclerbirligi,TUR,1,1281.92382812,1961-09-10,1961-09-10
None,Genclerbirligi,TUR,1,1274.92907715,1961-09-11,1961-10-14
None,Genclerbirligi,TUR,1,1263.52294922,1961-10-15,1961-10-16
None,Genclerbirligi,TUR,1,1265.5748291,1961-10-17,1961-10-18
None,Genclerbirligi,TUR,1,1264.14440918,1961-10-19,1961-10-21
None,Genclerbirligi,TUR,1,1271.76867676,1961-10-22,1961-10-22
None,Genclerbirligi,TUR,1,1260.13415527,1961-10-23,1961-10-28
None,Genclerbirligi,TUR,1,1264.76403809,1961-10-29,1961-10-30
None,Genclerbirligi,TUR,1,1269.99768066,1961-10-31,1961-11-26
None,Genclerbirligi,TUR,1,1265.73754883,1961-11-27,1961-12-02
None,Genclerbirligi,TUR,1,1253.9942627,1961-12-03,1961-12-03
None,Genclerbirligi,TUR,1,1259.68273926,1961-12-04,1961-12-09
None,Genclerbirligi,TUR,1,1248.2487793,1961-12-10,1961-12-10
None,Genclerbirligi,TUR,1,1241.03515625,1961-12-11,1961-12-23
None,Genclerbirligi,TUR,1,1257.16540527,1961-12-24,1961-12-30
None,Genclerbirligi,TUR,1,1265.66577148,1961-12-31,1961-12-31
