Rank,Club,Country,Level,Elo,From,To
None,Genoa,ITA,1,1722.61303711,1946-07-07,1946-09-22
None,Genoa,ITA,1,1732.96716309,1946-09-23,1946-09-29
None,Genoa,ITA,1,1727.20361328,1946-09-30,1946-10-06
None,Genoa,ITA,1,1724.14709473,1946-10-07,1946-10-13
None,Genoa,ITA,1,1727.80517578,1946-10-14,1946-10-20
None,Genoa,ITA,1,1724.91235352,1946-10-21,1946-10-27
None,Genoa,ITA,1,1719.63317871,1946-10-28,1946-11-03
None,Genoa,ITA,1,1710.47399902,1946-11-04,1946-11-10
None,Genoa,ITA,1,1717.4206543,1946-11-11,1946-11-12
None,Genoa,ITA,1,1715.42822266,1946-11-13,1946-11-24
None,Genoa,ITA,1,1709.49316406,1946-11-25,1946-12-07
None,Genoa,ITA,1,1711.49316406,1946-12-08,1946-12-08
None,Genoa,ITA,1,1720.95739746,1946-12-09,1946-12-15
None,Genoa,ITA,1,1712.53466797,1946-12-16,1946-12-22
None,Genoa,ITA,1,1721.93017578,1946-12-23,1946-12-29
None,Genoa,ITA,1,1724.36999512,1946-12-30,1947-01-05
None,Genoa,ITA,1,1716.24584961,1947-01-06,1947-01-12
None,Genoa,ITA,1,1711.34069824,1947-01-13,1947-01-19
None,Genoa,ITA,1,1722.14453125,1947-01-20,1947-01-26
None,Genoa,ITA,1,1723.60803223,1947-01-27,1947-02-02
None,Genoa,ITA,1,1729.62390137,1947-02-03,1947-02-16
None,Genoa,ITA,1,1714.78100586,1947-02-17,1947-02-23
None,Genoa,ITA,1,1719.5078125,1947-02-24,1947-03-02
None,Genoa,ITA,1,1714.23364258,1947-03-03,1947-03-09
None,Genoa,ITA,1,1724.02783203,1947-03-10,1947-03-16
None,Genoa,ITA,1,1727.04663086,1947-03-17,1947-03-23
None,Genoa,ITA,1,1733.76049805,1947-03-24,1947-03-30
None,Genoa,ITA,1,1722.68164062,1947-03-31,1947-04-06
None,Genoa,ITA,1,1719.17272949,1947-04-07,1947-04-13
None,Genoa,ITA,1,1715.65942383,1947-04-14,1947-04-20
None,Genoa,ITA,1,1712.73022461,1947-04-21,1947-04-28
None,Genoa,ITA,1,1715.73022461,1947-04-29,1947-05-04
None,Genoa,ITA,1,1718.57873535,1947-05-05,1947-05-14
None,Genoa,ITA,1,1721.57873535,1947-05-15,1947-05-18
None,Genoa,ITA,1,1709.40258789,1947-05-19,1947-05-25
None,Genoa,ITA,1,1719.44238281,1947-05-26,1947-06-01
None,Genoa,ITA,1,1726.13439941,1947-06-02,1947-06-08
None,Genoa,ITA,1,1720.7434082,1947-06-09,1947-06-15
None,Genoa,ITA,1,1725.75585938,1947-06-16,1947-06-22
None,Genoa,ITA,1,1727.57275391,1947-06-23,1947-06-29
None,Genoa,ITA,1,1730.97766113,1947-06-30,1947-07-06
None,Genoa,ITA,1,1722.48754883,1947-07-07,1947-09-14
