Rank,Club,Country,Level,Elo,From,To
None,Grosseto,ITA,2,1411.22119141,2007-07-01,2007-08-14
None,Grosseto,ITA,2,1409.31274414,2007-08-15,2007-08-16
None,Grosseto,ITA,2,1409.11694336,2007-08-17,2007-08-25
None,Grosseto,ITA,2,1402.57543945,2007-08-26,2007-08-28
None,Grosseto,ITA,2,1407.26464844,2007-08-29,2007-08-30
None,Grosseto,ITA,2,1402.2947998,2007-08-31,2007-08-31
None,Grosseto,ITA,2,1396.55908203,2007-09-01,2007-09-09
None,Grosseto,ITA,2,1392.20788574,2007-09-10,2007-09-15
None,Grosseto,ITA,2,1391.29992676,2007-09-16,2007-09-18
None,Grosseto,ITA,2,1392.50524902,2007-09-19,2007-09-19
None,Grosseto,ITA,2,1390.20532227,2007-09-20,2007-09-20
None,Grosseto,ITA,2,1390.68078613,2007-09-21,2007-09-22
None,Grosseto,ITA,2,1400.93469238,2007-09-23,2007-09-25
None,Grosseto,ITA,2,1394.58532715,2007-09-26,2007-09-29
None,Grosseto,ITA,2,1402.69580078,2007-09-30,2007-10-02
None,Grosseto,ITA,2,1403.13549805,2007-10-03,2007-10-03
None,Grosseto,ITA,2,1400.44836426,2007-10-04,2007-10-04
None,Grosseto,ITA,2,1385.17858887,2007-10-05,2007-10-06
None,Grosseto,ITA,2,1389.36352539,2007-10-07,2007-10-14
None,Grosseto,ITA,2,1389.67248535,2007-10-15,2007-10-20
None,Grosseto,ITA,2,1394.71740723,2007-10-21,2007-10-23
None,Grosseto,ITA,2,1397.91772461,2007-10-24,2007-10-24
None,Grosseto,ITA,2,1398.3503418,2007-10-25,2007-10-25
None,Grosseto,ITA,2,1400.10583496,2007-10-26,2007-10-27
None,Grosseto,ITA,2,1411.11999512,2007-10-28,2007-10-30
None,Grosseto,ITA,2,1416.86315918,2007-10-31,2007-11-03
None,Grosseto,ITA,2,1422.26635742,2007-11-04,2007-11-06
None,Grosseto,ITA,2,1429.13427734,2007-11-07,2007-11-07
None,Grosseto,ITA,2,1430.13098145,2007-11-08,2007-11-08
None,Grosseto,ITA,2,1430.7902832,2007-11-09,2007-11-10
None,Grosseto,ITA,2,1417.5625,2007-11-11,2007-11-24
None,Grosseto,ITA,2,1409.11853027,2007-11-25,2007-11-27
None,Grosseto,ITA,2,1413.60998535,2007-11-28,2007-11-28
None,Grosseto,ITA,2,1409.95776367,2007-11-29,2007-11-29
None,Grosseto,ITA,2,1409.66357422,2007-11-30,2007-12-01
None,Grosseto,ITA,2,1410.62145996,2007-12-02,2007-12-04
None,Grosseto,ITA,2,1411.40380859,2007-12-05,2007-12-08
None,Grosseto,ITA,2,1410.17602539,2007-12-09,2007-12-11
None,Grosseto,ITA,2,1409.31848145,2007-12-12,2007-12-12
None,Grosseto,ITA,2,1411.31848145,2007-12-13,2007-12-15
None,Grosseto,ITA,2,1408.96972656,2007-12-16,2007-12-20
None,Grosseto,ITA,2,1409.6072998,2007-12-21,2007-12-22
None,Grosseto,ITA,2,1417.80322266,2007-12-23,2008-01-12
None,Grosseto,ITA,2,1414.66308594,2008-01-13,2008-01-19
None,Grosseto,ITA,2,1426.47961426,2008-01-20,2008-01-26
None,Grosseto,ITA,2,1414.32568359,2008-01-27,2008-02-02
None,Grosseto,ITA,2,1408.98461914,2008-02-03,2008-02-09
None,Grosseto,ITA,2,1410.45605469,2008-02-10,2008-02-12
None,Grosseto,ITA,2,1413.13745117,2008-02-13,2008-02-14
None,Grosseto,ITA,2,1413.98156738,2008-02-15,2008-02-16
None,Grosseto,ITA,2,1409.27807617,2008-02-17,2008-02-19
None,Grosseto,ITA,2,1406.45129395,2008-02-20,2008-02-20
None,Grosseto,ITA,2,1407.50537109,2008-02-21,2008-02-21
None,Grosseto,ITA,2,1407.91723633,2008-02-22,2008-02-23
None,Grosseto,ITA,2,1404.39916992,2008-02-24,2008-03-01
None,Grosseto,ITA,2,1407.64025879,2008-03-02,2008-03-04
None,Grosseto,ITA,2,1403.31091309,2008-03-05,2008-03-05
None,Grosseto,ITA,2,1409.3651123,2008-03-06,2008-03-06
None,Grosseto,ITA,2,1413.57275391,2008-03-07,2008-03-08
None,Grosseto,ITA,2,1412.46520996,2008-03-09,2008-03-11
None,Grosseto,ITA,2,1409.60632324,2008-03-12,2008-03-12
None,Grosseto,ITA,2,1406.34936523,2008-03-13,2008-03-15
None,Grosseto,ITA,2,1410.44628906,2008-03-16,2008-03-18
None,Grosseto,ITA,2,1419.16711426,2008-03-19,2008-03-21
None,Grosseto,ITA,2,1424.54968262,2008-03-22,2008-03-29
None,Grosseto,ITA,2,1427.21679688,2008-03-30,2008-04-01
None,Grosseto,ITA,2,1424.82409668,2008-04-02,2008-04-03
None,Grosseto,ITA,2,1427.84313965,2008-04-04,2008-04-05
None,Grosseto,ITA,2,1445.18847656,2008-04-06,2008-04-09
None,Grosseto,ITA,2,1444.79968262,2008-04-10,2008-04-10
None,Grosseto,ITA,2,1447.30126953,2008-04-11,2008-04-12
None,Grosseto,ITA,2,1436.93371582,2008-04-13,2008-04-19
None,Grosseto,ITA,2,1454.69763184,2008-04-20,2008-04-24
None,Grosseto,ITA,2,1455.06652832,2008-04-25,2008-04-26
None,Grosseto,ITA,2,1453.17382812,2008-04-27,2008-05-01
None,Grosseto,ITA,2,1452.0760498,2008-05-02,2008-05-10
None,Grosseto,ITA,2,1469.62658691,2008-05-11,2008-05-14
None,Grosseto,ITA,2,1462.80578613,2008-05-15,2008-05-17
None,Grosseto,ITA,2,1464.99304199,2008-05-18,2008-05-25
None,Grosseto,ITA,2,1468.03564453,2008-05-26,2008-06-01
None,Grosseto,ITA,2,1468.48681641,2008-06-02,2008-08-12
None,Grosseto,ITA,2,1470.16479492,2008-08-13,2008-08-13
None,Grosseto,ITA,2,1470.66467285,2008-08-14,2008-08-14
None,Grosseto,ITA,2,1470.83544922,2008-08-15,2008-08-26
None,Grosseto,ITA,2,1470.85791016,2008-08-27,2008-08-27
None,Grosseto,ITA,2,1471.02380371,2008-08-28,2008-08-28
None,Grosseto,ITA,2,1471.1151123,2008-08-29,2008-08-30
None,Grosseto,ITA,2,1482.21960449,2008-08-31,2008-09-07
None,Grosseto,ITA,2,1491.83093262,2008-09-08,2008-09-13
None,Grosseto,ITA,2,1476.35266113,2008-09-14,2008-09-16
None,Grosseto,ITA,2,1473.37817383,2008-09-17,2008-09-17
None,Grosseto,ITA,2,1475.95922852,2008-09-18,2008-09-18
None,Grosseto,ITA,2,1482.4510498,2008-09-19,2008-09-20
None,Grosseto,ITA,2,1491.14379883,2008-09-21,2008-09-23
None,Grosseto,ITA,2,1490.40795898,2008-09-24,2008-09-27
None,Grosseto,ITA,2,1494.73425293,2008-09-28,2008-09-30
None,Grosseto,ITA,2,1490.12036133,2008-10-01,2008-10-01
None,Grosseto,ITA,2,1492.25415039,2008-10-02,2008-10-02
None,Grosseto,ITA,2,1483.00500488,2008-10-03,2008-10-04
None,Grosseto,ITA,2,1482.00891113,2008-10-05,2008-10-12
None,Grosseto,ITA,2,1498.43005371,2008-10-13,2008-10-18
None,Grosseto,ITA,2,1507.97290039,2008-10-19,2008-10-21
None,Grosseto,ITA,2,1508.08898926,2008-10-22,2008-10-22
None,Grosseto,ITA,2,1507.7512207,2008-10-23,2008-10-23
None,Grosseto,ITA,2,1515.35534668,2008-10-24,2008-10-25
None,Grosseto,ITA,2,1506.24645996,2008-10-26,2008-10-28
None,Grosseto,ITA,2,1514.52612305,2008-10-29,2008-11-01
None,Grosseto,ITA,2,1508.42321777,2008-11-02,2008-11-04
None,Grosseto,ITA,2,1511.68261719,2008-11-05,2008-11-05
None,Grosseto,ITA,2,1517.08654785,2008-11-06,2008-11-06
None,Grosseto,ITA,2,1520.37573242,2008-11-07,2008-11-08
None,Grosseto,ITA,2,1524.34265137,2008-11-09,2008-11-17
None,Grosseto,ITA,2,1528.76013184,2008-11-18,2008-11-22
None,Grosseto,ITA,2,1533.9185791,2008-11-23,2008-11-25
None,Grosseto,ITA,2,1530.15466309,2008-11-26,2008-11-26
None,Grosseto,ITA,2,1526.72009277,2008-11-27,2008-11-27
None,Grosseto,ITA,2,1525.24658203,2008-11-28,2008-11-29
None,Grosseto,ITA,2,1510.1307373,2008-11-30,2008-12-03
None,Grosseto,ITA,2,1506.93310547,2008-12-04,2008-12-06
None,Grosseto,ITA,2,1502.56396484,2008-12-07,2008-12-09
None,Grosseto,ITA,2,1501.02856445,2008-12-10,2008-12-10
None,Grosseto,ITA,2,1499.86242676,2008-12-11,2008-12-13
None,Grosseto,ITA,2,1485.97570801,2008-12-14,2008-12-17
None,Grosseto,ITA,2,1484.38171387,2008-12-18,2008-12-18
None,Grosseto,ITA,2,1483.64880371,2008-12-19,2008-12-19
None,Grosseto,ITA,2,1479.27124023,2008-12-20,2009-01-10
None,Grosseto,ITA,2,1484.37487793,2009-01-11,2009-01-19
None,Grosseto,ITA,2,1475.54626465,2009-01-20,2009-01-24
None,Grosseto,ITA,2,1485.37133789,2009-01-25,2009-01-31
None,Grosseto,ITA,2,1494.70410156,2009-02-01,2009-02-07
None,Grosseto,ITA,2,1484.60241699,2009-02-08,2009-02-14
None,Grosseto,ITA,2,1476.8293457,2009-02-15,2009-02-17
None,Grosseto,ITA,2,1480.76416016,2009-02-18,2009-02-18
None,Grosseto,ITA,2,1478.04284668,2009-02-19,2009-02-19
None,Grosseto,ITA,2,1474.81726074,2009-02-20,2009-02-21
None,Grosseto,ITA,2,1467.3515625,2009-02-22,2009-02-24
None,Grosseto,ITA,2,1465.76391602,2009-02-25,2009-02-25
None,Grosseto,ITA,2,1464.57666016,2009-02-26,2009-02-26
None,Grosseto,ITA,2,1456.31604004,2009-02-27,2009-03-02
None,Grosseto,ITA,2,1447.43005371,2009-03-03,2009-03-07
None,Grosseto,ITA,2,1454.63415527,2009-03-08,2009-03-10
None,Grosseto,ITA,2,1453.50854492,2009-03-11,2009-03-11
None,Grosseto,ITA,2,1452.76477051,2009-03-12,2009-03-12
None,Grosseto,ITA,2,1456.84558105,2009-03-13,2009-03-14
None,Grosseto,ITA,2,1445.79638672,2009-03-15,2009-03-17
None,Grosseto,ITA,2,1447.05993652,2009-03-18,2009-03-19
None,Grosseto,ITA,2,1447.45092773,2009-03-20,2009-03-23
None,Grosseto,ITA,2,1440.15515137,2009-03-24,2009-03-29
None,Grosseto,ITA,2,1438.18371582,2009-03-30,2009-04-04
None,Grosseto,ITA,2,1440.06750488,2009-04-05,2009-04-09
None,Grosseto,ITA,2,1437.88684082,2009-04-10,2009-04-16
None,Grosseto,ITA,2,1436.90161133,2009-04-17,2009-04-17
None,Grosseto,ITA,2,1448.10314941,2009-04-18,2009-04-21
None,Grosseto,ITA,2,1447.42944336,2009-04-22,2009-04-25
None,Grosseto,ITA,2,1453.7454834,2009-04-26,2009-05-02
None,Grosseto,ITA,2,1467.93530273,2009-05-03,2009-05-09
None,Grosseto,ITA,2,1458.66992188,2009-05-10,2009-05-18
None,Grosseto,ITA,2,1466.59716797,2009-05-19,2009-05-23
None,Grosseto,ITA,2,1466.76647949,2009-05-24,2009-05-30
None,Grosseto,ITA,2,1472.73254395,2009-05-31,2009-06-07
None,Grosseto,ITA,2,1478.95117188,2009-06-08,2009-06-11
None,Grosseto,ITA,2,1461.52197266,2009-06-12,2009-07-30
None,Grosseto,ITA,2,1462.1171875,2009-07-31,2009-08-06
None,Grosseto,ITA,2,1463.35192871,2009-08-07,2009-08-18
None,Grosseto,ITA,2,1464.8223877,2009-08-19,2009-08-20
None,Grosseto,ITA,2,1469.99365234,2009-08-21,2009-08-21
None,Grosseto,ITA,2,1456.95068359,2009-08-22,2009-08-26
None,Grosseto,ITA,2,1457.84667969,2009-08-27,2009-08-27
None,Grosseto,ITA,2,1458.96801758,2009-08-28,2009-08-29
None,Grosseto,ITA,2,1453.30395508,2009-08-30,2009-09-06
None,Grosseto,ITA,2,1449.31408691,2009-09-07,2009-09-12
None,Grosseto,ITA,2,1451.6986084,2009-09-13,2009-09-15
None,Grosseto,ITA,2,1453.91149902,2009-09-16,2009-09-16
None,Grosseto,ITA,2,1452.4074707,2009-09-17,2009-09-17
None,Grosseto,ITA,2,1443.41455078,2009-09-18,2009-09-19
None,Grosseto,ITA,2,1452.52880859,2009-09-20,2009-09-22
None,Grosseto,ITA,2,1452.96765137,2009-09-23,2009-09-26
None,Grosseto,ITA,2,1461.5369873,2009-09-27,2009-09-29
None,Grosseto,ITA,2,1465.55004883,2009-09-30,2009-09-30
None,Grosseto,ITA,2,1461.27197266,2009-10-01,2009-10-01
None,Grosseto,ITA,2,1464.82177734,2009-10-02,2009-10-03
None,Grosseto,ITA,2,1455.5480957,2009-10-04,2009-10-11
None,Grosseto,ITA,2,1466.22363281,2009-10-12,2009-10-17
None,Grosseto,ITA,2,1463.15087891,2009-10-18,2009-10-20
None,Grosseto,ITA,2,1463.01477051,2009-10-21,2009-10-21
None,Grosseto,ITA,2,1467.72900391,2009-10-22,2009-10-22
None,Grosseto,ITA,2,1467.34509277,2009-10-23,2009-10-24
None,Grosseto,ITA,2,1469.2565918,2009-10-25,2009-10-31
None,Grosseto,ITA,2,1474.98266602,2009-11-01,2009-11-03
None,Grosseto,ITA,2,1476.15393066,2009-11-04,2009-11-04
None,Grosseto,ITA,2,1479.69604492,2009-11-05,2009-11-05
None,Grosseto,ITA,2,1481.47900391,2009-11-06,2009-11-07
None,Grosseto,ITA,2,1483.4230957,2009-11-08,2009-11-21
None,Grosseto,ITA,2,1478.86535645,2009-11-22,2009-11-24
None,Grosseto,ITA,2,1479.00830078,2009-11-25,2009-11-25
None,Grosseto,ITA,2,1474.7467041,2009-11-26,2009-11-28
None,Grosseto,ITA,2,1470.69506836,2009-11-29,2009-12-02
None,Grosseto,ITA,2,1467.32849121,2009-12-03,2009-12-03
None,Grosseto,ITA,2,1468.15539551,2009-12-04,2009-12-05
None,Grosseto,ITA,2,1477.46594238,2009-12-06,2009-12-08
None,Grosseto,ITA,2,1466.54760742,2009-12-09,2009-12-09
None,Grosseto,ITA,2,1472.04284668,2009-12-10,2009-12-12
None,Grosseto,ITA,2,1481.36193848,2009-12-13,2009-12-16
None,Grosseto,ITA,2,1482.98876953,2009-12-17,2009-12-17
None,Grosseto,ITA,2,1475.90026855,2009-12-18,2009-12-19
None,Grosseto,ITA,2,1481.62182617,2009-12-20,2010-01-05
None,Grosseto,ITA,2,1484.61486816,2010-01-06,2010-01-11
None,Grosseto,ITA,2,1491.2331543,2010-01-12,2010-01-16
None,Grosseto,ITA,2,1481.79406738,2010-01-17,2010-01-23
None,Grosseto,ITA,2,1488.85620117,2010-01-24,2010-02-08
None,Grosseto,ITA,2,1488.98498535,2010-02-09,2010-02-13
None,Grosseto,ITA,2,1497.76037598,2010-02-14,2010-02-16
None,Grosseto,ITA,2,1495.85742188,2010-02-17,2010-02-17
None,Grosseto,ITA,2,1495.47631836,2010-02-18,2010-02-18
None,Grosseto,ITA,2,1496.56323242,2010-02-19,2010-02-20
None,Grosseto,ITA,2,1506.25134277,2010-02-21,2010-02-24
None,Grosseto,ITA,2,1507.90478516,2010-02-25,2010-02-25
None,Grosseto,ITA,2,1501.30847168,2010-02-26,2010-02-27
None,Grosseto,ITA,2,1477.88635254,2010-02-28,2010-03-06
None,Grosseto,ITA,2,1489.10241699,2010-03-07,2010-03-09
None,Grosseto,ITA,2,1488.48193359,2010-03-10,2010-03-10
None,Grosseto,ITA,2,1486.19091797,2010-03-11,2010-03-11
None,Grosseto,ITA,2,1489.39575195,2010-03-12,2010-03-15
None,Grosseto,ITA,2,1485.90014648,2010-03-16,2010-03-16
None,Grosseto,ITA,2,1490.57165527,2010-03-17,2010-03-18
None,Grosseto,ITA,2,1483.40405273,2010-03-19,2010-03-20
None,Grosseto,ITA,2,1481.49523926,2010-03-21,2010-03-23
None,Grosseto,ITA,2,1473.16345215,2010-03-24,2010-03-27
None,Grosseto,ITA,2,1471.04870605,2010-03-28,2010-03-31
None,Grosseto,ITA,2,1471.99060059,2010-04-01,2010-04-02
None,Grosseto,ITA,2,1474.2635498,2010-04-03,2010-04-06
None,Grosseto,ITA,2,1475.79260254,2010-04-07,2010-04-10
None,Grosseto,ITA,2,1485.86853027,2010-04-11,2010-04-13
None,Grosseto,ITA,2,1487.73120117,2010-04-14,2010-04-17
None,Grosseto,ITA,2,1494.10107422,2010-04-18,2010-04-20
