Rank,Club,Country,Level,Elo,From,To
None,Gubbio,ITA,2,1330.6439209,2011-07-02,2011-07-28
None,Gubbio,ITA,2,1328.3815918,2011-07-29,2011-08-04
None,Gubbio,ITA,2,1326.60339355,2011-08-05,2011-08-16
None,Gubbio,ITA,2,1326.05517578,2011-08-17,2011-08-18
None,Gubbio,ITA,2,1325.0345459,2011-08-19,2011-08-24
None,Gubbio,ITA,2,1323.1171875,2011-08-25,2011-08-25
None,Gubbio,ITA,2,1317.17749023,2011-08-26,2011-08-27
None,Gubbio,ITA,2,1310.69262695,2011-08-28,2011-08-30
None,Gubbio,ITA,2,1303.17932129,2011-08-31,2011-09-04
None,Gubbio,ITA,2,1297.44775391,2011-09-05,2011-09-10
None,Gubbio,ITA,2,1288.94824219,2011-09-11,2011-09-13
None,Gubbio,ITA,2,1291.76599121,2011-09-14,2011-09-14
None,Gubbio,ITA,2,1289.36425781,2011-09-15,2011-09-15
None,Gubbio,ITA,2,1289.2611084,2011-09-16,2011-09-17
None,Gubbio,ITA,2,1293.73986816,2011-09-18,2011-09-24
None,Gubbio,ITA,2,1295.53186035,2011-09-25,2011-09-27
None,Gubbio,ITA,2,1302.71606445,2011-09-28,2011-09-28
None,Gubbio,ITA,2,1303.70910645,2011-09-29,2011-09-29
None,Gubbio,ITA,2,1301.48535156,2011-09-30,2011-10-01
None,Gubbio,ITA,2,1300.8001709,2011-10-02,2011-10-05
None,Gubbio,ITA,2,1307.43554688,2011-10-06,2011-10-09
None,Gubbio,ITA,2,1314.5559082,2011-10-10,2011-10-15
None,Gubbio,ITA,2,1309.45117188,2011-10-16,2011-10-18
None,Gubbio,ITA,2,1314.67163086,2011-10-19,2011-10-19
None,Gubbio,ITA,2,1315.49707031,2011-10-20,2011-10-20
None,Gubbio,ITA,2,1318.44934082,2011-10-21,2011-10-24
None,Gubbio,ITA,2,1329.86022949,2011-10-25,2011-10-29
None,Gubbio,ITA,2,1334.67053223,2011-10-30,2011-11-01
None,Gubbio,ITA,2,1341.19421387,2011-11-02,2011-11-02
None,Gubbio,ITA,2,1342.69372559,2011-11-03,2011-11-03
None,Gubbio,ITA,2,1340.10986328,2011-11-04,2011-11-05
None,Gubbio,ITA,2,1331.49731445,2011-11-06,2011-11-13
None,Gubbio,ITA,2,1325.32006836,2011-11-14,2011-11-19
None,Gubbio,ITA,2,1321.51733398,2011-11-20,2011-11-22
None,Gubbio,ITA,2,1325.22839355,2011-11-23,2011-11-23
None,Gubbio,ITA,2,1323.8626709,2011-11-24,2011-11-27
None,Gubbio,ITA,2,1316.3190918,2011-11-28,2011-11-30
None,Gubbio,ITA,2,1316.80078125,2011-12-01,2011-12-01
None,Gubbio,ITA,2,1316.00390625,2011-12-02,2011-12-03
None,Gubbio,ITA,2,1310.95300293,2011-12-04,2011-12-06
None,Gubbio,ITA,2,1309.66394043,2011-12-07,2011-12-07
None,Gubbio,ITA,2,1310.75146484,2011-12-08,2011-12-10
None,Gubbio,ITA,2,1321.81713867,2011-12-11,2011-12-14
None,Gubbio,ITA,2,1324.7791748,2011-12-15,2011-12-15
None,Gubbio,ITA,2,1322.68896484,2011-12-16,2011-12-17
None,Gubbio,ITA,2,1325.73999023,2011-12-18,2012-01-06
None,Gubbio,ITA,2,1327.9498291,2012-01-07,2012-01-14
None,Gubbio,ITA,2,1344.97436523,2012-01-15,2012-01-21
None,Gubbio,ITA,2,1339.30908203,2012-01-22,2012-01-28
None,Gubbio,ITA,2,1341.87231445,2012-01-29,2012-01-31
None,Gubbio,ITA,2,1336.1583252,2012-02-01,2012-02-11
None,Gubbio,ITA,2,1332.64709473,2012-02-12,2012-02-15
None,Gubbio,ITA,2,1339.38647461,2012-02-16,2012-02-16
None,Gubbio,ITA,2,1334.38061523,2012-02-17,2012-02-18
None,Gubbio,ITA,2,1330.26794434,2012-02-19,2012-02-21
None,Gubbio,ITA,2,1334.21337891,2012-02-22,2012-02-22
None,Gubbio,ITA,2,1333.06201172,2012-02-23,2012-02-23
None,Gubbio,ITA,2,1338.16687012,2012-02-24,2012-02-25
None,Gubbio,ITA,2,1349.61901855,2012-02-26,2012-03-05
None,Gubbio,ITA,2,1340.85046387,2012-03-06,2012-03-06
None,Gubbio,ITA,2,1337.92431641,2012-03-07,2012-03-08
None,Gubbio,ITA,2,1334.01794434,2012-03-09,2012-03-10
None,Gubbio,ITA,2,1326.84484863,2012-03-11,2012-03-13
None,Gubbio,ITA,2,1326.00634766,2012-03-14,2012-03-14
None,Gubbio,ITA,2,1319.41186523,2012-03-15,2012-03-15
None,Gubbio,ITA,2,1319.34570312,2012-03-16,2012-03-17
None,Gubbio,ITA,2,1319.36779785,2012-03-18,2012-03-24
None,Gubbio,ITA,2,1311.78381348,2012-03-25,2012-03-28
None,Gubbio,ITA,2,1312.15942383,2012-03-29,2012-03-31
None,Gubbio,ITA,2,1304.66503906,2012-04-01,2012-04-03
None,Gubbio,ITA,2,1303.28564453,2012-04-04,2012-04-06
None,Gubbio,ITA,2,1298.73278809,2012-04-07,2012-04-14
None,Gubbio,ITA,2,1297.83410645,2012-04-15,2012-04-21
None,Gubbio,ITA,2,1317.90771484,2012-04-22,2012-04-28
None,Gubbio,ITA,2,1310.23681641,2012-04-29,2012-05-01
None,Gubbio,ITA,2,1304.96765137,2012-05-02,2012-05-07
None,Gubbio,ITA,2,1306.54284668,2012-05-08,2012-05-12
None,Gubbio,ITA,2,1299.74768066,2012-05-13,2012-05-20
None,Gubbio,ITA,2,1289.55334473,2012-05-21,2012-05-26
None,Gubbio,ITA,2,1283.13208008,2012-05-27,2012-07-01


