Rank,Club,Country,Level,Elo,From,To
None,Hamilton,SCO,1,1593.43664551,1946-07-07,1946-08-10
None,Hamilton,SCO,1,1584.44006348,1946-08-11,1946-08-14
None,Hamilton,SCO,1,1567.11633301,1946-08-15,1946-08-17
None,Hamilton,SCO,1,1549.88391113,1946-08-18,1946-08-19
None,Hamilton,SCO,1,1540.67443848,1946-08-20,1946-08-21
None,Hamilton,SCO,1,1544.30029297,1946-08-22,1946-08-24
None,Hamilton,SCO,1,1540.67199707,1946-08-25,1946-08-28
None,Hamilton,SCO,1,1538.9387207,1946-08-29,1946-08-31
None,Hamilton,SCO,1,1531.51293945,1946-09-01,1946-09-04
None,Hamilton,SCO,1,1542.02575684,1946-09-05,1946-09-07
None,Hamilton,SCO,1,1532.96728516,1946-09-08,1946-09-14
None,Hamilton,SCO,1,1531.1640625,1946-09-15,1946-10-20
None,Hamilton,SCO,1,1499.1640625,1946-10-21,1946-11-02
None,Hamilton,SCO,1,1495.72009277,1946-11-03,1946-11-09
None,Hamilton,SCO,1,1478.99169922,1946-11-10,1946-11-16
None,Hamilton,SCO,1,1490.84228516,1946-11-17,1946-11-23
None,Hamilton,SCO,1,1486.66333008,1946-11-24,1946-11-30
None,Hamilton,SCO,1,1457.83410645,1946-12-01,1946-12-07
None,Hamilton,SCO,1,1447.59741211,1946-12-08,1946-12-14
None,Hamilton,SCO,1,1437.6217041,1946-12-15,1946-12-21
None,Hamilton,SCO,1,1436.97558594,1946-12-22,1946-12-28
None,Hamilton,SCO,1,1433.58569336,1946-12-29,1947-01-01
None,Hamilton,SCO,1,1433.89221191,1947-01-02,1947-01-02
None,Hamilton,SCO,1,1430.10864258,1947-01-03,1947-01-11
None,Hamilton,SCO,1,1432.95227051,1947-01-12,1947-01-18
None,Hamilton,SCO,1,1429.76257324,1947-01-19,1947-02-01
None,Hamilton,SCO,1,1431.88110352,1947-02-02,1947-02-15
None,Hamilton,SCO,1,1424.02441406,1947-02-16,1947-03-22
None,Hamilton,SCO,1,1416.30847168,1947-03-23,1947-04-07
None,Hamilton,SCO,1,1413.31530762,1947-04-08,1947-04-12
None,Hamilton,SCO,1,1410.50048828,1947-04-13,1947-04-13
None,Hamilton,SCO,1,1420.50048828,1947-04-14,1947-05-14
None,Hamilton,SCO,1,1416.61694336,1947-05-15,1947-05-20
None,Hamilton,SCO,1,1399.61694336,1947-05-21,1947-05-25
None,Hamilton,SCO,1,1401.61694336,1947-05-26,1947-07-04
None,Hamilton,SCO,1,1429.03442383,1953-07-01,1953-09-05
None,Hamilton,SCO,1,1439.61804199,1953-09-06,1953-09-12
None,Hamilton,SCO,1,1436.3848877,1953-09-13,1953-09-19
None,Hamilton,SCO,1,1427.57714844,1953-09-20,1953-09-26
None,Hamilton,SCO,1,1425.63037109,1953-09-27,1953-10-03
None,Hamilton,SCO,1,1418.81713867,1953-10-04,1953-10-04
None,Hamilton,SCO,1,1430.81713867,1953-10-05,1953-10-10
None,Hamilton,SCO,1,1424.34265137,1953-10-11,1953-10-17
None,Hamilton,SCO,1,1414.46398926,1953-10-18,1953-10-31
None,Hamilton,SCO,1,1420.09387207,1953-11-01,1953-11-07
None,Hamilton,SCO,1,1393.04748535,1953-11-08,1953-11-14
None,Hamilton,SCO,1,1390.29638672,1953-11-15,1953-11-21
None,Hamilton,SCO,1,1380.21606445,1953-11-22,1953-11-28
None,Hamilton,SCO,1,1389.04699707,1953-11-29,1953-12-12
None,Hamilton,SCO,1,1397.70446777,1953-12-13,1953-12-26
None,Hamilton,SCO,1,1387.19885254,1953-12-27,1954-01-01
None,Hamilton,SCO,1,1379.13183594,1954-01-02,1954-01-02
None,Hamilton,SCO,1,1371.68017578,1954-01-03,1954-01-09
None,Hamilton,SCO,1,1370.04748535,1954-01-10,1954-01-16
None,Hamilton,SCO,1,1365.74267578,1954-01-17,1954-01-23
None,Hamilton,SCO,1,1357.2532959,1954-01-24,1954-02-06
None,Hamilton,SCO,1,1350.93969727,1954-02-07,1954-02-20
None,Hamilton,SCO,1,1360.59790039,1954-02-21,1954-03-06
None,Hamilton,SCO,1,1366.47802734,1954-03-07,1954-03-17
None,Hamilton,SCO,1,1364.55847168,1954-03-18,1954-03-20
None,Hamilton,SCO,1,1359.39465332,1954-03-21,1954-03-27
None,Hamilton,SCO,1,1351.34216309,1954-03-28,1954-04-04
None,Hamilton,SCO,1,1321.34216309,1954-04-05,1954-04-10
None,Hamilton,SCO,1,1318.53881836,1954-04-11,1954-04-14
None,Hamilton,SCO,1,1315.57385254,1954-04-15,1954-04-17
None,Hamilton,SCO,1,1322.75012207,1954-04-18,1954-04-21
None,Hamilton,SCO,1,1320.04003906,1954-04-22,1954-04-26
None,Hamilton,SCO,1,1319.16540527,1954-04-27,1954-05-06
None,Hamilton,SCO,1,1322.16540527,1954-05-07,1954-05-20
None,Hamilton,SCO,1,1318.16540527,1954-05-21,1954-05-26
