Rank,Club,Country,Level,Elo,From,To
None,Hearts,SCO,1,1593.43664551,1946-07-07,1946-08-10
None,Hearts,SCO,1,1596.23791504,1946-08-11,1946-08-14
None,Hearts,SCO,1,1578.91418457,1946-08-15,1946-08-17
None,Hearts,SCO,1,1587.53222656,1946-08-18,1946-08-21
None,Hearts,SCO,1,1597.37365723,1946-08-22,1946-08-24
None,Hearts,SCO,1,1611.25463867,1946-08-25,1946-08-28
None,Hearts,SCO,1,1608.22338867,1946-08-29,1946-08-31
None,Hearts,SCO,1,1605.11303711,1946-09-01,1946-09-04
None,Hearts,SCO,1,1594.60021973,1946-09-05,1946-09-07
None,Hearts,SCO,1,1605.81481934,1946-09-08,1946-09-14
None,Hearts,SCO,1,1611.87658691,1946-09-15,1946-10-20
None,Hearts,SCO,1,1579.87658691,1946-10-21,1946-11-02
None,Hearts,SCO,1,1581.10620117,1946-11-03,1946-11-09
None,Hearts,SCO,1,1587.05725098,1946-11-10,1946-11-16
None,Hearts,SCO,1,1596.75952148,1946-11-17,1946-11-23
None,Hearts,SCO,1,1591.44238281,1946-11-24,1946-11-30
None,Hearts,SCO,1,1559.93310547,1946-12-01,1946-12-07
None,Hearts,SCO,1,1556.08569336,1946-12-08,1946-12-14
None,Hearts,SCO,1,1565.96142578,1946-12-15,1946-12-21
None,Hearts,SCO,1,1570.66027832,1946-12-22,1946-12-28
None,Hearts,SCO,1,1563.55639648,1946-12-29,1947-01-01
None,Hearts,SCO,1,1554.64770508,1947-01-02,1947-01-02
None,Hearts,SCO,1,1544.22583008,1947-01-03,1947-01-04
None,Hearts,SCO,1,1545.06262207,1947-01-05,1947-01-11
None,Hearts,SCO,1,1550.35839844,1947-01-12,1947-01-18
None,Hearts,SCO,1,1553.5480957,1947-01-19,1947-02-01
None,Hearts,SCO,1,1562.21911621,1947-02-02,1947-02-08
None,Hearts,SCO,1,1573.98193359,1947-02-09,1947-03-29
None,Hearts,SCO,1,1557.18493652,1947-03-30,1947-04-05
None,Hearts,SCO,1,1565.77380371,1947-04-06,1947-04-07
None,Hearts,SCO,1,1578.24975586,1947-04-08,1947-04-13
None,Hearts,SCO,1,1588.24975586,1947-04-14,1947-05-17
None,Hearts,SCO,1,1601.77844238,1947-05-18,1947-05-20
None,Hearts,SCO,1,1584.77844238,1947-05-21,1947-05-25
None,Hearts,SCO,1,1586.77844238,1947-05-26,1947-08-13
None,Hearts,SCO,1,1590.43652344,1947-08-14,1947-08-27
None,Hearts,SCO,1,1580.9708252,1947-08-28,1947-09-20
None,Hearts,SCO,1,1588.90234375,1947-09-21,1947-10-04
None,Hearts,SCO,1,1573.45336914,1947-10-05,1947-10-05
None,Hearts,SCO,1,1530.45336914,1947-10-06,1947-10-06
None,Hearts,SCO,1,1522.16918945,1947-10-07,1947-10-18
None,Hearts,SCO,1,1513.69445801,1947-10-19,1947-11-01
None,Hearts,SCO,1,1517.31335449,1947-11-02,1947-11-08
None,Hearts,SCO,1,1518.47253418,1947-11-09,1947-11-15
None,Hearts,SCO,1,1491.30419922,1947-11-16,1947-11-22
None,Hearts,SCO,1,1495.21704102,1947-11-23,1947-11-29
None,Hearts,SCO,1,1492.83190918,1947-11-30,1947-12-06
None,Hearts,SCO,1,1486.2956543,1947-12-07,1947-12-13
None,Hearts,SCO,1,1478.41442871,1947-12-14,1947-12-20
None,Hearts,SCO,1,1471.66296387,1947-12-21,1947-12-25
None,Hearts,SCO,1,1463.49963379,1947-12-26,1947-12-27
None,Hearts,SCO,1,1454.2845459,1947-12-28,1948-01-01
None,Hearts,SCO,1,1450.35266113,1948-01-02,1948-01-03
None,Hearts,SCO,1,1456.52990723,1948-01-04,1948-01-10
None,Hearts,SCO,1,1444.81652832,1948-01-11,1948-01-17
None,Hearts,SCO,1,1435.02124023,1948-01-18,1948-01-31
None,Hearts,SCO,1,1438.92224121,1948-02-01,1948-02-14
None,Hearts,SCO,1,1446.40649414,1948-02-15,1948-02-28
