Rank,Club,Country,Level,Elo,From,To
None,Heidenheim,GER,2,1395.69335938,2014-07-01,2014-07-31
None,Heidenheim,GER,2,1396.06408691,2014-08-01,2014-08-03
None,Heidenheim,GER,2,1404.31689453,2014-08-04,2014-08-07
None,Heidenheim,GER,2,1396.28613281,2014-08-08,2014-08-09
None,Heidenheim,GER,2,1390.12072754,2014-08-10,2014-08-19
None,Heidenheim,GER,2,1390.95959473,2014-08-20,2014-08-21
None,Heidenheim,GER,2,1391.08642578,2014-08-22,2014-08-22
None,Heidenheim,GER,2,1391.38867188,2014-08-23,2014-08-27
None,Heidenheim,GER,2,1392.14355469,2014-08-28,2014-08-28
None,Heidenheim,GER,2,1392.41467285,2014-08-29,2014-08-30
None,Heidenheim,GER,2,1396.88378906,2014-08-31,2014-09-14
None,Heidenheim,GER,2,1408.20007324,2014-09-15,2014-09-16
None,Heidenheim,GER,2,1407.50537109,2014-09-17,2014-09-17
None,Heidenheim,GER,2,1410.92980957,2014-09-18,2014-09-18
None,Heidenheim,GER,2,1407.62963867,2014-09-19,2014-09-21
None,Heidenheim,GER,2,1404.01672363,2014-09-22,2014-09-24
None,Heidenheim,GER,2,1421.66821289,2014-09-25,2014-09-28
None,Heidenheim,GER,2,1438.23022461,2014-09-29,2014-09-30
None,Heidenheim,GER,2,1436.41357422,2014-10-01,2014-10-01
None,Heidenheim,GER,2,1442.43078613,2014-10-02,2014-10-02
None,Heidenheim,GER,2,1439.88464355,2014-10-03,2014-10-06
None,Heidenheim,GER,2,1441.93212891,2014-10-07,2014-10-17
None,Heidenheim,GER,2,1443.23718262,2014-10-18,2014-10-21
None,Heidenheim,GER,2,1448.0592041,2014-10-22,2014-10-22
None,Heidenheim,GER,2,1454.57678223,2014-10-23,2014-10-23
None,Heidenheim,GER,2,1458.80688477,2014-10-24,2014-10-26
None,Heidenheim,GER,2,1454.32189941,2014-10-27,2014-11-01
None,Heidenheim,GER,2,1452.49462891,2014-11-02,2014-11-04
None,Heidenheim,GER,2,1456.89782715,2014-11-05,2014-11-05
None,Heidenheim,GER,2,1452.78125,2014-11-06,2014-11-06
None,Heidenheim,GER,2,1455.87207031,2014-11-07,2014-11-08
None,Heidenheim,GER,2,1472.27575684,2014-11-09,2014-11-21
None,Heidenheim,GER,2,1481.41271973,2014-11-22,2014-11-25
None,Heidenheim,GER,2,1473.31420898,2014-11-26,2014-11-26
None,Heidenheim,GER,2,1465.8359375,2014-11-27,2014-11-27
None,Heidenheim,GER,2,1462.30981445,2014-11-28,2014-11-28
None,Heidenheim,GER,2,1465.70544434,2014-11-29,2014-12-05
None,Heidenheim,GER,2,1454.89294434,2014-12-06,2014-12-09
None,Heidenheim,GER,2,1453.55541992,2014-12-10,2014-12-10
None,Heidenheim,GER,2,1455.2833252,2014-12-11,2014-12-11
None,Heidenheim,GER,2,1460.26965332,2014-12-12,2014-12-12
None,Heidenheim,GER,2,1460.32043457,2014-12-13,2014-12-16
None,Heidenheim,GER,2,1450.56872559,2014-12-17,2014-12-19
None,Heidenheim,GER,2,1443.57702637,2014-12-20,2015-02-09
None,Heidenheim,GER,2,1453.05480957,2015-02-10,2015-02-13
None,Heidenheim,GER,2,1445.59020996,2015-02-14,2015-02-17
None,Heidenheim,GER,2,1445.08459473,2015-02-18,2015-02-18
None,Heidenheim,GER,2,1444.30175781,2015-02-19,2015-02-19
None,Heidenheim,GER,2,1444.81726074,2015-02-20,2015-02-22
None,Heidenheim,GER,2,1435.93017578,2015-02-23,2015-02-24
None,Heidenheim,GER,2,1435.04016113,2015-02-25,2015-02-25
None,Heidenheim,GER,2,1437.31384277,2015-02-26,2015-02-26
None,Heidenheim,GER,2,1434.95141602,2015-02-27,2015-03-01
None,Heidenheim,GER,2,1427.60266113,2015-03-02,2015-03-06
None,Heidenheim,GER,2,1439.84631348,2015-03-07,2015-03-10
None,Heidenheim,GER,2,1440.0982666,2015-03-11,2015-03-11
None,Heidenheim,GER,2,1442.25280762,2015-03-12,2015-03-12
None,Heidenheim,GER,2,1443.78942871,2015-03-13,2015-03-13
None,Heidenheim,GER,2,1432.47839355,2015-03-14,2015-03-17
None,Heidenheim,GER,2,1432.51416016,2015-03-18,2015-03-18
None,Heidenheim,GER,2,1428.55786133,2015-03-19,2015-03-19
None,Heidenheim,GER,2,1429.45214844,2015-03-20,2015-03-22
None,Heidenheim,GER,2,1436.94091797,2015-03-23,2015-04-04
None,Heidenheim,GER,2,1429.28442383,2015-04-05,2015-04-10
None,Heidenheim,GER,2,1422.65197754,2015-04-11,2015-04-15
