Rank,Club,Country,Level,Elo,From,To
None,Hibernian,SCO,1,1593.43664551,1946-07-07,1946-08-10
None,Hibernian,SCO,1,1608.12805176,1946-08-11,1946-08-14
None,Hibernian,SCO,1,1618.21020508,1946-08-15,1946-08-17
None,Hibernian,SCO,1,1628.08959961,1946-08-18,1946-08-21
None,Hibernian,SCO,1,1633.1072998,1946-08-22,1946-08-24
None,Hibernian,SCO,1,1636.73571777,1946-08-25,1946-08-28
None,Hibernian,SCO,1,1630.75708008,1946-08-29,1946-08-31
None,Hibernian,SCO,1,1623.93041992,1946-09-01,1946-09-04
None,Hibernian,SCO,1,1634.71069336,1946-09-05,1946-09-07
None,Hibernian,SCO,1,1623.49621582,1946-09-08,1946-09-14
None,Hibernian,SCO,1,1637.43933105,1946-09-15,1946-10-20
None,Hibernian,SCO,1,1605.43933105,1946-10-21,1946-11-02
None,Hibernian,SCO,1,1611.92468262,1946-11-03,1946-11-09
None,Hibernian,SCO,1,1598.90039062,1946-11-10,1946-11-16
None,Hibernian,SCO,1,1594.82653809,1946-11-17,1946-11-23
None,Hibernian,SCO,1,1604.81213379,1946-11-24,1946-11-30
None,Hibernian,SCO,1,1595.82946777,1946-12-01,1946-12-07
None,Hibernian,SCO,1,1607.62231445,1946-12-08,1946-12-14
None,Hibernian,SCO,1,1606.51062012,1946-12-15,1946-12-21
None,Hibernian,SCO,1,1607.49658203,1946-12-22,1946-12-28
None,Hibernian,SCO,1,1605.0267334,1946-12-29,1947-01-01
None,Hibernian,SCO,1,1613.9354248,1947-01-02,1947-01-02
None,Hibernian,SCO,1,1618.26831055,1947-01-03,1947-01-04
None,Hibernian,SCO,1,1614.81542969,1947-01-05,1947-01-11
None,Hibernian,SCO,1,1611.97180176,1947-01-12,1947-01-18
None,Hibernian,SCO,1,1621.60131836,1947-01-19,1947-02-01
None,Hibernian,SCO,1,1609.88208008,1947-02-02,1947-04-12
None,Hibernian,SCO,1,1616.58984375,1947-04-13,1947-04-13
None,Hibernian,SCO,1,1626.58984375,1947-04-14,1947-04-26
None,Hibernian,SCO,1,1629.90576172,1947-04-27,1947-05-03
None,Hibernian,SCO,1,1642.24450684,1947-05-04,1947-05-10
None,Hibernian,SCO,1,1652.64587402,1947-05-11,1947-05-17
None,Hibernian,SCO,1,1659.74755859,1947-05-18,1947-05-20
None,Hibernian,SCO,1,1642.74755859,1947-05-21,1947-05-25
None,Hibernian,SCO,1,1644.74755859,1947-05-26,1947-08-13
None,Hibernian,SCO,1,1656.27734375,1947-08-14,1947-08-27
None,Hibernian,SCO,1,1661.97729492,1947-08-28,1947-09-20
None,Hibernian,SCO,1,1654.04577637,1947-09-21,1947-09-27
None,Hibernian,SCO,1,1656.45117188,1947-09-28,1947-10-04
None,Hibernian,SCO,1,1661.3482666,1947-10-05,1947-10-05
None,Hibernian,SCO,1,1618.3482666,1947-10-06,1947-10-11
None,Hibernian,SCO,1,1624.34863281,1947-10-12,1947-10-18
None,Hibernian,SCO,1,1619.0871582,1947-10-19,1947-10-25
None,Hibernian,SCO,1,1613.56982422,1947-10-26,1947-11-01
None,Hibernian,SCO,1,1624.88476562,1947-11-02,1947-11-08
None,Hibernian,SCO,1,1633.65344238,1947-11-09,1947-11-15
None,Hibernian,SCO,1,1607.04272461,1947-11-16,1947-11-22
None,Hibernian,SCO,1,1594.95495605,1947-11-23,1947-11-29
None,Hibernian,SCO,1,1600.34338379,1947-11-30,1947-12-06
None,Hibernian,SCO,1,1600.11218262,1947-12-07,1947-12-13
None,Hibernian,SCO,1,1594.8302002,1947-12-14,1947-12-20
None,Hibernian,SCO,1,1601.80126953,1947-12-21,1947-12-27
None,Hibernian,SCO,1,1607.65039062,1947-12-28,1948-01-01
None,Hibernian,SCO,1,1611.58227539,1948-01-02,1948-01-03
None,Hibernian,SCO,1,1608.45874023,1948-01-04,1948-01-10
None,Hibernian,SCO,1,1612.90979004,1948-01-11,1948-01-17
None,Hibernian,SCO,1,1620.25732422,1948-01-18,1948-01-31
None,Hibernian,SCO,1,1627.47912598,1948-02-01,1948-02-14
None,Hibernian,SCO,1,1633.97961426,1948-02-15,1948-02-20
None,Hibernian,SCO,1,1642.0715332,1948-02-21,1948-03-13
None,Hibernian,SCO,1,1645.60864258,1948-03-14,1948-03-20
None,Hibernian,SCO,1,1652.40405273,1948-03-21,1948-04-03
None,Hibernian,SCO,1,1658.89025879,1948-04-04,1948-04-11
None,Hibernian,SCO,1,1635.89025879,1948-04-12,1948-04-17
None,Hibernian,SCO,1,1638.8067627,1948-04-18,1948-04-19
None,Hibernian,SCO,1,1643.39233398,1948-04-20,1948-05-01
None,Hibernian,SCO,1,1629.96411133,1948-05-02,1948-05-22
None,Hibernian,SCO,1,1620.96411133,1948-05-23,1948-05-26
None,Hibernian,SCO,1,1605.96411133,1948-05-27,1948-08-14
None,Hibernian,SCO,1,1608.33215332,1948-08-15,1948-08-18
None,Hibernian,SCO,1,1603.40234375,1948-08-19,1948-08-21
None,Hibernian,SCO,1,1607.14294434,1948-08-22,1948-08-28
None,Hibernian,SCO,1,1613.43811035,1948-08-29,1948-09-01
None,Hibernian,SCO,1,1605.46264648,1948-09-02,1948-09-04
None,Hibernian,SCO,1,1610.59301758,1948-09-05,1948-10-23
None,Hibernian,SCO,1,1621.24291992,1948-10-24,1948-10-24
None,Hibernian,SCO,1,1664.24291992,1948-10-25,1948-10-30
None,Hibernian,SCO,1,1649.59350586,1948-10-31,1948-11-06
None,Hibernian,SCO,1,1661.56982422,1948-11-07,1948-11-13
None,Hibernian,SCO,1,1647.20056152,1948-11-14,1948-11-20
None,Hibernian,SCO,1,1632.1015625,1948-11-21,1948-11-27
None,Hibernian,SCO,1,1634.41943359,1948-11-28,1948-12-04
None,Hibernian,SCO,1,1637.53540039,1948-12-05,1948-12-11
None,Hibernian,SCO,1,1635.37280273,1948-12-12,1948-12-18
None,Hibernian,SCO,1,1629.69189453,1948-12-19,1948-12-25
None,Hibernian,SCO,1,1623.36413574,1948-12-26,1949-01-01
None,Hibernian,SCO,1,1613.74194336,1949-01-02,1949-01-03
None,Hibernian,SCO,1,1617.37597656,1949-01-04,1949-01-08
None,Hibernian,SCO,1,1622.2902832,1949-01-09,1949-01-15
None,Hibernian,SCO,1,1626.2388916,1949-01-16,1949-01-29
None,Hibernian,SCO,1,1630.34179688,1949-01-30,1949-02-12
None,Hibernian,SCO,1,1636.00561523,1949-02-13,1949-02-19
None,Hibernian,SCO,1,1626.43029785,1949-02-20,1949-02-26
None,Hibernian,SCO,1,1630.76245117,1949-02-27,1949-03-19
None,Hibernian,SCO,1,1622.4864502,1949-03-20,1949-04-02
None,Hibernian,SCO,1,1609.4230957,1949-04-03,1949-04-09
None,Hibernian,SCO,1,1612.24475098,1949-04-10,1949-04-10
None,Hibernian,SCO,1,1665.24475098,1949-04-11,1949-04-16
None,Hibernian,SCO,1,1670.37243652,1949-04-17,1949-04-19
None,Hibernian,SCO,1,1660.73742676,1949-04-20,1949-04-23
None,Hibernian,SCO,1,1664.86730957,1949-04-24,1949-04-28
None,Hibernian,SCO,1,1670.86730957,1949-04-29,1949-09-10
None,Hibernian,SCO,1,1680.78979492,1949-09-11,1949-09-24
None,Hibernian,SCO,1,1664.60742188,1949-09-25,1949-10-01
None,Hibernian,SCO,1,1668.29638672,1949-10-02,1949-10-02
None,Hibernian,SCO,1,1693.29638672,1949-10-03,1949-10-15
None,Hibernian,SCO,1,1696.19702148,1949-10-16,1949-10-22
None,Hibernian,SCO,1,1699.7902832,1949-10-23,1949-10-29
None,Hibernian,SCO,1,1698.58984375,1949-10-30,1949-11-05
