Rank,Club,Country,Level,Elo,From,To
None,Hoffenheim,GER,2,1398.97521973,2007-07-01,2007-08-12
None,Hoffenheim,GER,2,1389.43432617,2007-08-13,2007-08-15
None,Hoffenheim,GER,2,1389.20495605,2007-08-16,2007-08-16
None,Hoffenheim,GER,2,1388.79650879,2007-08-17,2007-08-19
None,Hoffenheim,GER,2,1393.91271973,2007-08-20,2007-08-26
None,Hoffenheim,GER,2,1381.65991211,2007-08-27,2007-08-29
None,Hoffenheim,GER,2,1383.59326172,2007-08-30,2007-08-30
None,Hoffenheim,GER,2,1384.3092041,2007-08-31,2007-09-03
None,Hoffenheim,GER,2,1381.08679199,2007-09-04,2007-09-16
None,Hoffenheim,GER,2,1391.22338867,2007-09-17,2007-09-18
None,Hoffenheim,GER,2,1388.43701172,2007-09-19,2007-09-19
None,Hoffenheim,GER,2,1385.20605469,2007-09-20,2007-09-20
None,Hoffenheim,GER,2,1385.7989502,2007-09-21,2007-09-21
None,Hoffenheim,GER,2,1399.91491699,2007-09-22,2007-09-25
None,Hoffenheim,GER,2,1402.59533691,2007-09-26,2007-09-30
None,Hoffenheim,GER,2,1413.46533203,2007-10-01,2007-10-02
None,Hoffenheim,GER,2,1411.3692627,2007-10-03,2007-10-03
None,Hoffenheim,GER,2,1406.80383301,2007-10-04,2007-10-04
None,Hoffenheim,GER,2,1412.24291992,2007-10-05,2007-10-07
None,Hoffenheim,GER,2,1414.95666504,2007-10-08,2007-10-19
None,Hoffenheim,GER,2,1423.16174316,2007-10-20,2007-10-23
None,Hoffenheim,GER,2,1419.65734863,2007-10-24,2007-10-24
None,Hoffenheim,GER,2,1420.16174316,2007-10-25,2007-10-25
None,Hoffenheim,GER,2,1424.78088379,2007-10-26,2007-10-26
None,Hoffenheim,GER,2,1429.04199219,2007-10-27,2007-11-02
None,Hoffenheim,GER,2,1426.00671387,2007-11-03,2007-11-06
None,Hoffenheim,GER,2,1424.41540527,2007-11-07,2007-11-07
None,Hoffenheim,GER,2,1423.06286621,2007-11-08,2007-11-08
