Rank,Club,Country,Level,Elo,From,To
None,Livorno,ITA,1,1722.61303711,1946-07-07,1946-09-22
None,Livorno,ITA,1,1712.25891113,1946-09-23,1946-09-29
None,Livorno,ITA,1,1722.08422852,1946-09-30,1946-10-06
None,Livorno,ITA,1,1724.60766602,1946-10-07,1946-10-13
None,Livorno,ITA,1,1721.64807129,1946-10-14,1946-10-20
None,Livorno,ITA,1,1724.54089355,1946-10-21,1946-10-27
None,Livorno,ITA,1,1721.8104248,1946-10-28,1946-11-03
None,Livorno,ITA,1,1718.72363281,1946-11-04,1946-11-10
None,Livorno,ITA,1,1728.5880127,1946-11-11,1946-11-12
None,Livorno,ITA,1,1731.5916748,1946-11-13,1946-11-24
None,Livorno,ITA,1,1729.86425781,1946-11-25,1946-12-07
None,Livorno,ITA,1,1731.86425781,1946-12-08,1946-12-08
None,Livorno,ITA,1,1727.77453613,1946-12-09,1946-12-15
None,Livorno,ITA,1,1716.0456543,1946-12-16,1946-12-22
None,Livorno,ITA,1,1724.46228027,1946-12-23,1946-12-29
None,Livorno,ITA,1,1720.57580566,1946-12-30,1947-01-05
None,Livorno,ITA,1,1716.57617188,1947-01-06,1947-01-12
None,Livorno,ITA,1,1718.71826172,1947-01-13,1947-01-19
None,Livorno,ITA,1,1716.41687012,1947-01-20,1947-01-26
None,Livorno,ITA,1,1713.01733398,1947-01-27,1947-02-02
None,Livorno,ITA,1,1721.54125977,1947-02-03,1947-02-16
None,Livorno,ITA,1,1719.2388916,1947-02-17,1947-02-23
None,Livorno,ITA,1,1729.2668457,1947-02-24,1947-03-02
None,Livorno,ITA,1,1733.32226562,1947-03-03,1947-03-09
None,Livorno,ITA,1,1723.96582031,1947-03-10,1947-03-16
None,Livorno,ITA,1,1720.94702148,1947-03-17,1947-03-23
None,Livorno,ITA,1,1716.17956543,1947-03-24,1947-03-30
None,Livorno,ITA,1,1705.90698242,1947-03-31,1947-04-06
None,Livorno,ITA,1,1702.03039551,1947-04-07,1947-04-13
None,Livorno,ITA,1,1701.69543457,1947-04-14,1947-04-20
None,Livorno,ITA,1,1696.81640625,1947-04-21,1947-04-28
None,Livorno,ITA,1,1699.81640625,1947-04-29,1947-05-04
None,Livorno,ITA,1,1690.40393066,1947-05-05,1947-05-14
None,Livorno,ITA,1,1693.40393066,1947-05-15,1947-05-18
None,Livorno,ITA,1,1701.17089844,1947-05-19,1947-05-25
None,Livorno,ITA,1,1715.82714844,1947-05-26,1947-06-01
None,Livorno,ITA,1,1710.13208008,1947-06-02,1947-06-08
None,Livorno,ITA,1,1702.16564941,1947-06-09,1947-06-15
None,Livorno,ITA,1,1710.06628418,1947-06-16,1947-06-22
None,Livorno,ITA,1,1705.25756836,1947-06-23,1947-06-29
None,Livorno,ITA,1,1706.01660156,1947-06-30,1947-07-06
None,Livorno,ITA,1,1698.3572998,1947-07-07,1947-09-14
None,Livorno,ITA,1,1706.95788574,1947-09-15,1947-09-21
None,Livorno,ITA,1,1701.38317871,1947-09-22,1947-09-28
None,Livorno,ITA,1,1704.30639648,1947-09-29,1947-10-05
None,Livorno,ITA,1,1698.39367676,1947-10-06,1947-10-12
None,Livorno,ITA,1,1698.54931641,1947-10-13,1947-10-19
None,Livorno,ITA,1,1693.94836426,1947-10-20,1947-10-26
None,Livorno,ITA,1,1688.41162109,1947-10-27,1947-11-02
None,Livorno,ITA,1,1692.02990723,1947-11-03,1947-11-15
None,Livorno,ITA,1,1663.02990723,1947-11-16,1947-11-16
None,Livorno,ITA,1,1669.95800781,1947-11-17,1947-11-23
None,Livorno,ITA,1,1664.38500977,1947-11-24,1947-11-30
None,Livorno,ITA,1,1657.65979004,1947-12-01,1947-12-07
None,Livorno,ITA,1,1654.88659668,1947-12-08,1947-12-18
None,Livorno,ITA,1,1658.88659668,1947-12-19,1947-12-21
None,Livorno,ITA,1,1663.54016113,1947-12-22,1947-12-28
None,Livorno,ITA,1,1668.02893066,1947-12-29,1948-01-04
None,Livorno,ITA,1,1681.13671875,1948-01-05,1948-01-11
None,Livorno,ITA,1,1673.21325684,1948-01-12,1948-01-18
None,Livorno,ITA,1,1676.06420898,1948-01-19,1948-01-25
None,Livorno,ITA,1,1669.95507812,1948-01-26,1948-02-01
None,Livorno,ITA,1,1665.25476074,1948-02-02,1948-02-08
None,Livorno,ITA,1,1669.2677002,1948-02-09,1948-02-15
None,Livorno,ITA,1,1664.47912598,1948-02-16,1948-02-22
None,Livorno,ITA,1,1668.88928223,1948-02-23,1948-02-29
None,Livorno,ITA,1,1672.15112305,1948-03-01,1948-03-07
None,Livorno,ITA,1,1670.25683594,1948-03-08,1948-03-14
None,Livorno,ITA,1,1667.50390625,1948-03-15,1948-03-21
None,Livorno,ITA,1,1672.42919922,1948-03-22,1948-03-28
None,Livorno,ITA,1,1664.11364746,1948-03-29,1948-04-05
None,Livorno,ITA,1,1670.11364746,1948-04-06,1948-04-11
None,Livorno,ITA,1,1666.83203125,1948-04-12,1948-04-15
None,Livorno,ITA,1,1663.03613281,1948-04-16,1948-04-25
None,Livorno,ITA,1,1662.11633301,1948-04-26,1948-05-02
None,Livorno,ITA,1,1671.15332031,1948-05-03,1948-05-06
None,Livorno,ITA,1,1664.4128418,1948-05-07,1948-05-09
None,Livorno,ITA,1,1661.30383301,1948-05-10,1948-05-17
None,Livorno,ITA,1,1634.30383301,1948-05-18,1948-05-23
None,Livorno,ITA,1,1627.1784668,1948-05-24,1948-05-30
None,Livorno,ITA,1,1632.69628906,1948-05-31,1948-06-06
None,Livorno,ITA,1,1631.26928711,1948-06-07,1948-06-13
None,Livorno,ITA,1,1627.46899414,1948-06-14,1948-06-20
None,Livorno,ITA,1,1636.23535156,1948-06-21,1948-06-27
None,Livorno,ITA,1,1629.57678223,1948-06-28,1948-07-04
None,Livorno,ITA,1,1632.8203125,1948-07-05,1948-09-19
None,Livorno,ITA,1,1638.88647461,1948-09-20,1948-09-26
None,Livorno,ITA,1,1635.28198242,1948-09-27,1948-10-03
None,Livorno,ITA,1,1626.08984375,1948-10-04,1948-10-10
None,Livorno,ITA,1,1619.79577637,1948-10-11,1948-10-17
None,Livorno,ITA,1,1615.98962402,1948-10-18,1948-10-24
None,Livorno,ITA,1,1611.82629395,1948-10-25,1948-10-31
None,Livorno,ITA,1,1607.91455078,1948-11-01,1948-11-04
None,Livorno,ITA,1,1604.49243164,1948-11-05,1948-11-07
None,Livorno,ITA,1,1597.84716797,1948-11-08,1948-11-14
None,Livorno,ITA,1,1592.78259277,1948-11-15,1948-11-21
None,Livorno,ITA,1,1589.36816406,1948-11-22,1948-11-28
None,Livorno,ITA,1,1586.54992676,1948-11-29,1948-12-05
None,Livorno,ITA,1,1593.46130371,1948-12-06,1948-12-08
None,Livorno,ITA,1,1597.23242188,1948-12-09,1948-12-12
None,Livorno,ITA,1,1603.28759766,1948-12-13,1948-12-19
None,Livorno,ITA,1,1598.74902344,1948-12-20,1948-12-26
None,Livorno,ITA,1,1606.6550293,1948-12-27,1949-01-02
None,Livorno,ITA,1,1598.8515625,1949-01-03,1949-01-06
None,Livorno,ITA,1,1593.07617188,1949-01-07,1949-01-09
None,Livorno,ITA,1,1598.29980469,1949-01-10,1949-01-16
None,Livorno,ITA,1,1596.12145996,1949-01-17,1949-01-23
None,Livorno,ITA,1,1577.59448242,1949-01-24,1949-01-30
None,Livorno,ITA,1,1577.00048828,1949-01-31,1949-02-06
None,Livorno,ITA,1,1571.94140625,1949-02-07,1949-02-13
None,Livorno,ITA,1,1577.75463867,1949-02-14,1949-02-20
None,Livorno,ITA,1,1574.45751953,1949-02-21,1949-03-05
None,Livorno,ITA,1,1576.45751953,1949-03-06,1949-03-06
None,Livorno,ITA,1,1590.00610352,1949-03-07,1949-03-13
None,Livorno,ITA,1,1594.4708252,1949-03-14,1949-03-20
None,Livorno,ITA,1,1590.49731445,1949-03-21,1949-04-02
None,Livorno,ITA,1,1602.49731445,1949-04-03,1949-04-03
None,Livorno,ITA,1,1590.91748047,1949-04-04,1949-04-10
None,Livorno,ITA,1,1587.01794434,1949-04-11,1949-04-18
None,Livorno,ITA,1,1575.63427734,1949-04-19,1949-04-24
None,Livorno,ITA,1,1570.16796875,1949-04-25,1949-04-30
None,Livorno,ITA,1,1567.85241699,1949-05-01,1949-05-08
None,Livorno,ITA,1,1574.46850586,1949-05-09,1949-05-15
None,Livorno,ITA,1,1572.95605469,1949-05-16,1949-05-25
None,Livorno,ITA,1,1578.95605469,1949-05-26,1949-05-29
