Rank,Club,Country,Level,Elo,From,To
None,Lorient,FRA,2,1373.22167969,1995-07-01,1995-07-01
None,Lorient,FRA,2,1385.88586426,1995-07-02,1995-07-19
None,Lorient,FRA,2,1391.1607666,1995-07-20,1995-07-26
None,Lorient,FRA,2,1387.65917969,1995-07-27,1995-07-29
None,Lorient,FRA,2,1373.61425781,1995-07-30,1995-08-09
None,Lorient,FRA,2,1375.20300293,1995-08-10,1995-08-12
None,Lorient,FRA,2,1389.8269043,1995-08-13,1995-08-19
None,Lorient,FRA,2,1386.61132812,1995-08-20,1995-08-26
None,Lorient,FRA,2,1382.2298584,1995-08-27,1995-09-02
None,Lorient,FRA,2,1389.20568848,1995-09-03,1995-09-09
None,Lorient,FRA,2,1378.78881836,1995-09-10,1995-09-12
None,Lorient,FRA,2,1373.55078125,1995-09-13,1995-09-13
None,Lorient,FRA,2,1377.32470703,1995-09-14,1995-09-14
None,Lorient,FRA,2,1381.09960938,1995-09-15,1995-09-16
None,Lorient,FRA,2,1393.65332031,1995-09-17,1995-09-23
None,Lorient,FRA,2,1382.59143066,1995-09-24,1995-09-26
None,Lorient,FRA,2,1385.73327637,1995-09-27,1995-09-27
None,Lorient,FRA,2,1382.04162598,1995-09-28,1995-09-28
None,Lorient,FRA,2,1382.7467041,1995-09-29,1995-09-30
None,Lorient,FRA,2,1390.33361816,1995-10-01,1995-10-04
None,Lorient,FRA,2,1401.78479004,1995-10-05,1995-10-14
None,Lorient,FRA,2,1395.85668945,1995-10-15,1995-10-17
None,Lorient,FRA,2,1391.65893555,1995-10-18,1995-10-18
None,Lorient,FRA,2,1392.71337891,1995-10-19,1995-10-19
None,Lorient,FRA,2,1393.00683594,1995-10-20,1995-10-22
None,Lorient,FRA,2,1401.5814209,1995-10-23,1995-10-28
None,Lorient,FRA,2,1417.6217041,1995-10-29,1995-10-31
None,Lorient,FRA,2,1435.55358887,1995-11-01,1995-11-01
None,Lorient,FRA,2,1442.23400879,1995-11-02,1995-11-02
None,Lorient,FRA,2,1443.92944336,1995-11-03,1995-11-04
None,Lorient,FRA,2,1427.84655762,1995-11-05,1995-11-10
None,Lorient,FRA,2,1423.37316895,1995-11-11,1995-11-18
None,Lorient,FRA,2,1420.60766602,1995-11-19,1995-11-21
None,Lorient,FRA,2,1424.95568848,1995-11-22,1995-11-22
None,Lorient,FRA,2,1427.45983887,1995-11-23,1995-11-25
None,Lorient,FRA,2,1430.22644043,1995-11-26,1995-12-03
None,Lorient,FRA,2,1423.47009277,1995-12-04,1995-12-05
None,Lorient,FRA,2,1420.15454102,1995-12-06,1995-12-06
None,Lorient,FRA,2,1419.3236084,1995-12-07,1995-12-09
None,Lorient,FRA,2,1416.24108887,1995-12-10,1996-01-10
None,Lorient,FRA,2,1420.3717041,1996-01-11,1996-01-20
None,Lorient,FRA,2,1410.06115723,1996-01-21,1996-01-27
None,Lorient,FRA,2,1405.25354004,1996-01-28,1996-02-07
None,Lorient,FRA,2,1417.81237793,1996-02-08,1996-02-10
None,Lorient,FRA,2,1407.18725586,1996-02-11,1996-02-18
None,Lorient,FRA,2,1417.0065918,1996-02-19,1996-02-27
None,Lorient,FRA,2,1425.88037109,1996-02-28,1996-03-02
None,Lorient,FRA,2,1422.54980469,1996-03-03,1996-03-05
None,Lorient,FRA,2,1426.28857422,1996-03-06,1996-03-07
None,Lorient,FRA,2,1425.12573242,1996-03-08,1996-03-09
None,Lorient,FRA,2,1425.23278809,1996-03-10,1996-03-13
None,Lorient,FRA,2,1427.38232422,1996-03-14,1996-03-19
None,Lorient,FRA,2,1438.66467285,1996-03-20,1996-03-20
None,Lorient,FRA,2,1441.30761719,1996-03-21,1996-03-21
