Rank,Club,Country,Level,Elo,From,To
None,Lyon,FRA,1,1334.92492676,1951-07-01,1951-08-26
None,Lyon,FRA,1,1340.97607422,1951-08-27,1951-09-02
None,Lyon,FRA,1,1354.45947266,1951-09-03,1951-09-09
None,Lyon,FRA,1,1366.25842285,1951-09-10,1951-09-13
None,Lyon,FRA,1,1365.92456055,1951-09-14,1951-09-16
None,Lyon,FRA,1,1364.8939209,1951-09-17,1951-09-23
None,Lyon,FRA,1,1358.23876953,1951-09-24,1951-09-30
None,Lyon,FRA,1,1353.05004883,1951-10-01,1951-10-07
None,Lyon,FRA,1,1358.4050293,1951-10-08,1951-10-18
None,Lyon,FRA,1,1352.54418945,1951-10-19,1951-10-21
None,Lyon,FRA,1,1348.22802734,1951-10-22,1951-10-28
None,Lyon,FRA,1,1358.30065918,1951-10-29,1951-11-04
None,Lyon,FRA,1,1354.11938477,1951-11-05,1951-11-11
None,Lyon,FRA,1,1353.05065918,1951-11-12,1951-11-18
None,Lyon,FRA,1,1350.90710449,1951-11-19,1951-11-25
None,Lyon,FRA,1,1341.03723145,1951-11-26,1951-12-02
None,Lyon,FRA,1,1358.87426758,1951-12-03,1951-12-09
None,Lyon,FRA,1,1349.5916748,1951-12-10,1951-12-16
None,Lyon,FRA,1,1357.43493652,1951-12-17,1951-12-23
None,Lyon,FRA,1,1354.13916016,1951-12-24,1951-12-30
None,Lyon,FRA,1,1342.73242188,1951-12-31,1952-01-06
None,Lyon,FRA,1,1337.95556641,1952-01-07,1952-01-20
None,Lyon,FRA,1,1331.01977539,1952-01-21,1952-01-26
None,Lyon,FRA,1,1329.34558105,1952-01-27,1952-02-11
None,Lyon,FRA,1,1324.28173828,1952-02-12,1952-02-17
None,Lyon,FRA,1,1319.90893555,1952-02-18,1952-03-02
None,Lyon,FRA,1,1331.02526855,1952-03-03,1952-03-09
None,Lyon,FRA,1,1329.79516602,1952-03-10,1952-03-23
None,Lyon,FRA,1,1327.27648926,1952-03-24,1952-03-29
None,Lyon,FRA,1,1320.21801758,1952-03-30,1952-04-13
None,Lyon,FRA,1,1315.8359375,1952-04-14,1952-04-26
None,Lyon,FRA,1,1305.31311035,1952-04-27,1952-05-11
None,Lyon,FRA,1,1302.99780273,1952-05-12,1952-05-18
None,Lyon,FRA,1,1288.91149902,1952-05-19,1952-05-25
None,Lyon,FRA,1,1284.73620605,1952-05-26,1952-06-25
None,Lyon,FRA,1,1313.75830078,1952-06-26,1952-06-29
None,Lyon,FRA,1,1307.25402832,1952-06-30,1952-07-07
None,Lyon,FRA,1,1428.6361084,1954-07-01,1954-08-22
None,Lyon,FRA,1,1422.94433594,1954-08-23,1954-08-28
None,Lyon,FRA,1,1419.01538086,1954-08-29,1954-09-04
None,Lyon,FRA,1,1418.77001953,1954-09-05,1954-09-09
None,Lyon,FRA,1,1425.26025391,1954-09-10,1954-09-12
None,Lyon,FRA,1,1421.55505371,1954-09-13,1954-09-19
None,Lyon,FRA,1,1431.03186035,1954-09-20,1954-09-26
None,Lyon,FRA,1,1443.87854004,1954-09-27,1954-09-30
None,Lyon,FRA,1,1432.66101074,1954-10-01,1954-10-03
None,Lyon,FRA,1,1436.34265137,1954-10-04,1954-10-10
None,Lyon,FRA,1,1421.52941895,1954-10-11,1954-10-24
None,Lyon,FRA,1,1434.32141113,1954-10-25,1954-10-31
None,Lyon,FRA,1,1431.5559082,1954-11-01,1954-11-07
None,Lyon,FRA,1,1439.75476074,1954-11-08,1954-11-14
None,Lyon,FRA,1,1437.5958252,1954-11-15,1954-11-21
None,Lyon,FRA,1,1443.33740234,1954-11-22,1954-11-28
None,Lyon,FRA,1,1439.22729492,1954-11-29,1954-12-05
None,Lyon,FRA,1,1437.7208252,1954-12-06,1954-12-12
None,Lyon,FRA,1,1429.41210938,1954-12-13,1954-12-19
None,Lyon,FRA,1,1436.14648438,1954-12-20,1954-12-26
None,Lyon,FRA,1,1433.23510742,1954-12-27,1955-01-02
None,Lyon,FRA,1,1438.9453125,1955-01-03,1955-01-09
None,Lyon,FRA,1,1444.19274902,1955-01-10,1955-01-16
None,Lyon,FRA,1,1455.57983398,1955-01-17,1955-01-23
None,Lyon,FRA,1,1452.16918945,1955-01-24,1955-01-30
None,Lyon,FRA,1,1448.62231445,1955-01-31,1955-02-13
None,Lyon,FRA,1,1453.34179688,1955-02-14,1955-02-20
None,Lyon,FRA,1,1457.71850586,1955-02-21,1955-02-27
None,Lyon,FRA,1,1454.0222168,1955-02-28,1955-03-13
None,Lyon,FRA,1,1461.52380371,1955-03-14,1955-03-20
None,Lyon,FRA,1,1458.7623291,1955-03-21,1955-04-10
None,Lyon,FRA,1,1460.11816406,1955-04-11,1955-04-24
None,Lyon,FRA,1,1472.34875488,1955-04-25,1955-05-01
None,Lyon,FRA,1,1470.35266113,1955-05-02,1955-05-21
None,Lyon,FRA,1,1475.44311523,1955-05-22,1955-06-23
None,Lyon,FRA,1,1497.9564209,1955-06-24,1955-06-26
None,Lyon,FRA,1,1483.68371582,1955-06-27,1955-08-21
None,Lyon,FRA,1,1487.15429688,1955-08-22,1955-08-28
None,Lyon,FRA,1,1473.50085449,1955-08-29,1955-09-04
None,Lyon,FRA,1,1486.03295898,1955-09-05,1955-09-11
None,Lyon,FRA,1,1492.87915039,1955-09-12,1955-09-18
None,Lyon,FRA,1,1498.11450195,1955-09-19,1955-09-21
None,Lyon,FRA,1,1512.36572266,1955-09-22,1955-09-25
None,Lyon,FRA,1,1515.61291504,1955-09-26,1955-10-02
None,Lyon,FRA,1,1528.22509766,1955-10-03,1955-10-12
None,Lyon,FRA,1,1524.78222656,1955-10-13,1955-10-16
None,Lyon,FRA,1,1535.41088867,1955-10-17,1955-10-26
None,Lyon,FRA,1,1531.15344238,1955-10-27,1955-10-30
None,Lyon,FRA,1,1535.81982422,1955-10-31,1955-11-01
None,Lyon,FRA,1,1530.32043457,1955-11-02,1955-11-06
None,Lyon,FRA,1,1526.71606445,1955-11-07,1955-11-12
None,Lyon,FRA,1,1522.4798584,1955-11-13,1955-11-20
None,Lyon,FRA,1,1513.14282227,1955-11-21,1955-11-27
None,Lyon,FRA,1,1507.90869141,1955-11-28,1955-12-04
None,Lyon,FRA,1,1520.52368164,1955-12-05,1955-12-11
None,Lyon,FRA,1,1517.39135742,1955-12-12,1955-12-14
None,Lyon,FRA,1,1524.11950684,1955-12-15,1955-12-18
None,Lyon,FRA,1,1532.3104248,1955-12-19,1955-12-28
None,Lyon,FRA,1,1577.09887695,1955-12-29,1956-01-01
None,Lyon,FRA,1,1583.09790039,1956-01-02,1956-01-15
None,Lyon,FRA,1,1573.28979492,1956-01-16,1956-01-22
None,Lyon,FRA,1,1578.94873047,1956-01-23,1956-01-29
None,Lyon,FRA,1,1574.62805176,1956-01-30,1956-02-12
None,Lyon,FRA,1,1582.44274902,1956-02-13,1956-03-11
None,Lyon,FRA,1,1585.7520752,1956-03-12,1956-03-18
None,Lyon,FRA,1,1597.34509277,1956-03-19,1956-04-01
None,Lyon,FRA,1,1592.19702148,1956-04-02,1956-04-04
None,Lyon,FRA,1,1596.64477539,1956-04-05,1956-04-15
None,Lyon,FRA,1,1592.76672363,1956-04-16,1956-04-18
None,Lyon,FRA,1,1610.10925293,1956-04-19,1956-04-22
None,Lyon,FRA,1,1606.60119629,1956-04-23,1956-04-29
None,Lyon,FRA,1,1614.44250488,1956-04-30,1956-05-01
None,Lyon,FRA,1,1621.55627441,1956-05-02,1956-05-10
None,Lyon,FRA,1,1614.10791016,1956-05-11,1956-05-13
None,Lyon,FRA,1,1610.18347168,1956-05-14,1956-05-19
None,Lyon,FRA,1,1601.75219727,1956-05-20,1956-06-02
None,Lyon,FRA,1,1598.06213379,1956-06-03,1956-06-13
None,Lyon,FRA,1,1590.87988281,1956-06-14,1956-06-30
None,Lyon,FRA,1,1582.70214844,1956-07-01,1956-07-03
None,Lyon,FRA,1,1570.00463867,1956-07-04,1956-08-19
None,Lyon,FRA,1,1566.04443359,1956-08-20,1956-08-26
None,Lyon,FRA,1,1569.8729248,1956-08-27,1956-09-02
None,Lyon,FRA,1,1579.17382812,1956-09-03,1956-09-09
None,Lyon,FRA,1,1563.88085938,1956-09-10,1956-09-16
None,Lyon,FRA,1,1570.23059082,1956-09-17,1956-09-19
None,Lyon,FRA,1,1575.2199707,1956-09-20,1956-09-23
None,Lyon,FRA,1,1589.09484863,1956-09-24,1956-09-27
None,Lyon,FRA,1,1596.82336426,1956-09-28,1956-09-30
None,Lyon,FRA,1,1605.50756836,1956-10-01,1956-10-14
None,Lyon,FRA,1,1601.34692383,1956-10-15,1956-10-24
None,Lyon,FRA,1,1603.75891113,1956-10-25,1956-10-28
None,Lyon,FRA,1,1592.90905762,1956-10-29,1956-11-04
None,Lyon,FRA,1,1579.19067383,1956-11-05,1956-11-14
None,Lyon,FRA,1,1576.84265137,1956-11-15,1956-11-18
None,Lyon,FRA,1,1571.17443848,1956-11-19,1956-11-25
None,Lyon,FRA,1,1567.25720215,1956-11-26,1956-11-28
None,Lyon,FRA,1,1592.27783203,1956-11-29,1956-12-02
None,Lyon,FRA,1,1595.99377441,1956-12-03,1956-12-09
