Rank,Club,Country,Level,Elo,From,To
None,Manisaspor,TUR,1,1385.40930176,2005-07-02,2005-07-26
None,Manisaspor,TUR,1,1380.10534668,2005-07-27,2005-08-03
None,Manisaspor,TUR,1,1373.18322754,2005-08-04,2005-08-07
None,Manisaspor,TUR,1,1372.2578125,2005-08-08,2005-08-11
None,Manisaspor,TUR,1,1372.30249023,2005-08-12,2005-08-13
None,Manisaspor,TUR,1,1399.41894531,2005-08-14,2005-08-21
None,Manisaspor,TUR,1,1391.88916016,2005-08-22,2005-08-25
None,Manisaspor,TUR,1,1392.03979492,2005-08-26,2005-08-27
None,Manisaspor,TUR,1,1385.85632324,2005-08-28,2005-09-11
None,Manisaspor,TUR,1,1388.84606934,2005-09-12,2005-09-13
None,Manisaspor,TUR,1,1387.61572266,2005-09-14,2005-09-15
None,Manisaspor,TUR,1,1378.0559082,2005-09-16,2005-09-18
None,Manisaspor,TUR,1,1371.95361328,2005-09-19,2005-09-23
None,Manisaspor,TUR,1,1392.88244629,2005-09-24,2005-09-28
None,Manisaspor,TUR,1,1400.63439941,2005-09-29,2005-09-29
None,Manisaspor,TUR,1,1402.36865234,2005-09-30,2005-10-01
None,Manisaspor,TUR,1,1388.46923828,2005-10-02,2005-10-16
None,Manisaspor,TUR,1,1392.24938965,2005-10-17,2005-10-19
None,Manisaspor,TUR,1,1390.77502441,2005-10-20,2005-10-20
None,Manisaspor,TUR,1,1390.99072266,2005-10-21,2005-10-23
None,Manisaspor,TUR,1,1379.49731445,2005-10-24,2005-10-30
None,Manisaspor,TUR,1,1392.96228027,2005-10-31,2005-11-01
None,Manisaspor,TUR,1,1389.23339844,2005-11-02,2005-11-03
None,Manisaspor,TUR,1,1387.11645508,2005-11-04,2005-11-06
None,Manisaspor,TUR,1,1386.09899902,2005-11-07,2005-11-19
None,Manisaspor,TUR,1,1384.86157227,2005-11-20,2005-11-23
None,Manisaspor,TUR,1,1378.99829102,2005-11-24,2005-11-26
None,Manisaspor,TUR,1,1386.5736084,2005-11-27,2005-12-01
None,Manisaspor,TUR,1,1385.74621582,2005-12-02,2005-12-04
None,Manisaspor,TUR,1,1382.49645996,2005-12-05,2005-12-06
None,Manisaspor,TUR,1,1380.61108398,2005-12-07,2005-12-09
None,Manisaspor,TUR,1,1388.87475586,2005-12-10,2005-12-14
None,Manisaspor,TUR,1,1394.99621582,2005-12-15,2005-12-18
None,Manisaspor,TUR,1,1399.31091309,2005-12-19,2006-01-21
None,Manisaspor,TUR,1,1414.26831055,2006-01-22,2006-02-05
None,Manisaspor,TUR,1,1416.87536621,2006-02-06,2006-02-11
None,Manisaspor,TUR,1,1425.5802002,2006-02-12,2006-02-19
None,Manisaspor,TUR,1,1436.30749512,2006-02-20,2006-02-25
None,Manisaspor,TUR,1,1433.14282227,2006-02-26,2006-03-04
None,Manisaspor,TUR,1,1426.70751953,2006-03-05,2006-03-10
None,Manisaspor,TUR,1,1419.42272949,2006-03-11,2006-03-18
None,Manisaspor,TUR,1,1429.98242188,2006-03-19,2006-03-25
None,Manisaspor,TUR,1,1426.19836426,2006-03-26,2006-03-29
None,Manisaspor,TUR,1,1431.9161377,2006-03-30,2006-04-02
None,Manisaspor,TUR,1,1410.95202637,2006-04-03,2006-04-09
None,Manisaspor,TUR,1,1400.43273926,2006-04-10,2006-04-15
None,Manisaspor,TUR,1,1419.47729492,2006-04-16,2006-04-22
