Rank,Club,Country,Level,Elo,From,To
None,Mantova,ITA,2,1401.48132324,1959-07-04,1959-09-13
None,Mantova,ITA,2,1401.43701172,1959-09-14,1959-09-20
None,Mantova,ITA,2,1399.52612305,1959-09-21,1959-09-23
None,Mantova,ITA,2,1399.70715332,1959-09-24,1959-09-27
None,Mantova,ITA,2,1403.52001953,1959-09-28,1959-10-04
None,Mantova,ITA,2,1410.05175781,1959-10-05,1959-10-11
None,Mantova,ITA,2,1403.71252441,1959-10-12,1959-10-18
None,Mantova,ITA,2,1397.88110352,1959-10-19,1959-10-25
None,Mantova,ITA,2,1386.44616699,1959-10-26,1959-11-01
None,Mantova,ITA,2,1380.84594727,1959-11-02,1959-11-04
None,Mantova,ITA,2,1374.30334473,1959-11-05,1959-11-08
None,Mantova,ITA,2,1381.74816895,1959-11-09,1959-11-15
None,Mantova,ITA,2,1396.29370117,1959-11-16,1959-11-22
None,Mantova,ITA,2,1404.38867188,1959-11-23,1959-11-25
None,Mantova,ITA,2,1400.89025879,1959-11-26,1959-11-29
None,Mantova,ITA,2,1406.26367188,1959-11-30,1959-12-13
None,Mantova,ITA,2,1405.08752441,1959-12-14,1959-12-20
None,Mantova,ITA,2,1411.40344238,1959-12-21,1959-12-27
None,Mantova,ITA,2,1424.23449707,1959-12-28,1960-01-03
None,Mantova,ITA,2,1419.68933105,1960-01-04,1960-01-10
None,Mantova,ITA,2,1417.09118652,1960-01-11,1960-01-17
None,Mantova,ITA,2,1427.13500977,1960-01-18,1960-01-24
None,Mantova,ITA,2,1422.40783691,1960-01-25,1960-01-31
None,Mantova,ITA,2,1419.1628418,1960-02-01,1960-02-08
None,Mantova,ITA,2,1414.53112793,1960-02-09,1960-02-15
None,Mantova,ITA,2,1410.29199219,1960-02-16,1960-02-21
None,Mantova,ITA,2,1406.35083008,1960-02-22,1960-02-28
None,Mantova,ITA,2,1405.15185547,1960-02-29,1960-03-06
None,Mantova,ITA,2,1411.42993164,1960-03-07,1960-03-13
None,Mantova,ITA,2,1407.1114502,1960-03-14,1960-03-20
None,Mantova,ITA,2,1411.64001465,1960-03-21,1960-03-27
None,Mantova,ITA,2,1423.92578125,1960-03-28,1960-04-03
None,Mantova,ITA,2,1425.09033203,1960-04-04,1960-04-10
None,Mantova,ITA,2,1422.4342041,1960-04-11,1960-04-17
None,Mantova,ITA,2,1428.11157227,1960-04-18,1960-04-24
None,Mantova,ITA,2,1424.42102051,1960-04-25,1960-05-01
None,Mantova,ITA,2,1415.89013672,1960-05-02,1960-05-08
None,Mantova,ITA,2,1433.17297363,1960-05-09,1960-05-15
None,Mantova,ITA,2,1441.99206543,1960-05-16,1960-05-22
None,Mantova,ITA,2,1454.13256836,1960-05-23,1960-05-26
None,Mantova,ITA,2,1463.95385742,1960-05-27,1960-05-29
None,Mantova,ITA,2,1451.8449707,1960-05-30,1960-06-05
None,Mantova,ITA,2,1460.35546875,1960-06-06,1960-09-21
None,Mantova,ITA,2,1460.12133789,1960-09-22,1960-09-25
None,Mantova,ITA,2,1452.01489258,1960-09-26,1960-10-02
None,Mantova,ITA,2,1458.36816406,1960-10-03,1960-10-09
None,Mantova,ITA,2,1465.54077148,1960-10-10,1960-10-12
None,Mantova,ITA,2,1441.02856445,1960-10-13,1960-10-16
None,Mantova,ITA,2,1442.40856934,1960-10-17,1960-10-23
None,Mantova,ITA,2,1449.5020752,1960-10-24,1960-10-30
None,Mantova,ITA,2,1459.71044922,1960-10-31,1960-11-06
None,Mantova,ITA,2,1463.04663086,1960-11-07,1960-11-13
None,Mantova,ITA,2,1480.24450684,1960-11-14,1960-11-20
None,Mantova,ITA,2,1484.6953125,1960-11-21,1960-11-27
None,Mantova,ITA,2,1488.08569336,1960-11-28,1960-12-04
None,Mantova,ITA,2,1492.90393066,1960-12-05,1960-12-11
None,Mantova,ITA,2,1486.27880859,1960-12-12,1960-12-18
None,Mantova,ITA,2,1473.85327148,1960-12-19,1960-12-25
None,Mantova,ITA,2,1469.47253418,1960-12-26,1961-01-01
None,Mantova,ITA,2,1474.42297363,1961-01-02,1961-01-08
None,Mantova,ITA,2,1477.48193359,1961-01-09,1961-01-15
None,Mantova,ITA,2,1469.4152832,1961-01-16,1961-01-22
None,Mantova,ITA,2,1472.96875,1961-01-23,1961-01-29
None,Mantova,ITA,2,1480.56298828,1961-01-30,1961-02-05
None,Mantova,ITA,2,1476.07226562,1961-02-06,1961-02-12
None,Mantova,ITA,2,1473.83508301,1961-02-13,1961-02-19
None,Mantova,ITA,2,1478.26196289,1961-02-20,1961-02-26
None,Mantova,ITA,2,1471.68530273,1961-02-27,1961-03-05
None,Mantova,ITA,2,1472.1295166,1961-03-06,1961-03-12
None,Mantova,ITA,2,1475.42724609,1961-03-13,1961-03-19
None,Mantova,ITA,2,1477.94128418,1961-03-20,1961-03-26
None,Mantova,ITA,2,1485.63928223,1961-03-27,1961-04-02
None,Mantova,ITA,2,1490.32739258,1961-04-03,1961-04-09
None,Mantova,ITA,2,1485.48950195,1961-04-10,1961-04-16
None,Mantova,ITA,2,1488.82312012,1961-04-17,1961-04-23
None,Mantova,ITA,2,1493.27746582,1961-04-24,1961-04-30
None,Mantova,ITA,2,1502.84350586,1961-05-01,1961-05-07
None,Mantova,ITA,2,1497.94946289,1961-05-08,1961-05-11
None,Mantova,ITA,2,1508.44555664,1961-05-12,1961-05-14
None,Mantova,ITA,2,1510.89147949,1961-05-15,1961-05-21
None,Mantova,ITA,2,1515.66918945,1961-05-22,1961-05-28
None,Mantova,ITA,2,1506.0357666,1961-05-29,1961-06-04
None,Mantova,ITA,2,1509.13562012,1961-06-05,1961-07-02
None,Mantova,ITA,1,1509.13562012,1961-07-03,1961-08-27
None,Mantova,ITA,1,1517.65649414,1961-08-28,1961-09-03
None,Mantova,ITA,1,1525.74414062,1961-09-04,1961-09-10
None,Mantova,ITA,1,1520.59033203,1961-09-11,1961-09-13
None,Mantova,ITA,1,1522.57714844,1961-09-14,1961-09-17
None,Mantova,ITA,1,1520.30529785,1961-09-18,1961-09-20
None,Mantova,ITA,1,1521.24389648,1961-09-21,1961-09-24
None,Mantova,ITA,1,1530.91784668,1961-09-25,1961-09-27
None,Mantova,ITA,1,1531.45739746,1961-09-28,1961-10-01
None,Mantova,ITA,1,1538.64440918,1961-10-02,1961-10-04
None,Mantova,ITA,1,1551.63244629,1961-10-05,1961-10-08
None,Mantova,ITA,1,1547.94274902,1961-10-09,1961-10-22
None,Mantova,ITA,1,1548.74865723,1961-10-23,1961-10-25
None,Mantova,ITA,1,1554.69445801,1961-10-26,1961-10-29
None,Mantova,ITA,1,1551.05236816,1961-10-30,1961-11-08
None,Mantova,ITA,1,1559.62097168,1961-11-09,1961-11-12
None,Mantova,ITA,1,1543.81628418,1961-11-13,1961-11-15
None,Mantova,ITA,1,1551.65161133,1961-11-16,1961-11-19
None,Mantova,ITA,1,1570.21533203,1961-11-20,1961-11-22
None,Mantova,ITA,1,1587.13806152,1961-11-23,1961-11-26
98,Mantova,ITA,1,1594.75073242,1961-11-27,1961-11-30
99,Mantova,ITA,1,1594.75073242,1961-12-01,1961-12-03
None,Mantova,ITA,1,1588.50183105,1961-12-04,1961-12-10
None,Mantova,ITA,1,1584.04528809,1961-12-11,1961-12-17
None,Mantova,ITA,1,1581.81555176,1961-12-18,1962-01-07
None,Mantova,ITA,1,1586.35864258,1962-01-08,1962-01-10
None,Mantova,ITA,1,1580.83374023,1962-01-11,1962-01-14
None,Mantova,ITA,1,1578.43737793,1962-01-15,1962-01-21
None,Mantova,ITA,1,1588.50866699,1962-01-22,1962-01-24
99,Mantova,ITA,1,1598.20153809,1962-01-25,1962-01-28
100,Mantova,ITA,1,1592.19055176,1962-01-29,1962-02-01
None,Mantova,ITA,1,1592.19055176,1962-02-02,1962-02-04
100,Mantova,ITA,1,1596.43896484,1962-02-05,1962-02-07
99,Mantova,ITA,1,1596.43896484,1962-02-08,1962-02-11
None,Mantova,ITA,1,1592.99304199,1962-02-12,1962-02-14
None,Mantova,ITA,1,1589.9519043,1962-02-15,1962-02-18
None,Mantova,ITA,1,1587.7097168,1962-02-19,1962-02-21
None,Mantova,ITA,1,1586.34143066,1962-02-22,1962-02-25
None,Mantova,ITA,1,1584.62463379,1962-02-26,1962-02-26
None,Mantova,ITA,1,1587.49731445,1962-02-27,1962-02-27
100,Mantova,ITA,1,1589.84558105,1962-02-28,1962-02-28
None,Mantova,ITA,1,1584.19335938,1962-03-01,1962-03-04
98,Mantova,ITA,1,1592.73449707,1962-03-05,1962-03-09
99,Mantova,ITA,1,1592.73449707,1962-03-10,1962-03-10
98,Mantova,ITA,1,1592.73449707,1962-03-11,1962-03-11
None,Mantova,ITA,1,1587.9362793,1962-03-12,1962-03-18
