Rank,Club,Country,Level,Elo,From,To
None,Marseille,FRA,1,1341.29150391,1945-07-01,1945-08-26
None,Marseille,FRA,1,1362.21398926,1945-08-27,1945-09-02
None,Marseille,FRA,1,1375.64685059,1945-09-03,1945-09-09
None,Marseille,FRA,1,1369.02685547,1945-09-10,1945-09-16
None,Marseille,FRA,1,1354.53015137,1945-09-17,1945-09-23
None,Marseille,FRA,1,1351.49365234,1945-09-24,1945-09-30
None,Marseille,FRA,1,1337.56311035,1945-10-01,1945-10-07
None,Marseille,FRA,1,1348.70202637,1945-10-08,1945-10-14
None,Marseille,FRA,1,1358.80725098,1945-10-15,1945-10-21
None,Marseille,FRA,1,1342.70361328,1945-10-22,1945-10-28
None,Marseille,FRA,1,1345.69592285,1945-10-29,1945-11-04
None,Marseille,FRA,1,1356.56396484,1945-11-05,1945-11-11
None,Marseille,FRA,1,1360.09448242,1945-11-12,1945-11-18
None,Marseille,FRA,1,1363.7298584,1945-11-19,1945-12-02
None,Marseille,FRA,1,1357.18981934,1945-12-03,1945-12-09
None,Marseille,FRA,1,1360.45568848,1945-12-10,1945-12-16
None,Marseille,FRA,1,1348.45568848,1945-12-17,1945-12-23
None,Marseille,FRA,1,1350.29760742,1945-12-24,1945-12-30
None,Marseille,FRA,1,1346.74414062,1945-12-31,1946-01-13
None,Marseille,FRA,1,1343.36096191,1946-01-14,1946-01-20
None,Marseille,FRA,1,1327.5838623,1946-01-21,1946-01-27
None,Marseille,FRA,1,1332.68945312,1946-01-28,1946-02-10
None,Marseille,FRA,1,1336.44384766,1946-02-11,1946-02-17
None,Marseille,FRA,1,1337.44018555,1946-02-18,1946-02-24
None,Marseille,FRA,1,1327.11816406,1946-02-25,1946-03-10
None,Marseille,FRA,1,1317.64978027,1946-03-11,1946-03-24
None,Marseille,FRA,1,1307.95458984,1946-03-25,1946-04-07
None,Marseille,FRA,1,1301.15112305,1946-04-08,1946-04-11
None,Marseille,FRA,1,1323.15112305,1946-04-12,1946-04-14
None,Marseille,FRA,1,1328.80981445,1946-04-15,1946-04-16
None,Marseille,FRA,1,1321.80981445,1946-04-17,1946-04-21
None,Marseille,FRA,1,1337.47241211,1946-04-22,1946-04-28
None,Marseille,FRA,1,1336.49365234,1946-04-29,1946-05-05
None,Marseille,FRA,1,1326.74719238,1946-05-06,1946-05-08
None,Marseille,FRA,1,1344.74719238,1946-05-09,1946-05-12
None,Marseille,FRA,1,1352.47851562,1946-05-13,1946-05-19
None,Marseille,FRA,1,1346.02709961,1946-05-20,1946-05-26
None,Marseille,FRA,1,1354.08605957,1946-05-27,1946-06-02
None,Marseille,FRA,1,1357.74658203,1946-06-03,1946-08-18
None,Marseille,FRA,1,1341.2388916,1946-08-19,1946-08-25
None,Marseille,FRA,1,1336.48156738,1946-08-26,1946-09-01
None,Marseille,FRA,1,1329.81103516,1946-09-02,1946-09-08
None,Marseille,FRA,1,1332.9888916,1946-09-09,1946-09-12
None,Marseille,FRA,1,1345.75219727,1946-09-13,1946-09-15
None,Marseille,FRA,1,1351.13305664,1946-09-16,1946-09-22
None,Marseille,FRA,1,1353.94226074,1946-09-23,1946-09-26
None,Marseille,FRA,1,1356.67895508,1946-09-27,1946-09-29
None,Marseille,FRA,1,1350.89770508,1946-09-30,1946-10-06
