Rank,Club,Country,Level,Elo,From,To
None,Moreirense,POR,1,1354.14282227,2002-07-01,2002-07-31
None,Moreirense,POR,1,1354.20703125,2002-08-01,2002-08-07
None,Moreirense,POR,1,1354.21105957,2002-08-08,2002-08-13
None,Moreirense,POR,1,1349.47021484,2002-08-14,2002-08-14
None,Moreirense,POR,1,1348.75158691,2002-08-15,2002-08-15
None,Moreirense,POR,1,1345.05163574,2002-08-16,2002-08-25
None,Moreirense,POR,1,1336.35888672,2002-08-26,2002-08-27
None,Moreirense,POR,1,1332.99560547,2002-08-28,2002-08-28
None,Moreirense,POR,1,1333.28771973,2002-08-29,2002-08-29
None,Moreirense,POR,1,1340.79272461,2002-08-30,2002-09-01
None,Moreirense,POR,1,1335.70703125,2002-09-02,2002-09-14
None,Moreirense,POR,1,1331.84997559,2002-09-15,2002-09-17
None,Moreirense,POR,1,1333.36535645,2002-09-18,2002-09-19
None,Moreirense,POR,1,1323.30883789,2002-09-20,2002-09-22
None,Moreirense,POR,1,1320.4407959,2002-09-23,2002-09-29
None,Moreirense,POR,1,1330.75463867,2002-09-30,2002-10-03
None,Moreirense,POR,1,1333.81616211,2002-10-04,2002-10-07
None,Moreirense,POR,1,1331.48681641,2002-10-08,2002-10-20
None,Moreirense,POR,1,1340.08679199,2002-10-21,2002-10-25
None,Moreirense,POR,1,1337.84790039,2002-10-26,2002-10-31
None,Moreirense,POR,1,1340.86730957,2002-11-01,2002-11-03
None,Moreirense,POR,1,1340.83203125,2002-11-04,2002-11-09
None,Moreirense,POR,1,1348.82080078,2002-11-10,2002-11-14
None,Moreirense,POR,1,1353.01416016,2002-11-15,2002-11-18
None,Moreirense,POR,1,1350.40002441,2002-11-19,2002-11-26
None,Moreirense,POR,1,1349.95983887,2002-11-27,2002-11-28
None,Moreirense,POR,1,1357.19885254,2002-11-29,2002-11-30
None,Moreirense,POR,1,1354.00891113,2002-12-01,2002-12-08
None,Moreirense,POR,1,1359.48181152,2002-12-09,2002-12-12
None,Moreirense,POR,1,1364.84204102,2002-12-13,2002-12-14
None,Moreirense,POR,1,1370.92199707,2002-12-15,2002-12-22
None,Moreirense,POR,1,1368.3190918,2002-12-23,2003-01-05
None,Moreirense,POR,1,1368.82446289,2003-01-06,2003-01-12
None,Moreirense,POR,1,1374.08117676,2003-01-13,2003-01-19
None,Moreirense,POR,1,1385.79150391,2003-01-20,2003-01-26
None,Moreirense,POR,1,1392.26867676,2003-01-27,2003-02-03
None,Moreirense,POR,1,1399.9831543,2003-02-04,2003-02-09
None,Moreirense,POR,1,1398.82971191,2003-02-10,2003-02-16
None,Moreirense,POR,1,1405.00878906,2003-02-17,2003-02-20
None,Moreirense,POR,1,1407.17321777,2003-02-21,2003-02-24
None,Moreirense,POR,1,1402.11938477,2003-02-25,2003-02-27
None,Moreirense,POR,1,1408.05810547,2003-02-28,2003-03-02
None,Moreirense,POR,1,1411.36962891,2003-03-03,2003-03-13
None,Moreirense,POR,1,1405.74768066,2003-03-14,2003-03-14
None,Moreirense,POR,1,1416.41040039,2003-03-15,2003-03-20
None,Moreirense,POR,1,1430.5012207,2003-03-21,2003-03-23
None,Moreirense,POR,1,1445.60595703,2003-03-24,2003-04-05
None,Moreirense,POR,1,1447.43408203,2003-04-06,2003-04-10
None,Moreirense,POR,1,1456.68554688,2003-04-11,2003-04-19
None,Moreirense,POR,1,1455.96240234,2003-04-20,2003-04-24
