Rank,Club,Country,Level,Elo,From,To
None,Motherwell,SCO,1,1593.43664551,1946-07-07,1946-08-10
None,Motherwell,SCO,1,1578.91687012,1946-08-11,1946-08-14
None,Motherwell,SCO,1,1572.21887207,1946-08-15,1946-08-17
None,Motherwell,SCO,1,1595.65795898,1946-08-18,1946-08-21
None,Motherwell,SCO,1,1593.89001465,1946-08-22,1946-08-24
None,Motherwell,SCO,1,1580.0090332,1946-08-25,1946-08-28
None,Motherwell,SCO,1,1582.7701416,1946-08-29,1946-08-31
None,Motherwell,SCO,1,1589.59667969,1946-09-01,1946-09-04
None,Motherwell,SCO,1,1579.02661133,1946-09-05,1946-09-07
None,Motherwell,SCO,1,1588.08508301,1946-09-08,1946-09-14
None,Motherwell,SCO,1,1581.46838379,1946-09-15,1946-10-20
None,Motherwell,SCO,1,1549.46838379,1946-10-21,1946-11-02
None,Motherwell,SCO,1,1556.55969238,1946-11-03,1946-11-09
None,Motherwell,SCO,1,1571.42590332,1946-11-10,1946-11-16
None,Motherwell,SCO,1,1575.66345215,1946-11-17,1946-11-23
None,Motherwell,SCO,1,1564.81945801,1946-11-24,1946-11-30
None,Motherwell,SCO,1,1542.12402344,1946-12-01,1946-12-07
None,Motherwell,SCO,1,1538.8659668,1946-12-08,1946-12-14
None,Motherwell,SCO,1,1529.60803223,1946-12-15,1946-12-21
None,Motherwell,SCO,1,1523.86218262,1946-12-22,1946-12-28
None,Motherwell,SCO,1,1528.54577637,1946-12-29,1947-01-01
None,Motherwell,SCO,1,1528.23925781,1947-01-02,1947-01-02
None,Motherwell,SCO,1,1539.91125488,1947-01-03,1947-01-04
None,Motherwell,SCO,1,1537.78051758,1947-01-05,1947-01-11
None,Motherwell,SCO,1,1532.48474121,1947-01-12,1947-01-18
None,Motherwell,SCO,1,1540.37036133,1947-01-19,1947-02-01
None,Motherwell,SCO,1,1552.08972168,1947-02-02,1947-03-22
None,Motherwell,SCO,1,1542.32910156,1947-03-23,1947-04-13
None,Motherwell,SCO,1,1552.32910156,1947-04-14,1947-04-19
None,Motherwell,SCO,1,1558.28833008,1947-04-20,1947-04-21
None,Motherwell,SCO,1,1566.98840332,1947-04-22,1947-04-26
None,Motherwell,SCO,1,1565.73718262,1947-04-27,1947-05-03
None,Motherwell,SCO,1,1560.15258789,1947-05-04,1947-05-20
None,Motherwell,SCO,1,1543.15258789,1947-05-21,1947-05-25
None,Motherwell,SCO,1,1545.15258789,1947-05-26,1947-08-13
None,Motherwell,SCO,1,1559.59472656,1947-08-14,1947-08-27
None,Motherwell,SCO,1,1569.06054688,1947-08-28,1947-09-20
None,Motherwell,SCO,1,1582.71374512,1947-09-21,1947-09-27
None,Motherwell,SCO,1,1591.58044434,1947-09-28,1947-10-04
None,Motherwell,SCO,1,1576.09936523,1947-10-05,1947-10-05
None,Motherwell,SCO,1,1533.09936523,1947-10-06,1947-10-11
None,Motherwell,SCO,1,1538.1817627,1947-10-12,1947-10-18
None,Motherwell,SCO,1,1546.46435547,1947-10-19,1947-10-25
None,Motherwell,SCO,1,1551.96899414,1947-10-26,1947-11-01
None,Motherwell,SCO,1,1540.65393066,1947-11-02,1947-11-08
None,Motherwell,SCO,1,1535.87341309,1947-11-09,1947-11-15
None,Motherwell,SCO,1,1521.64709473,1947-11-16,1947-11-22
None,Motherwell,SCO,1,1504.66906738,1947-11-23,1947-12-06
None,Motherwell,SCO,1,1493.21350098,1947-12-07,1947-12-13
None,Motherwell,SCO,1,1492.20068359,1947-12-14,1947-12-20
None,Motherwell,SCO,1,1475.80859375,1947-12-21,1947-12-27
None,Motherwell,SCO,1,1485.02368164,1947-12-28,1948-01-01
None,Motherwell,SCO,1,1488.79296875,1948-01-02,1948-01-03
None,Motherwell,SCO,1,1482.98962402,1948-01-04,1948-01-10
None,Motherwell,SCO,1,1488.29260254,1948-01-11,1948-01-17
None,Motherwell,SCO,1,1484.95751953,1948-01-18,1948-02-14
None,Motherwell,SCO,1,1477.83691406,1948-02-15,1948-02-28
None,Motherwell,SCO,1,1487.0222168,1948-02-29,1948-03-13
None,Motherwell,SCO,1,1477.48449707,1948-03-14,1948-03-20
None,Motherwell,SCO,1,1459.13549805,1948-03-21,1948-03-27
None,Motherwell,SCO,1,1449.52392578,1948-03-28,1948-04-03
None,Motherwell,SCO,1,1451.9552002,1948-04-04,1948-04-09
None,Motherwell,SCO,1,1442.8203125,1948-04-10,1948-04-11
None,Motherwell,SCO,1,1419.8203125,1948-04-12,1948-04-17
None,Motherwell,SCO,1,1426.73803711,1948-04-18,1948-04-19
None,Motherwell,SCO,1,1422.15246582,1948-04-20,1948-04-24
None,Motherwell,SCO,1,1425.3927002,1948-04-25,1948-05-01
None,Motherwell,SCO,1,1428.3927002,1948-05-02,1948-05-22
None,Motherwell,SCO,1,1419.3927002,1948-05-23,1948-05-26
None,Motherwell,SCO,1,1404.3927002,1948-05-27,1948-08-14
None,Motherwell,SCO,1,1407.27209473,1948-08-15,1948-08-18
None,Motherwell,SCO,1,1414.64794922,1948-08-19,1948-08-21
None,Motherwell,SCO,1,1421.77001953,1948-08-22,1948-08-28
None,Motherwell,SCO,1,1413.5769043,1948-08-29,1948-09-01
None,Motherwell,SCO,1,1423.99853516,1948-09-02,1948-09-04
None,Motherwell,SCO,1,1416.94909668,1948-09-05,1948-10-23
None,Motherwell,SCO,1,1419.70166016,1948-10-24,1948-10-24
None,Motherwell,SCO,1,1462.70166016,1948-10-25,1948-10-30
None,Motherwell,SCO,1,1446.06396484,1948-10-31,1948-11-06
None,Motherwell,SCO,1,1448.24365234,1948-11-07,1948-11-13
None,Motherwell,SCO,1,1438.52868652,1948-11-14,1948-11-20
None,Motherwell,SCO,1,1469.62756348,1948-11-21,1948-11-27
None,Motherwell,SCO,1,1471.63110352,1948-11-28,1948-12-04
None,Motherwell,SCO,1,1484.21240234,1948-12-05,1948-12-11
None,Motherwell,SCO,1,1471.74316406,1948-12-12,1948-12-18
None,Motherwell,SCO,1,1465.42089844,1948-12-19,1948-12-25
None,Motherwell,SCO,1,1455.34936523,1948-12-26,1949-01-01
None,Motherwell,SCO,1,1464.17712402,1949-01-02,1949-01-08
None,Motherwell,SCO,1,1460.23864746,1949-01-09,1949-01-15
None,Motherwell,SCO,1,1450.75524902,1949-01-16,1949-01-29
None,Motherwell,SCO,1,1440.73120117,1949-01-30,1949-02-12
None,Motherwell,SCO,1,1433.51989746,1949-02-13,1949-02-26
None,Motherwell,SCO,1,1427.23693848,1949-02-27,1949-03-12
None,Motherwell,SCO,1,1437.17932129,1949-03-13,1949-03-19
None,Motherwell,SCO,1,1443.65063477,1949-03-20,1949-04-02
None,Motherwell,SCO,1,1435.10852051,1949-04-03,1949-04-09
None,Motherwell,SCO,1,1448.01867676,1949-04-10,1949-04-10
None,Motherwell,SCO,1,1501.01867676,1949-04-11,1949-04-16
None,Motherwell,SCO,1,1495.89099121,1949-04-17,1949-04-23
None,Motherwell,SCO,1,1501.5390625,1949-04-24,1949-04-27
None,Motherwell,SCO,1,1498.26159668,1949-04-28,1949-04-28
None,Motherwell,SCO,1,1504.26159668,1949-04-29,1949-04-30
None,Motherwell,SCO,1,1502.43481445,1949-05-01,1949-09-10
None,Motherwell,SCO,1,1501.50402832,1949-09-11,1949-09-17
None,Motherwell,SCO,1,1504.91308594,1949-09-18,1949-09-24
None,Motherwell,SCO,1,1503.79943848,1949-09-25,1949-10-01
None,Motherwell,SCO,1,1499.13623047,1949-10-02,1949-10-02
None,Motherwell,SCO,1,1524.13623047,1949-10-03,1949-10-08
None,Motherwell,SCO,1,1515.67272949,1949-10-09,1949-10-15
None,Motherwell,SCO,1,1530.66333008,1949-10-16,1949-10-22
None,Motherwell,SCO,1,1526.37060547,1949-10-23,1949-10-29
None,Motherwell,SCO,1,1516.91821289,1949-10-30,1949-11-05
None,Motherwell,SCO,1,1512.25097656,1949-11-06,1949-11-12
None,Motherwell,SCO,1,1516.26074219,1949-11-13,1949-11-19
None,Motherwell,SCO,1,1525.27978516,1949-11-20,1949-11-26
None,Motherwell,SCO,1,1520.42810059,1949-11-27,1949-12-03
None,Motherwell,SCO,1,1525.53198242,1949-12-04,1949-12-10
None,Motherwell,SCO,1,1550.39831543,1949-12-11,1949-12-17
None,Motherwell,SCO,1,1537.8795166,1949-12-18,1949-12-24
None,Motherwell,SCO,1,1551.66040039,1949-12-25,1949-12-31
None,Motherwell,SCO,1,1560.12023926,1950-01-01,1950-01-02
None,Motherwell,SCO,1,1563.42480469,1950-01-03,1950-01-03
None,Motherwell,SCO,1,1552.93505859,1950-01-04,1950-01-07
None,Motherwell,SCO,1,1546.29248047,1950-01-08,1950-01-14
None,Motherwell,SCO,1,1532.80102539,1950-01-15,1950-01-21
None,Motherwell,SCO,1,1545.07556152,1950-01-22,1950-02-04
None,Motherwell,SCO,1,1549.19787598,1950-02-05,1950-02-18
None,Motherwell,SCO,1,1544.9720459,1950-02-19,1950-02-25
None,Motherwell,SCO,1,1538.35131836,1950-02-26,1950-03-04
None,Motherwell,SCO,1,1531.90917969,1950-03-05,1950-03-18
None,Motherwell,SCO,1,1529.53991699,1950-03-19,1950-03-25
None,Motherwell,SCO,1,1543.33447266,1950-03-26,1950-04-08
None,Motherwell,SCO,1,1555.07409668,1950-04-09,1950-04-16
None,Motherwell,SCO,1,1536.07409668,1950-04-17,1950-04-17
None,Motherwell,SCO,1,1527.92272949,1950-04-18,1950-04-27
None,Motherwell,SCO,1,1532.92272949,1950-04-28,1950-05-22
None,Motherwell,SCO,1,1529.92272949,1950-05-23,1950-05-28
None,Motherwell,SCO,1,1537.92272949,1950-05-29,1950-09-09
None,Motherwell,SCO,1,1530.48498535,1950-09-10,1950-09-23
None,Motherwell,SCO,1,1537.31408691,1950-09-24,1950-09-30
None,Motherwell,SCO,1,1547.25390625,1950-10-01,1950-10-14
None,Motherwell,SCO,1,1537.29333496,1950-10-15,1950-10-21
None,Motherwell,SCO,1,1546.23400879,1950-10-22,1950-10-22
None,Motherwell,SCO,1,1569.23400879,1950-10-23,1950-11-04
None,Motherwell,SCO,1,1583.87182617,1950-11-05,1950-11-11
