Rank,Club,Country,Level,Elo,From,To
None,Nacional,POR,1,1316.21936035,1988-07-03,1988-08-21
None,Nacional,POR,1,1323.51940918,1988-08-22,1988-09-04
None,Nacional,POR,1,1322.9876709,1988-09-05,1988-09-07
None,Nacional,POR,1,1337.69372559,1988-09-08,1988-09-11
None,Nacional,POR,1,1328.55786133,1988-09-12,1988-09-18
None,Nacional,POR,1,1324.65307617,1988-09-19,1988-09-24
None,Nacional,POR,1,1347.33337402,1988-09-25,1988-10-02
None,Nacional,POR,1,1338.19677734,1988-10-03,1988-10-05
None,Nacional,POR,1,1346.64453125,1988-10-06,1988-10-08
None,Nacional,POR,1,1341.67492676,1988-10-09,1988-10-11
None,Nacional,POR,1,1346.5456543,1988-10-12,1988-10-16
None,Nacional,POR,1,1346.39172363,1988-10-17,1988-10-23
None,Nacional,POR,1,1360.33898926,1988-10-24,1988-10-26
None,Nacional,POR,1,1346.9822998,1988-10-27,1988-10-29
None,Nacional,POR,1,1354.61254883,1988-10-30,1988-11-06
None,Nacional,POR,1,1360.84155273,1988-11-07,1988-11-09
None,Nacional,POR,1,1355.26867676,1988-11-10,1988-11-13
None,Nacional,POR,1,1360.79394531,1988-11-14,1988-11-20
None,Nacional,POR,1,1370.2253418,1988-11-21,1988-11-27
None,Nacional,POR,1,1377.66601562,1988-11-28,1988-12-01
None,Nacional,POR,1,1374.07263184,1988-12-02,1988-12-04
None,Nacional,POR,1,1373.19250488,1988-12-05,1988-12-11
None,Nacional,POR,1,1378.71887207,1988-12-12,1988-12-18
None,Nacional,POR,1,1383.16516113,1988-12-19,1988-12-31
None,Nacional,POR,1,1389.46362305,1989-01-01,1989-01-08
None,Nacional,POR,1,1399.86914062,1989-01-09,1989-01-15
None,Nacional,POR,1,1391.33972168,1989-01-16,1989-01-22
None,Nacional,POR,1,1404.77770996,1989-01-23,1989-01-29
None,Nacional,POR,1,1391.37817383,1989-01-30,1989-02-04
None,Nacional,POR,1,1388.27050781,1989-02-05,1989-02-07
None,Nacional,POR,1,1401.41760254,1989-02-08,1989-02-19
None,Nacional,POR,1,1395.82250977,1989-02-20,1989-02-26
None,Nacional,POR,1,1404.86914062,1989-02-27,1989-03-05
None,Nacional,POR,1,1411.02966309,1989-03-06,1989-03-12
None,Nacional,POR,1,1407.4765625,1989-03-13,1989-03-19
None,Nacional,POR,1,1419.83947754,1989-03-20,1989-04-02
None,Nacional,POR,1,1407.05065918,1989-04-03,1989-04-06
None,Nacional,POR,1,1403.78210449,1989-04-07,1989-04-09
None,Nacional,POR,1,1395.34472656,1989-04-10,1989-04-16
None,Nacional,POR,1,1394.62646484,1989-04-17,1989-04-30
None,Nacional,POR,1,1391.42614746,1989-05-01,1989-05-07
None,Nacional,POR,1,1393.93164062,1989-05-08,1989-05-14
None,Nacional,POR,1,1389.50769043,1989-05-15,1989-05-21
None,Nacional,POR,1,1395.47729492,1989-05-22,1989-08-19
None,Nacional,POR,1,1394.38146973,1989-08-20,1989-08-27
None,Nacional,POR,1,1391.96777344,1989-08-28,1989-09-10
None,Nacional,POR,1,1389.56872559,1989-09-11,1989-09-12
None,Nacional,POR,1,1386.94689941,1989-09-13,1989-09-13
