Rank,Club,Country,Level,Elo,From,To
None,Nantes,FRA,1,1481.21362305,1963-07-03,1963-09-01
None,Nantes,FRA,1,1482.26269531,1963-09-02,1963-09-07
None,Nantes,FRA,1,1477.85620117,1963-09-08,1963-09-13
None,Nantes,FRA,1,1488.25622559,1963-09-14,1963-09-18
None,Nantes,FRA,1,1490.15075684,1963-09-19,1963-09-21
None,Nantes,FRA,1,1487.14880371,1963-09-22,1963-10-02
None,Nantes,FRA,1,1487.65930176,1963-10-03,1963-10-05
None,Nantes,FRA,1,1479.79577637,1963-10-06,1963-10-09
None,Nantes,FRA,1,1481.81945801,1963-10-10,1963-10-12
None,Nantes,FRA,1,1492.96435547,1963-10-13,1963-10-16
None,Nantes,FRA,1,1500.68469238,1963-10-17,1963-10-19
None,Nantes,FRA,1,1507.00134277,1963-10-20,1963-10-31
None,Nantes,FRA,1,1500.78356934,1963-11-01,1963-11-03
None,Nantes,FRA,1,1502.9095459,1963-11-04,1963-11-10
None,Nantes,FRA,1,1492.22216797,1963-11-11,1963-11-17
None,Nantes,FRA,1,1498.89929199,1963-11-18,1963-11-20
None,Nantes,FRA,1,1503.16491699,1963-11-21,1963-11-24
None,Nantes,FRA,1,1497.36450195,1963-11-25,1963-11-27
None,Nantes,FRA,1,1498.53515625,1963-11-28,1963-11-30
None,Nantes,FRA,1,1499.63305664,1963-12-01,1963-12-01
None,Nantes,FRA,1,1509.63977051,1963-12-02,1963-12-04
None,Nantes,FRA,1,1501.68151855,1963-12-05,1963-12-07
None,Nantes,FRA,1,1494.78198242,1963-12-08,1963-12-14
None,Nantes,FRA,1,1501.49194336,1963-12-15,1963-12-22
None,Nantes,FRA,1,1497.24621582,1963-12-23,1963-12-29
None,Nantes,FRA,1,1502.20727539,1963-12-30,1964-01-05
None,Nantes,FRA,1,1508.79821777,1964-01-06,1964-01-19
None,Nantes,FRA,1,1504.29748535,1964-01-20,1964-01-26
None,Nantes,FRA,1,1510.87487793,1964-01-27,1964-02-02
None,Nantes,FRA,1,1516.11779785,1964-02-03,1964-02-16
None,Nantes,FRA,1,1514.63671875,1964-02-17,1964-02-23
None,Nantes,FRA,1,1511.10681152,1964-02-24,1964-03-04
None,Nantes,FRA,1,1518.59118652,1964-03-05,1964-03-08
None,Nantes,FRA,1,1524.71923828,1964-03-09,1964-03-13
None,Nantes,FRA,1,1529.4543457,1964-03-14,1964-03-18
None,Nantes,FRA,1,1541.10693359,1964-03-19,1964-03-26
None,Nantes,FRA,1,1547.74475098,1964-03-27,1964-04-01
None,Nantes,FRA,1,1542.61584473,1964-04-02,1964-04-04
None,Nantes,FRA,1,1547.13769531,1964-04-05,1964-04-08
None,Nantes,FRA,1,1542.81201172,1964-04-09,1964-04-11
None,Nantes,FRA,1,1551.32202148,1964-04-12,1964-04-21
None,Nantes,FRA,1,1555.57751465,1964-04-22,1964-04-29
None,Nantes,FRA,1,1571.78808594,1964-04-30,1964-05-03
None,Nantes,FRA,1,1581.36108398,1964-05-04,1964-05-05
None,Nantes,FRA,1,1571.70898438,1964-05-06,1964-05-17
None,Nantes,FRA,1,1559.15637207,1964-05-18,1964-05-30
None,Nantes,FRA,1,1568.82885742,1964-05-31,1964-06-06
None,Nantes,FRA,1,1561.77331543,1964-06-07,1964-08-29
None,Nantes,FRA,1,1557.21655273,1964-08-30,1964-09-04
