Rank,Club,Country,Level,Elo,From,To
None,Naval,POR,1,1395.98339844,2005-07-02,2005-08-10
None,Naval,POR,1,1391.76367188,2005-08-11,2005-08-21
None,Naval,POR,1,1411.44152832,2005-08-22,2005-08-23
None,Naval,POR,1,1409.56567383,2005-08-24,2005-08-26
None,Naval,POR,1,1406.39941406,2005-08-27,2005-09-11
None,Naval,POR,1,1399.95483398,2005-09-12,2005-09-13
None,Naval,POR,1,1396.14294434,2005-09-14,2005-09-14
None,Naval,POR,1,1399.95776367,2005-09-15,2005-09-15
None,Naval,POR,1,1409.33081055,2005-09-16,2005-09-16
None,Naval,POR,1,1410.86047363,2005-09-17,2005-09-25
None,Naval,POR,1,1420.41320801,2005-09-26,2005-09-27
None,Naval,POR,1,1419.43847656,2005-09-28,2005-09-28
None,Naval,POR,1,1411.77026367,2005-09-29,2005-09-29
None,Naval,POR,1,1402.44763184,2005-09-30,2005-10-04
None,Naval,POR,1,1399.83276367,2005-10-05,2005-10-16
None,Naval,POR,1,1408.18908691,2005-10-17,2005-10-18
None,Naval,POR,1,1411.14367676,2005-10-19,2005-10-19
None,Naval,POR,1,1417.76318359,2005-10-20,2005-10-20
None,Naval,POR,1,1416.41906738,2005-10-21,2005-10-23
None,Naval,POR,1,1412.62072754,2005-10-24,2005-10-29
None,Naval,POR,1,1417.64831543,2005-10-30,2005-11-01
None,Naval,POR,1,1416.36328125,2005-11-02,2005-11-02
None,Naval,POR,1,1413.34265137,2005-11-03,2005-11-06
None,Naval,POR,1,1408.70239258,2005-11-07,2005-11-20
None,Naval,POR,1,1394.78515625,2005-11-21,2005-11-22
None,Naval,POR,1,1397.3203125,2005-11-23,2005-11-23
None,Naval,POR,1,1394.60314941,2005-11-24,2005-11-24
None,Naval,POR,1,1396.30310059,2005-11-25,2005-11-27
None,Naval,POR,1,1388.48291016,2005-11-28,2005-12-01
None,Naval,POR,1,1387.6151123,2005-12-02,2005-12-04
None,Naval,POR,1,1379.20751953,2005-12-05,2005-12-06
None,Naval,POR,1,1377.62768555,2005-12-07,2005-12-07
None,Naval,POR,1,1382.30603027,2005-12-08,2005-12-11
None,Naval,POR,1,1375.96435547,2005-12-12,2005-12-14
None,Naval,POR,1,1370.52636719,2005-12-15,2005-12-16
None,Naval,POR,1,1365.2154541,2005-12-17,2005-12-21
None,Naval,POR,1,1361.73815918,2005-12-22,2006-01-07
None,Naval,POR,1,1373.57702637,2006-01-08,2006-01-15
None,Naval,POR,1,1374.10852051,2006-01-16,2006-01-21
None,Naval,POR,1,1372.85424805,2006-01-22,2006-01-28
None,Naval,POR,1,1383.64221191,2006-01-29,2006-02-03
None,Naval,POR,1,1378.58215332,2006-02-04,2006-02-12
None,Naval,POR,1,1391.68371582,2006-02-13,2006-02-19
None,Naval,POR,1,1386.29785156,2006-02-20,2006-02-21
None,Naval,POR,1,1389.15576172,2006-02-22,2006-02-26
None,Naval,POR,1,1401.68273926,2006-02-27,2006-03-04
None,Naval,POR,1,1414.74816895,2006-03-05,2006-03-08
None,Naval,POR,1,1426.46508789,2006-03-09,2006-03-12
None,Naval,POR,1,1434.26965332,2006-03-13,2006-03-17
None,Naval,POR,1,1446.82543945,2006-03-18,2006-03-26
None,Naval,POR,1,1437.72961426,2006-03-27,2006-03-28
None,Naval,POR,1,1438.06994629,2006-03-29,2006-04-01
None,Naval,POR,1,1443.95666504,2006-04-02,2006-04-05
None,Naval,POR,1,1441.93505859,2006-04-06,2006-04-09
None,Naval,POR,1,1445.00280762,2006-04-10,2006-04-15
None,Naval,POR,1,1428.17443848,2006-04-16,2006-04-23
None,Naval,POR,1,1435.70080566,2006-04-24,2006-04-30
None,Naval,POR,1,1423.88305664,2006-05-01,2006-05-07
None,Naval,POR,1,1432.53100586,2006-05-08,2006-08-08
None,Naval,POR,1,1433.79309082,2006-08-09,2006-08-22
None,Naval,POR,1,1438.03027344,2006-08-23,2006-08-27
None,Naval,POR,1,1448.22692871,2006-08-28,2006-09-10
None,Naval,POR,1,1459.23144531,2006-09-11,2006-09-12
None,Naval,POR,1,1463.32470703,2006-09-13,2006-09-13
None,Naval,POR,1,1461.12182617,2006-09-14,2006-09-14
None,Naval,POR,1,1458.89819336,2006-09-15,2006-09-17
None,Naval,POR,1,1454.21337891,2006-09-18,2006-09-23
None,Naval,POR,1,1457.76525879,2006-09-24,2006-09-26
None,Naval,POR,1,1452.95739746,2006-09-27,2006-09-27
None,Naval,POR,1,1453.84448242,2006-09-28,2006-09-28
None,Naval,POR,1,1451.97192383,2006-09-29,2006-09-29
None,Naval,POR,1,1457.95666504,2006-09-30,2006-10-16
None,Naval,POR,1,1470.57910156,2006-10-17,2006-10-17
None,Naval,POR,1,1468.52600098,2006-10-18,2006-10-18
None,Naval,POR,1,1464.93359375,2006-10-19,2006-10-19
None,Naval,POR,1,1462.21350098,2006-10-20,2006-10-23
None,Naval,POR,1,1463.99243164,2006-10-24,2006-10-29
None,Naval,POR,1,1468.30236816,2006-10-30,2006-10-31
None,Naval,POR,1,1471.1751709,2006-11-01,2006-11-01
None,Naval,POR,1,1481.40454102,2006-11-02,2006-11-02
None,Naval,POR,1,1487.33068848,2006-11-03,2006-11-05
None,Naval,POR,1,1479.25769043,2006-11-06,2006-11-19
None,Naval,POR,1,1481.65344238,2006-11-20,2006-11-21
None,Naval,POR,1,1490.46276855,2006-11-22,2006-11-22
None,Naval,POR,1,1489.00158691,2006-11-23,2006-11-23
None,Naval,POR,1,1488.19921875,2006-11-24,2006-11-26
None,Naval,POR,1,1484.08007812,2006-11-27,2006-12-03
None,Naval,POR,1,1473.11853027,2006-12-04,2006-12-05
None,Naval,POR,1,1465.20422363,2006-12-06,2006-12-06
None,Naval,POR,1,1463.61547852,2006-12-07,2006-12-10
None,Naval,POR,1,1468.16162109,2006-12-11,2006-12-14
None,Naval,POR,1,1470.32421875,2006-12-15,2006-12-17
None,Naval,POR,1,1478.57202148,2006-12-18,2007-01-14
None,Naval,POR,1,1494.51452637,2007-01-15,2007-01-28
None,Naval,POR,1,1496.33605957,2007-01-29,2007-02-04
None,Naval,POR,1,1485.1986084,2007-02-05,2007-02-14
None,Naval,POR,1,1486.984375,2007-02-15,2007-02-15
None,Naval,POR,1,1488.9786377,2007-02-16,2007-02-16
None,Naval,POR,1,1486.01086426,2007-02-17,2007-02-21
None,Naval,POR,1,1485.27587891,2007-02-22,2007-02-22
None,Naval,POR,1,1493.58776855,2007-02-23,2007-02-24
None,Naval,POR,1,1484.37841797,2007-02-25,2007-03-04
None,Naval,POR,1,1496.54626465,2007-03-05,2007-03-06
None,Naval,POR,1,1495.05847168,2007-03-07,2007-03-08
None,Naval,POR,1,1490.77978516,2007-03-09,2007-03-09
None,Naval,POR,1,1490.53942871,2007-03-10,2007-03-14
None,Naval,POR,1,1490.19140625,2007-03-15,2007-03-15
None,Naval,POR,1,1495.0057373,2007-03-16,2007-03-20
None,Naval,POR,1,1491.05761719,2007-03-21,2007-04-01
None,Naval,POR,1,1490.87133789,2007-04-02,2007-04-05
None,Naval,POR,1,1489.98962402,2007-04-06,2007-04-07
None,Naval,POR,1,1493.29577637,2007-04-08,2007-04-12
None,Naval,POR,1,1489.72424316,2007-04-13,2007-04-15
None,Naval,POR,1,1488.36376953,2007-04-16,2007-04-22
None,Naval,POR,1,1484.24719238,2007-04-23,2007-04-29
None,Naval,POR,1,1472.87329102,2007-04-30,2007-05-05
None,Naval,POR,1,1471.21044922,2007-05-06,2007-05-13
None,Naval,POR,1,1475.24499512,2007-05-14,2007-05-20
None,Naval,POR,1,1464.12329102,2007-05-21,2007-08-14
None,Naval,POR,1,1464.52502441,2007-08-15,2007-08-16
None,Naval,POR,1,1462.91638184,2007-08-17,2007-08-20
None,Naval,POR,1,1464.08361816,2007-08-21,2007-08-26
None,Naval,POR,1,1455.86157227,2007-08-27,2007-08-29
None,Naval,POR,1,1459.50390625,2007-08-30,2007-08-30
None,Naval,POR,1,1464.32128906,2007-08-31,2007-09-02
None,Naval,POR,1,1462.05688477,2007-09-03,2007-09-15
None,Naval,POR,1,1459.57226562,2007-09-16,2007-09-18
None,Naval,POR,1,1457.74707031,2007-09-19,2007-09-19
None,Naval,POR,1,1454.70703125,2007-09-20,2007-09-20
None,Naval,POR,1,1448.97265625,2007-09-21,2007-09-21
None,Naval,POR,1,1433.28295898,2007-09-22,2007-09-30
None,Naval,POR,1,1426.90332031,2007-10-01,2007-10-02
None,Naval,POR,1,1431.21118164,2007-10-03,2007-10-03
None,Naval,POR,1,1428.63171387,2007-10-04,2007-10-04
None,Naval,POR,1,1431.92028809,2007-10-05,2007-10-07
None,Naval,POR,1,1443.20935059,2007-10-08,2007-10-23
None,Naval,POR,1,1441.08203125,2007-10-24,2007-10-24
None,Naval,POR,1,1442.4407959,2007-10-25,2007-10-25
None,Naval,POR,1,1444.3548584,2007-10-26,2007-10-29
None,Naval,POR,1,1447.51306152,2007-10-30,2007-11-04
None,Naval,POR,1,1444.99768066,2007-11-05,2007-11-06
None,Naval,POR,1,1442.67126465,2007-11-07,2007-11-07
None,Naval,POR,1,1442.36621094,2007-11-08,2007-11-11
None,Naval,POR,1,1450.07910156,2007-11-12,2007-11-25
None,Naval,POR,1,1462.16101074,2007-11-26,2007-11-27
None,Naval,POR,1,1461.38916016,2007-11-28,2007-11-28
None,Naval,POR,1,1458.30444336,2007-11-29,2007-11-29
None,Naval,POR,1,1459.40551758,2007-11-30,2007-12-02
None,Naval,POR,1,1466.45471191,2007-12-03,2007-12-04
None,Naval,POR,1,1470.05859375,2007-12-05,2007-12-06
None,Naval,POR,1,1469.8215332,2007-12-07,2007-12-11
None,Naval,POR,1,1471.2890625,2007-12-12,2007-12-12
None,Naval,POR,1,1474.11853027,2007-12-13,2007-12-16
None,Naval,POR,1,1466.13293457,2007-12-17,2007-12-19
None,Naval,POR,1,1468.08349609,2007-12-20,2007-12-22
None,Naval,POR,1,1457.72546387,2007-12-23,2008-01-06
None,Naval,POR,1,1456.67663574,2008-01-07,2008-01-13
None,Naval,POR,1,1452.84387207,2008-01-14,2008-01-27
None,Naval,POR,1,1452.08703613,2008-01-28,2008-02-04
