Rank,Club,Country,Level,Elo,From,To
None,Nimes,FRA,1,1336.55041504,1950-07-01,1950-08-26
None,Nimes,FRA,1,1331.98718262,1950-08-27,1950-09-03
None,Nimes,FRA,1,1334.36437988,1950-09-04,1950-09-10
None,Nimes,FRA,1,1343.72680664,1950-09-11,1950-09-17
None,Nimes,FRA,1,1348.38269043,1950-09-18,1950-09-21
None,Nimes,FRA,1,1354.98864746,1950-09-22,1950-09-24
None,Nimes,FRA,1,1348.20422363,1950-09-25,1950-10-01
None,Nimes,FRA,1,1354.7434082,1950-10-02,1950-10-08
None,Nimes,FRA,1,1364.82617188,1950-10-09,1950-10-15
None,Nimes,FRA,1,1369.02954102,1950-10-16,1950-10-22
None,Nimes,FRA,1,1357.94970703,1950-10-23,1950-10-29
None,Nimes,FRA,1,1371.20446777,1950-10-30,1950-11-05
None,Nimes,FRA,1,1376.40014648,1950-11-06,1950-11-11
None,Nimes,FRA,1,1379.5513916,1950-11-12,1950-11-19
None,Nimes,FRA,1,1389.14794922,1950-11-20,1950-11-26
None,Nimes,FRA,1,1378.66931152,1950-11-27,1950-12-03
None,Nimes,FRA,1,1377.05371094,1950-12-04,1950-12-17
None,Nimes,FRA,1,1369.01940918,1950-12-18,1950-12-24
None,Nimes,FRA,1,1373.55371094,1950-12-25,1950-12-31
None,Nimes,FRA,1,1371.00500488,1951-01-01,1951-01-07
None,Nimes,FRA,1,1361.89648438,1951-01-08,1951-01-21
None,Nimes,FRA,1,1368.61401367,1951-01-22,1951-01-28
None,Nimes,FRA,1,1374.00610352,1951-01-29,1951-02-11
None,Nimes,FRA,1,1378.67321777,1951-02-12,1951-02-18
None,Nimes,FRA,1,1390.86230469,1951-02-19,1951-03-04
None,Nimes,FRA,1,1407.79907227,1951-03-05,1951-03-11
None,Nimes,FRA,1,1413.96862793,1951-03-12,1951-03-24
None,Nimes,FRA,1,1429.73840332,1951-03-25,1951-04-01
None,Nimes,FRA,1,1436.63366699,1951-04-02,1951-04-07
None,Nimes,FRA,1,1426.0859375,1951-04-08,1951-04-15
None,Nimes,FRA,1,1422.69152832,1951-04-16,1951-04-21
None,Nimes,FRA,1,1426.52600098,1951-04-22,1951-04-29
None,Nimes,FRA,1,1431.34765625,1951-04-30,1951-05-20
None,Nimes,FRA,1,1426.0411377,1951-05-21,1951-05-27
None,Nimes,FRA,1,1422.69641113,1951-05-28,1951-06-21
None,Nimes,FRA,1,1437.04785156,1951-06-22,1951-06-22
None,Nimes,FRA,1,1474.86218262,1951-06-23,1951-06-24
None,Nimes,FRA,1,1464.04431152,1951-06-25,1951-08-26
None,Nimes,FRA,1,1457.99316406,1951-08-27,1951-09-02
None,Nimes,FRA,1,1451.97033691,1951-09-03,1951-09-09
None,Nimes,FRA,1,1441.30151367,1951-09-10,1951-09-13
None,Nimes,FRA,1,1435.56933594,1951-09-14,1951-09-16
None,Nimes,FRA,1,1442.19421387,1951-09-17,1951-09-23
None,Nimes,FRA,1,1457.47424316,1951-09-24,1951-09-30
None,Nimes,FRA,1,1464.45776367,1951-10-01,1951-10-07
None,Nimes,FRA,1,1477.80578613,1951-10-08,1951-10-18
None,Nimes,FRA,1,1493.1217041,1951-10-19,1951-10-21
None,Nimes,FRA,1,1486.33154297,1951-10-22,1951-10-28
None,Nimes,FRA,1,1482.31054688,1951-10-29,1951-11-04
None,Nimes,FRA,1,1484.63977051,1951-11-05,1951-11-11
None,Nimes,FRA,1,1495.45812988,1951-11-12,1951-11-18
None,Nimes,FRA,1,1485.42565918,1951-11-19,1951-11-25
None,Nimes,FRA,1,1475.25805664,1951-11-26,1951-12-02
None,Nimes,FRA,1,1469.9822998,1951-12-03,1951-12-09
None,Nimes,FRA,1,1479.85595703,1951-12-10,1951-12-16
None,Nimes,FRA,1,1472.01269531,1951-12-17,1951-12-23
None,Nimes,FRA,1,1475.44519043,1951-12-24,1951-12-30
None,Nimes,FRA,1,1477.84875488,1951-12-31,1952-01-06
None,Nimes,FRA,1,1487.21252441,1952-01-07,1952-01-20
None,Nimes,FRA,1,1496.07885742,1952-01-21,1952-01-26
None,Nimes,FRA,1,1503.25195312,1952-01-27,1952-02-11
None,Nimes,FRA,1,1494.12890625,1952-02-12,1952-02-17
None,Nimes,FRA,1,1480.97619629,1952-02-18,1952-03-02
None,Nimes,FRA,1,1477.99316406,1952-03-03,1952-03-09
None,Nimes,FRA,1,1485.66821289,1952-03-10,1952-03-23
None,Nimes,FRA,1,1493.18505859,1952-03-24,1952-03-29
None,Nimes,FRA,1,1479.32470703,1952-03-30,1952-04-13
None,Nimes,FRA,1,1475.32214355,1952-04-14,1952-04-26
None,Nimes,FRA,1,1470.91772461,1952-04-27,1952-05-11
None,Nimes,FRA,1,1480.06762695,1952-05-12,1952-05-18
None,Nimes,FRA,1,1489.44421387,1952-05-19,1952-05-25
None,Nimes,FRA,1,1483.8527832,1952-05-26,1952-06-25
None,Nimes,FRA,1,1512.87487793,1952-06-26,1952-06-29
None,Nimes,FRA,1,1506.37060547,1952-06-30,1952-08-24
None,Nimes,FRA,1,1499.85632324,1952-08-25,1952-08-31
None,Nimes,FRA,1,1506.22045898,1952-09-01,1952-09-07
None,Nimes,FRA,1,1514.44250488,1952-09-08,1952-09-11
None,Nimes,FRA,1,1518.06848145,1952-09-12,1952-09-14
None,Nimes,FRA,1,1508.45349121,1952-09-15,1952-09-21
None,Nimes,FRA,1,1513.84094238,1952-09-22,1952-09-27
None,Nimes,FRA,1,1517.53979492,1952-09-28,1952-10-05
None,Nimes,FRA,1,1505.80151367,1952-10-06,1952-10-12
None,Nimes,FRA,1,1500.60583496,1952-10-13,1952-10-26
None,Nimes,FRA,1,1504.8873291,1952-10-27,1952-11-02
None,Nimes,FRA,1,1495.64526367,1952-11-03,1952-11-09
None,Nimes,FRA,1,1502.59619141,1952-11-10,1952-11-23
None,Nimes,FRA,1,1498.76037598,1952-11-24,1952-11-30
None,Nimes,FRA,1,1490.2175293,1952-12-01,1952-12-07
None,Nimes,FRA,1,1495.87976074,1952-12-08,1952-12-14
None,Nimes,FRA,1,1499.14758301,1952-12-15,1952-12-21
None,Nimes,FRA,1,1509.12231445,1952-12-22,1952-12-27
None,Nimes,FRA,1,1504.37670898,1952-12-28,1953-01-04
None,Nimes,FRA,1,1506.79785156,1953-01-05,1953-01-11
None,Nimes,FRA,1,1510.90283203,1953-01-12,1953-01-25
None,Nimes,FRA,1,1525.1315918,1953-01-26,1953-01-31
None,Nimes,FRA,1,1529.14465332,1953-02-01,1953-02-15
None,Nimes,FRA,1,1532.17163086,1953-02-16,1953-02-22
None,Nimes,FRA,1,1522.62878418,1953-02-23,1953-03-08
None,Nimes,FRA,1,1516.37158203,1953-03-09,1953-03-15
None,Nimes,FRA,1,1520.7130127,1953-03-16,1953-03-22
