Rank,Club,Country,Level,Elo,From,To
None,Niort,FRA,1,1383.86254883,1987-07-01,1987-07-18
None,Niort,FRA,1,1382.75097656,1987-07-19,1987-07-25
None,Niort,FRA,1,1376.44226074,1987-07-26,1987-08-01
None,Niort,FRA,1,1381.25732422,1987-08-02,1987-08-08
None,Niort,FRA,1,1379.70080566,1987-08-09,1987-08-15
None,Niort,FRA,1,1371.56542969,1987-08-16,1987-08-18
None,Niort,FRA,1,1377.84680176,1987-08-19,1987-08-22
None,Niort,FRA,1,1400.30786133,1987-08-23,1987-08-28
None,Niort,FRA,1,1406.56408691,1987-08-29,1987-09-01
None,Niort,FRA,1,1405.28063965,1987-09-02,1987-09-12
None,Niort,FRA,1,1411.59606934,1987-09-13,1987-09-16
None,Niort,FRA,1,1426.68823242,1987-09-17,1987-09-17
None,Niort,FRA,1,1420.36462402,1987-09-18,1987-09-19
None,Niort,FRA,1,1433.89245605,1987-09-20,1987-09-26
None,Niort,FRA,1,1443.77746582,1987-09-27,1987-09-30
None,Niort,FRA,1,1458.30224609,1987-10-01,1987-10-02
None,Niort,FRA,1,1454.18688965,1987-10-03,1987-10-06
None,Niort,FRA,1,1451.32641602,1987-10-07,1987-10-17
None,Niort,FRA,1,1448.94287109,1987-10-18,1987-10-21
None,Niort,FRA,1,1446.39550781,1987-10-22,1987-10-22
None,Niort,FRA,1,1455.01269531,1987-10-23,1987-10-24
None,Niort,FRA,1,1462.79870605,1987-10-25,1987-10-31
None,Niort,FRA,1,1459.64465332,1987-11-01,1987-11-04
None,Niort,FRA,1,1458.8873291,1987-11-05,1987-11-05
None,Niort,FRA,1,1457.37426758,1987-11-06,1987-11-07
None,Niort,FRA,1,1456.19604492,1987-11-08,1987-11-10
None,Niort,FRA,1,1450.55566406,1987-11-11,1987-11-21
None,Niort,FRA,1,1438.02172852,1987-11-22,1987-11-27
None,Niort,FRA,1,1434.24060059,1987-11-28,1987-12-05
None,Niort,FRA,1,1433.14489746,1987-12-06,1987-12-12
None,Niort,FRA,1,1452.23632812,1987-12-13,1987-12-18
None,Niort,FRA,1,1447.19299316,1987-12-19,1988-02-19
None,Niort,FRA,1,1448.03295898,1988-02-20,1988-02-26
None,Niort,FRA,1,1443.85913086,1988-02-27,1988-03-01
None,Niort,FRA,1,1444.93835449,1988-03-02,1988-03-02
None,Niort,FRA,1,1443.13720703,1988-03-03,1988-03-04
None,Niort,FRA,1,1445.32592773,1988-03-05,1988-03-15
None,Niort,FRA,1,1445.85083008,1988-03-16,1988-03-16
None,Niort,FRA,1,1445.65625,1988-03-17,1988-03-19
None,Niort,FRA,1,1451.39379883,1988-03-20,1988-03-26
None,Niort,FRA,1,1456.79846191,1988-03-27,1988-04-02
None,Niort,FRA,1,1452.52697754,1988-04-03,1988-04-06
None,Niort,FRA,1,1447.68200684,1988-04-07,1988-04-08
None,Niort,FRA,1,1444.08117676,1988-04-09,1988-04-15
None,Niort,FRA,1,1449.99365234,1988-04-16,1988-04-20
None,Niort,FRA,1,1451.32397461,1988-04-21,1988-04-30
None,Niort,FRA,1,1436.73962402,1988-05-01,1988-05-06
None,Niort,FRA,1,1434.48999023,1988-05-07,1988-05-13
None,Niort,FRA,1,1421.44641113,1988-05-14,1988-05-20
None,Niort,FRA,1,1442.28601074,1988-05-21,1988-05-27
None,Niort,FRA,1,1439.39379883,1988-05-28,1988-06-04
None,Niort,FRA,1,1433.5402832,1988-06-05,1988-07-03
