Rank,Club,Country,Level,Elo,From,To
None,Nocerina,ITA,2,1337.43859863,1978-07-01,1978-09-13
None,Nocerina,ITA,2,1326.75219727,1978-09-14,1978-09-24
None,Nocerina,ITA,2,1335.50817871,1978-09-25,1978-09-27
None,Nocerina,ITA,2,1315.87768555,1978-09-28,1978-10-01
None,Nocerina,ITA,2,1310.88342285,1978-10-02,1978-10-08
None,Nocerina,ITA,2,1316.99621582,1978-10-09,1978-10-15
None,Nocerina,ITA,2,1320.44042969,1978-10-16,1978-10-18
None,Nocerina,ITA,2,1324.46081543,1978-10-19,1978-10-22
None,Nocerina,ITA,2,1316.23974609,1978-10-23,1978-10-25
None,Nocerina,ITA,2,1316.30078125,1978-10-26,1978-10-29
None,Nocerina,ITA,2,1322.94213867,1978-10-30,1978-11-01
None,Nocerina,ITA,2,1327.19030762,1978-11-02,1978-11-05
None,Nocerina,ITA,2,1322.9864502,1978-11-06,1978-11-12
None,Nocerina,ITA,2,1315.7989502,1978-11-13,1978-11-19
None,Nocerina,ITA,2,1321.21411133,1978-11-20,1978-11-22
None,Nocerina,ITA,2,1319.0501709,1978-11-23,1978-11-26
None,Nocerina,ITA,2,1319.1751709,1978-11-27,1978-12-03
None,Nocerina,ITA,2,1307.43688965,1978-12-04,1978-12-06
None,Nocerina,ITA,2,1305.63903809,1978-12-07,1978-12-10
None,Nocerina,ITA,2,1300.99523926,1978-12-11,1978-12-17
None,Nocerina,ITA,2,1308.4888916,1978-12-18,1979-01-07
None,Nocerina,ITA,2,1301.78503418,1979-01-08,1979-01-14
None,Nocerina,ITA,2,1310.17053223,1979-01-15,1979-01-21
None,Nocerina,ITA,2,1305.91467285,1979-01-22,1979-01-28
None,Nocerina,ITA,2,1303.16345215,1979-01-29,1979-02-04
None,Nocerina,ITA,2,1298.97265625,1979-02-05,1979-02-11
None,Nocerina,ITA,2,1288.99194336,1979-02-12,1979-02-18
None,Nocerina,ITA,2,1293.08447266,1979-02-19,1979-02-25
None,Nocerina,ITA,2,1302.71289062,1979-02-26,1979-03-04
None,Nocerina,ITA,2,1299.27087402,1979-03-05,1979-03-07
None,Nocerina,ITA,2,1296.91662598,1979-03-08,1979-03-11
None,Nocerina,ITA,2,1303.31030273,1979-03-12,1979-03-18
None,Nocerina,ITA,2,1300.23706055,1979-03-19,1979-03-21
None,Nocerina,ITA,2,1298.48681641,1979-03-22,1979-03-25
None,Nocerina,ITA,2,1306.31262207,1979-03-26,1979-04-01
None,Nocerina,ITA,2,1304.37451172,1979-04-02,1979-04-08
None,Nocerina,ITA,2,1298.67419434,1979-04-09,1979-04-14
None,Nocerina,ITA,2,1305.61437988,1979-04-15,1979-04-22
None,Nocerina,ITA,2,1302.82373047,1979-04-23,1979-04-29
None,Nocerina,ITA,2,1297.64147949,1979-04-30,1979-05-06
None,Nocerina,ITA,2,1295.32800293,1979-05-07,1979-05-13
None,Nocerina,ITA,2,1300.98681641,1979-05-14,1979-05-20
None,Nocerina,ITA,2,1302.0065918,1979-05-21,1979-05-27
None,Nocerina,ITA,2,1304.44946289,1979-05-28,1979-06-03
None,Nocerina,ITA,2,1303.06176758,1979-06-04,1979-06-10
None,Nocerina,ITA,2,1298.29785156,1979-06-11,1979-06-17
None,Nocerina,ITA,2,1298.15979004,1979-06-18,1979-06-24
None,Nocerina,ITA,2,1290.31066895,1979-06-25,1979-07-01
None,Nocerina,ITA,2,1330.6439209,2011-07-02,2011-07-28
None,Nocerina,ITA,2,1328.3815918,2011-07-29,2011-08-04
None,Nocerina,ITA,2,1326.60339355,2011-08-05,2011-08-16
None,Nocerina,ITA,2,1326.05517578,2011-08-17,2011-08-18
None,Nocerina,ITA,2,1325.0345459,2011-08-19,2011-08-24
None,Nocerina,ITA,2,1323.1171875,2011-08-25,2011-08-25
None,Nocerina,ITA,2,1317.17749023,2011-08-26,2011-08-27
None,Nocerina,ITA,2,1311.14257812,2011-08-28,2011-08-30
None,Nocerina,ITA,2,1314.3737793,2011-08-31,2011-09-04
None,Nocerina,ITA,2,1332.67346191,2011-09-05,2011-09-10
None,Nocerina,ITA,2,1324.88635254,2011-09-11,2011-09-13
None,Nocerina,ITA,2,1327.70397949,2011-09-14,2011-09-14
None,Nocerina,ITA,2,1325.30236816,2011-09-15,2011-09-15
None,Nocerina,ITA,2,1325.19921875,2011-09-16,2011-09-17
None,Nocerina,ITA,2,1330.50634766,2011-09-18,2011-09-24
None,Nocerina,ITA,2,1324.078125,2011-09-25,2011-09-27
None,Nocerina,ITA,2,1331.2623291,2011-09-28,2011-09-28
None,Nocerina,ITA,2,1332.25537109,2011-09-29,2011-09-29
None,Nocerina,ITA,2,1330.03173828,2011-09-30,2011-10-01
None,Nocerina,ITA,2,1346.46520996,2011-10-02,2011-10-05
None,Nocerina,ITA,2,1336.30981445,2011-10-06,2011-10-09
None,Nocerina,ITA,2,1329.18945312,2011-10-10,2011-10-15
None,Nocerina,ITA,2,1328.78735352,2011-10-16,2011-10-18
None,Nocerina,ITA,2,1334.0078125,2011-10-19,2011-10-19
None,Nocerina,ITA,2,1334.83325195,2011-10-20,2011-10-20
None,Nocerina,ITA,2,1337.78552246,2011-10-21,2011-10-21
None,Nocerina,ITA,2,1339.67419434,2011-10-22,2011-10-29
None,Nocerina,ITA,2,1355.78747559,2011-10-30,2011-11-01
None,Nocerina,ITA,2,1346.38500977,2011-11-02,2011-11-02
None,Nocerina,ITA,2,1347.88452148,2011-11-03,2011-11-03
None,Nocerina,ITA,2,1345.30065918,2011-11-04,2011-11-05
None,Nocerina,ITA,2,1337.28259277,2011-11-06,2011-11-13
None,Nocerina,ITA,2,1334.0723877,2011-11-14,2011-11-19
None,Nocerina,ITA,2,1333.50061035,2011-11-20,2011-11-22
None,Nocerina,ITA,2,1337.21154785,2011-11-23,2011-11-23
None,Nocerina,ITA,2,1335.84594727,2011-11-24,2011-11-26
None,Nocerina,ITA,2,1326.47229004,2011-11-27,2011-11-30
None,Nocerina,ITA,2,1326.95397949,2011-12-01,2011-12-01
None,Nocerina,ITA,2,1326.15698242,2011-12-02,2011-12-03
None,Nocerina,ITA,2,1329.4074707,2011-12-04,2011-12-06
None,Nocerina,ITA,2,1328.11828613,2011-12-07,2011-12-07
None,Nocerina,ITA,2,1329.20593262,2011-12-08,2011-12-10
None,Nocerina,ITA,2,1318.71984863,2011-12-11,2011-12-14
None,Nocerina,ITA,2,1321.68188477,2011-12-15,2011-12-15
None,Nocerina,ITA,2,1319.5916748,2011-12-16,2011-12-17
None,Nocerina,ITA,2,1325.19470215,2011-12-18,2012-01-06
None,Nocerina,ITA,2,1316.18554688,2012-01-07,2012-01-13
None,Nocerina,ITA,2,1310.86706543,2012-01-14,2012-01-22
None,Nocerina,ITA,2,1305.79089355,2012-01-23,2012-01-28
None,Nocerina,ITA,2,1307.06750488,2012-01-29,2012-01-31
None,Nocerina,ITA,2,1302.48828125,2012-02-01,2012-02-04
None,Nocerina,ITA,2,1305.71337891,2012-02-05,2012-02-11
None,Nocerina,ITA,2,1302.05029297,2012-02-12,2012-02-15
None,Nocerina,ITA,2,1308.78979492,2012-02-16,2012-02-16
