Rank,Club,Country,Level,Elo,From,To
None,Oberhausen,FRG,1,1280.64611816,1957-07-03,1957-08-11
None,Oberhausen,FRG,1,1277.203125,1957-08-12,1957-08-18
None,Oberhausen,FRG,1,1287.0267334,1957-08-19,1957-08-25
None,Oberhausen,FRG,1,1293.54199219,1957-08-26,1957-09-01
None,Oberhausen,FRG,1,1282.45019531,1957-09-02,1957-09-08
None,Oberhausen,FRG,1,1278.60241699,1957-09-09,1957-09-15
None,Oberhausen,FRG,1,1269.77966309,1957-09-16,1957-09-22
None,Oberhausen,FRG,1,1267.20898438,1957-09-23,1957-09-29
None,Oberhausen,FRG,1,1279.25134277,1957-09-30,1957-10-06
None,Oberhausen,FRG,1,1291.54785156,1957-10-07,1957-10-13
None,Oberhausen,FRG,1,1296.73937988,1957-10-14,1957-10-20
None,Oberhausen,FRG,1,1305.12976074,1957-10-21,1957-10-27
None,Oberhausen,FRG,1,1301.33984375,1957-10-28,1957-11-03
None,Oberhausen,FRG,1,1300.98046875,1957-11-04,1957-11-10
None,Oberhausen,FRG,1,1305.72949219,1957-11-11,1957-11-17
None,Oberhausen,FRG,1,1312.68054199,1957-11-18,1957-11-27
None,Oberhausen,FRG,1,1319.72790527,1957-11-28,1957-12-01
None,Oberhausen,FRG,1,1305.83215332,1957-12-02,1957-12-08
None,Oberhausen,FRG,1,1313.42871094,1957-12-09,1957-12-15
None,Oberhausen,FRG,1,1305.81982422,1957-12-16,1957-12-29
None,Oberhausen,FRG,1,1329.90527344,1957-12-30,1958-01-05
None,Oberhausen,FRG,1,1342.95324707,1958-01-06,1958-01-12
None,Oberhausen,FRG,1,1339.7956543,1958-01-13,1958-01-19
None,Oberhausen,FRG,1,1335.54223633,1958-01-20,1958-01-26
None,Oberhausen,FRG,1,1346.34448242,1958-01-27,1958-02-02
None,Oberhausen,FRG,1,1342.26599121,1958-02-03,1958-02-09
None,Oberhausen,FRG,1,1335.02783203,1958-02-10,1958-02-12
None,Oberhausen,FRG,1,1332.58947754,1958-02-13,1958-02-16
None,Oberhausen,FRG,1,1337.99279785,1958-02-17,1958-02-26
None,Oberhausen,FRG,1,1335.27453613,1958-02-27,1958-03-09
None,Oberhausen,FRG,1,1332.70068359,1958-03-10,1958-03-16
None,Oberhausen,FRG,1,1335.34655762,1958-03-17,1958-03-23
None,Oberhausen,FRG,1,1335.95385742,1958-03-24,1958-03-30
None,Oberhausen,FRG,1,1341.81787109,1958-03-31,1958-04-13
None,Oberhausen,FRG,1,1355.17382812,1958-04-14,1958-08-17
None,Oberhausen,FRG,1,1363.40380859,1958-08-18,1958-08-24
None,Oberhausen,FRG,1,1360.88000488,1958-08-25,1958-08-31
None,Oberhausen,FRG,1,1364.33557129,1958-09-01,1958-09-07
None,Oberhausen,FRG,1,1382.37939453,1958-09-08,1958-09-14
None,Oberhausen,FRG,1,1366.83569336,1958-09-15,1958-09-17
None,Oberhausen,FRG,1,1372.4732666,1958-09-18,1958-09-21
None,Oberhausen,FRG,1,1365.20068359,1958-09-22,1958-09-26
None,Oberhausen,FRG,1,1359.8392334,1958-09-27,1958-10-01
None,Oberhausen,FRG,1,1372.11657715,1958-10-02,1958-10-05
None,Oberhausen,FRG,1,1377.46374512,1958-10-06,1958-10-12
None,Oberhausen,FRG,1,1368.99389648,1958-10-13,1958-10-19
None,Oberhausen,FRG,1,1362.34655762,1958-10-20,1958-11-02
None,Oberhausen,FRG,1,1371.08215332,1958-11-03,1958-11-09
