Rank,Club,Country,Level,Elo,From,To
None,Orduspor,TUR,1,1192.00512695,1975-07-02,1975-09-07
None,Orduspor,TUR,1,1198.00976562,1975-09-08,1975-09-14
None,Orduspor,TUR,1,1203.20166016,1975-09-15,1975-09-17
None,Orduspor,TUR,1,1195.71325684,1975-09-18,1975-09-18
None,Orduspor,TUR,1,1190.82470703,1975-09-19,1975-09-21
None,Orduspor,TUR,1,1191.92175293,1975-09-22,1975-09-28
None,Orduspor,TUR,1,1186.06420898,1975-09-29,1975-10-01
None,Orduspor,TUR,1,1194.1920166,1975-10-02,1975-10-05
None,Orduspor,TUR,1,1189.32739258,1975-10-06,1975-10-19
None,Orduspor,TUR,1,1189.37634277,1975-10-20,1975-10-22
None,Orduspor,TUR,1,1187.47265625,1975-10-23,1975-11-02
None,Orduspor,TUR,1,1199.68908691,1975-11-03,1975-11-05
None,Orduspor,TUR,1,1199.35205078,1975-11-06,1975-11-09
None,Orduspor,TUR,1,1198.49157715,1975-11-10,1975-11-16
None,Orduspor,TUR,1,1195.48498535,1975-11-17,1975-11-30
None,Orduspor,TUR,1,1203.05529785,1975-12-01,1975-12-07
None,Orduspor,TUR,1,1198.17333984,1975-12-08,1975-12-14
None,Orduspor,TUR,1,1197.46276855,1975-12-15,1975-12-28
None,Orduspor,TUR,1,1203.56835938,1975-12-29,1976-01-04
None,Orduspor,TUR,1,1201.04919434,1976-01-05,1976-01-11
None,Orduspor,TUR,1,1199.41015625,1976-01-12,1976-02-15
None,Orduspor,TUR,1,1204.55407715,1976-02-16,1976-02-22
None,Orduspor,TUR,1,1201.59338379,1976-02-23,1976-02-28
None,Orduspor,TUR,1,1208.85095215,1976-02-29,1976-03-07
None,Orduspor,TUR,1,1216.22473145,1976-03-08,1976-03-14
None,Orduspor,TUR,1,1214.87878418,1976-03-15,1976-03-21
None,Orduspor,TUR,1,1211.75488281,1976-03-22,1976-03-28
None,Orduspor,TUR,1,1208.36938477,1976-03-29,1976-04-04
None,Orduspor,TUR,1,1204.93823242,1976-04-05,1976-04-11
None,Orduspor,TUR,1,1213.32263184,1976-04-12,1976-04-18
None,Orduspor,TUR,1,1209.62524414,1976-04-19,1976-04-25
None,Orduspor,TUR,1,1217.52978516,1976-04-26,1976-05-09
None,Orduspor,TUR,1,1211.57922363,1976-05-10,1976-05-16
None,Orduspor,TUR,1,1205.56433105,1976-05-17,1976-05-23
None,Orduspor,TUR,1,1207.85888672,1976-05-24,1976-05-30
None,Orduspor,TUR,1,1212.72546387,1976-05-31,1976-09-05
None,Orduspor,TUR,1,1219.27758789,1976-09-06,1976-09-11
None,Orduspor,TUR,1,1215.19042969,1976-09-12,1976-09-15
